Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-09-21,D,FCS Software Solutions Ord Shs,5.0,9.995,5.0,8.925,412368853.855225,0
2005-09-22,D,FCS Software Solutions Ord Shs,9.0,10.71,9.0,10.7075,131110818.046297,0
2005-09-23,D,FCS Software Solutions Ord Shs,11.0,12.785,8.7525,8.9025,409756453.894153,0
2005-09-26,D,FCS Software Solutions Ord Shs,9.25,10.685,8.165,10.685,145085357.83806,0
2005-09-27,D,FCS Software Solutions Ord Shs,11.5,12.8125,11.5,12.8,155915757.676674,0
2005-09-28,D,FCS Software Solutions Ord Shs,13.15,14.945,13.0075,14.2175,292904875.635377,0
2005-09-29,D,FCS Software Solutions Ord Shs,14.3,15.4,12.7975,12.7975,259643196.131015,0
2005-09-30,D,FCS Software Solutions Ord Shs,12.0625,12.17,11.5175,11.5175,27656619.587884,0
2005-10-03,D,FCS Software Solutions Ord Shs,11.0,11.0,10.3675,10.3675,3200219.952313,0
2005-10-04,D,FCS Software Solutions Ord Shs,9.365,10.8,9.3325,9.4025,122564178.173651,0
2005-10-05,D,FCS Software Solutions Ord Shs,9.45,9.97,8.4625,8.4825,101243858.491349,0
2005-10-06,D,FCS Software Solutions Ord Shs,8.25,8.67,8.06,8.19,88156318.686368,0
2005-10-07,D,FCS Software Solutions Ord Shs,8.05,8.375,7.7825,7.7975,30245639.549305,0
2005-10-10,D,FCS Software Solutions Ord Shs,7.75,7.96,7.4075,7.4075,18685979.721557,0
2005-10-11,D,FCS Software Solutions Ord Shs,7.35,7.39,7.0375,7.0375,18233779.728296,0
2005-10-13,D,FCS Software Solutions Ord Shs,6.7,6.895,6.6875,6.6875,11172779.833513,0
2005-10-14,D,FCS Software Solutions Ord Shs,6.45,6.5,6.355,6.355,3588519.946527,0
2005-10-17,D,FCS Software Solutions Ord Shs,6.04,6.6475,6.0375,6.165,31486919.530808,0
2005-10-18,D,FCS Software Solutions Ord Shs,6.44,6.475,6.1675,6.365,24699179.631954,0
2005-10-19,D,FCS Software Solutions Ord Shs,6.35,6.35,6.0475,6.0475,4899639.92699,0
2005-10-20,D,FCS Software Solutions Ord Shs,6.0,6.14,5.745,5.745,4000679.940385,0
2005-10-21,D,FCS Software Solutions Ord Shs,5.555,5.6,5.4575,5.4725,5004899.925421,0
2005-10-24,D,FCS Software Solutions Ord Shs,5.525,5.7475,5.2125,5.7475,9613179.856752,0
2005-10-25,D,FCS Software Solutions Ord Shs,5.985,5.985,5.46,5.46,6562779.902207,0
2005-10-26,D,FCS Software Solutions Ord Shs,5.265,5.395,5.1875,5.21,11774479.824547,0
2005-10-27,D,FCS Software Solutions Ord Shs,5.2,5.39,5.045,5.11,10945299.836902,0
2005-10-28,D,FCS Software Solutions Ord Shs,5.0625,5.15,4.855,4.9175,8737419.869802,0
2005-10-31,D,FCS Software Solutions Ord Shs,4.945,4.945,4.625,4.665,4071859.939325,0
2005-11-01,D,FCS Software Solutions Ord Shs,4.7475,4.8,4.6425,4.7075,1817339.97292,0
2005-11-02,D,FCS Software Solutions Ord Shs,4.775,4.8875,4.505,4.8075,5187919.922694,0
2005-11-07,D,FCS Software Solutions Ord Shs,4.8725,5.025,4.73,4.8875,4542039.932318,0
2005-11-08,D,FCS Software Solutions Ord Shs,4.935,5.075,4.7675,4.7975,4468719.933411,0
2005-11-09,D,FCS Software Solutions Ord Shs,4.805,4.925,4.7,4.73,3529519.947406,0
2005-11-10,D,FCS Software Solutions Ord Shs,4.755,4.925,4.675,4.8675,8183859.878051,0
2005-11-11,D,FCS Software Solutions Ord Shs,4.9,5.0175,4.83,4.9025,7309519.89108,0
2005-11-14,D,FCS Software Solutions Ord Shs,4.9425,5.0125,4.86,4.9625,3900919.941872,0
2005-11-16,D,FCS Software Solutions Ord Shs,4.99,5.04,4.9,4.9325,3229659.951874,0
2005-11-17,D,FCS Software Solutions Ord Shs,4.97,4.9725,4.83,4.8675,1442319.978508,0
2005-11-18,D,FCS Software Solutions Ord Shs,4.9175,4.93,4.75,4.79,1705819.974581,0
2005-11-21,D,FCS Software Solutions Ord Shs,4.8125,4.8425,4.685,4.71,1433919.978633,0
2005-11-22,D,FCS Software Solutions Ord Shs,4.525,4.7925,4.525,4.6325,1978859.970513,0
2005-11-23,D,FCS Software Solutions Ord Shs,4.6275,4.69,4.625,4.6525,1106239.983516,0
2005-11-24,D,FCS Software Solutions Ord Shs,4.68,4.705,4.6025,4.615,800919.988065,0
2005-11-25,D,FCS Software Solutions Ord Shs,4.6,4.745,4.6,4.645,1354699.979813,0
2005-11-26,D,FCS Software Solutions Ord Shs,4.69,4.69,4.605,4.6525,996419.985152,0
2005-11-28,D,FCS Software Solutions Ord Shs,4.7,4.8,4.68,4.7,2079339.969015,1
2005-11-29,D,FCS Software Solutions Ord Shs,4.745,4.745,4.605,4.65,1372499.979548,0
2005-11-30,D,FCS Software Solutions Ord Shs,4.65,4.8825,4.61,4.8775,5183239.922764,0
2005-12-01,D,FCS Software Solutions Ord Shs,4.9,5.1225,4.9,5.1225,8349899.875577,0
2005-12-02,D,FCS Software Solutions Ord Shs,5.3,5.38,5.2725,5.38,837439.987521,0
2005-12-05,D,FCS Software Solutions Ord Shs,5.64,5.65,5.635,5.65,621619.990737,0
2005-12-06,D,FCS Software Solutions Ord Shs,5.9325,5.9325,5.375,5.41,9741399.854842,0
2005-12-07,D,FCS Software Solutions Ord Shs,5.4875,5.5375,5.3025,5.3725,4565659.931966,0
2005-12-08,D,FCS Software Solutions Ord Shs,5.42,5.485,5.2575,5.33,1790979.973312,0
2005-12-09,D,FCS Software Solutions Ord Shs,5.325,5.3675,5.235,5.2675,1582919.976413,0
2005-12-12,D,FCS Software Solutions Ord Shs,5.295,5.375,5.205,5.2325,1738079.974101,0
2005-12-13,D,FCS Software Solutions Ord Shs,5.28,5.29,5.05,5.075,979919.985398,0
2005-12-14,D,FCS Software Solutions Ord Shs,5.09,5.14,4.95,4.96,1343319.979983,0
2005-12-15,D,FCS Software Solutions Ord Shs,4.995,5.1225,4.905,4.935,1965879.970706,0
2005-12-16,D,FCS Software Solutions Ord Shs,4.9625,5.43,4.905,5.43,4928739.926556,0
2005-12-19,D,FCS Software Solutions Ord Shs,5.68,5.975,5.61,5.975,15925419.762693,0
2005-12-20,D,FCS Software Solutions Ord Shs,6.22,6.22,5.665,5.7075,10467899.844016,0
2005-12-21,D,FCS Software Solutions Ord Shs,5.735,6.19,5.665,6.03,18560979.72342,0
2005-12-22,D,FCS Software Solutions Ord Shs,6.0975,6.12,5.75,5.7975,6939039.8966,0
2005-12-23,D,FCS Software Solutions Ord Shs,5.84,5.935,5.65,5.69,4245559.936736,0
2005-12-26,D,FCS Software Solutions Ord Shs,5.695,5.695,5.4075,5.4075,2931699.956314,0
2005-12-27,D,FCS Software Solutions Ord Shs,5.275,5.68,5.25,5.525,5731459.914595,0
2005-12-28,D,FCS Software Solutions Ord Shs,5.5,5.585,5.35,5.415,2772239.95869,0
2005-12-29,D,FCS Software Solutions Ord Shs,5.445,5.5825,5.39,5.4375,2207499.967106,0
2005-12-30,D,FCS Software Solutions Ord Shs,5.4375,5.7,5.43,5.4975,4699799.929968,0
2006-01-02,D,FCS Software Solutions Ord Shs,5.505,5.625,5.4775,5.5275,2132979.968216,0
2006-01-03,D,FCS Software Solutions Ord Shs,5.5475,5.635,5.515,5.6025,1797199.97322,0
2006-01-04,D,FCS Software Solutions Ord Shs,5.635,5.645,5.55,5.5625,1372779.979544,0
2006-01-05,D,FCS Software Solutions Ord Shs,5.595,5.6875,5.5,5.515,1808759.973047,0
2006-01-06,D,FCS Software Solutions Ord Shs,5.65,5.65,5.4,5.4625,1303559.980575,0
2006-01-09,D,FCS Software Solutions Ord Shs,5.54,5.54,5.4,5.4275,749499.988832,0
2006-01-10,D,FCS Software Solutions Ord Shs,5.4075,5.49,5.3175,5.395,797939.98811,0
2006-01-12,D,FCS Software Solutions Ord Shs,5.375,5.665,5.3125,5.4975,2352699.964942,0
2006-01-13,D,FCS Software Solutions Ord Shs,5.525,5.7725,5.5125,5.755,7435519.889202,0
2006-01-16,D,FCS Software Solutions Ord Shs,5.8,5.8425,5.625,5.6825,3041879.954672,0
2006-01-17,D,FCS Software Solutions Ord Shs,5.675,5.7625,5.53,5.575,1980039.970495,0
2006-01-18,D,FCS Software Solutions Ord Shs,5.3325,5.59,5.3325,5.425,1242099.981491,0
2006-01-19,D,FCS Software Solutions Ord Shs,5.48,5.6975,5.48,5.65,3167159.952806,0
2006-01-20,D,FCS Software Solutions Ord Shs,5.74,5.775,5.55,5.585,2639699.960665,0
2006-01-23,D,FCS Software Solutions Ord Shs,5.86,5.86,5.5,5.5225,878019.986916,0
