Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2021-02-16,D,Generic Engineering Construction And Projects Ord Shs,55.0,60.0,55.0,56.45,10764,0
2021-02-17,D,Generic Engineering Construction And Projects Ord Shs,57.0,57.25,53.0,55.8,53698,0
2021-02-18,D,Generic Engineering Construction And Projects Ord Shs,56.5,64.7,54.05,57.5,16385,0
2021-02-19,D,Generic Engineering Construction And Projects Ord Shs,57.5,58.4,56.05,56.7,4032,0
2021-02-22,D,Generic Engineering Construction And Projects Ord Shs,56.35,57.95,50.4,53.85,12378,0
2021-02-23,D,Generic Engineering Construction And Projects Ord Shs,53.0,62.0,52.85,57.2,68013,0
2021-02-24,D,Generic Engineering Construction And Projects Ord Shs,57.2,58.55,51.25,56.85,8271,0
2021-02-25,D,Generic Engineering Construction And Projects Ord Shs,56.95,58.0,55.4,56.65,12690,0
2021-02-26,D,Generic Engineering Construction And Projects Ord Shs,57.0,58.9,54.2,54.6,6492,0
2021-03-01,D,Generic Engineering Construction And Projects Ord Shs,55.5,57.4,54.35,56.5,10219,0
2021-03-02,D,Generic Engineering Construction And Projects Ord Shs,58.0,60.9,54.5,59.15,14274,0
2021-03-03,D,Generic Engineering Construction And Projects Ord Shs,59.15,62.75,54.2,56.7,16437,0
2021-03-04,D,Generic Engineering Construction And Projects Ord Shs,59.9,68.0,59.9,62.45,196300,0
2021-03-05,D,Generic Engineering Construction And Projects Ord Shs,62.0,62.95,55.45,56.8,56351,0
2021-03-08,D,Generic Engineering Construction And Projects Ord Shs,56.85,59.15,55.5,56.4,15105,0
2021-03-09,D,Generic Engineering Construction And Projects Ord Shs,56.45,57.5,53.3,54.3,29014,0
2021-03-10,D,Generic Engineering Construction And Projects Ord Shs,54.5,54.7,53.7,54.25,20767,0
2021-03-12,D,Generic Engineering Construction And Projects Ord Shs,55.55,55.6,53.1,53.55,27055,0
2021-03-15,D,Generic Engineering Construction And Projects Ord Shs,54.2,54.4,51.55,52.65,26171,0
2021-03-16,D,Generic Engineering Construction And Projects Ord Shs,53.05,53.05,52.0,52.05,17975,0
2021-03-17,D,Generic Engineering Construction And Projects Ord Shs,52.15,52.9,47.4,50.25,31777,0
2021-03-18,D,Generic Engineering Construction And Projects Ord Shs,50.25,52.45,48.1,49.85,85962,0
2021-03-19,D,Generic Engineering Construction And Projects Ord Shs,50.4,51.25,46.3,48.6,27850,0
2021-03-22,D,Generic Engineering Construction And Projects Ord Shs,49.95,50.1,46.2,47.45,11905,0
