Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-07-03,D,Gensol Engineering Ord Shs,486.666159,486.666159,449.999531,452.482861,262824.274147,0
2023-07-04,D,Gensol Engineering Ord Shs,456.316191,473.33284,436.749544,461.816185,126972.132442,0
2023-07-05,D,Gensol Engineering Ord Shs,469.99951,473.566173,457.332856,468.816178,105720.110275,0
2023-07-06,D,Gensol Engineering Ord Shs,470.349509,476.666169,458.332855,461.732852,69816.072824,0
2023-07-07,D,Gensol Engineering Ord Shs,466.332847,469.99951,462.682851,464.982848,85509.089193,0
2023-07-10,D,Gensol Engineering Ord Shs,466.599513,488.216157,465.332848,478.682834,461496.481378,0
2023-07-11,D,Gensol Engineering Ord Shs,478.216168,484.366161,458.016189,459.299521,171513.178902,0
2023-07-12,D,Gensol Engineering Ord Shs,466.332847,474.516172,454.999525,458.399522,175038.182579,0
2023-07-13,D,Gensol Engineering Ord Shs,458.399522,471.666175,454.999525,460.082853,116883.121919,0
2023-07-14,D,Gensol Engineering Ord Shs,466.61618,467.666179,456.099524,457.999522,66300.069156,0
2023-07-17,D,Gensol Engineering Ord Shs,458.332855,466.632847,451.332863,459.882854,127251.132733,0
2023-07-18,D,Gensol Engineering Ord Shs,458.332855,466.632847,452.016195,459.682854,123162.128468,0
2023-07-19,D,Gensol Engineering Ord Shs,462.98285,473.23284,461.332852,466.882846,137757.143692,0
2023-07-20,D,Gensol Engineering Ord Shs,466.882846,480.666165,466.699513,469.666177,117534.122598,0
2023-07-21,D,Gensol Engineering Ord Shs,469.666177,487.099492,463.23285,463.982849,81114.084609,0
2023-07-24,D,Gensol Engineering Ord Shs,473.316173,473.349506,460.182853,461.882852,268407.279971,0
2023-07-25,D,Gensol Engineering Ord Shs,474.966171,484.966161,468.349511,484.966161,224415.234083,0
2023-07-26,D,Gensol Engineering Ord Shs,503.332808,509.199469,494.949484,509.199469,126000.131428,0
2023-07-27,D,Gensol Engineering Ord Shs,513.332798,534.649442,488.366157,528.232782,457080.476772,0
2023-07-28,D,Gensol Engineering Ord Shs,538.332772,554.632755,507.099471,526.366118,352500.367687,0
2023-07-31,D,Gensol Engineering Ord Shs,533.332777,552.682757,530.016114,552.682757,97197.101384,0
2023-08-01,D,Gensol Engineering Ord Shs,560.049416,579.999395,553.332756,564.316078,703578.73389,0
2023-08-02,D,Gensol Engineering Ord Shs,572.999402,580.999394,537.999439,559.23275,191526.199777,0
2023-08-03,D,Gensol Engineering Ord Shs,567.132742,574.149401,549.066094,555.016088,61077.063708,0
2023-08-04,D,Gensol Engineering Ord Shs,573.232735,573.232735,554.982754,562.749413,50526.052703,0
2023-08-07,D,Gensol Engineering Ord Shs,564.649411,566.316076,554.166089,560.499415,66360.069219,0
2023-08-08,D,Gensol Engineering Ord Shs,554.049422,575.899399,554.049422,566.066076,78237.081608,0
2023-08-09,D,Gensol Engineering Ord Shs,568.68274,594.366047,563.682745,581.182727,505950.527748,0
2023-08-10,D,Gensol Engineering Ord Shs,585.999389,588.266053,573.016069,578.499397,159693.166573,0
2023-08-11,D,Gensol Engineering Ord Shs,585.999389,591.599383,571.782737,580.716061,249918.260685,0
2023-08-14,D,Gensol Engineering Ord Shs,581.649393,609.749364,568.999406,609.749364,341070.355764,0
2023-08-16,D,Gensol Engineering Ord Shs,616.666023,632.99934,579.266062,597.299377,281013.29312,0
2023-08-17,D,Gensol Engineering Ord Shs,599.999374,599.999374,572.332736,581.899393,141258.147344,0
2023-08-18,D,Gensol Engineering Ord Shs,584.79939,599.982708,561.666081,569.782739,265482.27692,0
2023-08-21,D,Gensol Engineering Ord Shs,570.666071,598.266043,570.666071,583.799391,287253.299629,0
2023-08-22,D,Gensol Engineering Ord Shs,588.666053,592.166049,575.016067,579.632729,87363.091127,0
2023-08-23,D,Gensol Engineering Ord Shs,585.649389,591.332717,576.799398,582.882725,536511.559625,0
2023-08-24,D,Gensol Engineering Ord Shs,587.332721,599.666041,578.999396,580.732728,89649.093511,0
2023-08-25,D,Gensol Engineering Ord Shs,583.299392,592.316049,569.999405,572.932736,51564.053785,0
2023-08-28,D,Gensol Engineering Ord Shs,572.932736,584.416057,553.349423,559.299417,119724.124882,0
2023-08-29,D,Gensol Engineering Ord Shs,560.382749,587.249387,555.682754,587.016054,391557.408426,0
2023-08-30,D,Gensol Engineering Ord Shs,596.649378,598.466042,575.999399,580.516061,98505.102749,0
