Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2024-04-26,D,Gloster Ord Shs,939.9,940.0,915.05,917.85,6239,0
2024-04-29,D,Gloster Ord Shs,940.0,940.05,891.85,900.85,3172,0
2024-04-30,D,Gloster Ord Shs,915.4,918.5,886.3,896.5,1359,0
2024-05-02,D,Gloster Ord Shs,885.0,904.75,876.9,887.5,2905,0
2024-05-03,D,Gloster Ord Shs,875.0,910.0,875.0,876.95,3128,0
2024-05-06,D,Gloster Ord Shs,826.55,880.8,826.55,860.8,1106,0
2024-05-07,D,Gloster Ord Shs,859.65,860.0,850.1,856.65,1376,0
2024-05-08,D,Gloster Ord Shs,854.25,854.25,801.1,818.05,2233,0
2024-05-09,D,Gloster Ord Shs,847.3,853.4,815.05,828.6,1496,0
2024-05-10,D,Gloster Ord Shs,837.5,845.9,832.55,839.6,1329,0
2024-05-13,D,Gloster Ord Shs,840.0,864.9,828.0,833.5,2123,0
2024-05-14,D,Gloster Ord Shs,840.55,860.8,840.0,856.85,989,0
2024-05-15,D,Gloster Ord Shs,858.1,860.6,837.85,843.65,1074,0
2024-05-16,D,Gloster Ord Shs,864.0,864.0,829.15,838.35,3559,0
2024-05-17,D,Gloster Ord Shs,841.9,878.65,837.6,860.45,2594,0
2024-05-18,D,Gloster Ord Shs,859.95,859.95,837.95,840.55,160,0
2024-05-21,D,Gloster Ord Shs,840.5,880.0,826.0,847.6,6541,0
2024-05-22,D,Gloster Ord Shs,840.8,875.0,840.2,860.65,1821,0
2024-05-23,D,Gloster Ord Shs,852.75,874.8,850.45,856.3,2964,0
2024-05-24,D,Gloster Ord Shs,876.6,880.05,850.1,857.85,3226,0
2024-05-27,D,Gloster Ord Shs,875.0,875.0,846.4,851.95,1975,0
2024-05-28,D,Gloster Ord Shs,842.1,869.8,841.55,855.25,1466,0
2024-05-29,D,Gloster Ord Shs,860.2,870.65,846.05,855.85,2155,0
