Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-03-23,D,Gmr Power And Urban Infra Ord Shs,48.0,48.0,45.6,45.6,924151,0
2022-03-24,D,Gmr Power And Urban Infra Ord Shs,43.35,43.35,43.35,43.35,35801,1
2022-03-25,D,Gmr Power And Urban Infra Ord Shs,41.2,41.2,41.2,41.2,25042,1
2022-03-28,D,Gmr Power And Urban Infra Ord Shs,39.15,39.15,39.15,39.15,9835,1
2022-03-29,D,Gmr Power And Urban Infra Ord Shs,37.2,37.2,37.2,37.2,17115,1
2022-03-30,D,Gmr Power And Urban Infra Ord Shs,35.35,35.35,35.35,35.35,25015,1
2022-03-31,D,Gmr Power And Urban Infra Ord Shs,33.6,33.6,33.6,33.6,25601,1
2022-04-01,D,Gmr Power And Urban Infra Ord Shs,31.95,31.95,31.95,31.95,32369,1
2022-04-04,D,Gmr Power And Urban Infra Ord Shs,30.4,33.4,30.4,30.4,8552365,1
2022-04-05,D,Gmr Power And Urban Infra Ord Shs,28.9,28.9,28.9,28.9,706287,1
2022-04-06,D,Gmr Power And Urban Infra Ord Shs,27.3,28.45,26.05,27.3,26896669,1
2022-04-07,D,Gmr Power And Urban Infra Ord Shs,26.85,27.85,24.6,24.6,5550096,0
2022-04-08,D,Gmr Power And Urban Infra Ord Shs,24.0,25.0,23.2,23.7,3332536,0
2022-04-11,D,Gmr Power And Urban Infra Ord Shs,23.8,26.05,23.5,26.05,5814197,0
2022-04-12,D,Gmr Power And Urban Infra Ord Shs,28.65,28.65,27.15,28.65,10208254,1
2022-04-13,D,Gmr Power And Urban Infra Ord Shs,31.5,31.5,29.75,31.5,10927090,1
2022-04-18,D,Gmr Power And Urban Infra Ord Shs,30.5,33.25,28.9,32.25,7993128,0
2022-04-19,D,Gmr Power And Urban Infra Ord Shs,33.1,33.3,30.65,30.95,1848706,0
2022-04-20,D,Gmr Power And Urban Infra Ord Shs,30.75,32.45,30.55,32.45,3356309,0
2022-04-21,D,Gmr Power And Urban Infra Ord Shs,33.1,33.9,30.85,31.05,1029572,0
2022-04-22,D,Gmr Power And Urban Infra Ord Shs,30.8,32.6,30.35,32.6,846020,0
2022-04-25,D,Gmr Power And Urban Infra Ord Shs,34.2,34.2,33.1,34.2,1751434,1
2022-04-26,D,Gmr Power And Urban Infra Ord Shs,35.6,35.6,32.5,32.5,1183934,0
2022-04-27,D,Gmr Power And Urban Infra Ord Shs,31.9,31.9,30.9,31.35,2124896,0
2022-04-28,D,Gmr Power And Urban Infra Ord Shs,31.35,32.9,31.25,31.65,706113,0
2022-04-29,D,Gmr Power And Urban Infra Ord Shs,31.15,32.9,30.1,30.1,514971,0
2022-05-02,D,Gmr Power And Urban Infra Ord Shs,29.1,30.85,28.6,30.05,981036,0
2022-05-04,D,Gmr Power And Urban Infra Ord Shs,30.05,31.55,28.55,28.65,412645,0
2022-05-05,D,Gmr Power And Urban Infra Ord Shs,29.7,30.05,29.0,29.5,817823,0
2022-05-06,D,Gmr Power And Urban Infra Ord Shs,28.9,28.95,28.05,28.05,490738,0
2022-05-09,D,Gmr Power And Urban Infra Ord Shs,27.0,29.45,26.65,29.05,4591024,0
2022-05-10,D,Gmr Power And Urban Infra Ord Shs,29.45,30.15,27.6,28.4,2870773,0
