Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2010-04-16,D,Goenka Diamond And Jewels Ord Shs,12.4,14.1,9.22,12.76,368306184.51181,0
2010-04-19,D,Goenka Diamond And Jewels Ord Shs,12.135,12.23,11.255,11.42,71033208.941523,0
2010-04-20,D,Goenka Diamond And Jewels Ord Shs,11.465,12.0,11.2,11.745,33281809.504062,0
2010-04-21,D,Goenka Diamond And Jewels Ord Shs,11.81,11.865,10.78,10.96,33612449.499135,0
2010-04-22,D,Goenka Diamond And Jewels Ord Shs,11.08,11.12,10.365,10.525,40589849.395164,0
2010-04-23,D,Goenka Diamond And Jewels Ord Shs,10.5,11.0,10.5,10.895,17193969.74379,0
2010-04-26,D,Goenka Diamond And Jewels Ord Shs,11.02,11.4,10.83,11.28,12161129.818785,0
2010-04-27,D,Goenka Diamond And Jewels Ord Shs,11.25,11.48,11.035,11.31,10490889.843674,0
2010-04-28,D,Goenka Diamond And Jewels Ord Shs,11.0,11.15,10.675,10.785,3132289.953325,0
2010-04-29,D,Goenka Diamond And Jewels Ord Shs,10.88,10.995,10.6,10.72,3286799.951023,0
2010-04-30,D,Goenka Diamond And Jewels Ord Shs,10.8,10.87,10.6,10.66,3256529.951474,0
2010-05-03,D,Goenka Diamond And Jewels Ord Shs,10.7,10.79,10.52,10.58,1376989.979481,0
2010-05-04,D,Goenka Diamond And Jewels Ord Shs,10.6,10.75,9.95,10.1,1889049.971851,0
2010-05-05,D,Goenka Diamond And Jewels Ord Shs,9.8,10.39,9.6,10.27,4044179.939737,0
2010-05-06,D,Goenka Diamond And Jewels Ord Shs,10.225,10.55,10.03,10.4,2479389.963054,0
2010-05-07,D,Goenka Diamond And Jewels Ord Shs,10.2,10.45,9.8,10.32,2889749.956939,0
2010-05-10,D,Goenka Diamond And Jewels Ord Shs,10.5,10.5,10.155,10.265,1832119.972699,0
2010-05-11,D,Goenka Diamond And Jewels Ord Shs,10.23,10.39,9.81,9.875,648939.99033,0
2010-05-12,D,Goenka Diamond And Jewels Ord Shs,9.895,10.095,9.65,9.745,730169.98912,0
2010-05-13,D,Goenka Diamond And Jewels Ord Shs,9.8,10.5,9.8,10.33,2315819.965492,0
2010-05-14,D,Goenka Diamond And Jewels Ord Shs,10.2,10.39,9.75,9.96,1547109.976946,0
2010-05-17,D,Goenka Diamond And Jewels Ord Shs,9.55,10.04,9.51,9.77,597359.991099,0
2010-05-18,D,Goenka Diamond And Jewels Ord Shs,9.77,10.35,9.77,9.975,1023229.984753,0
2010-05-19,D,Goenka Diamond And Jewels Ord Shs,9.97,10.295,9.54,9.625,1646709.975462,0
2010-05-20,D,Goenka Diamond And Jewels Ord Shs,9.69,9.93,9.305,9.52,364359.994571,0
2010-05-21,D,Goenka Diamond And Jewels Ord Shs,9.025,9.4,8.85,9.025,495769.992612,1
2010-05-24,D,Goenka Diamond And Jewels Ord Shs,9.155,9.43,8.71,8.935,401109.994023,0
2010-05-25,D,Goenka Diamond And Jewels Ord Shs,8.78,9.095,8.51,8.535,656319.99022,0
2010-05-26,D,Goenka Diamond And Jewels Ord Shs,8.61,9.1,8.61,8.82,903269.98654,0
2010-05-27,D,Goenka Diamond And Jewels Ord Shs,8.885,9.0,8.71,8.875,387499.994226,0
2010-05-28,D,Goenka Diamond And Jewels Ord Shs,8.945,9.46,8.945,9.195,895769.986652,0
2010-05-31,D,Goenka Diamond And Jewels Ord Shs,9.2,9.49,8.92,9.025,401089.994023,0
2010-06-01,D,Goenka Diamond And Jewels Ord Shs,8.9,9.23,8.9,9.035,433629.993538,0
2010-06-02,D,Goenka Diamond And Jewels Ord Shs,8.005,9.25,8.005,8.965,329569.995089,0
2010-06-03,D,Goenka Diamond And Jewels Ord Shs,9.3,10.095,8.76,8.905,7062759.894757,0
2010-06-04,D,Goenka Diamond And Jewels Ord Shs,8.905,8.99,8.7,8.765,504529.992482,0
2010-06-07,D,Goenka Diamond And Jewels Ord Shs,8.6,8.6,8.26,8.305,774969.988452,0
