Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2024-02-29,D,GPT Healthcare Ord Shs,215.0,219.9,196.1,200.7,20743557,0
2024-03-01,D,GPT Healthcare Ord Shs,193.7,196.3,185.0,191.7,3542775,0
2024-03-02,D,GPT Healthcare Ord Shs,191.65,195.95,188.7,191.8,381342,0
2024-03-04,D,GPT Healthcare Ord Shs,191.7,191.8,180.1,181.45,1564060,0
2024-03-05,D,GPT Healthcare Ord Shs,181.35,182.4,170.6,178.0,1802892,0
2024-03-06,D,GPT Healthcare Ord Shs,175.2,176.7,167.5,168.65,996188,0
2024-03-07,D,GPT Healthcare Ord Shs,168.6,177.75,168.0,171.8,907594,0
2024-03-11,D,GPT Healthcare Ord Shs,171.8,174.25,161.25,163.75,1385190,0
2024-03-12,D,GPT Healthcare Ord Shs,163.7,164.7,141.85,151.55,2660991,0
2024-03-13,D,GPT Healthcare Ord Shs,153.0,157.55,139.6,145.2,1787738,0
2024-03-14,D,GPT Healthcare Ord Shs,143.55,153.0,141.15,149.2,1085656,0
2024-03-15,D,GPT Healthcare Ord Shs,148.85,150.95,143.9,148.0,572486,0
2024-03-18,D,GPT Healthcare Ord Shs,146.05,171.3,145.6,167.5,3344302,0
2024-03-19,D,GPT Healthcare Ord Shs,167.0,169.7,160.95,167.7,1391542,0
2024-03-20,D,GPT Healthcare Ord Shs,167.55,184.3,165.15,175.25,3849745,0
2024-03-21,D,GPT Healthcare Ord Shs,169.0,175.2,167.1,173.0,954004,0
2024-03-22,D,GPT Healthcare Ord Shs,173.0,174.6,169.8,173.65,385994,0
2024-03-26,D,GPT Healthcare Ord Shs,170.2,173.65,169.0,172.3,357380,0
2024-03-27,D,GPT Healthcare Ord Shs,172.35,179.5,171.6,177.25,923931,0
2024-03-28,D,GPT Healthcare Ord Shs,178.35,179.5,170.8,176.3,642640,0
2024-04-01,D,GPT Healthcare Ord Shs,180.05,184.5,173.05,176.7,647901,0
2024-04-02,D,GPT Healthcare Ord Shs,175.75,184.45,173.05,182.9,416174,0
2024-04-03,D,GPT Healthcare Ord Shs,182.9,189.5,180.2,186.4,891567,0
2024-04-04,D,GPT Healthcare Ord Shs,187.45,189.5,181.5,182.9,406959,0
2024-04-05,D,GPT Healthcare Ord Shs,185.6,185.65,176.2,182.45,253290,0
2024-04-08,D,GPT Healthcare Ord Shs,184.55,184.85,177.0,177.55,213952,0
2024-04-09,D,GPT Healthcare Ord Shs,181.0,194.5,172.15,174.25,1485982,0
2024-04-10,D,GPT Healthcare Ord Shs,176.5,179.4,170.7,172.05,396833,0
2024-04-12,D,GPT Healthcare Ord Shs,172.0,177.5,171.45,174.75,399255,0
2024-04-15,D,GPT Healthcare Ord Shs,168.0,172.95,164.7,165.2,406864,0
2024-04-16,D,GPT Healthcare Ord Shs,167.35,169.75,164.1,168.55,299836,0
2024-04-18,D,GPT Healthcare Ord Shs,172.0,172.95,168.95,170.35,245656,0
2024-04-19,D,GPT Healthcare Ord Shs,167.1,171.4,166.2,169.95,167911,0
2024-04-22,D,GPT Healthcare Ord Shs,171.0,176.95,165.0,168.2,219175,0
2024-04-23,D,GPT Healthcare Ord Shs,169.5,170.8,167.7,169.0,153362,0
