Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-07-11,D,GPT Infraprojects Ord Shs,31.25,31.25,29.875,30.10625,33504,0
2016-07-12,D,GPT Infraprojects Ord Shs,30.25,30.66875,29.125,30.5875,108896,0
2016-07-13,D,GPT Infraprojects Ord Shs,30.625,31.24375,29.8125,30.375,121288,0
2016-07-14,D,GPT Infraprojects Ord Shs,30.5,31.24375,30.03125,30.24375,107736,0
2016-07-15,D,GPT Infraprojects Ord Shs,30.25,30.875,28.125,29.99375,106744,0
2016-07-18,D,GPT Infraprojects Ord Shs,30.0,31.0,29.9875,30.325,104584,0
2016-07-19,D,GPT Infraprojects Ord Shs,30.375,30.4875,29.5,30.36875,108240,0
2016-07-20,D,GPT Infraprojects Ord Shs,30.1875,30.475,28.2375,30.15,103120,0
2016-07-21,D,GPT Infraprojects Ord Shs,30.1875,30.20625,29.625,29.625,97472,0
2016-07-22,D,GPT Infraprojects Ord Shs,30.0,31.125,29.75,29.9,117552,0
2016-07-25,D,GPT Infraprojects Ord Shs,31.3,31.3,30.05,30.2,118232,0
2016-07-26,D,GPT Infraprojects Ord Shs,30.25,31.11875,29.75,29.75,98656,0
2016-07-27,D,GPT Infraprojects Ord Shs,30.0,31.125,28.875,29.56875,124336,0
2016-07-28,D,GPT Infraprojects Ord Shs,30.0,30.49375,29.025,29.375,126728,0
2016-07-29,D,GPT Infraprojects Ord Shs,29.5,30.25625,29.5,29.9375,101856,0
2016-08-01,D,GPT Infraprojects Ord Shs,30.0,30.75,25.1875,28.5375,134648,0
2016-08-02,D,GPT Infraprojects Ord Shs,30.0,30.74375,27.5,28.81875,211976,0
2016-08-03,D,GPT Infraprojects Ord Shs,29.125,29.7,28.625,29.59375,313792,0
2016-08-04,D,GPT Infraprojects Ord Shs,29.5,30.5,28.125,30.13125,296544,0
2016-08-05,D,GPT Infraprojects Ord Shs,30.25,31.125,29.375,29.6875,243672,0
2016-08-08,D,GPT Infraprojects Ord Shs,29.875,30.875,29.25,29.7875,161168,0
2016-08-09,D,GPT Infraprojects Ord Shs,30.0,30.5,29.3125,30.1,176872,0
