Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2010-11-16,D,Gravita India Ord Shs,40.220001,50.640001,40.220001,41.940001,197695282.054111,0
2010-11-18,D,Gravita India Ord Shs,42.400001,45.700001,41.700001,44.160001,50857194.242169,0
2010-11-19,D,Gravita India Ord Shs,44.780001,47.900001,42.860001,44.950001,38847869.421122,0
2010-11-22,D,Gravita India Ord Shs,45.600001,53.000001,45.210001,50.790001,50970244.240484,0
2010-11-23,D,Gravita India Ord Shs,51.400001,54.340001,49.800001,52.220001,50258184.251095,0
2010-11-24,D,Gravita India Ord Shs,52.500001,53.400001,51.410001,52.660001,17422679.740382,0
2010-11-25,D,Gravita India Ord Shs,53.200001,54.360001,50.600001,51.490001,9859124.853088,0
2010-11-26,D,Gravita India Ord Shs,52.000001,52.350001,45.620001,47.040001,8463689.873881,0
2010-11-29,D,Gravita India Ord Shs,46.800001,56.000001,45.000001,54.390001,14967489.776967,0
2010-11-30,D,Gravita India Ord Shs,55.000001,60.280001,52.220001,57.920001,37822239.436405,0
2010-12-01,D,Gravita India Ord Shs,58.000001,59.560001,53.660001,55.730001,22049884.671431,0
2010-12-02,D,Gravita India Ord Shs,55.600001,56.700001,53.200001,53.720001,9833739.853466,0
2010-12-03,D,Gravita India Ord Shs,53.400001,54.160001,51.000001,51.890001,7716794.885011,0
2010-12-06,D,Gravita India Ord Shs,50.020001,52.580001,49.650001,51.220001,8488474.873512,0
2010-12-07,D,Gravita India Ord Shs,51.600001,54.200001,49.270001,52.460001,10933144.837083,0
2010-12-08,D,Gravita India Ord Shs,52.000001,53.740001,51.020001,51.720001,7425439.889352,0
2010-12-09,D,Gravita India Ord Shs,51.600001,52.290001,41.380001,41.380001,7974869.881165,0
2010-12-10,D,Gravita India Ord Shs,33.11,41.780001,33.11,38.770001,15186189.773708,0
2010-12-13,D,Gravita India Ord Shs,39.000001,43.560001,39.000001,41.950001,13552039.798059,0
2010-12-14,D,Gravita India Ord Shs,42.120001,45.060001,40.320001,44.020001,10843654.838417,0
2010-12-15,D,Gravita India Ord Shs,43.880001,47.760001,41.640001,47.080001,14140379.789292,0
2010-12-16,D,Gravita India Ord Shs,48.800001,48.800001,45.710001,46.100001,5514069.917834,0
2010-12-20,D,Gravita India Ord Shs,45.800001,52.960001,45.070001,51.820001,16769159.75012,0
2010-12-21,D,Gravita India Ord Shs,52.180001,53.580001,47.110001,47.680001,19754514.705635,0
2010-12-22,D,Gravita India Ord Shs,47.600001,48.770001,45.780001,46.800001,6967154.896181,0
2010-12-23,D,Gravita India Ord Shs,47.200001,49.300001,46.000001,46.260001,6024414.910229,0
2010-12-24,D,Gravita India Ord Shs,46.770001,46.950001,44.860001,45.220001,3943864.941232,0
2010-12-27,D,Gravita India Ord Shs,44.020001,47.480001,43.990001,46.910001,4645864.930771,0
2010-12-28,D,Gravita India Ord Shs,47.260001,48.700001,47.000001,47.180001,3080764.954093,0
2010-12-29,D,Gravita India Ord Shs,47.560001,47.800001,46.480001,46.980001,1623419.975809,0
2010-12-30,D,Gravita India Ord Shs,47.020001,49.460001,47.000001,49.100001,3282409.951088,0
2010-12-31,D,Gravita India Ord Shs,49.480001,51.190001,48.810001,50.650001,2903999.956727,0
2011-01-03,D,Gravita India Ord Shs,51.160001,54.520001,51.020001,52.730001,7814734.883551,0
2011-01-04,D,Gravita India Ord Shs,53.080001,54.510001,52.620001,53.190001,4533734.932442,0
2011-01-05,D,Gravita India Ord Shs,53.250001,53.880001,52.220001,52.940001,2256064.966382,0
2011-01-06,D,Gravita India Ord Shs,53.200001,53.760001,51.000001,51.320001,2972094.955712,0
2011-01-07,D,Gravita India Ord Shs,51.640001,51.640001,47.600001,48.880001,3214574.952099,0
2011-01-10,D,Gravita India Ord Shs,48.200001,48.400001,45.230001,45.570001,2061839.969276,0
2011-01-11,D,Gravita India Ord Shs,45.960001,47.730001,43.620001,46.110001,2890674.956926,0
2011-01-12,D,Gravita India Ord Shs,46.420001,47.740001,45.130001,45.910001,1158804.982732,0
2011-01-13,D,Gravita India Ord Shs,46.070001,47.280001,44.220001,45.090001,1425824.978754,0
