Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-04-03,D,GTL Ord Shs,151.5,155.0,151.5,155.0,300,0
1995-04-04,D,GTL Ord Shs,150.0,150.0,147.75,150.0,500,1
1995-04-05,D,GTL Ord Shs,150.0,150.0,150.0,150.0,100,1
1995-04-06,D,GTL Ord Shs,147.5,150.0,147.5,150.0,400,0
1995-04-07,D,GTL Ord Shs,147.5,150.0,147.5,149.0,300,0
1995-04-10,D,GTL Ord Shs,143.0,150.0,143.0,145.0,600,0
1995-04-11,D,GTL Ord Shs,146.0,150.0,146.0,150.0,300,0
1995-04-12,D,GTL Ord Shs,148.5,151.0,148.0,151.0,800,0
1995-04-17,D,GTL Ord Shs,150.0,150.0,147.5,150.0,600,1
1995-04-21,D,GTL Ord Shs,145.0,145.0,145.0,145.0,100,1
1995-04-24,D,GTL Ord Shs,145.0,145.0,145.0,145.0,100,1
1995-04-25,D,GTL Ord Shs,140.0,142.5,140.0,141.25,700,0
1995-04-26,D,GTL Ord Shs,139.0,139.0,139.0,139.0,300,1
1995-04-27,D,GTL Ord Shs,134.0,134.0,133.0,133.0,200,0
1995-04-28,D,GTL Ord Shs,126.0,126.0,120.0,120.0,300,0
1995-05-02,D,GTL Ord Shs,114.0,114.75,114.0,114.75,200,0
1995-05-03,D,GTL Ord Shs,118.0,118.0,115.0,115.0,300,0
1995-05-04,D,GTL Ord Shs,115.0,118.0,115.0,118.0,600,0
1995-05-05,D,GTL Ord Shs,116.5,122.0,116.5,122.0,700,0
1995-05-08,D,GTL Ord Shs,122.0,128.0,122.0,128.0,600,0
1995-05-09,D,GTL Ord Shs,128.95,129.0,127.0,128.0,800,0
1995-05-10,D,GTL Ord Shs,125.0,125.0,124.0,124.0,600,0
1995-05-12,D,GTL Ord Shs,120.0,120.0,117.5,117.5,800,0
1995-05-15,D,GTL Ord Shs,116.0,116.0,110.0,110.0,900,0
1995-05-16,D,GTL Ord Shs,110.0,112.0,108.0,111.0,1100,0
1995-05-17,D,GTL Ord Shs,118.0,118.0,116.0,116.0,800,0
1995-05-18,D,GTL Ord Shs,121.0,122.0,120.0,120.95,500,0
1995-05-19,D,GTL Ord Shs,124.0,124.0,121.0,121.0,700,0
1995-05-22,D,GTL Ord Shs,120.0,124.0,116.0,116.0,1400,0
1995-05-23,D,GTL Ord Shs,115.0,120.0,114.0,120.0,1500,0
1995-05-24,D,GTL Ord Shs,118.0,118.0,118.0,118.0,300,1
1995-05-25,D,GTL Ord Shs,121.0,121.0,121.0,121.0,300,1
1995-05-26,D,GTL Ord Shs,121.0,122.0,120.0,120.0,400,0
1995-05-29,D,GTL Ord Shs,120.0,124.0,120.0,124.0,500,0
1995-05-30,D,GTL Ord Shs,119.25,121.0,119.0,119.0,2100,0
1995-05-31,D,GTL Ord Shs,122.95,123.0,122.95,122.95,500,1
1995-06-01,D,GTL Ord Shs,123.0,127.0,122.75,127.0,2100,0
1995-06-02,D,GTL Ord Shs,130.0,148.0,130.0,141.6,1400,0
1995-06-05,D,GTL Ord Shs,141.0,151.0,141.0,150.5,2000,0
1995-06-06,D,GTL Ord Shs,146.0,148.95,145.0,145.25,1400,0
1995-06-07,D,GTL Ord Shs,149.0,149.0,146.0,146.5,1800,0
1995-06-09,D,GTL Ord Shs,127.0,134.0,127.0,134.0,400,0
1995-06-12,D,GTL Ord Shs,135.0,135.0,128.25,128.25,300,0
1995-06-13,D,GTL Ord Shs,129.5,129.5,128.0,128.0,300,0
1995-06-15,D,GTL Ord Shs,129.0,130.05,128.0,128.0,1300,0
1995-06-16,D,GTL Ord Shs,127.5,130.0,127.5,129.0,1200,0
1995-06-19,D,GTL Ord Shs,131.0,135.0,130.0,133.0,1400,0
1995-06-20,D,GTL Ord Shs,133.9,140.0,133.9,135.25,1300,0
1995-06-21,D,GTL Ord Shs,138.0,140.0,138.0,139.5,1300,0
1995-06-22,D,GTL Ord Shs,141.0,141.0,138.0,138.0,700,0
1995-06-23,D,GTL Ord Shs,137.0,137.0,131.0,132.5,400,0
1995-06-26,D,GTL Ord Shs,130.0,130.0,122.0,123.0,900,0
1995-06-27,D,GTL Ord Shs,124.0,124.0,118.0,122.0,2700,0
1995-06-28,D,GTL Ord Shs,124.0,129.0,123.0,129.0,1500,0
1995-06-29,D,GTL Ord Shs,126.0,132.0,125.0,125.0,4700,0
1995-06-30,D,GTL Ord Shs,123.0,125.0,123.0,124.5,500,0
1995-07-03,D,GTL Ord Shs,119.0,121.0,117.0,119.95,2700,0
1995-07-04,D,GTL Ord Shs,117.0,121.0,115.0,116.75,3900,0
1995-07-05,D,GTL Ord Shs,120.25,122.0,120.25,121.0,700,0
1995-07-06,D,GTL Ord Shs,120.0,120.0,115.0,115.05,1800,0
1995-07-07,D,GTL Ord Shs,118.0,120.0,118.0,120.0,1600,0
1995-07-10,D,GTL Ord Shs,118.0,121.9,118.0,120.0,1000,0
1995-07-11,D,GTL Ord Shs,119.0,119.25,117.6,119.05,2000,0
1995-07-12,D,GTL Ord Shs,119.0,119.0,117.0,117.0,300,0
1995-07-13,D,GTL Ord Shs,117.0,119.0,117.0,119.0,1000,0
1995-07-14,D,GTL Ord Shs,119.0,124.5,119.0,123.9,500,0
1995-07-17,D,GTL Ord Shs,124.0,125.0,122.1,123.0,2100,0
1995-07-18,D,GTL Ord Shs,125.0,125.0,122.5,123.75,400,0
1995-07-19,D,GTL Ord Shs,123.0,132.0,123.0,126.75,3700,0
1995-07-20,D,GTL Ord Shs,130.0,132.95,128.0,132.5,1900,0
1995-07-21,D,GTL Ord Shs,130.0,130.0,129.5,130.0,800,1
1995-07-24,D,GTL Ord Shs,126.0,128.0,126.0,128.0,400,0
1995-07-25,D,GTL Ord Shs,130.0,130.5,127.0,130.5,2000,0
1995-07-26,D,GTL Ord Shs,128.0,129.0,127.0,127.0,600,0
1995-07-27,D,GTL Ord Shs,127.0,127.0,124.0,124.0,900,0
1995-07-28,D,GTL Ord Shs,123.5,123.75,123.5,123.5,900,1
1995-07-31,D,GTL Ord Shs,119.5,119.95,113.05,113.65,1400,0
1995-08-01,D,GTL Ord Shs,115.0,120.0,111.05,118.9,1200,0
1995-08-02,D,GTL Ord Shs,117.75,118.0,116.0,117.5,500,0
1995-08-03,D,GTL Ord Shs,118.0,118.0,117.0,117.0,300,0
1995-08-04,D,GTL Ord Shs,116.25,117.0,116.25,117.0,300,0
1995-08-07,D,GTL Ord Shs,116.0,117.0,116.0,116.0,500,1
1995-08-08,D,GTL Ord Shs,115.0,115.0,110.0,110.0,300,0
