Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-12-27,D,Happy Forgings Ord Shs,1000.0,1087.4,961.25,1030.8,14161658,0
2023-12-28,D,Happy Forgings Ord Shs,1016.0,1057.55,1004.0,1019.1,1884637,0
2023-12-29,D,Happy Forgings Ord Shs,1024.95,1041.3,976.75,1029.25,845242,0
2024-01-01,D,Happy Forgings Ord Shs,1029.25,1039.7,1006.95,1029.7,421088,0
2024-01-02,D,Happy Forgings Ord Shs,1028.0,1032.35,1002.95,1007.05,234307,0
2024-01-03,D,Happy Forgings Ord Shs,1006.0,1024.3,997.55,1015.85,251757,0
2024-01-04,D,Happy Forgings Ord Shs,1021.0,1030.0,1008.0,1015.85,247094,0
2024-01-05,D,Happy Forgings Ord Shs,1020.0,1029.75,997.1,1000.5,432820,0
2024-01-08,D,Happy Forgings Ord Shs,1000.45,1005.0,976.4,1000.15,353820,0
2024-01-09,D,Happy Forgings Ord Shs,1002.15,1008.0,975.0,977.45,141132,0
2024-01-10,D,Happy Forgings Ord Shs,974.7,979.0,956.25,966.85,184253,0
2024-01-11,D,Happy Forgings Ord Shs,967.75,987.0,953.0,956.6,136483,0
2024-01-12,D,Happy Forgings Ord Shs,960.2,974.2,952.0,954.75,100166,0
2024-01-15,D,Happy Forgings Ord Shs,957.05,964.4,945.2,950.9,215059,0
2024-01-16,D,Happy Forgings Ord Shs,951.0,957.0,934.5,946.6,110776,0
2024-01-17,D,Happy Forgings Ord Shs,936.95,990.0,934.5,963.85,283378,0
2024-01-18,D,Happy Forgings Ord Shs,964.0,969.0,936.3,959.95,91091,0
2024-01-19,D,Happy Forgings Ord Shs,969.95,970.9,947.7,951.3,114917,0
2024-01-20,D,Happy Forgings Ord Shs,955.95,957.95,940.2,941.1,45350,0
2024-01-23,D,Happy Forgings Ord Shs,945.05,953.65,928.4,934.55,173390,0
2024-01-24,D,Happy Forgings Ord Shs,932.8,953.45,917.75,945.95,279815,0
2024-01-25,D,Happy Forgings Ord Shs,946.0,973.95,941.75,969.5,130720,0
2024-01-29,D,Happy Forgings Ord Shs,972.0,977.8,950.25,959.85,126414,0
2024-01-30,D,Happy Forgings Ord Shs,959.9,983.0,948.0,979.15,131408,0
2024-01-31,D,Happy Forgings Ord Shs,979.0,1018.0,973.85,989.75,184423,0
2024-02-01,D,Happy Forgings Ord Shs,1000.0,1003.95,973.1,980.15,80153,0
2024-02-02,D,Happy Forgings Ord Shs,985.05,1002.0,975.1,981.05,298850,0
2024-02-05,D,Happy Forgings Ord Shs,984.0,992.45,950.0,958.85,136964,0
2024-02-06,D,Happy Forgings Ord Shs,960.0,972.0,930.0,963.9,140753,0
2024-02-07,D,Happy Forgings Ord Shs,970.0,1019.0,970.0,1005.1,199913,0
2024-02-08,D,Happy Forgings Ord Shs,1022.0,1035.0,984.1,1023.15,235053,0
2024-02-09,D,Happy Forgings Ord Shs,1025.0,1025.0,990.15,1006.5,156007,0
2024-02-12,D,Happy Forgings Ord Shs,1019.0,1052.95,974.65,993.5,310644,0
2024-02-13,D,Happy Forgings Ord Shs,985.0,994.45,942.7,962.85,124485,0
2024-02-14,D,Happy Forgings Ord Shs,940.05,987.95,940.0,983.0,56023,0
2024-02-15,D,Happy Forgings Ord Shs,990.65,998.6,950.0,965.0,70425,0
2024-02-16,D,Happy Forgings Ord Shs,980.0,992.9,958.15,970.9,323228,0
2024-02-19,D,Happy Forgings Ord Shs,982.0,983.7,961.45,968.25,69167,0
2024-02-20,D,Happy Forgings Ord Shs,968.5,974.45,960.05,962.85,61902,0
2024-02-21,D,Happy Forgings Ord Shs,969.0,971.0,940.4,942.25,81939,0
2024-02-22,D,Happy Forgings Ord Shs,950.0,964.8,935.0,960.95,68091,0
2024-02-23,D,Happy Forgings Ord Shs,964.0,969.95,952.0,957.6,35824,0
2024-02-26,D,Happy Forgings Ord Shs,962.0,970.35,950.0,952.7,52270,0
2024-02-27,D,Happy Forgings Ord Shs,954.8,956.0,935.45,937.95,42417,0
2024-02-28,D,Happy Forgings Ord Shs,940.0,945.95,904.25,923.3,119125,0
2024-02-29,D,Happy Forgings Ord Shs,921.25,937.0,914.0,928.2,66082,0
2024-03-01,D,Happy Forgings Ord Shs,953.0,992.0,943.1,975.85,232319,0
2024-03-02,D,Happy Forgings Ord Shs,990.0,990.0,980.05,985.5,13971,0
2024-03-04,D,Happy Forgings Ord Shs,985.5,992.0,960.6,963.35,57228,0
2024-03-05,D,Happy Forgings Ord Shs,969.0,969.0,933.8,936.2,47538,0
2024-03-06,D,Happy Forgings Ord Shs,943.9,943.9,898.95,926.95,111824,0
2024-03-07,D,Happy Forgings Ord Shs,944.65,944.7,920.05,928.0,77529,0
2024-03-11,D,Happy Forgings Ord Shs,927.95,930.0,888.0,890.3,109467,0
2024-03-12,D,Happy Forgings Ord Shs,894.9,899.9,855.0,879.8,135759,0
2024-03-13,D,Happy Forgings Ord Shs,880.0,894.2,824.0,835.65,297265,0
2024-03-14,D,Happy Forgings Ord Shs,835.65,853.6,815.0,826.45,231672,0
2024-03-15,D,Happy Forgings Ord Shs,826.45,840.0,822.75,832.0,71487,0
2024-03-18,D,Happy Forgings Ord Shs,838.9,838.9,813.2,815.25,65976,0
