Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-12-22,D,HeidelbergCement India Ord Shs,61.5,61.5,61.5,61.5,200,1
1995-01-23,D,HeidelbergCement India Ord Shs,55.05,55.05,55.0,55.0,600,0
1995-01-30,D,HeidelbergCement India Ord Shs,55.5,56.0,55.5,56.0,300,0
1995-02-03,D,HeidelbergCement India Ord Shs,59.0,59.0,59.0,59.0,200,1
1995-02-06,D,HeidelbergCement India Ord Shs,56.05,57.5,56.05,56.7,300,0
1995-02-07,D,HeidelbergCement India Ord Shs,56.0,58.5,56.0,58.25,600,0
1995-02-08,D,HeidelbergCement India Ord Shs,56.5,58.0,56.5,58.0,1100,0
1995-02-09,D,HeidelbergCement India Ord Shs,57.0,57.0,56.0,56.0,600,0
1995-02-10,D,HeidelbergCement India Ord Shs,58.25,58.25,58.0,58.15,300,0
1995-02-13,D,HeidelbergCement India Ord Shs,57.0,57.0,57.0,57.0,100,1
1995-02-14,D,HeidelbergCement India Ord Shs,54.0,54.25,54.0,54.25,200,0
1995-02-15,D,HeidelbergCement India Ord Shs,57.0,57.0,55.0,55.0,2400,0
1995-02-16,D,HeidelbergCement India Ord Shs,54.0,56.0,54.0,55.0,1300,0
1995-02-17,D,HeidelbergCement India Ord Shs,52.5,55.0,52.5,55.0,800,0
1995-02-20,D,HeidelbergCement India Ord Shs,53.0,55.0,53.0,55.0,700,0
1995-02-28,D,HeidelbergCement India Ord Shs,54.0,54.0,54.0,54.0,100,1
1995-03-01,D,HeidelbergCement India Ord Shs,57.5,58.5,57.5,58.5,700,0
1995-03-02,D,HeidelbergCement India Ord Shs,57.0,59.0,55.25,59.0,1300,0
1995-03-03,D,HeidelbergCement India Ord Shs,59.0,61.0,59.0,60.0,2300,0
1995-03-06,D,HeidelbergCement India Ord Shs,59.0,61.0,59.0,60.0,800,0
1995-03-07,D,HeidelbergCement India Ord Shs,62.0,62.0,61.0,61.0,800,0
1995-03-08,D,HeidelbergCement India Ord Shs,60.0,62.0,60.0,62.0,200,0
1995-03-09,D,HeidelbergCement India Ord Shs,61.0,62.0,61.0,62.0,300,0
1995-03-10,D,HeidelbergCement India Ord Shs,64.0,65.0,64.0,64.5,300,0
1995-03-13,D,HeidelbergCement India Ord Shs,61.0,61.0,60.0,60.0,200,0
1995-03-14,D,HeidelbergCement India Ord Shs,60.0,60.0,60.0,60.0,800,1
1995-03-15,D,HeidelbergCement India Ord Shs,62.0,62.0,55.0,59.5,13100,0
1995-03-16,D,HeidelbergCement India Ord Shs,62.75,62.75,55.0,55.0,600,0
1995-03-20,D,HeidelbergCement India Ord Shs,56.0,57.0,55.1,56.9,1300,0
1995-03-21,D,HeidelbergCement India Ord Shs,55.05,57.0,54.0,54.25,2200,0
1995-03-22,D,HeidelbergCement India Ord Shs,59.45,59.5,59.45,59.5,300,0
1995-03-23,D,HeidelbergCement India Ord Shs,56.0,56.4,56.0,56.4,200,0
1995-03-24,D,HeidelbergCement India Ord Shs,59.0,59.0,56.5,57.0,1200,0
1995-03-27,D,HeidelbergCement India Ord Shs,56.0,57.0,56.0,57.0,1000,0
1995-03-28,D,HeidelbergCement India Ord Shs,58.0,58.0,56.05,56.05,300,0
1995-03-29,D,HeidelbergCement India Ord Shs,58.5,58.6,58.5,58.6,300,0
1995-03-30,D,HeidelbergCement India Ord Shs,58.0,58.0,58.0,58.0,300,1
1995-04-03,D,HeidelbergCement India Ord Shs,57.0,57.0,57.0,57.0,200,1
1995-04-04,D,HeidelbergCement India Ord Shs,56.0,57.4,56.0,57.15,1800,0
1995-04-05,D,HeidelbergCement India Ord Shs,59.0,59.0,59.0,59.0,100,1
1995-04-06,D,HeidelbergCement India Ord Shs,55.5,61.0,55.5,61.0,1300,0
1995-04-07,D,HeidelbergCement India Ord Shs,60.0,60.5,59.75,60.5,500,0
1995-04-10,D,HeidelbergCement India Ord Shs,60.0,61.0,58.0,60.0,1500,1
1995-04-11,D,HeidelbergCement India Ord Shs,61.0,61.0,60.0,60.5,700,0
1995-04-12,D,HeidelbergCement India Ord Shs,61.0,61.0,61.0,61.0,200,1
1995-04-17,D,HeidelbergCement India Ord Shs,61.0,61.0,60.75,61.0,1000,1
