Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2018-03-09,D,HG Infra Engineering Ord Shs,270.0,276.0,252.1,267.75,15776490,0
2018-03-12,D,HG Infra Engineering Ord Shs,267.9,271.0,261.7,268.2,1278682,0
2018-03-13,D,HG Infra Engineering Ord Shs,267.1,277.2,264.0,272.0,1262968,0
2018-03-14,D,HG Infra Engineering Ord Shs,271.5,277.1,270.5,272.1,477332,0
2018-03-15,D,HG Infra Engineering Ord Shs,274.95,293.7,272.15,288.25,2210265,0
2018-03-16,D,HG Infra Engineering Ord Shs,292.1,304.0,291.0,296.35,1339569,0
2018-03-19,D,HG Infra Engineering Ord Shs,302.0,311.0,298.15,300.75,565161,0
2018-03-20,D,HG Infra Engineering Ord Shs,300.9,305.0,296.95,297.05,247595,0
2018-03-21,D,HG Infra Engineering Ord Shs,300.8,304.0,297.0,297.35,282172,0
2018-03-22,D,HG Infra Engineering Ord Shs,301.9,301.9,291.1,295.4,234442,0
2018-03-23,D,HG Infra Engineering Ord Shs,291.65,294.8,276.65,292.2,195670,0
2018-03-26,D,HG Infra Engineering Ord Shs,293.25,299.65,292.55,296.5,136812,0
2018-03-27,D,HG Infra Engineering Ord Shs,298.75,301.0,296.0,296.65,84581,0
2018-03-28,D,HG Infra Engineering Ord Shs,296.45,303.0,295.0,300.5,283595,0
2018-04-02,D,HG Infra Engineering Ord Shs,304.35,307.05,301.5,303.6,78989,0
2018-04-03,D,HG Infra Engineering Ord Shs,304.0,304.6,300.6,301.95,59151,0
2018-04-04,D,HG Infra Engineering Ord Shs,302.75,304.0,300.0,300.15,122914,0
2018-04-05,D,HG Infra Engineering Ord Shs,301.0,332.0,298.0,320.45,622573,0
2018-04-06,D,HG Infra Engineering Ord Shs,320.0,334.0,316.65,321.8,202562,0
2018-04-09,D,HG Infra Engineering Ord Shs,323.0,346.45,323.0,332.0,330216,0
2018-04-10,D,HG Infra Engineering Ord Shs,333.0,346.9,333.0,341.6,322857,0
2018-04-11,D,HG Infra Engineering Ord Shs,350.0,350.0,339.55,341.3,151072,0
2018-04-12,D,HG Infra Engineering Ord Shs,342.6,346.25,337.5,338.2,130852,0
2018-04-13,D,HG Infra Engineering Ord Shs,339.9,344.65,337.0,339.2,189580,0
2018-04-16,D,HG Infra Engineering Ord Shs,335.2,340.0,333.15,335.0,52196,0
2018-04-17,D,HG Infra Engineering Ord Shs,336.3,338.45,333.95,335.8,37755,0
2018-04-18,D,HG Infra Engineering Ord Shs,339.5,339.5,333.9,335.15,52240,0
2018-04-19,D,HG Infra Engineering Ord Shs,336.05,337.05,333.1,335.2,36502,0
2018-04-20,D,HG Infra Engineering Ord Shs,335.2,337.05,330.45,333.2,38673,0
2018-04-23,D,HG Infra Engineering Ord Shs,334.0,355.0,334.0,341.95,100266,0
2018-04-24,D,HG Infra Engineering Ord Shs,342.45,348.1,341.0,342.05,194951,0
2018-04-25,D,HG Infra Engineering Ord Shs,343.0,344.55,335.1,336.95,62927,0
2018-04-26,D,HG Infra Engineering Ord Shs,336.0,339.0,335.0,335.6,37971,0
2018-04-27,D,HG Infra Engineering Ord Shs,335.8,338.05,333.65,336.35,35138,0
2018-04-30,D,HG Infra Engineering Ord Shs,337.95,338.05,330.5,335.95,45076,0
2018-05-02,D,HG Infra Engineering Ord Shs,336.8,338.85,333.35,334.55,23703,0
2018-05-03,D,HG Infra Engineering Ord Shs,333.45,350.0,333.45,334.65,18365,0
2018-05-04,D,HG Infra Engineering Ord Shs,334.75,336.65,334.15,334.7,10790,0
