Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2018-03-09,D,Hindcon Chemicals Ord Shs,6.72,6.72,5.8,5.86,10139999.848902,0
2018-03-12,D,Hindcon Chemicals Ord Shs,5.72,5.91,5.06,5.61,2899999.956787,0
2018-03-13,D,Hindcon Chemicals Ord Shs,5.7,5.73,5.6,5.62,939999.985993,0
2018-03-14,D,Hindcon Chemicals Ord Shs,5.63,5.65,5.6,5.61,459999.993145,0
2018-03-15,D,Hindcon Chemicals Ord Shs,5.61,5.62,5.61,5.61,539999.991953,1
2018-03-16,D,Hindcon Chemicals Ord Shs,5.63,5.66,5.61,5.61,319999.995232,0
2018-03-19,D,Hindcon Chemicals Ord Shs,5.61,5.64,5.6,5.61,579999.991357,1
2018-03-20,D,Hindcon Chemicals Ord Shs,5.6,5.62,5.6,5.6,299999.99553,1
2018-03-21,D,Hindcon Chemicals Ord Shs,5.6,5.64,5.6,5.6,179999.997318,1
2018-03-22,D,Hindcon Chemicals Ord Shs,5.6,5.6,5.45,5.56,179999.997318,0
2018-03-23,D,Hindcon Chemicals Ord Shs,5.69,5.69,5.41,5.53,119999.998212,0
2018-03-26,D,Hindcon Chemicals Ord Shs,5.32,5.53,4.85,5.45,539999.991953,0
2018-03-27,D,Hindcon Chemicals Ord Shs,5.34,5.34,5.13,5.23,139999.997914,0
2018-03-28,D,Hindcon Chemicals Ord Shs,5.03,5.6,4.95,5.38,379999.994338,0
2018-04-02,D,Hindcon Chemicals Ord Shs,5.53,5.54,5.4,5.4,119999.998212,0
2018-04-03,D,Hindcon Chemicals Ord Shs,5.28,5.44,5.2,5.44,239999.996424,0
2018-04-04,D,Hindcon Chemicals Ord Shs,5.28,5.28,5.28,5.28,39999.999404,1
2018-04-06,D,Hindcon Chemicals Ord Shs,5.4,5.46,5.4,5.4,119999.998212,1
2018-04-09,D,Hindcon Chemicals Ord Shs,5.23,5.23,5.23,5.23,19999.999702,1
2018-04-11,D,Hindcon Chemicals Ord Shs,5.2,5.2,5.2,5.2,19999.999702,1
2018-04-12,D,Hindcon Chemicals Ord Shs,5.25,5.25,5.24,5.24,39999.999404,0
2018-04-13,D,Hindcon Chemicals Ord Shs,5.3,5.3,5.3,5.3,19999.999702,1
2018-04-16,D,Hindcon Chemicals Ord Shs,5.3,5.3,5.3,5.3,39999.999404,1
2018-04-18,D,Hindcon Chemicals Ord Shs,5.4,5.5,5.4,5.5,59999.999106,0
2018-04-19,D,Hindcon Chemicals Ord Shs,5.22,5.22,5.22,5.22,19999.999702,1
2018-04-23,D,Hindcon Chemicals Ord Shs,5.48,5.48,5.47,5.48,119999.998212,1
2018-04-25,D,Hindcon Chemicals Ord Shs,5.6,5.6,5.4,5.5,59999.999106,0
2018-04-26,D,Hindcon Chemicals Ord Shs,5.59,5.59,5.59,5.59,19999.999702,1
2018-05-02,D,Hindcon Chemicals Ord Shs,5.28,5.28,5.28,5.28,39999.999404,1
