Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-11-03,D,Hlv Ord Shs,36.000001,36.000001,35.000001,35.000001,1499.999978,0
1994-11-07,D,Hlv Ord Shs,36.000001,36.000001,36.000001,36.000001,999.999985,1
1994-11-08,D,Hlv Ord Shs,35.500001,35.500001,34.000001,34.000001,1249.999981,0
1994-11-11,D,Hlv Ord Shs,31.0,31.0,31.0,31.0,2499.999963,1
1994-11-29,D,Hlv Ord Shs,32.0,32.0,32.0,32.0,2499.999963,1
1994-12-01,D,Hlv Ord Shs,31.0,31.0,31.0,31.0,2499.999963,1
1994-12-05,D,Hlv Ord Shs,30.8,31.6,30.8,31.6,2999.999955,0
1994-12-06,D,Hlv Ord Shs,30.45,30.45,30.2,30.4,8249.999877,0
1994-12-07,D,Hlv Ord Shs,30.4,30.4,30.1,30.1,2999.999955,0
1994-12-08,D,Hlv Ord Shs,29.0,29.0,29.0,29.0,499.999993,1
1994-12-09,D,Hlv Ord Shs,28.2,28.2,28.2,28.2,499.999993,1
1994-12-13,D,Hlv Ord Shs,28.0,28.0,28.0,28.0,3499.999948,1
1994-12-14,D,Hlv Ord Shs,27.0,28.0,27.0,28.0,999.999985,0
1994-12-15,D,Hlv Ord Shs,28.5,29.0,28.5,28.95,1499.999978,0
1994-12-16,D,Hlv Ord Shs,30.0,31.0,30.0,30.4,3499.999948,0
1994-12-19,D,Hlv Ord Shs,30.0,30.6,30.0,30.3,1999.99997,0
1994-12-20,D,Hlv Ord Shs,30.0,30.6,30.0,30.6,2999.999955,0
1994-12-21,D,Hlv Ord Shs,30.8,30.8,30.8,30.8,499.999993,1
1994-12-22,D,Hlv Ord Shs,30.8,31.1,30.8,31.0,14999.999776,0
1994-12-23,D,Hlv Ord Shs,31.2,31.6,31.1,31.6,3999.99994,0
1994-12-26,D,Hlv Ord Shs,30.82,30.82,30.82,30.82,4999.999925,1
1995-01-02,D,Hlv Ord Shs,31.45,31.6,31.45,31.45,1999.99997,1
1995-01-03,D,Hlv Ord Shs,31.5,31.8,31.45,31.64,10749.99984,0
1995-01-06,D,Hlv Ord Shs,31.65,32.0,31.6,31.9,3999.99994,0
1995-01-09,D,Hlv Ord Shs,31.4,31.9,31.4,31.5,40499.999397,0
1995-01-11,D,Hlv Ord Shs,31.0,31.2,30.92,31.0,25499.99962,1
1995-01-12,D,Hlv Ord Shs,31.2,31.4,30.5,31.4,18999.999717,0
1995-01-17,D,Hlv Ord Shs,31.4,31.8,31.4,31.8,11749.999825,0
1995-01-18,D,Hlv Ord Shs,31.5,32.2,31.5,32.2,12499.999814,0
1995-01-19,D,Hlv Ord Shs,31.7,32.0,31.7,32.0,24499.999635,0
1995-01-23,D,Hlv Ord Shs,31.8,31.8,30.8,30.8,6249.999907,0
1995-01-24,D,Hlv Ord Shs,31.0,31.4,31.0,31.4,13999.999791,0
1995-01-25,D,Hlv Ord Shs,31.0,31.0,30.6,31.0,20999.999687,1
1995-01-27,D,Hlv Ord Shs,30.43,31.2,30.42,31.2,5999.999911,0
1995-01-30,D,Hlv Ord Shs,30.8,31.38,30.8,30.9,1999.99997,0
1995-01-31,D,Hlv Ord Shs,30.78,31.0,30.6,30.73,10499.999844,0
1995-02-02,D,Hlv Ord Shs,30.88,31.0,30.6,30.6,1499.999978,0
1995-02-03,D,Hlv Ord Shs,30.4,30.8,30.4,30.8,15499.999769,0
1995-02-06,D,Hlv Ord Shs,30.4,30.5,29.4,29.4,3749.999944,0
1995-02-07,D,Hlv Ord Shs,29.0,29.2,28.5,28.5,4999.999925,0
1995-02-08,D,Hlv Ord Shs,28.0,29.2,28.0,29.2,5499.999918,0
1995-02-09,D,Hlv Ord Shs,27.6,28.6,27.6,28.6,7999.999881,0
1995-02-10,D,Hlv Ord Shs,28.6,28.6,28.48,28.48,2999.999955,0
1995-02-13,D,Hlv Ord Shs,27.6,27.7,27.6,27.7,4999.999925,0
1995-02-14,D,Hlv Ord Shs,26.0,26.0,26.0,26.0,499.999993,1
1995-02-15,D,Hlv Ord Shs,27.05,27.05,25.0,25.2,60749.999095,0
1995-02-16,D,Hlv Ord Shs,25.0,25.45,25.0,25.2,15499.999769,0
1995-02-17,D,Hlv Ord Shs,24.2,24.8,24.2,24.8,9749.999855,0
1995-02-20,D,Hlv Ord Shs,24.1,24.15,24.0,24.15,2499.999963,0
1995-02-21,D,Hlv Ord Shs,24.4,24.4,23.4,23.7,9499.999858,0
1995-02-22,D,Hlv Ord Shs,23.5,23.6,23.5,23.6,999.999985,0
1995-02-23,D,Hlv Ord Shs,24.5,25.6,24.5,25.6,4999.999925,0
1995-02-24,D,Hlv Ord Shs,23.6,26.0,23.6,25.98,3999.99994,0
1995-02-28,D,Hlv Ord Shs,24.0,24.68,24.0,24.6,1749.999974,0
1995-03-01,D,Hlv Ord Shs,26.8,26.8,25.2,25.2,8999.999866,0
1995-03-02,D,Hlv Ord Shs,26.0,27.0,26.0,27.0,10999.999836,0
1995-03-03,D,Hlv Ord Shs,26.2,26.8,26.2,26.4,5999.999911,0
1995-03-06,D,Hlv Ord Shs,27.7,27.7,26.4,26.44,61499.999084,0
