Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-09-01,D,HT Media Ord Shs,125.395203,134.352004,96.957363,99.742927,72278513.922966,0
2005-09-02,D,HT Media Ord Shs,96.733443,99.778755,95.479491,96.160207,21464114.68016,0
2005-09-05,D,HT Media Ord Shs,97.449987,97.629123,88.851458,90.27559,12781924.809534,0
2005-09-06,D,HT Media Ord Shs,91.00109,93.813526,90.463682,91.251881,12794609.809345,0
2005-09-08,D,HT Media Ord Shs,91.89677,92.559574,89.791922,90.159151,3575584.94672,0
2005-09-09,D,HT Media Ord Shs,90.642818,91.180226,86.880962,87.481068,3671164.945295,0
2005-09-12,D,HT Media Ord Shs,87.41837,88.654409,85.62701,86.388338,2426009.96385,0
2005-09-13,D,HT Media Ord Shs,86.701826,88.976854,85.089602,86.773481,5024229.925133,0
2005-09-14,D,HT Media Ord Shs,86.880962,87.060098,84.211836,84.749244,2156704.967863,0
2005-09-15,D,HT Media Ord Shs,84.73133,86.361468,84.435756,85.053775,1650694.975403,0
2005-09-16,D,HT Media Ord Shs,84.910466,85.447874,84.247663,84.811941,974859.985473,0
2005-09-19,D,HT Media Ord Shs,85.000034,85.931541,82.814575,83.36094,762709.988635,0
2005-09-20,D,HT Media Ord Shs,83.38781,83.38781,80.978431,81.318789,1229039.981686,0
2005-09-21,D,HT Media Ord Shs,81.686018,81.686018,76.67021,79.10646,1498174.977675,0
2005-09-22,D,HT Media Ord Shs,78.819842,78.819842,72.19181,74.422053,1201729.982093,0
2005-09-23,D,HT Media Ord Shs,73.445762,75.210252,71.125951,73.275583,2104514.96864,0
2005-09-26,D,HT Media Ord Shs,74.036911,75.676005,73.804034,74.708671,961534.985672,0
2005-09-27,D,HT Media Ord Shs,75.066943,76.114888,74.341442,74.6818,716934.989317,0
2005-09-28,D,HT Media Ord Shs,75.057986,75.416258,74.359356,74.959461,443309.993394,0
2005-09-29,D,HT Media Ord Shs,76.132802,85.268738,74.699714,76.132802,1624129.975799,1
2005-09-30,D,HT Media Ord Shs,76.311938,77.386754,74.87885,76.213413,858074.987214,0
2005-10-03,D,HT Media Ord Shs,76.320895,76.849346,75.416258,75.926796,268249.996003,0
2005-10-04,D,HT Media Ord Shs,75.953666,80.432066,75.756616,79.939442,1886884.971883,0
2005-10-05,D,HT Media Ord Shs,80.969474,80.969474,78.90941,79.088546,747554.988861,0
2005-10-06,D,HT Media Ord Shs,79.428904,79.428904,77.207618,78.112255,323119.995185,0
2005-10-07,D,HT Media Ord Shs,79.178114,83.119106,78.103298,82.536914,2197424.967256,0
2005-10-10,D,HT Media Ord Shs,82.769791,84.014786,82.106988,82.671266,922144.986259,0
2005-10-11,D,HT Media Ord Shs,83.101193,85.268738,82.223426,84.498453,1233899.981613,0
2005-10-13,D,HT Media Ord Shs,84.373058,86.343554,82.760834,85.304565,2111459.968537,0
2005-10-14,D,HT Media Ord Shs,85.089602,86.52269,82.787705,83.468421,743264.988924,0
2005-10-17,D,HT Media Ord Shs,83.647557,84.193922,82.402562,82.563785,455159.993218,0
2005-10-18,D,HT Media Ord Shs,82.402562,83.477378,81.900981,82.250297,496854.992596,0
2005-10-19,D,HT Media Ord Shs,82.402562,82.402562,78.998978,79.885701,315149.995304,0
2005-10-20,D,HT Media Ord Shs,79.885701,82.402562,77.745026,78.569052,382199.994305,0
2005-10-21,D,HT Media Ord Shs,77.59276,79.178114,77.59276,78.560095,216944.996767,0
2005-10-24,D,HT Media Ord Shs,79.178114,79.536386,78.121212,78.810885,180134.997316,0
2005-10-25,D,HT Media Ord Shs,79.437861,79.437861,78.112255,78.407829,122429.998176,0
2005-10-26,D,HT Media Ord Shs,78.640706,79.249768,78.46157,78.578008,126394.998117,0
2005-10-27,D,HT Media Ord Shs,78.640706,78.730274,75.443128,76.553772,79804.998811,0
2005-10-28,D,HT Media Ord Shs,76.491074,78.730274,75.246079,77.055352,462974.993101,0
2005-10-31,D,HT Media Ord Shs,77.225532,78.819842,77.216575,78.452613,867499.987073,0
2005-11-01,D,HT Media Ord Shs,78.828799,78.828799,77.56589,77.727112,33614.999499,0
2005-11-02,D,HT Media Ord Shs,77.583804,78.46157,77.234488,78.327218,78079.998837,0
2005-11-07,D,HT Media Ord Shs,78.819842,80.611202,78.46157,80.369369,169099.99748,0
2005-11-08,D,HT Media Ord Shs,80.073794,82.223426,80.073794,81.739759,158279.997641,0
2005-11-09,D,HT Media Ord Shs,82.348821,82.348821,80.611202,80.870949,161099.997599,0
2005-11-10,D,HT Media Ord Shs,81.865154,82.393605,80.790338,82.089074,114934.998287,0
2005-11-11,D,HT Media Ord Shs,80.969474,83.289285,80.969474,82.295081,256739.996174,0
2005-11-14,D,HT Media Ord Shs,80.790338,82.93997,80.790338,82.71605,413274.993842,0
