Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-02-07,D,Hubtown Ord Shs,724.45,730.0,551.25,563.45,8573402,0
2007-02-08,D,Hubtown Ord Shs,575.0,596.8,546.2,561.75,3393584,0
2007-02-09,D,Hubtown Ord Shs,565.0,581.5,548.6,555.85,1857832,0
2007-02-12,D,Hubtown Ord Shs,547.0,547.0,445.7,455.3,2259806,0
2007-02-13,D,Hubtown Ord Shs,454.7,496.85,430.0,447.75,4686874,0
2007-02-14,D,Hubtown Ord Shs,450.0,450.0,414.0,420.4,1810501,0
2007-02-15,D,Hubtown Ord Shs,429.0,465.85,427.0,452.95,1950799,0
2007-02-19,D,Hubtown Ord Shs,455.0,466.65,445.0,449.2,944510,0
2007-02-20,D,Hubtown Ord Shs,450.0,451.9,422.05,424.7,485643,0
2007-02-21,D,Hubtown Ord Shs,426.2,428.5,408.5,411.0,519161,0
2007-02-22,D,Hubtown Ord Shs,410.0,441.9,406.75,423.1,1195621,0
2007-02-23,D,Hubtown Ord Shs,426.95,438.0,401.25,431.6,1299632,0
2007-02-26,D,Hubtown Ord Shs,436.7,456.0,431.0,446.55,780334,0
2007-02-27,D,Hubtown Ord Shs,451.8,474.0,436.1,458.75,1271813,0
2007-02-28,D,Hubtown Ord Shs,418.0,451.95,416.05,422.35,502803,0
2007-03-01,D,Hubtown Ord Shs,424.7,432.0,408.6,415.9,291261,0
2007-03-02,D,Hubtown Ord Shs,415.9,417.75,374.0,383.45,358029,0
2007-03-05,D,Hubtown Ord Shs,366.6,370.8,341.25,345.0,266667,0
2007-03-06,D,Hubtown Ord Shs,344.0,366.05,330.1,344.9,367517,0
2007-03-07,D,Hubtown Ord Shs,355.0,380.0,350.0,372.05,991896,0
2007-03-08,D,Hubtown Ord Shs,379.0,428.4,361.05,413.5,977773,0
2007-03-09,D,Hubtown Ord Shs,417.0,426.0,393.3,403.5,718669,0
2007-03-12,D,Hubtown Ord Shs,402.0,414.6,397.0,408.4,376441,0
2007-03-13,D,Hubtown Ord Shs,405.0,467.45,405.0,453.75,1765158,0
2007-03-14,D,Hubtown Ord Shs,422.0,442.0,410.0,416.1,1461863,0
2007-03-15,D,Hubtown Ord Shs,423.0,437.0,412.55,415.75,546993,0
2007-03-16,D,Hubtown Ord Shs,419.0,424.0,391.15,398.25,482507,0
2007-03-19,D,Hubtown Ord Shs,400.1,416.0,398.0,406.9,335944,0
2007-03-20,D,Hubtown Ord Shs,411.0,431.7,409.0,421.35,500974,0
2007-03-21,D,Hubtown Ord Shs,423.25,427.95,417.05,420.9,207801,0
2007-03-22,D,Hubtown Ord Shs,423.1,432.0,423.1,427.25,227780,0
2007-03-23,D,Hubtown Ord Shs,428.0,428.7,415.0,417.2,174270,0
2007-03-26,D,Hubtown Ord Shs,420.0,422.1,400.1,401.5,131269,0
2007-03-28,D,Hubtown Ord Shs,399.9,399.9,385.15,388.95,102289,0
2007-03-29,D,Hubtown Ord Shs,387.0,416.85,387.0,412.1,368490,0
2007-03-30,D,Hubtown Ord Shs,414.0,418.2,403.1,406.7,270980,0
2007-04-02,D,Hubtown Ord Shs,394.0,421.65,370.5,414.15,818253,0
2007-04-03,D,Hubtown Ord Shs,412.0,417.0,397.25,404.7,345926,0
2007-04-04,D,Hubtown Ord Shs,408.0,416.4,394.0,399.6,197435,0
2007-04-05,D,Hubtown Ord Shs,400.0,408.8,392.3,396.85,262264,0
2007-04-09,D,Hubtown Ord Shs,399.0,407.0,393.35,396.95,410878,0
2007-04-10,D,Hubtown Ord Shs,399.8,405.0,390.0,392.05,302198,0
