Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-12-08,D,Ice Make Refrigeration Ord shs,68.4,68.4,68.4,68.4,6000,1
2017-12-11,D,Ice Make Refrigeration Ord shs,82.05,82.05,82.05,82.05,34000,1
2017-12-12,D,Ice Make Refrigeration Ord shs,97.4,98.45,82.05,97.35,5116000,0
2017-12-13,D,Ice Make Refrigeration Ord shs,100.0,106.8,95.15,97.1,2360000,0
2017-12-14,D,Ice Make Refrigeration Ord shs,98.0,101.0,94.1,94.75,454000,0
2017-12-15,D,Ice Make Refrigeration Ord shs,98.0,99.8,94.25,95.3,386000,0
2017-12-18,D,Ice Make Refrigeration Ord shs,90.0,97.0,88.45,94.85,256000,0
2017-12-19,D,Ice Make Refrigeration Ord shs,95.0,96.8,94.1,94.45,134000,0
2017-12-20,D,Ice Make Refrigeration Ord shs,94.5,94.9,92.0,92.55,154000,0
2017-12-21,D,Ice Make Refrigeration Ord shs,93.55,93.85,91.8,92.85,148000,0
2017-12-22,D,Ice Make Refrigeration Ord shs,96.5,97.0,90.3,96.25,310000,0
2017-12-26,D,Ice Make Refrigeration Ord shs,98.0,105.85,98.0,105.85,624000,0
2017-12-27,D,Ice Make Refrigeration Ord shs,112.7,116.4,110.25,115.7,878000,0
2017-12-28,D,Ice Make Refrigeration Ord shs,118.9,121.0,111.5,113.65,496000,0
2017-12-29,D,Ice Make Refrigeration Ord shs,116.85,116.85,111.75,113.25,160000,0
2018-01-01,D,Ice Make Refrigeration Ord shs,115.1,124.0,114.0,121.75,628000,0
2018-01-02,D,Ice Make Refrigeration Ord shs,123.5,124.95,118.1,120.1,224000,0
2018-01-03,D,Ice Make Refrigeration Ord shs,123.0,123.0,118.5,120.95,146000,0
2018-01-04,D,Ice Make Refrigeration Ord shs,121.0,122.7,120.0,121.3,148000,0
2018-01-05,D,Ice Make Refrigeration Ord shs,122.5,122.8,117.35,118.55,134000,0
2018-01-08,D,Ice Make Refrigeration Ord shs,118.0,118.35,114.2,114.95,180000,0
2018-01-09,D,Ice Make Refrigeration Ord shs,115.0,115.8,109.3,111.0,150000,0
