Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-09-29,D,ICICI Prudential Life Insurance Company Ord Shs,326.706083,330.567155,292.20394,294.579985,89058658,0
2016-09-30,D,ICICI Prudential Life Insurance Company Ord Shs,294.431482,309.281758,290.124902,307.153219,12045593,0
2016-10-03,D,ICICI Prudential Life Insurance Company Ord Shs,309.776768,310.618283,304.232664,306.608709,3169557,0
2016-10-04,D,ICICI Prudential Life Insurance Company Ord Shs,305.866195,306.460206,300.470594,301.213108,3173993,0
2016-10-05,D,ICICI Prudential Life Insurance Company Ord Shs,301.955622,311.855806,301.064605,310.618283,5485589,0
2016-10-06,D,ICICI Prudential Life Insurance Company Ord Shs,311.707304,319.57795,310.865788,313.390335,5753209,0
2016-10-07,D,ICICI Prudential Life Insurance Company Ord Shs,314.825862,316.508893,312.301315,314.083348,1009789,0
2016-10-10,D,ICICI Prudential Life Insurance Company Ord Shs,315.914882,323.686527,314.924864,321.359983,3482805,0
2016-10-13,D,ICICI Prudential Life Insurance Company Ord Shs,318.785935,325.419059,312.59832,314.380353,3088238,0
2016-10-14,D,ICICI Prudential Life Insurance Company Ord Shs,316.508893,325.46856,315.964383,324.082534,2771778,0
2016-10-17,D,ICICI Prudential Life Insurance Company Ord Shs,324.726046,328.389114,320.963976,324.330039,2153353,0
2016-10-18,D,ICICI Prudential Life Insurance Company Ord Shs,325.914068,329.676138,325.171554,327.597099,2774228,0
2016-10-19,D,ICICI Prudential Life Insurance Company Ord Shs,328.290112,329.131628,320.765972,321.656989,1227049,0
2016-10-20,D,ICICI Prudential Life Insurance Company Ord Shs,322.647007,326.112072,319.330446,320.765972,946203,0
2016-10-21,D,ICICI Prudential Life Insurance Company Ord Shs,321.607488,326.112072,319.825455,323.587525,1122150,0
2016-10-24,D,ICICI Prudential Life Insurance Company Ord Shs,324.577543,326.55758,319.874956,320.66697,684940,0
2016-10-25,D,ICICI Prudential Life Insurance Company Ord Shs,321.16198,324.726046,319.924457,320.914475,964425,0
2016-10-26,D,ICICI Prudential Life Insurance Company Ord Shs,320.716471,322.151998,316.112886,317.201906,940792,0
2016-10-27,D,ICICI Prudential Life Insurance Company Ord Shs,316.855399,316.855399,309.182757,310.96479,1243528,0
2016-10-28,D,ICICI Prudential Life Insurance Company Ord Shs,309.87577,311.212294,303.935659,305.519688,1188812,0
