Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-09-20,D,IDBI Bank Ord Shs,75.0,75.0,64.0625,64.6875,979840.0,0
1995-09-21,D,IDBI Bank Ord Shs,66.53125,67.5,64.75,66.53125,768320.0,1
1995-09-22,D,IDBI Bank Ord Shs,67.1875,67.625,66.59375,67.21875,402880.0,0
1995-09-25,D,IDBI Bank Ord Shs,69.96875,74.46875,68.21875,73.5625,860480.0,0
1995-09-26,D,IDBI Bank Ord Shs,74.375,75.75,71.875,73.875,1004480.0,0
1995-09-27,D,IDBI Bank Ord Shs,71.875,74.03125,70.5,71.3125,333280.0,0
1995-09-28,D,IDBI Bank Ord Shs,70.3125,70.9375,69.375,70.34375,109600.0,0
1995-09-29,D,IDBI Bank Ord Shs,70.0625,74.0625,70.03125,73.21875,219200.0,0
1995-10-04,D,IDBI Bank Ord Shs,74.53125,75.9375,74.375,75.09375,63520.0,0
1995-10-05,D,IDBI Bank Ord Shs,75.09375,76.53125,73.5,75.28125,152640.0,0
1995-10-06,D,IDBI Bank Ord Shs,75.28125,75.28125,73.78125,74.03125,73440.0,0
1995-10-09,D,IDBI Bank Ord Shs,74.03125,74.375,73.59375,73.6875,83040.0,0
1995-10-10,D,IDBI Bank Ord Shs,73.6875,73.90625,71.28125,72.3125,151520.0,0
1995-10-11,D,IDBI Bank Ord Shs,72.3125,73.125,72.1875,72.375,40160.0,0
1995-10-12,D,IDBI Bank Ord Shs,72.375,73.0625,71.875,71.90625,38560.0,0
1995-10-13,D,IDBI Bank Ord Shs,71.90625,72.1875,71.46875,71.875,32160.0,0
1995-10-16,D,IDBI Bank Ord Shs,71.875,71.875,69.03125,70.09375,76800.0,0
1995-10-17,D,IDBI Bank Ord Shs,70.09375,70.4375,68.75,68.90625,107040.0,0
1995-10-18,D,IDBI Bank Ord Shs,69.40625,71.6875,69.40625,69.6875,87680.0,0
1995-10-19,D,IDBI Bank Ord Shs,69.4375,69.4375,68.46875,69.0625,53120.0,0
1995-10-20,D,IDBI Bank Ord Shs,69.0625,69.25,67.5,68.28125,48960.0,0
1995-10-23,D,IDBI Bank Ord Shs,68.75,69.6875,66.71875,67.125,56320.0,0
1995-10-24,D,IDBI Bank Ord Shs,67.125,67.8125,65.625,66.09375,50560.0,0
1995-10-26,D,IDBI Bank Ord Shs,70.875,71.09375,68.25,69.0,242880.0,0
1995-10-27,D,IDBI Bank Ord Shs,69.0,69.09375,67.5,67.65625,329600.0,0
1995-10-30,D,IDBI Bank Ord Shs,67.6875,68.4375,67.6875,67.84375,72480.0,0
1995-10-31,D,IDBI Bank Ord Shs,67.8125,67.8125,67.0625,67.71875,155040.0,0
