Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-07-07,D,Ideaforge Technology Ord Shs,1300.0,1343.95,1260.0,1294.95,9712139,0
2023-07-10,D,Ideaforge Technology Ord Shs,1299.9,1304.65,1151.05,1162.4,1922461,0
2023-07-11,D,Ideaforge Technology Ord Shs,1154.0,1320.0,1114.45,1269.55,4076823,0
2023-07-12,D,Ideaforge Technology Ord Shs,1269.55,1319.4,1264.05,1279.3,1299590,0
2023-07-13,D,Ideaforge Technology Ord Shs,1272.0,1284.9,1212.85,1229.85,569977,0
2023-07-14,D,Ideaforge Technology Ord Shs,1234.6,1234.6,1192.85,1204.9,289021,0
2023-07-17,D,Ideaforge Technology Ord Shs,1218.5,1230.0,1190.0,1192.0,290910,0
2023-07-18,D,Ideaforge Technology Ord Shs,1215.0,1226.95,1170.0,1181.3,304864,0
2023-07-19,D,Ideaforge Technology Ord Shs,1188.0,1249.0,1178.0,1194.9,524394,0
2023-07-20,D,Ideaforge Technology Ord Shs,1199.95,1217.0,1188.0,1191.5,165396,0
2023-07-21,D,Ideaforge Technology Ord Shs,1180.0,1194.65,1168.05,1171.35,163942,0
2023-07-24,D,Ideaforge Technology Ord Shs,1179.75,1212.9,1161.25,1175.25,224678,0
2023-07-25,D,Ideaforge Technology Ord Shs,1184.75,1194.75,1165.9,1171.6,170683,0
2023-07-26,D,Ideaforge Technology Ord Shs,1180.7,1188.45,1162.0,1167.7,189956,0
2023-07-27,D,Ideaforge Technology Ord Shs,1171.9,1171.9,1123.05,1135.2,182531,0
2023-07-28,D,Ideaforge Technology Ord Shs,1140.9,1168.0,1136.2,1148.2,172309,0
2023-07-31,D,Ideaforge Technology Ord Shs,1153.9,1160.0,1139.0,1141.65,89036,0
2023-08-01,D,Ideaforge Technology Ord Shs,1151.0,1169.4,1116.0,1154.5,242932,0
2023-08-02,D,Ideaforge Technology Ord Shs,1159.2,1167.3,1095.2,1114.3,222286,0
2023-08-03,D,Ideaforge Technology Ord Shs,1119.0,1129.75,1102.0,1112.35,124864,0
2023-08-04,D,Ideaforge Technology Ord Shs,1118.0,1121.9,1101.1,1106.05,86350,0
2023-08-07,D,Ideaforge Technology Ord Shs,1114.95,1127.7,1090.0,1095.6,114542,0
2023-08-08,D,Ideaforge Technology Ord Shs,1095.0,1127.0,1065.1,1076.4,244560,0
2023-08-09,D,Ideaforge Technology Ord Shs,1030.0,1048.8,996.0,1010.95,814010,0
2023-08-10,D,Ideaforge Technology Ord Shs,1019.95,1032.25,982.0,988.05,263773,0
2023-08-11,D,Ideaforge Technology Ord Shs,993.0,1007.8,982.3,985.45,158597,0
2023-08-14,D,Ideaforge Technology Ord Shs,987.4,990.0,959.4,962.25,142264,0
2023-08-16,D,Ideaforge Technology Ord Shs,963.0,1057.9,962.9,1040.05,696674,0
2023-08-17,D,Ideaforge Technology Ord Shs,1048.7,1069.0,1024.0,1031.55,207570,0
2023-08-18,D,Ideaforge Technology Ord Shs,1036.4,1036.7,1009.0,1022.45,136714,0
2023-08-21,D,Ideaforge Technology Ord Shs,1024.0,1029.4,996.0,1000.05,121470,0
2023-08-22,D,Ideaforge Technology Ord Shs,1008.95,1044.6,1002.0,1009.2,142347,0
2023-08-23,D,Ideaforge Technology Ord Shs,1018.3,1024.4,1000.7,1009.6,76079,0
2023-08-24,D,Ideaforge Technology Ord Shs,1018.95,1020.0,991.2,997.3,112563,0
2023-08-25,D,Ideaforge Technology Ord Shs,993.9,1008.0,984.95,986.3,104832,0
2023-08-28,D,Ideaforge Technology Ord Shs,986.9,1045.0,986.6,1020.15,220560,0
2023-08-29,D,Ideaforge Technology Ord Shs,1021.9,1034.15,1000.0,1002.1,93487,0
2023-08-30,D,Ideaforge Technology Ord Shs,1003.0,1010.0,992.05,996.7,133143,0
2023-08-31,D,Ideaforge Technology Ord Shs,1000.0,1009.25,982.55,991.2,94070,0
2023-09-01,D,Ideaforge Technology Ord Shs,998.7,998.7,982.0,984.8,118561,0
2023-09-04,D,Ideaforge Technology Ord Shs,991.7,999.25,987.7,989.7,99229,0
2023-09-05,D,Ideaforge Technology Ord Shs,990.7,998.35,987.0,988.95,93685,0
2023-09-06,D,Ideaforge Technology Ord Shs,993.65,1025.0,990.0,1007.1,192561,0
2023-09-07,D,Ideaforge Technology Ord Shs,1014.9,1052.0,1010.9,1027.2,332875,0
2023-09-08,D,Ideaforge Technology Ord Shs,1034.7,1038.65,1011.05,1014.75,122826,0
2023-09-11,D,Ideaforge Technology Ord Shs,1017.95,1045.0,1012.05,1029.85,146245,0
2023-09-12,D,Ideaforge Technology Ord Shs,1044.85,1044.85,992.8,998.9,122513,0
2023-09-13,D,Ideaforge Technology Ord Shs,996.05,1013.8,981.9,998.8,89341,0
2023-09-14,D,Ideaforge Technology Ord Shs,998.0,1012.2,989.0,989.95,95839,0
2023-09-15,D,Ideaforge Technology Ord Shs,996.7,1003.1,988.55,990.8,74154,0
2023-09-18,D,Ideaforge Technology Ord Shs,994.0,1015.4,987.25,991.6,76591,0
2023-09-20,D,Ideaforge Technology Ord Shs,988.9,998.8,948.5,951.4,403725,0
2023-09-21,D,Ideaforge Technology Ord Shs,950.05,969.0,932.0,933.4,183199,0
2023-09-22,D,Ideaforge Technology Ord Shs,958.15,979.55,932.35,936.9,360382,0
2023-09-25,D,Ideaforge Technology Ord Shs,940.0,946.95,925.0,927.3,90307,0
2023-09-26,D,Ideaforge Technology Ord Shs,933.0,933.0,916.0,917.4,122604,0
2023-09-27,D,Ideaforge Technology Ord Shs,921.95,925.65,885.8,891.9,231152,0
2023-09-28,D,Ideaforge Technology Ord Shs,894.5,908.0,894.5,898.35,140320,0
2023-09-29,D,Ideaforge Technology Ord Shs,904.0,916.1,895.35,898.5,131045,0
2023-10-03,D,Ideaforge Technology Ord Shs,899.35,900.95,860.0,862.6,300984,0
2023-10-04,D,Ideaforge Technology Ord Shs,860.0,864.75,850.15,859.7,191381,0
2023-10-05,D,Ideaforge Technology Ord Shs,872.65,874.0,851.0,856.5,151731,0
2023-10-06,D,Ideaforge Technology Ord Shs,859.8,864.0,813.95,823.4,384685,0
2023-10-09,D,Ideaforge Technology Ord Shs,828.0,828.95,780.05,785.45,526548,0
