Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-08-25,D,IFGL Refractories Ord Shs,9.84741,9.84741,9.84741,9.84741,1000,1
1995-09-05,D,IFGL Refractories Ord Shs,10.832151,10.832151,10.832151,10.832151,100,1
1995-09-11,D,IFGL Refractories Ord Shs,9.84741,9.84741,9.84741,9.84741,100,1
1995-09-12,D,IFGL Refractories Ord Shs,9.108854,9.108854,9.059617,9.108854,3000,1
1995-09-13,D,IFGL Refractories Ord Shs,9.059617,9.355039,9.059617,9.355039,700,0
1995-09-18,D,IFGL Refractories Ord Shs,8.862669,8.862669,8.862669,8.862669,400,1
1995-09-22,D,IFGL Refractories Ord Shs,9.305802,9.305802,9.305802,9.305802,500,1
1995-09-25,D,IFGL Refractories Ord Shs,9.355039,9.355039,9.355039,9.355039,1000,1
1995-09-26,D,IFGL Refractories Ord Shs,9.355039,9.355039,8.124113,8.124113,500,0
1995-09-27,D,IFGL Refractories Ord Shs,8.468772,8.468772,8.468772,8.468772,100,1
1995-09-28,D,IFGL Refractories Ord Shs,8.468772,8.468772,8.468772,8.468772,200,1
1995-09-29,D,IFGL Refractories Ord Shs,8.862669,8.862669,8.862669,8.862669,200,1
1995-10-04,D,IFGL Refractories Ord Shs,8.862669,8.862669,8.862669,8.862669,300,1
1995-10-06,D,IFGL Refractories Ord Shs,8.862669,8.862669,8.862669,8.862669,100,1
1995-10-09,D,IFGL Refractories Ord Shs,7.877928,7.877928,7.877928,7.877928,200,1
1995-10-10,D,IFGL Refractories Ord Shs,8.862669,8.862669,8.862669,8.862669,1500,1
1995-10-11,D,IFGL Refractories Ord Shs,9.108854,9.84741,9.108854,9.355039,2500,0
1995-10-12,D,IFGL Refractories Ord Shs,9.355039,9.355039,9.355039,9.355039,100,1
1995-10-13,D,IFGL Refractories Ord Shs,8.764195,9.84741,8.764195,9.84741,800,0
1995-10-16,D,IFGL Refractories Ord Shs,9.84741,9.995121,9.84741,9.84741,300,1
1995-11-01,D,IFGL Refractories Ord Shs,8.764195,8.764195,8.764195,8.764195,100,1
1995-11-02,D,IFGL Refractories Ord Shs,8.714958,8.714958,8.370298,8.714958,300,1
1995-11-03,D,IFGL Refractories Ord Shs,8.124113,8.567246,8.124113,8.370298,600,0
1995-11-06,D,IFGL Refractories Ord Shs,8.370298,8.862669,8.370298,8.862669,500,0
1995-11-08,D,IFGL Refractories Ord Shs,9.108854,9.108854,9.108854,9.108854,100,1
1995-11-13,D,IFGL Refractories Ord Shs,8.370298,8.862669,8.370298,8.862669,300,0
1995-11-14,D,IFGL Refractories Ord Shs,8.862669,9.108854,8.124113,8.370298,2200,0
1995-11-15,D,IFGL Refractories Ord Shs,8.862669,9.059617,8.862669,9.059617,400,0
1995-11-16,D,IFGL Refractories Ord Shs,9.305802,9.453513,8.862669,9.453513,1100,0
1995-11-17,D,IFGL Refractories Ord Shs,9.748936,10.33978,9.50275,10.33978,2300,0
1995-11-20,D,IFGL Refractories Ord Shs,9.84741,9.84741,9.551987,9.551987,1600,0
1995-11-21,D,IFGL Refractories Ord Shs,9.84741,9.84741,8.665721,9.355039,900,0
1995-11-22,D,IFGL Refractories Ord Shs,9.355039,9.798173,9.355039,9.748936,400,0
1995-11-23,D,IFGL Refractories Ord Shs,9.059617,9.059617,9.059617,9.059617,1200,1
1995-11-24,D,IFGL Refractories Ord Shs,9.059617,9.355039,9.059617,9.355039,1200,0
1995-11-27,D,IFGL Refractories Ord Shs,8.862669,9.551987,8.419535,8.419535,2000,0
1995-11-28,D,IFGL Refractories Ord Shs,7.877928,7.877928,7.877928,7.877928,200,1
1995-12-05,D,IFGL Refractories Ord Shs,7.927165,7.927165,7.927165,7.927165,100,1
1995-12-06,D,IFGL Refractories Ord Shs,8.616484,8.616484,8.616484,8.616484,500,1
1995-12-07,D,IFGL Refractories Ord Shs,8.616484,8.911906,8.616484,8.862669,1700,0
1995-12-08,D,IFGL Refractories Ord Shs,8.813432,8.813432,8.813432,8.813432,200,1
1995-12-11,D,IFGL Refractories Ord Shs,8.419535,9.059617,8.419535,8.862669,700,0
1995-12-12,D,IFGL Refractories Ord Shs,8.616484,9.601224,8.370298,9.108854,2100,0
1995-12-13,D,IFGL Refractories Ord Shs,8.862669,8.862669,8.862669,8.862669,400,1
1995-12-14,D,IFGL Refractories Ord Shs,8.862669,8.862669,8.813432,8.813432,1400,0
1995-12-15,D,IFGL Refractories Ord Shs,8.813432,8.862669,8.370298,8.370298,300,0
1995-12-18,D,IFGL Refractories Ord Shs,8.764195,8.764195,8.764195,8.764195,1000,1
1995-12-19,D,IFGL Refractories Ord Shs,8.370298,8.370298,7.927165,8.124113,2000,0
1995-12-20,D,IFGL Refractories Ord Shs,8.321061,8.370298,7.976402,7.976402,3400,0
1995-12-21,D,IFGL Refractories Ord Shs,8.321061,8.370298,8.321061,8.370298,1500,0
1995-12-22,D,IFGL Refractories Ord Shs,7.68098,8.222587,7.68098,7.927165,1500,0
1995-12-26,D,IFGL Refractories Ord Shs,7.385557,7.877928,7.385557,7.877928,800,0
1995-12-27,D,IFGL Refractories Ord Shs,7.927165,7.927165,7.927165,7.927165,700,1
1995-12-28,D,IFGL Refractories Ord Shs,7.385557,8.370298,7.385557,8.025639,1900,0
1995-12-29,D,IFGL Refractories Ord Shs,8.124113,8.222587,8.124113,8.222587,900,0
1996-01-02,D,IFGL Refractories Ord Shs,8.124113,8.370298,8.124113,8.370298,300,0
1996-01-03,D,IFGL Refractories Ord Shs,7.927165,7.927165,7.927165,7.927165,100,1
1996-01-04,D,IFGL Refractories Ord Shs,7.385557,7.631743,7.139372,7.631743,2500,0
1996-01-05,D,IFGL Refractories Ord Shs,7.385557,7.385557,7.385557,7.385557,300,1
1996-01-08,D,IFGL Refractories Ord Shs,7.434794,7.434794,7.434794,7.434794,300,1
1996-01-09,D,IFGL Refractories Ord Shs,8.124113,8.124113,8.124113,8.124113,100,1
1996-01-10,D,IFGL Refractories Ord Shs,7.33632,7.33632,7.33632,7.33632,200,1
1996-01-11,D,IFGL Refractories Ord Shs,7.188609,7.287083,6.893187,7.287083,1700,0
1996-01-12,D,IFGL Refractories Ord Shs,7.139372,7.139372,6.942424,6.942424,1600,0
1996-01-15,D,IFGL Refractories Ord Shs,7.139372,7.139372,7.090135,7.090135,300,0
1996-01-16,D,IFGL Refractories Ord Shs,6.942424,7.385557,6.745476,6.893187,1400,0
1996-01-17,D,IFGL Refractories Ord Shs,6.991661,7.139372,6.991661,6.991661,1900,1
1996-01-18,D,IFGL Refractories Ord Shs,6.991661,7.139372,6.942424,7.139372,700,0
1996-01-19,D,IFGL Refractories Ord Shs,7.139372,7.385557,6.893187,6.893187,1600,0
1996-01-22,D,IFGL Refractories Ord Shs,6.893187,7.040898,6.893187,6.991661,1200,0
1996-01-23,D,IFGL Refractories Ord Shs,6.991661,7.139372,6.893187,6.893187,1400,0
1996-01-24,D,IFGL Refractories Ord Shs,6.893187,6.893187,6.745476,6.893187,1400,1
1996-01-25,D,IFGL Refractories Ord Shs,6.893187,6.893187,6.745476,6.745476,600,0
1996-01-29,D,IFGL Refractories Ord Shs,6.745476,6.893187,6.302342,6.893187,1400,0
1996-01-30,D,IFGL Refractories Ord Shs,6.647002,6.647002,6.400816,6.647002,500,1
1996-01-31,D,IFGL Refractories Ord Shs,6.647002,6.893187,6.597765,6.597765,200,0
1996-02-01,D,IFGL Refractories Ord Shs,6.597765,6.597765,6.253105,6.253105,200,0
1996-02-02,D,IFGL Refractories Ord Shs,6.647002,6.893187,6.647002,6.893187,1200,0
1996-02-05,D,IFGL Refractories Ord Shs,6.893187,6.893187,6.253105,6.893187,500,1
1996-02-06,D,IFGL Refractories Ord Shs,6.893187,6.893187,6.253105,6.253105,2800,0
1996-02-07,D,IFGL Refractories Ord Shs,6.400816,6.647002,6.400816,6.647002,1000,0
1996-02-08,D,IFGL Refractories Ord Shs,6.647002,6.893187,6.400816,6.400816,1200,0
1996-02-09,D,IFGL Refractories Ord Shs,6.647002,6.893187,6.647002,6.893187,2100,0
1996-02-12,D,IFGL Refractories Ord Shs,6.84395,6.893187,6.84395,6.893187,500,0
1996-02-13,D,IFGL Refractories Ord Shs,6.893187,7.385557,6.400816,7.385557,1100,0
1996-02-14,D,IFGL Refractories Ord Shs,7.877928,8.124113,6.893187,6.893187,1300,0
1996-02-15,D,IFGL Refractories Ord Shs,6.893187,6.893187,6.893187,6.893187,400,1
1996-02-16,D,IFGL Refractories Ord Shs,6.49929,7.533268,6.49929,7.533268,2200,0
1996-02-19,D,IFGL Refractories Ord Shs,7.139372,7.385557,7.139372,7.33632,1300,0
1996-02-20,D,IFGL Refractories Ord Shs,7.385557,8.074876,7.237846,7.385557,2400,1
