Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2019-09-20,D,Iifl Securities Ord Shs,22.0,23.1,22.0,23.1,73482,0
2019-09-23,D,Iifl Securities Ord Shs,24.25,24.25,24.25,24.25,20530,1
2019-09-24,D,Iifl Securities Ord Shs,25.45,25.45,25.45,25.45,11034,1
2019-09-25,D,Iifl Securities Ord Shs,26.7,26.7,26.7,26.7,272034,1
2019-09-26,D,Iifl Securities Ord Shs,28.0,28.0,28.0,28.0,141567,1
2019-09-27,D,Iifl Securities Ord Shs,29.4,29.4,29.4,29.4,62367,1
2019-09-30,D,Iifl Securities Ord Shs,30.85,30.85,30.85,30.85,1677470,1
2019-10-01,D,Iifl Securities Ord Shs,30.5,30.5,29.35,29.35,272123,0
2019-10-03,D,Iifl Securities Ord Shs,27.9,30.65,27.9,27.9,466513,1
2019-10-04,D,Iifl Securities Ord Shs,26.75,29.2,26.55,26.55,101140,0
2019-10-07,D,Iifl Securities Ord Shs,25.0,29.5,23.5,25.2,456262,0
2019-10-09,D,Iifl Securities Ord Shs,24.2,26.9,22.0,23.25,240875,0
2019-10-10,D,Iifl Securities Ord Shs,23.25,25.5,20.5,22.55,178087,0
2019-10-11,D,Iifl Securities Ord Shs,22.95,22.95,20.55,20.7,132637,0
2019-10-14,D,Iifl Securities Ord Shs,21.85,21.85,19.05,19.65,251506,0
2019-10-15,D,Iifl Securities Ord Shs,19.65,20.4,19.05,19.25,502589,0
2019-10-16,D,Iifl Securities Ord Shs,19.65,21.15,19.25,20.8,565589,0
2019-10-17,D,Iifl Securities Ord Shs,20.25,22.4,20.25,22.1,476617,0
2019-10-18,D,Iifl Securities Ord Shs,22.2,24.25,22.0,23.85,404452,0
2019-10-22,D,Iifl Securities Ord Shs,24.35,26.2,24.35,26.15,591401,0
2019-10-23,D,Iifl Securities Ord Shs,26.9,26.9,24.85,25.45,250807,0
2019-10-24,D,Iifl Securities Ord Shs,24.6,26.7,24.6,26.7,324748,0
2019-10-25,D,Iifl Securities Ord Shs,28.0,28.0,27.0,28.0,1310711,1
2019-10-27,D,Iifl Securities Ord Shs,29.4,29.4,29.4,29.4,117488,1
2019-10-29,D,Iifl Securities Ord Shs,30.85,30.85,28.05,30.85,653984,1
2019-10-30,D,Iifl Securities Ord Shs,29.35,31.7,29.35,29.4,588799,0
2019-10-31,D,Iifl Securities Ord Shs,29.0,30.1,28.55,29.7,281674,0
2019-11-01,D,Iifl Securities Ord Shs,29.6,29.6,28.55,29.1,180990,0
2019-11-04,D,Iifl Securities Ord Shs,29.1,30.4,28.2,29.95,284638,0
2019-11-05,D,Iifl Securities Ord Shs,29.9,30.4,28.75,28.95,144323,0
2019-11-06,D,Iifl Securities Ord Shs,29.95,29.95,27.55,27.55,173284,0
2019-11-07,D,Iifl Securities Ord Shs,27.05,28.7,26.35,26.95,143305,0
2019-11-08,D,Iifl Securities Ord Shs,25.65,27.4,25.65,26.35,395226,0
2019-11-11,D,Iifl Securities Ord Shs,26.0,26.95,25.55,25.95,167390,0
2019-11-13,D,Iifl Securities Ord Shs,26.45,26.45,25.25,25.65,82122,0
2019-11-14,D,Iifl Securities Ord Shs,25.1,26.35,25.1,25.8,83084,0
2019-11-15,D,Iifl Securities Ord Shs,25.7,26.45,25.25,25.5,160846,0
2019-11-18,D,Iifl Securities Ord Shs,25.5,25.8,25.05,25.2,246527,0
2019-11-19,D,Iifl Securities Ord Shs,25.2,25.55,24.15,24.2,195335,0
2019-11-20,D,Iifl Securities Ord Shs,24.7,25.1,23.8,23.9,164027,0
2019-11-21,D,Iifl Securities Ord Shs,24.7,24.7,23.4,23.45,164199,0
2019-11-22,D,Iifl Securities Ord Shs,23.35,24.3,23.35,23.65,283999,0
2019-11-25,D,Iifl Securities Ord Shs,23.65,24.25,22.5,22.6,415244,0
2019-11-26,D,Iifl Securities Ord Shs,22.6,23.7,22.1,22.85,2576175,0
2019-11-27,D,Iifl Securities Ord Shs,23.0,23.95,22.1,23.45,1617131,0
2019-11-28,D,Iifl Securities Ord Shs,24.6,24.6,24.1,24.6,2982162,1
2019-11-29,D,Iifl Securities Ord Shs,25.8,25.8,25.8,25.8,105105,1
2019-12-02,D,Iifl Securities Ord Shs,27.05,27.05,27.05,27.05,387544,1
2019-12-03,D,Iifl Securities Ord Shs,28.0,28.4,26.0,28.0,1804136,1
2019-12-04,D,Iifl Securities Ord Shs,28.3,29.4,27.5,29.4,1572926,0
2019-12-05,D,Iifl Securities Ord Shs,30.2,30.85,29.4,30.85,418527,0
2019-12-06,D,Iifl Securities Ord Shs,32.35,32.35,29.55,32.35,1041699,1
2019-12-09,D,Iifl Securities Ord Shs,33.4,33.95,30.75,33.95,576565,0
2019-12-10,D,Iifl Securities Ord Shs,33.8,34.7,32.3,32.3,779867,0
2019-12-11,D,Iifl Securities Ord Shs,30.7,33.4,30.7,31.45,851220,0
2019-12-12,D,Iifl Securities Ord Shs,31.45,33.0,31.45,32.9,196236,0
2019-12-13,D,Iifl Securities Ord Shs,33.6,34.5,32.15,34.5,179602,0
2019-12-16,D,Iifl Securities Ord Shs,36.2,36.2,34.5,36.2,933274,1
2019-12-17,D,Iifl Securities Ord Shs,37.2,38.0,37.0,38.0,289482,0
2019-12-18,D,Iifl Securities Ord Shs,39.9,39.9,37.05,39.15,982779,0
2019-12-19,D,Iifl Securities Ord Shs,39.8,40.85,37.2,39.1,593635,0
2019-12-20,D,Iifl Securities Ord Shs,39.5,40.6,38.2,38.7,252429,0
2019-12-23,D,Iifl Securities Ord Shs,39.9,39.9,36.8,37.55,120265,0
2019-12-24,D,Iifl Securities Ord Shs,36.45,39.4,36.4,39.4,399436,0
2019-12-26,D,Iifl Securities Ord Shs,41.35,41.35,39.05,39.6,503568,0
2019-12-27,D,Iifl Securities Ord Shs,41.0,41.0,39.0,39.15,230579,0
2019-12-30,D,Iifl Securities Ord Shs,40.4,40.4,38.7,39.2,1247097,0
2019-12-31,D,Iifl Securities Ord Shs,39.8,41.15,38.6,40.7,412027,0
2020-01-01,D,Iifl Securities Ord Shs,41.0,42.7,41.0,42.7,89467,0
2020-01-02,D,Iifl Securities Ord Shs,44.8,44.8,44.0,44.8,324862,1
2020-01-03,D,Iifl Securities Ord Shs,47.0,47.0,47.0,47.0,25804,1
2020-01-06,D,Iifl Securities Ord Shs,49.35,49.35,48.5,49.35,1294163,1
2020-01-07,D,Iifl Securities Ord Shs,51.8,51.8,51.5,51.8,179989,1
2020-01-08,D,Iifl Securities Ord Shs,54.35,54.35,54.0,54.35,433814,1
2020-01-09,D,Iifl Securities Ord Shs,57.05,57.05,57.05,57.05,79647,1
2020-01-10,D,Iifl Securities Ord Shs,59.9,59.9,54.2,54.2,2051617,0
2020-01-13,D,Iifl Securities Ord Shs,51.5,51.5,51.5,51.5,89971,1
2020-01-14,D,Iifl Securities Ord Shs,48.95,53.8,48.95,48.95,2431580,1
2020-01-15,D,Iifl Securities Ord Shs,48.95,49.9,46.55,46.55,827173,0
2020-01-16,D,Iifl Securities Ord Shs,45.1,48.85,45.1,48.85,547215,0
2020-01-17,D,Iifl Securities Ord Shs,51.25,51.25,47.5,51.25,1421026,1
2020-01-20,D,Iifl Securities Ord Shs,51.75,52.2,48.7,49.0,819439,0
