Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-06-16,D,Ikio Lighting Ord Shs,392.5,427.5,392.0,403.85,31292587,0
2023-06-19,D,Ikio Lighting Ord Shs,409.0,454.7,408.3,445.45,19653191,0
2023-06-20,D,Ikio Lighting Ord Shs,449.7,463.3,436.85,441.2,8567809,0
2023-06-21,D,Ikio Lighting Ord Shs,441.75,448.9,431.55,437.2,3085162,0
2023-06-22,D,Ikio Lighting Ord Shs,439.9,452.7,438.0,446.7,3290937,0
2023-06-23,D,Ikio Lighting Ord Shs,445.9,477.0,431.75,462.8,6687921,0
2023-06-26,D,Ikio Lighting Ord Shs,468.0,474.6,455.4,460.75,2076430,0
2023-06-27,D,Ikio Lighting Ord Shs,464.0,466.95,454.05,455.55,1030752,0
2023-06-28,D,Ikio Lighting Ord Shs,457.75,458.85,447.0,448.6,941052,0
2023-06-30,D,Ikio Lighting Ord Shs,450.0,451.35,435.05,437.1,988486,0
2023-07-03,D,Ikio Lighting Ord Shs,439.45,444.9,421.05,425.45,1374461,0
2023-07-04,D,Ikio Lighting Ord Shs,427.0,430.75,406.05,409.7,1356306,0
2023-07-05,D,Ikio Lighting Ord Shs,411.8,429.0,411.1,420.2,1537926,0
2023-07-06,D,Ikio Lighting Ord Shs,420.8,423.25,414.0,416.55,471784,0
2023-07-07,D,Ikio Lighting Ord Shs,416.0,416.0,407.0,410.55,645872,0
2023-07-10,D,Ikio Lighting Ord Shs,409.0,414.7,401.1,403.95,911383,0
2023-07-11,D,Ikio Lighting Ord Shs,405.0,423.75,402.05,414.95,1479243,0
2023-07-12,D,Ikio Lighting Ord Shs,417.0,421.8,411.0,415.15,714090,0
2023-07-13,D,Ikio Lighting Ord Shs,417.45,427.5,412.0,413.45,1401320,0
2023-07-14,D,Ikio Lighting Ord Shs,415.55,416.6,407.45,412.85,478819,0
2023-07-17,D,Ikio Lighting Ord Shs,414.0,414.7,405.0,406.95,540811,0
2023-07-18,D,Ikio Lighting Ord Shs,407.05,428.0,407.0,417.8,1096738,0
2023-07-19,D,Ikio Lighting Ord Shs,421.65,432.7,416.8,427.4,1299518,0
2023-07-20,D,Ikio Lighting Ord Shs,427.8,432.0,416.55,418.45,1384708,0
2023-07-21,D,Ikio Lighting Ord Shs,415.0,417.25,410.05,410.95,382450,0
2023-07-24,D,Ikio Lighting Ord Shs,410.0,416.5,406.25,408.05,388269,0
2023-07-25,D,Ikio Lighting Ord Shs,412.6,414.05,406.8,408.05,264830,0
2023-07-26,D,Ikio Lighting Ord Shs,410.0,413.75,408.4,410.2,253121,0
2023-07-27,D,Ikio Lighting Ord Shs,412.95,424.0,411.25,416.0,748965,0
2023-07-28,D,Ikio Lighting Ord Shs,417.5,422.0,413.0,421.2,373509,0
2023-07-31,D,Ikio Lighting Ord Shs,422.95,426.95,416.0,417.75,912918,0
2023-08-01,D,Ikio Lighting Ord Shs,417.75,422.5,413.1,415.7,212708,0
2023-08-02,D,Ikio Lighting Ord Shs,415.0,419.85,407.8,410.85,485154,0
2023-08-03,D,Ikio Lighting Ord Shs,407.25,422.25,407.25,418.7,361688,0
2023-08-04,D,Ikio Lighting Ord Shs,421.95,425.0,418.0,423.9,518650,0
2023-08-07,D,Ikio Lighting Ord Shs,432.0,437.7,403.55,406.6,1649596,0
2023-08-08,D,Ikio Lighting Ord Shs,409.4,417.0,405.0,407.35,646313,0
2023-08-09,D,Ikio Lighting Ord Shs,409.5,412.7,372.2,377.25,1969281,0
2023-08-10,D,Ikio Lighting Ord Shs,380.2,387.95,379.25,382.7,566002,0
2023-08-11,D,Ikio Lighting Ord Shs,384.85,385.1,370.05,373.1,513335,0
2023-08-14,D,Ikio Lighting Ord Shs,373.0,373.7,359.6,363.6,681689,0
2023-08-16,D,Ikio Lighting Ord Shs,363.4,372.5,361.95,363.25,310627,0
2023-08-17,D,Ikio Lighting Ord Shs,364.6,376.95,364.55,371.6,329809,0
2023-08-18,D,Ikio Lighting Ord Shs,371.8,375.5,365.95,371.0,589030,0
2023-08-21,D,Ikio Lighting Ord Shs,371.0,373.95,364.0,364.65,193004,0
2023-08-22,D,Ikio Lighting Ord Shs,367.85,370.65,362.85,364.0,228879,0
2023-08-23,D,Ikio Lighting Ord Shs,366.7,386.0,365.8,382.3,840783,0
2023-08-24,D,Ikio Lighting Ord Shs,386.0,387.65,380.0,382.45,503977,0
2023-08-25,D,Ikio Lighting Ord Shs,380.1,382.05,371.6,375.95,204593,0
2023-08-28,D,Ikio Lighting Ord Shs,375.95,384.75,375.0,381.15,254130,0
2023-08-29,D,Ikio Lighting Ord Shs,383.0,384.7,379.2,381.25,145026,0
2023-08-30,D,Ikio Lighting Ord Shs,382.0,384.2,379.35,380.95,152464,0
2023-08-31,D,Ikio Lighting Ord Shs,381.95,383.0,375.85,379.45,129248,0
2023-09-01,D,Ikio Lighting Ord Shs,378.15,382.1,375.8,378.65,149059,0
2023-09-04,D,Ikio Lighting Ord Shs,380.0,381.6,375.65,376.3,173236,0
2023-09-05,D,Ikio Lighting Ord Shs,377.0,391.0,374.2,388.05,975926,0
2023-09-06,D,Ikio Lighting Ord Shs,390.0,394.1,380.95,382.0,548980,0
2023-09-07,D,Ikio Lighting Ord Shs,382.9,387.9,382.3,385.7,169848,0
2023-09-08,D,Ikio Lighting Ord Shs,386.95,394.1,386.5,388.65,329953,0
2023-09-11,D,Ikio Lighting Ord Shs,389.0,390.6,376.15,377.15,510326,0
2023-09-12,D,Ikio Lighting Ord Shs,379.3,379.4,360.0,360.85,670482,0
2023-09-13,D,Ikio Lighting Ord Shs,363.3,363.3,350.25,352.7,429178,0
2023-09-14,D,Ikio Lighting Ord Shs,355.75,368.95,355.0,363.0,256154,0
2023-09-15,D,Ikio Lighting Ord Shs,367.65,371.8,359.0,361.25,304688,0
2023-09-18,D,Ikio Lighting Ord Shs,363.65,364.45,357.3,358.1,191152,0
2023-09-20,D,Ikio Lighting Ord Shs,358.1,361.85,349.1,353.8,243489,0
2023-09-21,D,Ikio Lighting Ord Shs,354.65,358.45,350.6,352.25,215162,0
2023-09-22,D,Ikio Lighting Ord Shs,353.55,357.8,350.9,354.35,124844,0
2023-09-25,D,Ikio Lighting Ord Shs,357.35,357.35,352.5,353.25,111592,0
2023-09-26,D,Ikio Lighting Ord Shs,352.3,358.5,352.05,353.9,91072,0
2023-09-27,D,Ikio Lighting Ord Shs,353.95,356.2,352.25,353.25,89425,0
2023-09-28,D,Ikio Lighting Ord Shs,354.45,356.95,350.1,352.8,151013,0
2023-09-29,D,Ikio Lighting Ord Shs,355.9,357.95,350.55,354.65,187151,0
2023-10-03,D,Ikio Lighting Ord Shs,357.15,366.1,355.0,359.2,747810,0
2023-10-04,D,Ikio Lighting Ord Shs,359.9,364.3,353.65,354.95,279710,0
2023-10-05,D,Ikio Lighting Ord Shs,357.0,360.05,355.0,356.8,115711,0
2023-10-06,D,Ikio Lighting Ord Shs,357.9,359.5,354.0,357.95,135044,0
2023-10-09,D,Ikio Lighting Ord Shs,353.0,353.25,341.0,345.45,233748,0
2023-10-10,D,Ikio Lighting Ord Shs,348.05,352.65,343.3,343.8,204125,0
2023-10-11,D,Ikio Lighting Ord Shs,345.9,349.65,343.0,343.9,245349,0
2023-10-12,D,Ikio Lighting Ord Shs,345.0,364.8,345.0,359.75,947092,0
