Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2015-04-06,D,Imagicaaworld Entertainment Ord Shs,162.2,194.6,155.2,192.65,9021323,0
2015-04-07,D,Imagicaaworld Entertainment Ord Shs,192.25,207.0,184.8,185.8,1743051,0
2015-04-08,D,Imagicaaworld Entertainment Ord Shs,187.0,188.0,176.7,178.8,353582,0
2015-04-09,D,Imagicaaworld Entertainment Ord Shs,179.0,180.85,170.15,172.25,216767,0
2015-04-10,D,Imagicaaworld Entertainment Ord Shs,171.0,183.8,165.05,177.55,561701,0
2015-04-13,D,Imagicaaworld Entertainment Ord Shs,179.55,179.9,173.1,174.95,166933,0
2015-04-15,D,Imagicaaworld Entertainment Ord Shs,174.95,184.0,170.35,175.9,344759,0
2015-04-16,D,Imagicaaworld Entertainment Ord Shs,174.4,177.9,171.2,172.5,100236,0
2015-04-17,D,Imagicaaworld Entertainment Ord Shs,171.0,174.95,165.6,167.0,108023,0
2015-04-20,D,Imagicaaworld Entertainment Ord Shs,166.8,168.9,158.8,159.8,75271,0
2015-04-21,D,Imagicaaworld Entertainment Ord Shs,161.0,163.6,155.75,157.75,89290,0
2015-04-22,D,Imagicaaworld Entertainment Ord Shs,158.0,164.45,156.0,159.45,134378,0
2015-04-23,D,Imagicaaworld Entertainment Ord Shs,159.9,163.85,157.0,159.15,99392,0
2015-04-24,D,Imagicaaworld Entertainment Ord Shs,158.5,159.4,141.0,144.45,143358,0
2015-04-27,D,Imagicaaworld Entertainment Ord Shs,143.1,143.9,134.05,135.7,140731,0
2015-04-28,D,Imagicaaworld Entertainment Ord Shs,135.95,139.8,131.95,137.3,444326,0
2015-04-29,D,Imagicaaworld Entertainment Ord Shs,136.25,145.4,134.7,140.15,175135,0
2015-04-30,D,Imagicaaworld Entertainment Ord Shs,143.0,143.95,136.0,140.65,88393,0
2015-05-04,D,Imagicaaworld Entertainment Ord Shs,142.0,150.0,141.0,143.95,109865,0
2015-05-05,D,Imagicaaworld Entertainment Ord Shs,142.3,148.35,138.1,146.95,339292,0
2015-05-06,D,Imagicaaworld Entertainment Ord Shs,146.1,149.8,138.65,139.95,68670,0
2015-05-07,D,Imagicaaworld Entertainment Ord Shs,139.55,140.0,134.9,135.15,73017,0
2015-05-08,D,Imagicaaworld Entertainment Ord Shs,138.9,140.8,136.3,137.7,38686,0
2015-05-11,D,Imagicaaworld Entertainment Ord Shs,138.05,143.8,138.05,140.0,23121,0
2015-05-12,D,Imagicaaworld Entertainment Ord Shs,140.0,140.0,136.0,136.1,33241,0
2015-05-13,D,Imagicaaworld Entertainment Ord Shs,138.8,144.2,136.6,140.2,55618,0
2015-05-14,D,Imagicaaworld Entertainment Ord Shs,141.0,166.4,140.55,162.85,896401,0
2015-05-15,D,Imagicaaworld Entertainment Ord Shs,164.3,167.0,155.35,158.15,166199,0
2015-05-18,D,Imagicaaworld Entertainment Ord Shs,159.0,159.0,153.0,153.95,34850,0
2015-05-19,D,Imagicaaworld Entertainment Ord Shs,154.0,168.9,150.25,165.95,259921,0
2015-05-20,D,Imagicaaworld Entertainment Ord Shs,167.9,182.0,164.25,177.45,766031,0
2015-05-21,D,Imagicaaworld Entertainment Ord Shs,179.0,181.5,173.3,179.75,260362,0
2015-05-22,D,Imagicaaworld Entertainment Ord Shs,177.1,179.0,169.5,171.7,50106,0
2015-05-25,D,Imagicaaworld Entertainment Ord Shs,172.0,175.0,168.15,169.75,41337,0
2015-05-26,D,Imagicaaworld Entertainment Ord Shs,171.0,173.0,167.8,168.05,40801,0
2015-05-27,D,Imagicaaworld Entertainment Ord Shs,167.25,174.0,161.05,163.1,58571,0
2015-05-28,D,Imagicaaworld Entertainment Ord Shs,154.95,158.0,144.4,147.2,201901,0
2015-05-29,D,Imagicaaworld Entertainment Ord Shs,152.8,159.9,147.5,150.85,199973,0
2015-06-01,D,Imagicaaworld Entertainment Ord Shs,152.35,157.9,149.7,151.55,40595,0
2015-06-02,D,Imagicaaworld Entertainment Ord Shs,150.3,154.2,145.3,146.9,38401,0
2015-06-03,D,Imagicaaworld Entertainment Ord Shs,146.35,148.35,138.0,139.55,49742,0
2015-06-04,D,Imagicaaworld Entertainment Ord Shs,140.0,141.9,131.4,132.65,185982,0
2015-06-05,D,Imagicaaworld Entertainment Ord Shs,130.5,139.4,130.5,137.05,54303,0
2015-06-08,D,Imagicaaworld Entertainment Ord Shs,137.6,141.3,135.5,138.7,37068,0
