Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2010-07-23,D,Indian Metals and Ferro Alloys Ord Shs,357.474641,367.320133,343.490123,346.992375,62574,0
2010-07-26,D,Indian Metals and Ferro Alloys Ord Shs,350.225223,351.106909,343.367666,344.543248,3300,0
2010-07-27,D,Indian Metals and Ferro Alloys Ord Shs,342.877841,347.28627,337.979586,343.392158,1794,0
2010-07-28,D,Indian Metals and Ferro Alloys Ord Shs,355.074496,355.074496,339.00822,339.987871,556,0
2010-07-29,D,Indian Metals and Ferro Alloys Ord Shs,311.284097,341.89819,311.284097,341.89819,1134,0
2010-07-30,D,Indian Metals and Ferro Alloys Ord Shs,337.979586,341.408365,336.069267,339.253132,1390,0
2010-08-02,D,Indian Metals and Ferro Alloys Ord Shs,338.469412,346.796445,336.020284,338.591868,2870,0
2010-08-03,D,Indian Metals and Ferro Alloys Ord Shs,341.408365,342.877841,338.542885,339.253132,4460,0
2010-08-04,D,Indian Metals and Ferro Alloys Ord Shs,338.469412,342.779876,329.187219,333.914035,2466,0
2010-08-05,D,Indian Metals and Ferro Alloys Ord Shs,333.571157,335.530459,325.733949,330.436274,1320,0
2010-08-06,D,Indian Metals and Ferro Alloys Ord Shs,330.632204,334.991651,323.529734,325.929879,2632,0
2010-08-09,D,Indian Metals and Ferro Alloys Ord Shs,328.183076,360.021733,328.183076,355.196952,7878,0
2010-08-10,D,Indian Metals and Ferro Alloys Ord Shs,355.196952,355.196952,344.420791,347.800587,5388,0
2010-08-11,D,Indian Metals and Ferro Alloys Ord Shs,338.469412,348.265921,338.469412,339.277624,1218,0
2010-08-12,D,Indian Metals and Ferro Alloys Ord Shs,338.004077,342.388016,336.51011,338.24899,1144,0
2010-08-13,D,Indian Metals and Ferro Alloys Ord Shs,328.183076,341.800225,328.183076,334.060982,1920,0
2010-08-16,D,Indian Metals and Ferro Alloys Ord Shs,337.979586,352.919263,335.603933,344.420791,18156,0
2010-08-17,D,Indian Metals and Ferro Alloys Ord Shs,343.367666,345.326968,338.175516,342.877841,2402,0
2010-08-18,D,Indian Metals and Ferro Alloys Ord Shs,339.00822,352.674351,339.00822,344.249352,6182,0
2010-08-19,D,Indian Metals and Ferro Alloys Ord Shs,349.735398,350.225223,338.24899,339.79194,2670,0
2010-08-20,D,Indian Metals and Ferro Alloys Ord Shs,338.028569,342.779876,335.530459,336.852988,1302,0
2010-08-23,D,Indian Metals and Ferro Alloys Ord Shs,335.530459,342.388016,333.081331,334.550808,1600,0
