Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2019-07-04,D,IndiaMart Intermesh Ord Shs,590.0,669.0,590.0,650.975,15123226,0
2019-07-05,D,IndiaMart Intermesh Ord Shs,656.85,673.85,652.5,662.775,2809364,0
2019-07-08,D,IndiaMart Intermesh Ord Shs,656.0,684.35,649.55,673.725,925882,0
2019-07-09,D,IndiaMart Intermesh Ord Shs,670.0,676.85,660.85,663.8,351768,0
2019-07-10,D,IndiaMart Intermesh Ord Shs,664.9,668.55,660.8,662.625,126072,0
2019-07-11,D,IndiaMart Intermesh Ord Shs,669.0,669.0,661.725,662.525,158714,0
2019-07-12,D,IndiaMart Intermesh Ord Shs,662.5,670.0,622.5,651.6,390750,0
2019-07-15,D,IndiaMart Intermesh Ord Shs,650.0,661.5,630.0,634.5,111966,0
2019-07-16,D,IndiaMart Intermesh Ord Shs,637.425,637.975,625.0,626.225,109908,0
2019-07-17,D,IndiaMart Intermesh Ord Shs,628.4,647.625,623.175,642.05,202698,0
2019-07-18,D,IndiaMart Intermesh Ord Shs,637.5,637.5,631.0,632.5,70828,0
2019-07-19,D,IndiaMart Intermesh Ord Shs,635.975,636.45,612.5,612.975,91318,0
2019-07-22,D,IndiaMart Intermesh Ord Shs,614.85,614.85,595.0,603.975,56598,0
2019-07-23,D,IndiaMart Intermesh Ord Shs,607.5,616.475,601.95,605.25,79746,0
2019-07-24,D,IndiaMart Intermesh Ord Shs,605.5,614.95,605.0,608.775,60540,0
2019-07-25,D,IndiaMart Intermesh Ord Shs,610.0,630.5,605.5,624.825,79544,0
2019-07-26,D,IndiaMart Intermesh Ord Shs,622.475,642.3,602.5,611.4,34736,0
2019-07-29,D,IndiaMart Intermesh Ord Shs,608.5,612.475,600.0,602.825,28834,0
2019-07-30,D,IndiaMart Intermesh Ord Shs,605.45,620.025,594.0,612.125,71154,0
2019-07-31,D,IndiaMart Intermesh Ord Shs,612.0,612.0,595.5,601.85,44166,0
2019-08-01,D,IndiaMart Intermesh Ord Shs,630.0,637.925,600.0,608.675,591232,0
2019-08-02,D,IndiaMart Intermesh Ord Shs,614.5,621.0,597.025,614.75,374786,0
2019-08-05,D,IndiaMart Intermesh Ord Shs,612.5,612.525,592.0,595.05,94144,0
2019-08-06,D,IndiaMart Intermesh Ord Shs,594.0,604.25,592.75,596.65,46806,0
2019-08-07,D,IndiaMart Intermesh Ord Shs,603.5,603.5,596.0,599.975,202008,0
2019-08-08,D,IndiaMart Intermesh Ord Shs,598.5,600.975,551.475,585.025,85604,0
2019-08-09,D,IndiaMart Intermesh Ord Shs,587.5,599.0,577.375,585.15,43740,0
2019-08-13,D,IndiaMart Intermesh Ord Shs,592.0,593.5,576.025,580.125,76008,0
2019-08-14,D,IndiaMart Intermesh Ord Shs,587.375,587.375,553.275,566.3,37406,0
2019-08-16,D,IndiaMart Intermesh Ord Shs,565.0,585.0,557.4,574.95,43936,0
2019-08-19,D,IndiaMart Intermesh Ord Shs,575.125,590.0,573.975,588.225,54920,0
2019-08-20,D,IndiaMart Intermesh Ord Shs,592.0,597.475,577.6,582.75,24648,0
2019-08-21,D,IndiaMart Intermesh Ord Shs,586.975,586.975,570.0,573.975,13462,0
2019-08-22,D,IndiaMart Intermesh Ord Shs,573.975,580.0,555.0,575.15,32894,0
2019-08-23,D,IndiaMart Intermesh Ord Shs,575.0,580.0,565.025,576.35,14706,0
2019-08-26,D,IndiaMart Intermesh Ord Shs,589.95,589.95,575.0,580.15,28192,0
2019-08-27,D,IndiaMart Intermesh Ord Shs,588.35,592.5,580.0,587.025,57142,0
2019-08-28,D,IndiaMart Intermesh Ord Shs,585.0,590.0,574.05,579.65,20426,0
2019-08-29,D,IndiaMart Intermesh Ord Shs,581.925,603.2,572.625,593.9,82222,0
2019-08-30,D,IndiaMart Intermesh Ord Shs,585.625,604.925,565.15,600.025,89992,0
2019-09-03,D,IndiaMart Intermesh Ord Shs,599.975,605.0,580.0,600.025,30088,0
2019-09-04,D,IndiaMart Intermesh Ord Shs,606.95,625.0,596.55,610.175,115604,0
2019-09-05,D,IndiaMart Intermesh Ord Shs,617.35,624.95,608.65,618.075,247540,0
2019-09-06,D,IndiaMart Intermesh Ord Shs,619.975,741.675,618.5,723.6,546160,0
2019-09-09,D,IndiaMart Intermesh Ord Shs,731.675,857.5,725.05,805.35,1372824,0
2019-09-11,D,IndiaMart Intermesh Ord Shs,801.5,835.95,791.125,800.15,503716,0
2019-09-12,D,IndiaMart Intermesh Ord Shs,807.5,825.0,770.5,808.975,194636,0
2019-09-13,D,IndiaMart Intermesh Ord Shs,814.95,832.5,793.975,811.75,200578,0
2019-09-16,D,IndiaMart Intermesh Ord Shs,811.75,832.5,800.0,825.1,98688,0
2019-09-17,D,IndiaMart Intermesh Ord Shs,825.0,861.0,820.05,845.95,258008,0
2019-09-18,D,IndiaMart Intermesh Ord Shs,853.5,891.7,849.95,872.675,263372,0
2019-09-19,D,IndiaMart Intermesh Ord Shs,875.5,889.65,790.55,814.725,290860,0
2019-09-20,D,IndiaMart Intermesh Ord Shs,824.975,869.95,801.525,842.325,206970,0
2019-09-23,D,IndiaMart Intermesh Ord Shs,845.0,861.975,835.225,850.35,197646,0
2019-09-24,D,IndiaMart Intermesh Ord Shs,850.975,946.1,846.0,928.95,373370,0
2019-09-25,D,IndiaMart Intermesh Ord Shs,940.0,985.0,921.55,937.725,226862,0
2019-09-26,D,IndiaMart Intermesh Ord Shs,942.5,972.425,939.65,952.175,97192,0
2019-09-27,D,IndiaMart Intermesh Ord Shs,962.5,970.0,938.5,946.175,80704,0
2019-09-30,D,IndiaMart Intermesh Ord Shs,958.5,958.5,882.625,884.525,66476,0
