Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2011-03-11,D,Indian Terrain Fashions Ord Shs,7.86,18.02,7.86,16.71,292274.995645,0
2011-03-14,D,Indian Terrain Fashions Ord Shs,15.88,15.88,15.88,15.88,23689.999647,1
2011-03-15,D,Indian Terrain Fashions Ord Shs,15.09,15.09,15.09,15.09,1159.999983,1
2011-03-16,D,Indian Terrain Fashions Ord Shs,14.34,14.99,14.34,14.34,62994.999061,1
2011-03-17,D,Indian Terrain Fashions Ord Shs,13.63,14.2,13.63,13.63,76699.998857,1
2011-03-18,D,Indian Terrain Fashions Ord Shs,13.03,13.58,12.95,13.0,46984.9993,0
2011-03-21,D,Indian Terrain Fashions Ord Shs,12.35,13.3,12.35,12.67,8979.999866,0
2011-03-22,D,Indian Terrain Fashions Ord Shs,12.62,13.31,12.62,13.31,7559.999887,0
2011-03-23,D,Indian Terrain Fashions Ord Shs,13.98,13.98,13.33,13.8,78119.998836,0
2011-03-24,D,Indian Terrain Fashions Ord Shs,13.25,13.96,13.25,13.96,45279.999325,0
2011-03-25,D,Indian Terrain Fashions Ord Shs,14.45,14.45,13.6,14.16,6749.999899,0
2011-03-28,D,Indian Terrain Fashions Ord Shs,14.0,14.0,13.1,13.56,9789.999854,0
2011-03-29,D,Indian Terrain Fashions Ord Shs,12.44,14.0,12.44,13.24,1129.999983,0
2011-03-30,D,Indian Terrain Fashions Ord Shs,12.85,13.8,12.85,13.42,8134.999879,0
2011-03-31,D,Indian Terrain Fashions Ord Shs,14.0,14.0,13.22,14.0,6964.999896,1
2011-04-01,D,Indian Terrain Fashions Ord Shs,14.0,14.98,12.82,14.29,45414.999323,0
2011-04-04,D,Indian Terrain Fashions Ord Shs,13.6,15.17,13.6,14.98,10184.999848,0
2011-04-05,D,Indian Terrain Fashions Ord Shs,14.36,14.98,14.36,14.59,8184.999878,0
2011-04-06,D,Indian Terrain Fashions Ord Shs,15.34,15.34,14.06,14.62,20114.9997,0
2011-04-07,D,Indian Terrain Fashions Ord Shs,14.42,14.6,14.42,14.59,3729.999944,0
2011-04-08,D,Indian Terrain Fashions Ord Shs,14.6,15.28,14.05,15.06,15899.999763,0
2011-04-11,D,Indian Terrain Fashions Ord Shs,14.72,15.36,14.72,14.82,4379.999935,0
2011-04-13,D,Indian Terrain Fashions Ord Shs,14.2,15.4,14.2,14.62,4324.999936,0
2011-04-15,D,Indian Terrain Fashions Ord Shs,15.0,15.02,13.25,14.22,17414.99974,0
2011-04-18,D,Indian Terrain Fashions Ord Shs,14.8,15.5,14.22,14.99,3309.999951,0
2011-04-19,D,Indian Terrain Fashions Ord Shs,12.02,15.19,12.02,14.52,10504.999843,0
2011-04-20,D,Indian Terrain Fashions Ord Shs,12.0,15.0,12.0,14.61,12474.999814,0
2011-04-21,D,Indian Terrain Fashions Ord Shs,13.64,14.6,13.64,14.28,11339.999831,0
2011-04-25,D,Indian Terrain Fashions Ord Shs,13.6,15.54,13.6,15.47,6344.999905,0
2011-04-26,D,Indian Terrain Fashions Ord Shs,14.8,15.2,14.8,15.2,1119.999983,0
2011-04-27,D,Indian Terrain Fashions Ord Shs,15.6,15.6,14.48,14.8,63219.999058,0
2011-04-28,D,Indian Terrain Fashions Ord Shs,14.7,15.29,14.7,15.11,14384.999786,0
2011-04-29,D,Indian Terrain Fashions Ord Shs,15.0,15.96,14.4,14.92,4599.999931,0
2011-05-02,D,Indian Terrain Fashions Ord Shs,14.98,16.0,14.98,15.86,5984.999911,0
2011-05-03,D,Indian Terrain Fashions Ord Shs,15.2,16.4,14.87,16.18,10909.999837,0
2011-05-04,D,Indian Terrain Fashions Ord Shs,15.4,16.3,15.05,15.13,1584.999976,0
2011-05-05,D,Indian Terrain Fashions Ord Shs,14.33,15.0,14.33,14.68,924.999986,0
