Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-05-02,D,Infobeans Technologies Ord Shs,69.6,69.6,69.6,69.6,454000,1
2017-05-03,D,Infobeans Technologies Ord Shs,79.6,79.6,62.25,68.3,4186000,0
2017-05-04,D,Infobeans Technologies Ord Shs,69.25,69.25,63.6,65.15,602000,0
2017-05-05,D,Infobeans Technologies Ord Shs,64.75,65.45,62.5,63.2,322000,0
2017-05-08,D,Infobeans Technologies Ord Shs,63.5,64.65,63.15,63.45,130000,0
2017-05-09,D,Infobeans Technologies Ord Shs,64.4,64.45,60.0,60.3,248000,0
2017-05-10,D,Infobeans Technologies Ord Shs,60.0,64.85,57.55,61.95,518000,0
2017-05-11,D,Infobeans Technologies Ord Shs,62.5,66.0,62.5,63.9,196000,0
2017-05-12,D,Infobeans Technologies Ord Shs,63.6,65.0,63.15,63.55,74000,0
2017-05-15,D,Infobeans Technologies Ord Shs,65.0,65.0,63.0,63.15,44000,0
2017-05-16,D,Infobeans Technologies Ord Shs,63.15,64.25,63.0,63.25,34000,0
2017-05-17,D,Infobeans Technologies Ord Shs,64.75,74.3,64.0,71.15,728000,0
2017-05-18,D,Infobeans Technologies Ord Shs,71.0,72.6,69.0,69.2,182000,0
2017-05-19,D,Infobeans Technologies Ord Shs,69.75,76.6,69.75,71.9,362000,0
2017-05-22,D,Infobeans Technologies Ord Shs,73.95,77.35,73.0,76.25,374000,0
2017-05-23,D,Infobeans Technologies Ord Shs,76.5,76.5,69.55,70.7,176000,0
2017-05-24,D,Infobeans Technologies Ord Shs,70.5,71.5,65.0,68.35,106000,0
2017-05-25,D,Infobeans Technologies Ord Shs,68.7,70.0,68.7,69.55,26000,0
2017-05-26,D,Infobeans Technologies Ord Shs,70.0,70.0,68.5,68.65,34000,0
2017-05-29,D,Infobeans Technologies Ord Shs,68.4,68.5,65.0,65.8,68000,0
2017-05-30,D,Infobeans Technologies Ord Shs,65.4,65.4,64.0,64.45,52000,0
2017-05-31,D,Infobeans Technologies Ord Shs,64.65,69.25,64.65,68.3,50000,0
2017-06-01,D,Infobeans Technologies Ord Shs,68.9,69.0,68.0,68.0,20000,0
2017-06-02,D,Infobeans Technologies Ord Shs,67.95,67.95,66.0,66.9,32000,0
2017-06-05,D,Infobeans Technologies Ord Shs,67.0,67.0,65.8,66.05,22000,0
2017-06-06,D,Infobeans Technologies Ord Shs,66.95,66.95,65.1,65.4,26000,0
2017-06-07,D,Infobeans Technologies Ord Shs,66.7,66.7,65.25,65.95,12000,0
2017-06-08,D,Infobeans Technologies Ord Shs,67.0,67.0,63.8,63.9,94000,0
2017-06-09,D,Infobeans Technologies Ord Shs,64.1,64.65,63.9,63.95,44000,0
2017-06-12,D,Infobeans Technologies Ord Shs,65.15,65.45,64.4,64.6,36000,0
2017-06-13,D,Infobeans Technologies Ord Shs,65.4,66.5,65.25,65.5,26000,0
2017-06-14,D,Infobeans Technologies Ord Shs,64.75,64.75,64.0,64.0,10000,0
2017-06-15,D,Infobeans Technologies Ord Shs,64.85,66.0,64.85,66.0,38000,0
2017-06-16,D,Infobeans Technologies Ord Shs,65.5,65.5,64.3,64.55,30000,0
