Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-12-12,D,Innovana Thinklabs Ord Shs,15.4,16.8,15.0,16.72,2529999.9623,0
2017-12-13,D,Innovana Thinklabs Ord Shs,16.6,19.22,16.6,16.97,769999.988526,0
2017-12-14,D,Innovana Thinklabs Ord Shs,16.7,16.85,15.56,16.5,289999.995679,0
2017-12-15,D,Innovana Thinklabs Ord Shs,16.95,19.0,16.55,18.26,979999.985397,0
2017-12-18,D,Innovana Thinklabs Ord Shs,16.02,18.96,16.02,18.69,399999.99404,0
2017-12-19,D,Innovana Thinklabs Ord Shs,18.7,19.68,18.7,19.0,379999.994338,0
2017-12-20,D,Innovana Thinklabs Ord Shs,18.41,19.28,18.41,18.85,1279999.980927,0
2017-12-21,D,Innovana Thinklabs Ord Shs,19.3,19.3,18.42,18.49,69999.998957,0
2017-12-22,D,Innovana Thinklabs Ord Shs,18.96,22.18,18.96,22.16,339999.994934,0
2017-12-26,D,Innovana Thinklabs Ord Shs,22.11,26.59,22.11,26.59,159999.997616,0
2017-12-27,D,Innovana Thinklabs Ord Shs,28.0,29.24,28.0,29.24,39999.999404,0
2017-12-28,D,Innovana Thinklabs Ord Shs,32.16,32.16,32.16,32.16,39999.999404,1
2017-12-29,D,Innovana Thinklabs Ord Shs,35.370001,35.370001,35.370001,35.370001,59999.999106,1
2018-01-01,D,Innovana Thinklabs Ord Shs,37.110001,37.110001,37.110001,37.110001,59999.999106,1
2018-01-02,D,Innovana Thinklabs Ord Shs,38.950001,38.960001,38.950001,38.960001,49999.999255,0
2018-01-03,D,Innovana Thinklabs Ord Shs,40.900001,40.900001,40.900001,40.900001,19999.999702,1
2018-01-04,D,Innovana Thinklabs Ord Shs,42.940001,42.940001,39.000001,39.490001,309999.995381,0
2018-01-05,D,Innovana Thinklabs Ord Shs,37.520001,37.520001,37.520001,37.520001,49999.999255,1
2018-01-08,D,Innovana Thinklabs Ord Shs,35.650001,35.650001,35.650001,35.650001,9999.999851,1
2018-01-10,D,Innovana Thinklabs Ord Shs,33.870001,33.870001,33.870001,33.870001,9999.999851,1
2018-01-11,D,Innovana Thinklabs Ord Shs,32.18,33.860001,32.18,33.0,99999.99851,0
2018-01-12,D,Innovana Thinklabs Ord Shs,31.55,31.7,31.35,31.7,69999.998957,0
2018-01-15,D,Innovana Thinklabs Ord Shs,33.28,33.28,32.0,32.3,39999.999404,0
2018-01-16,D,Innovana Thinklabs Ord Shs,31.5,31.62,31.5,31.56,19999.999702,0
2018-01-17,D,Innovana Thinklabs Ord Shs,33.0,33.13,33.0,33.13,19999.999702,0
2018-01-18,D,Innovana Thinklabs Ord Shs,34.780001,34.780001,33.1,33.1,29999.999553,0
2018-01-19,D,Innovana Thinklabs Ord Shs,32.3,34.750001,31.45,31.6,749999.988824,0
2018-01-22,D,Innovana Thinklabs Ord Shs,33.14,33.18,31.4,31.4,39999.999404,0
2018-01-23,D,Innovana Thinklabs Ord Shs,32.97,32.97,30.56,32.97,59999.999106,1
2018-01-24,D,Innovana Thinklabs Ord Shs,34.600001,34.610001,32.8,34.470001,329999.995083,0
2018-01-25,D,Innovana Thinklabs Ord Shs,32.8,32.8,32.8,32.8,69999.998957,1
2018-01-29,D,Innovana Thinklabs Ord Shs,34.440001,34.440001,32.2,32.44,89999.998659,0
2018-01-30,D,Innovana Thinklabs Ord Shs,34.060001,34.060001,31.24,31.24,19999.999702,0
2018-01-31,D,Innovana Thinklabs Ord Shs,32.8,32.8,32.8,32.8,9999.999851,1
2018-02-01,D,Innovana Thinklabs Ord Shs,33.01,33.01,33.01,33.01,9999.999851,1
2018-02-02,D,Innovana Thinklabs Ord Shs,31.36,33.0,31.36,33.0,19999.999702,0
2018-02-05,D,Innovana Thinklabs Ord Shs,31.35,33.0,31.35,33.0,39999.999404,0
2018-02-06,D,Innovana Thinklabs Ord Shs,31.35,33.38,31.35,33.37,69999.998957,0
2018-02-07,D,Innovana Thinklabs Ord Shs,33.600001,34.000001,33.600001,34.000001,39999.999404,0
2018-02-09,D,Innovana Thinklabs Ord Shs,37.200001,37.400001,37.200001,37.400001,89999.998659,0
2018-02-12,D,Innovana Thinklabs Ord Shs,40.000001,41.140001,40.000001,41.140001,59999.999106,0
2018-02-14,D,Innovana Thinklabs Ord Shs,45.180001,45.250001,42.000001,43.800001,279999.995828,0
2018-02-15,D,Innovana Thinklabs Ord Shs,45.900001,45.990001,45.200001,45.990001,59999.999106,0
2018-02-16,D,Innovana Thinklabs Ord Shs,43.700001,48.280001,43.700001,48.280001,149999.997765,0
2018-02-19,D,Innovana Thinklabs Ord Shs,49.000001,49.590001,49.000001,49.590001,29999.999553,0
2018-02-20,D,Innovana Thinklabs Ord Shs,47.120001,47.140001,47.120001,47.140001,29999.999553,0
2018-02-21,D,Innovana Thinklabs Ord Shs,49.490001,49.490001,49.440001,49.440001,19999.999702,0
2018-02-22,D,Innovana Thinklabs Ord Shs,47.040001,47.040001,47.000001,47.000001,19999.999702,0
2018-02-23,D,Innovana Thinklabs Ord Shs,44.650001,44.650001,44.650001,44.650001,9999.999851,1
2018-02-26,D,Innovana Thinklabs Ord Shs,45.400001,45.590001,42.500001,45.590001,109999.998361,0
2018-02-28,D,Innovana Thinklabs Ord Shs,45.600001,45.600001,43.600001,43.650001,139999.997914,0
2018-03-06,D,Innovana Thinklabs Ord Shs,42.030001,45.830001,42.030001,44.780001,199999.99702,0
2018-03-07,D,Innovana Thinklabs Ord Shs,43.600001,43.600001,42.600001,42.600001,59999.999106,0
2018-03-08,D,Innovana Thinklabs Ord Shs,43.600001,43.600001,43.600001,43.600001,9999.999851,1
2018-03-09,D,Innovana Thinklabs Ord Shs,45.000001,45.000001,45.000001,45.000001,59999.999106,1
2018-03-12,D,Innovana Thinklabs Ord Shs,44.000001,44.000001,44.000001,44.000001,9999.999851,1
2018-03-13,D,Innovana Thinklabs Ord Shs,42.000001,45.600001,42.000001,45.600001,99999.99851,0
2018-03-15,D,Innovana Thinklabs Ord Shs,43.450001,47.300001,43.450001,47.300001,89999.998659,0
2018-03-16,D,Innovana Thinklabs Ord Shs,49.400001,49.400001,46.200001,46.200001,19999.999702,0
2018-03-19,D,Innovana Thinklabs Ord Shs,47.400001,47.800001,45.100001,47.800001,119999.998212,0
2018-03-20,D,Innovana Thinklabs Ord Shs,48.400001,48.400001,46.400001,46.400001,149999.997765,0
2018-03-21,D,Innovana Thinklabs Ord Shs,48.550001,48.550001,46.200001,46.200001,19999.999702,0
