Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-03-23,D,Intense Technologies Ord Shs,182.0,182.0,170.85,170.85,87665,0
2017-03-24,D,Intense Technologies Ord Shs,171.0,174.0,164.3,167.8,48946,0
2017-03-27,D,Intense Technologies Ord Shs,168.0,168.7,160.8,163.75,29004,0
2017-03-28,D,Intense Technologies Ord Shs,161.3,165.0,155.6,156.15,75252,0
2017-03-29,D,Intense Technologies Ord Shs,159.9,163.05,152.0,154.6,112407,0
2017-03-30,D,Intense Technologies Ord Shs,152.7,159.5,152.7,157.8,70279,0
2017-03-31,D,Intense Technologies Ord Shs,155.35,159.0,154.7,155.3,69438,0
2017-04-03,D,Intense Technologies Ord Shs,152.5,163.05,152.35,156.0,166354,0
2017-04-05,D,Intense Technologies Ord Shs,152.6,155.9,148.55,149.55,149467,0
2017-04-06,D,Intense Technologies Ord Shs,150.0,150.0,142.25,146.15,98287,0
2017-04-07,D,Intense Technologies Ord Shs,145.0,153.45,142.5,150.9,281158,0
2017-04-10,D,Intense Technologies Ord Shs,153.9,153.9,147.6,149.8,76334,0
2017-04-11,D,Intense Technologies Ord Shs,154.0,157.0,147.5,153.95,61815,0
2017-04-12,D,Intense Technologies Ord Shs,153.4,155.95,151.0,152.0,30697,0
2017-04-13,D,Intense Technologies Ord Shs,151.55,153.1,146.45,147.1,45872,0
2017-04-17,D,Intense Technologies Ord Shs,152.6,152.6,145.0,149.9,42274,0
2017-04-18,D,Intense Technologies Ord Shs,149.9,154.75,146.5,147.3,33341,0
2017-04-19,D,Intense Technologies Ord Shs,148.3,149.5,140.0,142.25,44121,0
2017-04-20,D,Intense Technologies Ord Shs,143.0,145.25,136.05,136.6,93193,0
2017-04-21,D,Intense Technologies Ord Shs,134.9,137.0,128.0,133.05,202495,0
2017-04-24,D,Intense Technologies Ord Shs,134.95,145.0,133.0,139.55,97551,0
2017-04-25,D,Intense Technologies Ord Shs,139.6,145.9,139.6,141.2,59795,0
2017-04-26,D,Intense Technologies Ord Shs,141.75,144.0,135.75,136.6,33105,0
2017-04-27,D,Intense Technologies Ord Shs,136.3,136.3,130.55,131.7,51239,0
2017-04-28,D,Intense Technologies Ord Shs,135.45,137.75,130.0,130.7,26513,0
2017-05-02,D,Intense Technologies Ord Shs,130.5,143.75,118.0,141.2,272286,0
2017-05-03,D,Intense Technologies Ord Shs,140.5,145.0,135.0,139.45,116896,0
2017-05-04,D,Intense Technologies Ord Shs,141.0,141.9,135.0,136.9,29872,0
2017-05-05,D,Intense Technologies Ord Shs,132.3,138.7,127.4,130.1,83154,0
2017-05-08,D,Intense Technologies Ord Shs,127.4,136.5,125.45,132.3,26289,0
2017-05-09,D,Intense Technologies Ord Shs,134.95,135.0,128.0,129.2,24820,0
2017-05-10,D,Intense Technologies Ord Shs,129.6,136.5,129.5,135.1,91485,0
2017-05-11,D,Intense Technologies Ord Shs,136.3,136.5,132.1,132.9,22636,0
2017-05-12,D,Intense Technologies Ord Shs,132.55,133.45,131.25,132.65,18286,0
2017-05-15,D,Intense Technologies Ord Shs,136.0,139.0,130.0,132.1,29946,0
2017-05-16,D,Intense Technologies Ord Shs,131.85,134.7,130.4,130.85,37656,0
2017-05-17,D,Intense Technologies Ord Shs,131.0,133.4,130.0,130.65,25498,0
2017-05-18,D,Intense Technologies Ord Shs,128.0,130.0,123.0,125.85,35988,0
2017-05-19,D,Intense Technologies Ord Shs,125.85,129.6,122.0,126.75,33785,0
2017-05-22,D,Intense Technologies Ord Shs,129.55,131.4,123.0,125.0,72500,0
2017-05-23,D,Intense Technologies Ord Shs,125.0,129.95,121.25,122.9,44949,0
2017-05-24,D,Intense Technologies Ord Shs,125.7,125.7,115.0,118.35,25349,0
2017-05-25,D,Intense Technologies Ord Shs,118.6,120.0,114.15,116.0,40826,0
2017-05-26,D,Intense Technologies Ord Shs,118.0,127.6,113.5,121.45,76011,0
2017-05-29,D,Intense Technologies Ord Shs,126.3,127.6,119.3,120.05,31244,0
2017-05-30,D,Intense Technologies Ord Shs,115.6,121.5,115.6,116.65,22509,0
2017-05-31,D,Intense Technologies Ord Shs,105.0,105.3,105.0,105.0,124434,1
2017-06-01,D,Intense Technologies Ord Shs,96.15,115.5,96.15,115.4,286421,0
2017-06-02,D,Intense Technologies Ord Shs,121.0,126.9,111.5,124.3,204532,0
2017-06-05,D,Intense Technologies Ord Shs,125.9,132.85,125.0,128.55,89655,0
2017-06-06,D,Intense Technologies Ord Shs,127.9,128.0,123.1,125.1,29087,0
2017-06-07,D,Intense Technologies Ord Shs,126.3,140.1,123.0,134.8,83130,0
2017-06-08,D,Intense Technologies Ord Shs,137.15,143.75,137.0,139.05,95296,0
2017-06-09,D,Intense Technologies Ord Shs,139.9,143.0,136.0,137.0,62144,0
2017-06-12,D,Intense Technologies Ord Shs,136.95,139.15,132.05,133.9,44985,0
2017-06-13,D,Intense Technologies Ord Shs,137.35,137.4,130.3,132.25,25327,0
2017-06-14,D,Intense Technologies Ord Shs,133.0,134.05,125.5,128.1,33900,0
2017-06-15,D,Intense Technologies Ord Shs,126.15,129.35,123.0,124.3,40685,0
2017-06-16,D,Intense Technologies Ord Shs,123.25,126.0,121.0,122.7,27800,0
2017-06-19,D,Intense Technologies Ord Shs,124.8,124.95,121.25,121.7,59040,0
2017-06-20,D,Intense Technologies Ord Shs,121.6,124.0,119.45,122.2,69589,0
2017-06-21,D,Intense Technologies Ord Shs,122.0,133.2,120.5,127.25,42308,0
2017-06-22,D,Intense Technologies Ord Shs,127.0,128.1,122.5,123.15,22967,0
2017-06-23,D,Intense Technologies Ord Shs,123.9,123.9,118.0,120.3,24081,0
2017-06-27,D,Intense Technologies Ord Shs,123.7,124.2,119.5,121.8,38096,0
2017-06-28,D,Intense Technologies Ord Shs,121.8,124.6,120.0,120.7,28748,0
2017-06-29,D,Intense Technologies Ord Shs,124.6,124.6,121.1,122.0,17046,0
2017-06-30,D,Intense Technologies Ord Shs,123.95,123.95,118.15,120.15,18449,0
2017-07-03,D,Intense Technologies Ord Shs,122.5,125.9,120.1,120.6,20724,0
2017-07-04,D,Intense Technologies Ord Shs,120.6,123.3,118.85,119.55,37947,0
2017-07-05,D,Intense Technologies Ord Shs,120.95,122.5,119.9,120.9,16715,0
2017-07-06,D,Intense Technologies Ord Shs,122.7,123.3,116.25,116.55,57019,0
2017-07-07,D,Intense Technologies Ord Shs,118.95,120.0,114.0,115.85,52670,0
2017-07-10,D,Intense Technologies Ord Shs,115.8,120.0,110.0,112.95,12383,0
2017-07-11,D,Intense Technologies Ord Shs,115.75,117.8,108.4,109.7,96456,0
2017-07-12,D,Intense Technologies Ord Shs,111.4,113.9,109.75,111.2,53642,0
2017-07-13,D,Intense Technologies Ord Shs,110.2,133.0,106.8,126.75,436231,0
2017-07-14,D,Intense Technologies Ord Shs,127.25,131.8,121.55,123.7,111686,0
2017-07-17,D,Intense Technologies Ord Shs,124.0,127.0,119.6,120.1,56391,0
2017-07-18,D,Intense Technologies Ord Shs,120.0,120.0,116.25,117.2,30688,0
2017-07-19,D,Intense Technologies Ord Shs,117.0,127.2,115.4,119.8,84031,0
2017-07-20,D,Intense Technologies Ord Shs,119.5,120.85,116.6,117.45,37103,0
2017-07-21,D,Intense Technologies Ord Shs,118.0,118.0,114.6,115.55,72876,0
2017-07-24,D,Intense Technologies Ord Shs,115.35,123.0,115.2,117.25,93296,0
2017-07-25,D,Intense Technologies Ord Shs,118.8,122.0,116.0,116.4,50700,0
2017-07-26,D,Intense Technologies Ord Shs,116.4,118.4,113.3,113.65,46338,0
2017-07-27,D,Intense Technologies Ord Shs,113.75,117.0,111.25,112.35,39442,0
2017-07-28,D,Intense Technologies Ord Shs,112.35,114.55,111.4,112.25,27735,0
2017-07-31,D,Intense Technologies Ord Shs,112.0,113.3,109.0,110.5,51115,0
2017-08-01,D,Intense Technologies Ord Shs,110.05,112.4,109.0,110.8,24657,0
2017-08-02,D,Intense Technologies Ord Shs,110.0,112.0,106.1,107.45,53143,0
2017-08-03,D,Intense Technologies Ord Shs,107.05,107.8,102.0,102.55,46070,0
2017-08-04,D,Intense Technologies Ord Shs,103.0,104.5,101.0,101.55,29264,0
2017-08-07,D,Intense Technologies Ord Shs,101.85,104.3,95.95,97.55,86245,0
2017-08-08,D,Intense Technologies Ord Shs,101.45,102.4,91.0,91.75,103005,0
2017-08-09,D,Intense Technologies Ord Shs,92.05,92.05,80.15,84.75,225907,0
2017-08-10,D,Intense Technologies Ord Shs,84.75,87.8,80.1,81.35,116440,0
2017-08-11,D,Intense Technologies Ord Shs,80.0,86.4,74.8,84.6,153122,0
2017-08-14,D,Intense Technologies Ord Shs,85.75,87.25,84.85,85.45,25616,0
2017-08-16,D,Intense Technologies Ord Shs,86.05,87.7,85.15,86.0,44449,0
2017-08-17,D,Intense Technologies Ord Shs,87.15,87.25,84.3,84.85,30873,0
2017-08-18,D,Intense Technologies Ord Shs,87.2,93.0,82.0,86.25,125308,0
2017-08-21,D,Intense Technologies Ord Shs,89.65,89.65,83.8,84.65,26037,0
2017-08-22,D,Intense Technologies Ord Shs,86.7,86.7,82.25,82.7,23253,0
2017-08-23,D,Intense Technologies Ord Shs,84.4,84.75,82.25,83.95,27382,0
2017-08-24,D,Intense Technologies Ord Shs,84.35,98.8,82.0,87.55,268520,0
2017-08-28,D,Intense Technologies Ord Shs,93.8,93.8,86.0,86.6,85516,0
2017-08-29,D,Intense Technologies Ord Shs,86.1,88.5,84.25,84.7,53311,0
2017-08-30,D,Intense Technologies Ord Shs,84.65,86.0,84.45,85.05,44567,0
2017-08-31,D,Intense Technologies Ord Shs,86.35,88.0,84.95,87.1,29758,0
2017-09-01,D,Intense Technologies Ord Shs,86.05,89.55,85.75,86.55,25257,0
2017-09-04,D,Intense Technologies Ord Shs,88.4,88.4,85.0,86.1,21822,0
2017-09-05,D,Intense Technologies Ord Shs,84.3,87.4,84.2,85.35,22455,0
2017-09-06,D,Intense Technologies Ord Shs,83.25,86.45,83.25,85.2,30937,0
2017-09-07,D,Intense Technologies Ord Shs,84.4,100.4,84.4,97.85,300756,0
2017-09-08,D,Intense Technologies Ord Shs,99.95,105.5,98.0,102.0,184437,0
2017-09-11,D,Intense Technologies Ord Shs,101.0,103.05,97.8,98.45,50739,0
2017-09-12,D,Intense Technologies Ord Shs,79.2,89.7,79.2,85.6,340785,0
2017-09-13,D,Intense Technologies Ord Shs,83.2,86.05,83.0,83.45,70150,0
2017-09-14,D,Intense Technologies Ord Shs,84.0,85.25,81.75,82.75,32726,0
2017-09-15,D,Intense Technologies Ord Shs,83.45,83.5,79.0,80.0,156246,0
2017-09-18,D,Intense Technologies Ord Shs,82.8,82.8,79.85,80.15,121338,0
2017-09-19,D,Intense Technologies Ord Shs,80.85,95.75,80.35,93.25,373484,0
2017-09-20,D,Intense Technologies Ord Shs,93.25,93.75,86.15,87.35,75766,0
2017-09-21,D,Intense Technologies Ord Shs,90.0,90.0,84.95,86.15,55032,0
2017-09-22,D,Intense Technologies Ord Shs,87.0,87.55,83.1,84.85,30504,0
2017-09-25,D,Intense Technologies Ord Shs,84.85,86.0,79.5,81.65,69942,0
2017-09-26,D,Intense Technologies Ord Shs,81.6,87.75,81.6,83.65,66926,0
2017-09-27,D,Intense Technologies Ord Shs,85.0,88.75,81.2,82.35,41441,0
2017-09-28,D,Intense Technologies Ord Shs,83.5,84.5,82.5,83.25,27316,0
