Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2010-04-12,D,Intrasoft Technologies Ord Shs,150.0,167.4,124.0,159.1,22110514,0
2010-04-13,D,Intrasoft Technologies Ord Shs,159.0,159.0,152.0,154.4,3371371,0
2010-04-15,D,Intrasoft Technologies Ord Shs,154.05,156.4,151.7,153.35,957308,0
2010-04-16,D,Intrasoft Technologies Ord Shs,153.1,153.1,137.2,140.0,1068372,0
2010-04-19,D,Intrasoft Technologies Ord Shs,135.35,145.0,133.0,138.1,700175,0
2010-04-20,D,Intrasoft Technologies Ord Shs,139.75,140.35,132.0,133.7,236207,0
2010-04-21,D,Intrasoft Technologies Ord Shs,134.0,134.0,130.5,131.3,125554,0
2010-04-22,D,Intrasoft Technologies Ord Shs,131.4,131.4,126.1,127.2,142223,0
2010-04-23,D,Intrasoft Technologies Ord Shs,126.0,126.0,114.55,118.15,479609,0
2010-04-26,D,Intrasoft Technologies Ord Shs,118.5,137.25,113.35,133.4,3182346,0
2010-04-27,D,Intrasoft Technologies Ord Shs,132.4,132.8,122.4,125.75,1039992,0
2010-04-28,D,Intrasoft Technologies Ord Shs,124.0,129.3,120.5,123.5,514618,0
2010-04-29,D,Intrasoft Technologies Ord Shs,124.0,127.7,123.6,125.45,176943,0
2010-04-30,D,Intrasoft Technologies Ord Shs,126.0,127.95,120.55,124.3,281479,0
2010-05-03,D,Intrasoft Technologies Ord Shs,125.5,137.8,124.0,127.65,1714033,0
2010-05-04,D,Intrasoft Technologies Ord Shs,127.9,133.75,126.1,130.15,731734,0
2010-05-05,D,Intrasoft Technologies Ord Shs,128.0,129.25,124.55,126.65,430793,0
2010-05-06,D,Intrasoft Technologies Ord Shs,127.4,130.95,125.4,126.85,287571,0
2010-05-07,D,Intrasoft Technologies Ord Shs,125.1,126.0,121.2,122.3,80035,0
2010-05-10,D,Intrasoft Technologies Ord Shs,124.9,126.65,123.1,125.95,561668,0
2010-05-11,D,Intrasoft Technologies Ord Shs,126.1,130.0,125.75,126.3,265012,0
2010-05-12,D,Intrasoft Technologies Ord Shs,126.9,127.9,124.1,125.15,71671,0
2010-05-13,D,Intrasoft Technologies Ord Shs,126.85,126.85,122.2,123.35,50372,0
2010-05-14,D,Intrasoft Technologies Ord Shs,122.1,124.0,117.55,119.15,155782,0
2010-05-17,D,Intrasoft Technologies Ord Shs,118.95,118.95,112.1,114.8,64116,0
2010-05-18,D,Intrasoft Technologies Ord Shs,114.5,127.5,112.6,119.1,239461,0
2010-05-19,D,Intrasoft Technologies Ord Shs,117.75,124.8,114.1,116.1,98314,0
2010-05-20,D,Intrasoft Technologies Ord Shs,116.3,121.0,113.15,114.1,35163,0
2010-05-21,D,Intrasoft Technologies Ord Shs,112.1,112.1,105.5,106.2,65552,0
2010-05-24,D,Intrasoft Technologies Ord Shs,108.7,126.8,107.4,121.35,535208,0
2010-05-25,D,Intrasoft Technologies Ord Shs,120.0,122.0,112.0,112.95,241116,0
2010-05-26,D,Intrasoft Technologies Ord Shs,115.5,121.0,114.0,115.7,117653,0
2010-05-27,D,Intrasoft Technologies Ord Shs,116.9,118.5,112.4,114.65,48080,0
2010-05-28,D,Intrasoft Technologies Ord Shs,116.3,119.6,115.9,116.35,46429,0
2010-05-31,D,Intrasoft Technologies Ord Shs,115.0,121.5,115.0,117.45,79008,0
2010-06-01,D,Intrasoft Technologies Ord Shs,116.35,120.25,114.0,114.85,51664,0
2010-06-02,D,Intrasoft Technologies Ord Shs,120.0,120.0,113.2,114.5,32241,0
2010-06-03,D,Intrasoft Technologies Ord Shs,116.9,119.0,114.5,114.95,47108,0
2010-06-04,D,Intrasoft Technologies Ord Shs,115.9,116.85,112.25,113.5,23804,0
2010-06-07,D,Intrasoft Technologies Ord Shs,107.0,116.45,107.0,112.45,62178,0
2010-06-08,D,Intrasoft Technologies Ord Shs,112.9,115.9,112.55,112.85,47547,0
2010-06-09,D,Intrasoft Technologies Ord Shs,113.5,127.95,113.5,120.25,1196188,0
2010-06-10,D,Intrasoft Technologies Ord Shs,120.35,125.35,119.3,123.1,557953,0
2010-06-11,D,Intrasoft Technologies Ord Shs,120.9,124.7,119.0,119.65,227236,0
2010-06-14,D,Intrasoft Technologies Ord Shs,120.9,124.9,120.4,121.8,77448,0
2010-06-15,D,Intrasoft Technologies Ord Shs,123.9,126.5,121.0,122.6,133508,0
2010-06-16,D,Intrasoft Technologies Ord Shs,123.25,125.4,120.3,120.9,47669,0
2010-06-17,D,Intrasoft Technologies Ord Shs,121.85,124.85,120.9,122.35,51400,0
2010-06-18,D,Intrasoft Technologies Ord Shs,122.7,123.8,119.25,120.2,30959,0
2010-06-21,D,Intrasoft Technologies Ord Shs,121.3,122.9,120.1,120.35,27289,0
2010-06-22,D,Intrasoft Technologies Ord Shs,119.45,121.35,119.1,119.85,15696,0
2010-06-23,D,Intrasoft Technologies Ord Shs,119.9,122.0,119.6,120.5,101805,0
2010-06-24,D,Intrasoft Technologies Ord Shs,121.5,123.85,119.8,120.4,38948,0
2010-06-25,D,Intrasoft Technologies Ord Shs,120.0,123.85,120.0,121.2,58971,0
2010-06-28,D,Intrasoft Technologies Ord Shs,121.9,124.75,120.0,122.1,47889,0
2010-06-29,D,Intrasoft Technologies Ord Shs,122.9,122.9,117.75,118.5,37065,0
2010-06-30,D,Intrasoft Technologies Ord Shs,118.0,120.9,111.25,118.3,19065,0
2010-07-01,D,Intrasoft Technologies Ord Shs,117.1,120.75,117.1,120.05,51985,0
2010-07-02,D,Intrasoft Technologies Ord Shs,120.9,127.2,120.9,122.85,164245,0
2010-07-05,D,Intrasoft Technologies Ord Shs,122.0,124.5,121.3,122.55,22825,0
2010-07-06,D,Intrasoft Technologies Ord Shs,122.15,124.0,121.15,121.45,21813,0
2010-07-07,D,Intrasoft Technologies Ord Shs,121.9,123.95,121.15,122.1,83547,0
2010-07-08,D,Intrasoft Technologies Ord Shs,122.8,123.55,120.55,121.05,45466,0
2010-07-09,D,Intrasoft Technologies Ord Shs,122.1,122.1,120.0,120.3,14007,0
2010-07-12,D,Intrasoft Technologies Ord Shs,120.6,122.5,120.05,120.45,16397,0
2010-07-13,D,Intrasoft Technologies Ord Shs,120.9,122.9,120.55,121.9,32216,0
2010-07-14,D,Intrasoft Technologies Ord Shs,122.9,123.45,120.8,121.65,29318,0
2010-07-15,D,Intrasoft Technologies Ord Shs,122.05,122.05,119.8,120.1,14938,0
2010-07-16,D,Intrasoft Technologies Ord Shs,120.5,125.0,118.9,121.75,78258,0
2010-07-19,D,Intrasoft Technologies Ord Shs,121.0,123.9,121.0,121.1,51366,0
2010-07-20,D,Intrasoft Technologies Ord Shs,121.7,122.0,119.05,119.8,59547,0
2010-07-21,D,Intrasoft Technologies Ord Shs,120.75,124.6,119.6,120.45,93643,0
2010-07-22,D,Intrasoft Technologies Ord Shs,120.9,122.5,119.45,119.7,238906,0
2010-07-23,D,Intrasoft Technologies Ord Shs,120.0,121.5,115.5,117.05,249163,0
2010-07-26,D,Intrasoft Technologies Ord Shs,118.5,118.5,114.55,115.1,61889,0
2010-07-27,D,Intrasoft Technologies Ord Shs,115.45,117.3,115.1,116.55,53949,0
2010-07-28,D,Intrasoft Technologies Ord Shs,116.15,117.2,111.3,114.7,101901,0
2010-07-29,D,Intrasoft Technologies Ord Shs,114.5,115.0,111.0,111.5,145677,0
2010-07-30,D,Intrasoft Technologies Ord Shs,112.6,112.6,107.2,108.0,35054,0
2010-08-02,D,Intrasoft Technologies Ord Shs,110.5,111.4,108.1,108.7,88900,0
2010-08-03,D,Intrasoft Technologies Ord Shs,108.0,111.0,102.65,103.6,161075,0
2010-08-04,D,Intrasoft Technologies Ord Shs,103.25,104.95,96.65,97.05,374458,0
2010-08-05,D,Intrasoft Technologies Ord Shs,97.9,102.9,97.0,97.55,146389,0
2010-08-06,D,Intrasoft Technologies Ord Shs,98.55,100.85,98.0,98.2,222596,0
2010-08-09,D,Intrasoft Technologies Ord Shs,99.05,100.9,98.5,99.05,123925,1
2010-08-10,D,Intrasoft Technologies Ord Shs,99.3,100.0,95.75,96.4,109186,0
2010-08-11,D,Intrasoft Technologies Ord Shs,94.5,97.0,88.5,89.2,308124,0
2010-08-12,D,Intrasoft Technologies Ord Shs,88.6,96.5,82.5,83.85,670310,0
2010-08-13,D,Intrasoft Technologies Ord Shs,84.75,88.0,82.7,86.4,172220,0
2010-08-16,D,Intrasoft Technologies Ord Shs,86.1,86.2,83.0,85.25,47496,0
2010-08-17,D,Intrasoft Technologies Ord Shs,85.1,86.4,84.35,85.05,85174,0
2010-08-18,D,Intrasoft Technologies Ord Shs,84.8,85.75,83.8,85.1,70098,0
2010-08-19,D,Intrasoft Technologies Ord Shs,84.15,90.0,84.1,85.95,74487,0
2010-08-20,D,Intrasoft Technologies Ord Shs,85.2,86.7,84.6,85.0,46257,0
2010-08-23,D,Intrasoft Technologies Ord Shs,85.0,88.95,85.0,85.35,40541,0
2010-08-24,D,Intrasoft Technologies Ord Shs,85.9,88.85,85.35,87.3,71355,0
2010-08-25,D,Intrasoft Technologies Ord Shs,87.3,89.65,85.8,87.8,116274,0
2010-08-26,D,Intrasoft Technologies Ord Shs,87.9,87.9,85.1,85.3,38205,0
2010-08-27,D,Intrasoft Technologies Ord Shs,85.1,85.9,83.0,84.85,81827,0
2010-08-30,D,Intrasoft Technologies Ord Shs,84.0,85.5,83.2,83.45,25753,0
2010-08-31,D,Intrasoft Technologies Ord Shs,84.45,84.5,82.0,82.4,44866,0
2010-09-01,D,Intrasoft Technologies Ord Shs,82.5,84.2,81.25,81.75,13225,0
2010-09-02,D,Intrasoft Technologies Ord Shs,82.15,83.55,82.1,82.45,13097,0
2010-09-03,D,Intrasoft Technologies Ord Shs,83.6,87.0,81.6,84.85,52861,0
2010-09-06,D,Intrasoft Technologies Ord Shs,86.4,91.4,84.9,89.4,155916,0
2010-09-07,D,Intrasoft Technologies Ord Shs,89.0,89.85,87.5,88.2,19363,0
2010-09-08,D,Intrasoft Technologies Ord Shs,86.6,95.0,86.6,90.0,330360,0
2010-09-09,D,Intrasoft Technologies Ord Shs,90.9,99.9,90.05,97.85,632061,0
2010-09-13,D,Intrasoft Technologies Ord Shs,97.0,104.8,96.05,101.95,680125,0
2010-09-14,D,Intrasoft Technologies Ord Shs,102.45,102.45,97.1,99.1,89685,0
2010-09-15,D,Intrasoft Technologies Ord Shs,99.0,100.3,97.5,98.4,63356,0
2010-09-16,D,Intrasoft Technologies Ord Shs,98.5,104.3,96.5,101.85,169733,0
2010-09-17,D,Intrasoft Technologies Ord Shs,101.85,105.35,101.05,103.9,174682,0
2010-09-20,D,Intrasoft Technologies Ord Shs,104.9,109.0,99.1,103.95,868531,0
