Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1998-07-30,D,ITD Cementation India Ord Shs,20.436864,20.874797,20.436864,20.874797,6165.329494,0
1998-07-31,D,ITD Cementation India Ord Shs,22.54624,22.54624,22.54624,22.54624,1370.073221,1
1998-08-03,D,ITD Cementation India Ord Shs,24.30527,24.352713,23.72136,24.352713,10960.585768,0
1998-08-04,D,ITD Cementation India Ord Shs,24.013315,24.086304,22.626528,22.819948,10960.585768,0
1998-08-05,D,ITD Cementation India Ord Shs,21.787157,22.261584,21.787157,22.133854,4795.256273,0
1998-08-06,D,ITD Cementation India Ord Shs,22.48055,22.809,22.115606,22.115606,18495.988483,0
1998-08-07,D,ITD Cementation India Ord Shs,21.89664,21.89664,21.721467,21.889341,6165.329494,0
1998-08-10,D,ITD Cementation India Ord Shs,21.531696,21.860146,21.166752,21.860146,6165.329494,0
1998-08-11,D,ITD Cementation India Ord Shs,21.166752,21.239741,21.093763,21.166752,13700.73221,1
1998-08-12,D,ITD Cementation India Ord Shs,21.093763,21.093763,21.093763,21.093763,685.03661,1
1998-08-14,D,ITD Cementation India Ord Shs,21.531696,21.531696,21.531696,21.531696,1370.073221,1
1998-08-17,D,ITD Cementation India Ord Shs,21.89664,21.89664,21.750662,21.849197,9590.512547,0
1998-08-18,D,ITD Cementation India Ord Shs,21.750662,21.750662,20.827354,21.009826,19866.061704,0
1998-08-19,D,ITD Cementation India Ord Shs,20.820055,21.44046,20.509853,21.217844,35621.903745,0
1998-08-20,D,ITD Cementation India Ord Shs,21.31273,21.597386,21.31273,21.597386,15755.842041,0
1998-08-21,D,ITD Cementation India Ord Shs,22.115606,22.261584,21.89664,22.111957,16440.878652,0
1998-08-24,D,ITD Cementation India Ord Shs,21.750662,22.517045,21.750662,21.787157,18495.988483,0
1998-08-25,D,ITD Cementation India Ord Shs,22.261584,23.516991,22.188595,23.516991,26716.427809,0
1998-08-27,D,ITD Cementation India Ord Shs,25.108147,25.400102,24.524237,24.673864,67818.624438,0
1998-08-28,D,ITD Cementation India Ord Shs,24.086304,24.086304,23.360065,23.626474,21236.134925,0
1998-08-31,D,ITD Cementation India Ord Shs,23.502394,24.086304,23.356416,24.086304,9590.512547,0
1998-09-01,D,ITD Cementation India Ord Shs,23.363715,23.794349,23.363715,23.557135,15755.842041,0
1998-09-02,D,ITD Cementation India Ord Shs,23.502394,23.502394,23.177593,23.338169,4795.256273,0
1998-09-03,D,ITD Cementation India Ord Shs,22.48055,22.845494,22.48055,22.845494,2055.109831,0
1998-09-04,D,ITD Cementation India Ord Shs,22.663022,22.663022,22.48055,22.663022,15755.842041,1
1998-09-07,D,ITD Cementation India Ord Shs,23.246933,23.283427,22.991472,23.013369,8220.439326,0
1998-09-08,D,ITD Cementation India Ord Shs,22.845494,23.246933,22.845494,23.027966,7535.402715,0
1998-09-09,D,ITD Cementation India Ord Shs,23.064461,23.356416,23.013369,23.082708,5480.292884,0
1998-09-10,D,ITD Cementation India Ord Shs,22.991472,23.13745,22.991472,23.13745,1370.073221,0
1998-09-11,D,ITD Cementation India Ord Shs,21.531696,23.356416,21.531696,23.356416,33566.793914,0
1998-09-14,D,ITD Cementation India Ord Shs,23.429405,24.086304,23.429405,24.006016,27401.46442,0
1998-09-15,D,ITD Cementation India Ord Shs,24.808893,24.808893,23.757854,23.757854,29456.574251,0
1998-09-16,D,ITD Cementation India Ord Shs,23.502394,23.502394,23.378313,23.400209,11645.622378,0
1998-09-17,D,ITD Cementation India Ord Shs,23.210438,23.210438,22.279831,22.316326,22606.208146,0
1998-09-18,D,ITD Cementation India Ord Shs,22.28713,22.626528,22.276182,22.312676,12330.658989,0
1998-09-21,D,ITD Cementation India Ord Shs,22.553539,22.553539,22.1594,22.451355,10960.585768,0
1998-09-22,D,ITD Cementation India Ord Shs,22.115606,22.371067,22.042618,22.130204,41102.196629,0
1998-09-23,D,ITD Cementation India Ord Shs,23.356416,23.356416,22.626528,22.918483,11645.622378,0
1998-09-24,D,ITD Cementation India Ord Shs,23.356416,23.72136,23.356416,23.356416,8905.475936,1
1998-09-28,D,ITD Cementation India Ord Shs,23.356416,24.250529,23.356416,23.611877,11645.622378,0
1998-09-29,D,ITD Cementation India Ord Shs,22.079112,24.480443,22.079112,23.834493,20551.098315,0
1998-10-05,D,ITD Cementation India Ord Shs,22.699517,22.699517,22.042618,22.115606,23976.281367,0
1998-10-06,D,ITD Cementation India Ord Shs,21.750662,22.079112,21.750662,22.079112,2055.109831,0
1998-10-07,D,ITD Cementation India Ord Shs,23.356416,23.812596,23.356416,23.765153,6850.366105,0
1998-10-08,D,ITD Cementation India Ord Shs,24.816192,24.816192,23.39291,23.520641,2055.109831,0
1998-10-09,D,ITD Cementation India Ord Shs,23.648371,23.867338,23.429405,23.648371,5480.292884,1
1998-10-12,D,ITD Cementation India Ord Shs,22.809,23.210438,22.699517,23.020667,6165.329494,0
1998-10-13,D,ITD Cementation India Ord Shs,22.998771,23.210438,22.776155,22.973225,17810.951873,0
