Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1996-09-13,D,Jagsonpal Pharmaceuticals Ord Shs,18.75,18.75,18.75,18.75,800,1
1996-09-18,D,Jagsonpal Pharmaceuticals Ord Shs,18.5,18.75,18.5,18.75,1600,0
1996-09-19,D,Jagsonpal Pharmaceuticals Ord Shs,19.0,20.0,19.0,20.0,2400,0
1996-09-20,D,Jagsonpal Pharmaceuticals Ord Shs,19.40625,20.25,19.3875,20.25,5600,0
1996-09-23,D,Jagsonpal Pharmaceuticals Ord Shs,20.0,20.625,20.0,20.5,8800,0
1996-09-24,D,Jagsonpal Pharmaceuticals Ord Shs,20.125,20.625,20.0125,20.025,12800,0
1996-09-25,D,Jagsonpal Pharmaceuticals Ord Shs,20.0,20.4375,20.0,20.4375,1600,0
1996-09-26,D,Jagsonpal Pharmaceuticals Ord Shs,19.5,20.0,19.3875,20.0,3200,0
1996-09-27,D,Jagsonpal Pharmaceuticals Ord Shs,18.625,19.625,18.625,19.625,9600,0
1996-09-30,D,Jagsonpal Pharmaceuticals Ord Shs,19.125,19.3625,18.75625,18.88125,4000,0
1996-10-01,D,Jagsonpal Pharmaceuticals Ord Shs,18.1875,18.7375,18.125,18.725,12800,0
1996-10-03,D,Jagsonpal Pharmaceuticals Ord Shs,18.125,18.125,18.125,18.125,1600,1
1996-10-04,D,Jagsonpal Pharmaceuticals Ord Shs,18.125,18.75,18.125,18.5625,4000,0
1996-10-09,D,Jagsonpal Pharmaceuticals Ord Shs,17.4375,17.75,17.4375,17.75,5600,0
1996-10-10,D,Jagsonpal Pharmaceuticals Ord Shs,17.5,18.5,17.5,18.5,6400,0
1996-10-11,D,Jagsonpal Pharmaceuticals Ord Shs,17.0,17.0,17.0,17.0,800,1
1996-10-14,D,Jagsonpal Pharmaceuticals Ord Shs,17.25,18.625,17.25,18.29375,4000,0
1996-10-15,D,Jagsonpal Pharmaceuticals Ord Shs,17.125,17.5,17.125,17.5,1600,0
1996-10-17,D,Jagsonpal Pharmaceuticals Ord Shs,18.125,18.75,18.0,18.75,5600,0
1996-10-18,D,Jagsonpal Pharmaceuticals Ord Shs,17.65,17.875,17.5,17.75,3200,0
1996-10-22,D,Jagsonpal Pharmaceuticals Ord Shs,17.9375,18.125,17.13125,17.875,16800,0
1996-10-24,D,Jagsonpal Pharmaceuticals Ord Shs,17.125,17.125,17.125,17.125,800,1
1996-10-25,D,Jagsonpal Pharmaceuticals Ord Shs,17.5,18.375,17.5,18.375,2400,0
1996-10-29,D,Jagsonpal Pharmaceuticals Ord Shs,17.5,17.5,17.5,17.5,800,1
