Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2003-12-09,D,Jai Balaji Industries Ord Shs,12.0,13.8,11.6,13.1,947481,0
2003-12-10,D,Jai Balaji Industries Ord Shs,14.0,15.75,13.9,15.75,681539,0
2003-12-11,D,Jai Balaji Industries Ord Shs,17.45,18.85,16.95,17.3,1119482,0
2003-12-12,D,Jai Balaji Industries Ord Shs,17.0,17.25,14.95,16.15,916457,0
2003-12-15,D,Jai Balaji Industries Ord Shs,16.9,19.4,16.15,19.3,1522232,0
2003-12-16,D,Jai Balaji Industries Ord Shs,19.9,23.2,18.6,22.2,1842178,0
2003-12-17,D,Jai Balaji Industries Ord Shs,23.0,26.65,23.0,26.65,2373218,0
2003-12-18,D,Jai Balaji Industries Ord Shs,27.9,32.0,27.5,32.0,2237013,0
2003-12-19,D,Jai Balaji Industries Ord Shs,34.4,38.4,30.5,32.05,2654124,0
2003-12-22,D,Jai Balaji Industries Ord Shs,33.0,33.0,26.15,29.35,1632603,0
2003-12-23,D,Jai Balaji Industries Ord Shs,30.2,33.65,30.2,30.9,1784624,0
2003-12-24,D,Jai Balaji Industries Ord Shs,32.0,32.0,29.5,30.05,727845,0
2003-12-26,D,Jai Balaji Industries Ord Shs,30.4,30.4,25.0,28.75,802803,0
2003-12-29,D,Jai Balaji Industries Ord Shs,28.7,29.4,26.75,27.35,778701,0
2003-12-30,D,Jai Balaji Industries Ord Shs,27.95,28.4,25.05,25.4,692796,0
2003-12-31,D,Jai Balaji Industries Ord Shs,24.0,29.5,24.0,28.05,1073172,0
2004-01-01,D,Jai Balaji Industries Ord Shs,28.5,29.0,27.5,28.1,382027,0
2004-01-02,D,Jai Balaji Industries Ord Shs,28.8,28.8,27.3,27.65,402269,0
2004-01-05,D,Jai Balaji Industries Ord Shs,27.5,28.3,26.05,26.35,448586,0
2004-01-06,D,Jai Balaji Industries Ord Shs,26.0,27.0,23.5,24.4,348649,0
2004-01-07,D,Jai Balaji Industries Ord Shs,24.9,27.0,24.05,26.05,480363,0
2004-01-08,D,Jai Balaji Industries Ord Shs,26.25,27.7,26.0,26.55,268135,0
2004-01-09,D,Jai Balaji Industries Ord Shs,27.45,30.0,26.15,28.6,716760,0
2004-01-12,D,Jai Balaji Industries Ord Shs,28.9,30.0,28.3,28.9,631789,1
2004-01-13,D,Jai Balaji Industries Ord Shs,29.45,31.85,28.65,31.25,887907,0
2004-01-14,D,Jai Balaji Industries Ord Shs,31.6,33.85,31.25,33.3,1553647,0
2004-01-15,D,Jai Balaji Industries Ord Shs,33.4,33.5,31.05,31.3,349245,0
2004-01-16,D,Jai Balaji Industries Ord Shs,31.75,31.9,28.55,29.0,287891,0
2004-01-19,D,Jai Balaji Industries Ord Shs,28.5,30.5,26.0,28.75,326539,0
2004-01-20,D,Jai Balaji Industries Ord Shs,29.5,30.4,26.55,26.95,429961,0
2004-01-21,D,Jai Balaji Industries Ord Shs,26.75,28.0,23.5,24.3,428037,0
2004-01-22,D,Jai Balaji Industries Ord Shs,24.0,25.9,20.25,21.0,352447,0
2004-01-23,D,Jai Balaji Industries Ord Shs,19.9,25.2,19.5,23.8,393499,0
2004-01-27,D,Jai Balaji Industries Ord Shs,24.9,26.2,24.3,25.3,242827,0
2004-01-28,D,Jai Balaji Industries Ord Shs,25.5,25.5,23.5,23.85,156159,0
2004-01-29,D,Jai Balaji Industries Ord Shs,24.25,24.5,23.0,23.4,115530,0
2004-01-30,D,Jai Balaji Industries Ord Shs,24.25,24.25,22.1,22.2,158993,0
2004-02-03,D,Jai Balaji Industries Ord Shs,21.5,23.75,20.25,21.5,197185,1
2004-02-04,D,Jai Balaji Industries Ord Shs,20.75,25.8,20.75,24.8,250473,0
2004-02-05,D,Jai Balaji Industries Ord Shs,25.0,25.95,23.75,24.0,205066,0
2004-02-06,D,Jai Balaji Industries Ord Shs,24.5,25.0,23.4,24.05,110062,0
2004-02-09,D,Jai Balaji Industries Ord Shs,24.1,25.5,24.05,25.2,111228,0
2004-02-10,D,Jai Balaji Industries Ord Shs,26.5,26.5,24.0,24.45,116290,0
2004-02-11,D,Jai Balaji Industries Ord Shs,24.5,24.85,24.0,24.1,65101,0
