Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1996-04-17,D,Jayant Agro Organics Ord Shs,5.562036,5.562036,5.562036,5.562036,1600,1
1996-04-22,D,Jayant Agro Organics Ord Shs,6.133689,6.133689,6.133689,6.133689,20800,1
1996-04-23,D,Jayant Agro Organics Ord Shs,6.056439,6.056439,6.053349,6.053349,6400,0
1996-04-30,D,Jayant Agro Organics Ord Shs,6.30364,6.30364,6.30364,6.30364,1600,1
1996-05-02,D,Jayant Agro Organics Ord Shs,6.18004,6.798043,6.18004,6.767143,22400,0
1996-05-03,D,Jayant Agro Organics Ord Shs,6.921644,7.416047,6.921644,7.416047,4800,0
1996-05-06,D,Jayant Agro Organics Ord Shs,7.725049,7.972251,7.725049,7.972251,3200,0
1996-05-07,D,Jayant Agro Organics Ord Shs,8.343053,8.373954,8.343053,8.373954,6400,0
1996-05-08,D,Jayant Agro Organics Ord Shs,7.910451,8.219453,7.84865,8.064952,22400,0
1996-05-09,D,Jayant Agro Organics Ord Shs,7.910451,8.034051,7.731229,7.78067,24000,0
1996-05-10,D,Jayant Agro Organics Ord Shs,7.307897,7.416047,7.307897,7.416047,4800,0
1996-05-13,D,Jayant Agro Organics Ord Shs,7.601449,7.601449,7.107045,7.107045,8000,0
1996-05-14,D,Jayant Agro Organics Ord Shs,6.813494,6.813494,6.612642,6.612642,14400,0
1996-05-17,D,Jayant Agro Organics Ord Shs,7.107045,7.107045,6.798043,6.798043,8000,0
1996-05-21,D,Jayant Agro Organics Ord Shs,6.365441,6.365441,6.365441,6.365441,1600,1
1996-05-22,D,Jayant Agro Organics Ord Shs,6.18622,6.18622,6.18622,6.18622,1600,1
1996-05-28,D,Jayant Agro Organics Ord Shs,5.963738,5.963738,5.963738,5.963738,1600,1
1996-05-29,D,Jayant Agro Organics Ord Shs,6.550842,6.550842,6.550842,6.550842,1600,1
1996-05-30,D,Jayant Agro Organics Ord Shs,6.798043,6.798043,6.798043,6.798043,3200,1
1996-05-31,D,Jayant Agro Organics Ord Shs,7.230646,7.230646,6.983445,6.983445,12800,0
1996-06-03,D,Jayant Agro Organics Ord Shs,6.921644,6.921644,6.921644,6.921644,1600,1
1996-06-04,D,Jayant Agro Organics Ord Shs,6.798043,6.983445,6.798043,6.937094,9600,0
1996-06-07,D,Jayant Agro Organics Ord Shs,6.921644,6.921644,6.921644,6.921644,1600,1
1996-06-10,D,Jayant Agro Organics Ord Shs,6.921644,7.045245,6.921644,7.045245,9600,0
1996-06-11,D,Jayant Agro Organics Ord Shs,7.354247,7.354247,6.736243,6.798043,46400,0
1996-06-12,D,Jayant Agro Organics Ord Shs,7.416047,7.416047,6.921644,7.091595,22400,0
1996-06-13,D,Jayant Agro Organics Ord Shs,7.137946,7.137946,6.813494,6.813494,22400,0
1996-06-14,D,Jayant Agro Organics Ord Shs,7.045245,7.477848,6.736243,6.736243,36800,0
1996-06-17,D,Jayant Agro Organics Ord Shs,7.230646,7.230646,6.884564,6.884564,12800,0
1996-06-18,D,Jayant Agro Organics Ord Shs,6.828944,7.076145,6.828944,6.853664,49600,0
1996-06-19,D,Jayant Agro Organics Ord Shs,6.983445,6.983445,6.705343,6.717703,14400,0
1996-06-20,D,Jayant Agro Organics Ord Shs,6.612642,6.612642,6.612642,6.612642,3200,1
1996-06-21,D,Jayant Agro Organics Ord Shs,6.606462,6.606462,6.365441,6.365441,8000,0
1996-06-25,D,Jayant Agro Organics Ord Shs,6.767143,6.767143,6.489041,6.489041,11200,0
1996-06-26,D,Jayant Agro Organics Ord Shs,6.430331,6.430331,6.380891,6.380891,6400,0
1996-06-27,D,Jayant Agro Organics Ord Shs,6.21094,6.21094,6.19549,6.19549,3200,0
1996-07-02,D,Jayant Agro Organics Ord Shs,5.917388,5.917388,5.901938,5.911208,4800,0
1996-07-04,D,Jayant Agro Organics Ord Shs,5.871038,5.871038,5.685636,5.685636,4800,0
1996-07-05,D,Jayant Agro Organics Ord Shs,5.809237,5.809237,5.623836,5.636196,16000,0
1996-07-08,D,Jayant Agro Organics Ord Shs,5.562036,5.562036,5.562036,5.562036,1600,1
1996-07-09,D,Jayant Agro Organics Ord Shs,5.716537,5.719627,5.716537,5.719627,11200,0
1996-07-10,D,Jayant Agro Organics Ord Shs,5.932838,5.932838,5.932838,5.932838,1600,1
1996-07-11,D,Jayant Agro Organics Ord Shs,6.18004,6.396341,6.087339,6.118239,100800,0
1996-07-12,D,Jayant Agro Organics Ord Shs,6.056439,6.056439,6.056439,6.056439,1600,1
