Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-11-03,D,Jain Irrigation Systems Ord Shs,45.800001,46.000001,45.800001,46.000001,1499.999978,0
1994-11-08,D,Jain Irrigation Systems Ord Shs,30.0,44.150001,30.0,44.000001,2499.999963,0
1994-11-11,D,Jain Irrigation Systems Ord Shs,45.200001,45.200001,45.200001,45.200001,999.999985,1
1994-12-06,D,Jain Irrigation Systems Ord Shs,43.000001,43.000001,43.000001,43.000001,999.999985,1
1994-12-07,D,Jain Irrigation Systems Ord Shs,41.000001,41.000001,41.000001,41.000001,499.999993,1
1994-12-08,D,Jain Irrigation Systems Ord Shs,41.500001,41.500001,41.500001,41.500001,499.999993,1
1994-12-09,D,Jain Irrigation Systems Ord Shs,42.000001,42.000001,42.000001,42.000001,499.999993,1
1994-12-12,D,Jain Irrigation Systems Ord Shs,39.200001,39.200001,39.200001,39.200001,499.999993,1
1994-12-20,D,Jain Irrigation Systems Ord Shs,41.000001,41.200001,41.000001,41.200001,1999.99997,0
1994-12-21,D,Jain Irrigation Systems Ord Shs,41.000001,41.000001,41.000001,41.000001,999.999985,1
1994-12-22,D,Jain Irrigation Systems Ord Shs,41.000001,41.000001,41.000001,41.000001,999.999985,1
1994-12-23,D,Jain Irrigation Systems Ord Shs,41.000001,41.000001,41.000001,41.000001,499.999993,1
1995-01-06,D,Jain Irrigation Systems Ord Shs,39.600001,40.000001,39.600001,40.000001,2999.999955,0
1995-01-09,D,Jain Irrigation Systems Ord Shs,39.500001,39.500001,39.500001,39.500001,1499.999978,1
1995-01-12,D,Jain Irrigation Systems Ord Shs,36.000001,36.000001,35.500001,35.500001,999.999985,0
1995-01-17,D,Jain Irrigation Systems Ord Shs,38.000001,39.000001,38.000001,39.000001,1999.99997,0
1995-01-18,D,Jain Irrigation Systems Ord Shs,39.990001,40.000001,39.990001,40.000001,1499.999978,0
1995-01-25,D,Jain Irrigation Systems Ord Shs,38.000001,38.000001,38.000001,38.000001,999.999985,1
1995-01-27,D,Jain Irrigation Systems Ord Shs,38.000001,38.000001,38.000001,38.000001,499.999993,1
