Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-06-21,D,JSW Holdings Ord Shs,170.0,345.0,170.0,278.55,2668277,0
2005-06-22,D,JSW Holdings Ord Shs,269.9,269.9,241.0,247.85,849324,0
2005-06-23,D,JSW Holdings Ord Shs,246.0,247.7,233.0,237.1,307067,0
2005-06-24,D,JSW Holdings Ord Shs,234.95,242.0,225.25,228.65,233019,0
2005-06-27,D,JSW Holdings Ord Shs,229.8,233.9,205.1,206.5,117411,0
2005-06-28,D,JSW Holdings Ord Shs,206.8,210.8,178.5,183.05,195731,0
2005-06-29,D,JSW Holdings Ord Shs,147.0,201.9,147.0,189.1,484859,0
2005-06-30,D,JSW Holdings Ord Shs,191.0,197.4,185.6,194.6,210883,0
2005-07-01,D,JSW Holdings Ord Shs,192.5,212.0,188.95,207.55,203921,0
2005-07-04,D,JSW Holdings Ord Shs,216.0,224.0,211.0,215.1,127174,0
2005-07-05,D,JSW Holdings Ord Shs,218.95,219.0,206.4,210.1,35239,0
2005-07-06,D,JSW Holdings Ord Shs,210.0,224.8,208.05,219.4,55145,0
2005-07-07,D,JSW Holdings Ord Shs,221.05,229.0,213.35,216.65,42347,0
2005-07-08,D,JSW Holdings Ord Shs,224.5,224.95,218.0,223.6,37989,0
2005-07-11,D,JSW Holdings Ord Shs,223.0,266.0,223.0,253.05,122408,0
2005-07-12,D,JSW Holdings Ord Shs,256.0,273.0,243.3,246.75,98233,0
2005-07-13,D,JSW Holdings Ord Shs,252.0,254.5,242.55,247.4,23838,0
2005-07-14,D,JSW Holdings Ord Shs,231.1,250.0,221.1,241.45,20343,0
2005-07-15,D,JSW Holdings Ord Shs,235.1,247.35,235.1,237.9,14143,0
2005-07-18,D,JSW Holdings Ord Shs,249.75,249.75,234.05,237.4,14539,0
2005-07-19,D,JSW Holdings Ord Shs,242.0,250.0,234.9,239.25,7491,0
2005-07-20,D,JSW Holdings Ord Shs,241.0,247.0,230.0,234.7,28908,0
2005-07-21,D,JSW Holdings Ord Shs,235.0,242.0,228.0,230.5,10030,0
2005-07-22,D,JSW Holdings Ord Shs,239.0,239.0,223.05,226.15,21384,0
2005-07-25,D,JSW Holdings Ord Shs,228.0,236.0,220.0,221.35,12481,0
2005-07-26,D,JSW Holdings Ord Shs,223.0,224.1,215.0,216.65,8180,0
2005-07-27,D,JSW Holdings Ord Shs,215.15,221.0,215.15,218.3,2278,0
2005-07-29,D,JSW Holdings Ord Shs,220.0,220.6,212.0,215.0,4953,0
2005-08-01,D,JSW Holdings Ord Shs,214.05,214.05,199.9,202.0,9757,0
2005-08-02,D,JSW Holdings Ord Shs,190.6,212.0,190.6,207.95,7442,0
2005-08-03,D,JSW Holdings Ord Shs,207.6,209.4,195.1,197.7,13558,0
2005-08-04,D,JSW Holdings Ord Shs,202.0,207.0,201.0,202.65,9077,0
2005-08-05,D,JSW Holdings Ord Shs,207.4,208.0,200.0,203.75,10313,0
2005-08-08,D,JSW Holdings Ord Shs,211.0,214.5,201.95,203.8,6374,0
2005-08-09,D,JSW Holdings Ord Shs,202.1,206.8,200.0,201.55,3301,0
2005-08-10,D,JSW Holdings Ord Shs,203.0,207.0,201.1,204.45,6110,0
2005-08-11,D,JSW Holdings Ord Shs,208.7,220.0,206.0,215.8,15600,0
2005-08-12,D,JSW Holdings Ord Shs,214.0,214.0,210.0,210.2,4562,0
2005-08-16,D,JSW Holdings Ord Shs,220.0,221.0,212.7,217.3,3642,0
2005-08-17,D,JSW Holdings Ord Shs,214.9,219.0,214.9,216.2,4000,0
2005-08-18,D,JSW Holdings Ord Shs,215.3,219.9,212.2,214.4,6360,0
2005-08-19,D,JSW Holdings Ord Shs,213.25,215.0,208.0,209.05,4141,0
2005-08-22,D,JSW Holdings Ord Shs,214.0,219.7,211.05,214.45,10930,0
2005-08-23,D,JSW Holdings Ord Shs,214.0,216.85,208.05,208.4,5982,0
2005-08-24,D,JSW Holdings Ord Shs,199.0,208.9,199.0,202.1,5789,0
2005-08-25,D,JSW Holdings Ord Shs,205.05,210.0,202.0,205.5,4175,0
2005-08-26,D,JSW Holdings Ord Shs,210.0,210.0,205.35,206.05,2826,0
2005-08-29,D,JSW Holdings Ord Shs,203.05,204.5,201.0,201.75,2299,0
2005-08-30,D,JSW Holdings Ord Shs,207.0,208.5,203.0,203.75,2591,0
2005-08-31,D,JSW Holdings Ord Shs,204.0,208.05,204.0,205.4,1637,0
2005-09-01,D,JSW Holdings Ord Shs,208.0,208.0,201.0,201.7,4907,0
2005-09-02,D,JSW Holdings Ord Shs,203.0,205.0,197.0,198.75,7244,0
2005-09-05,D,JSW Holdings Ord Shs,200.0,207.0,198.05,199.0,69508,0
2005-09-06,D,JSW Holdings Ord Shs,205.0,205.0,197.1,198.05,10642,0
2005-09-08,D,JSW Holdings Ord Shs,191.1,204.9,191.1,196.4,4422,0
