Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-01-03,D,Jtekt India Ord Shs,6.25,6.25,6.0,6.0,5999.999911,0
1995-06-02,D,Jtekt India Ord Shs,5.2,5.2,5.2,5.2,1999.99997,1
1995-06-05,D,Jtekt India Ord Shs,5.2,5.2,5.2,5.2,1999.99997,1
1995-06-06,D,Jtekt India Ord Shs,5.2,5.2,5.2,5.2,1999.99997,1
1995-06-07,D,Jtekt India Ord Shs,5.1,5.1,5.1,5.1,1999.99997,1
1995-06-13,D,Jtekt India Ord Shs,5.15,5.15,5.0,5.0,3999.99994,0
1995-07-03,D,Jtekt India Ord Shs,4.65,4.65,4.65,4.65,1999.99997,1
1995-07-04,D,Jtekt India Ord Shs,4.65,4.65,4.65,4.65,1999.99997,1
1995-07-05,D,Jtekt India Ord Shs,4.5,4.5,4.5,4.5,1999.99997,1
1995-07-10,D,Jtekt India Ord Shs,4.5,4.5,4.5,4.5,1999.99997,1
1995-07-11,D,Jtekt India Ord Shs,4.5,4.5,4.5,4.5,1999.99997,1
1995-07-20,D,Jtekt India Ord Shs,5.0,5.0,5.0,5.0,1999.99997,1
1995-09-04,D,Jtekt India Ord Shs,4.2,4.2,4.2,4.2,1999.99997,1
1995-10-06,D,Jtekt India Ord Shs,4.65,4.65,4.65,4.65,3999.99994,1
1995-10-09,D,Jtekt India Ord Shs,4.65,4.65,4.65,4.65,1999.99997,1
1995-10-10,D,Jtekt India Ord Shs,4.75,4.75,4.75,4.75,3999.99994,1
1995-10-11,D,Jtekt India Ord Shs,4.85,4.85,4.85,4.85,1999.99997,1
1995-10-12,D,Jtekt India Ord Shs,4.75,4.75,4.75,4.75,1999.99997,1
1995-10-16,D,Jtekt India Ord Shs,4.6,4.6,4.6,4.6,3999.99994,1
1995-10-17,D,Jtekt India Ord Shs,4.75,4.75,4.75,4.75,7999.999881,1
1995-10-19,D,Jtekt India Ord Shs,4.9,4.9,4.8,4.8,3999.99994,0
1995-10-20,D,Jtekt India Ord Shs,4.8125,4.8125,4.8,4.8,3999.99994,0
1995-10-27,D,Jtekt India Ord Shs,4.9,4.9,4.9,4.9,1999.99997,1
1995-10-30,D,Jtekt India Ord Shs,4.8,4.85,4.8,4.85,3999.99994,0
1995-10-31,D,Jtekt India Ord Shs,4.85,4.85,4.8,4.8,3999.99994,0
1995-11-10,D,Jtekt India Ord Shs,4.55,4.55,4.55,4.55,3999.99994,1
1995-11-14,D,Jtekt India Ord Shs,4.4625,4.5,4.4625,4.5,37999.999434,0
1995-11-16,D,Jtekt India Ord Shs,4.15,4.25,4.15,4.25,3999.99994,0
1995-11-17,D,Jtekt India Ord Shs,4.105,4.1125,4.105,4.105,5999.999911,1
1995-11-20,D,Jtekt India Ord Shs,4.0,4.1,4.0,4.1,19999.999702,0
1995-11-21,D,Jtekt India Ord Shs,4.0,4.0,4.0,4.0,3999.99994,1
1995-11-27,D,Jtekt India Ord Shs,4.0,4.0,4.0,4.0,1999.99997,1
1995-11-28,D,Jtekt India Ord Shs,4.0,4.0,4.0,4.0,11999.999821,1
1995-11-29,D,Jtekt India Ord Shs,4.0,4.0,4.0,4.0,3999.99994,1
1995-12-01,D,Jtekt India Ord Shs,4.2,4.2,4.2,4.2,5999.999911,1
1995-12-04,D,Jtekt India Ord Shs,4.5,4.5,4.5,4.5,1999.99997,1
1995-12-05,D,Jtekt India Ord Shs,4.4,4.4,4.4,4.4,3999.99994,1
1995-12-07,D,Jtekt India Ord Shs,4.0975,4.0975,4.0,4.0,9999.999851,0
1995-12-11,D,Jtekt India Ord Shs,4.25,4.25,4.25,4.25,9999.999851,1
