Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-12-19,D,Jyothy Labs Ord Shs,44.750001,44.750001,37.057501,39.702501,102730798.469192,0
2007-12-20,D,Jyothy Labs Ord Shs,39.250001,39.812501,38.500001,39.082501,13877759.793205,0
2007-12-24,D,Jyothy Labs Ord Shs,39.500001,41.700001,39.315001,40.552501,11964179.82172,0
2007-12-26,D,Jyothy Labs Ord Shs,42.100001,42.100001,40.252501,40.797501,4938259.926414,0
2007-12-27,D,Jyothy Labs Ord Shs,40.997501,42.750001,40.650001,41.512501,7934059.881773,0
2007-12-28,D,Jyothy Labs Ord Shs,41.250001,43.000001,41.250001,42.807501,5699619.915069,0
2007-12-31,D,Jyothy Labs Ord Shs,42.000001,43.450001,42.000001,43.142501,3136959.953256,0
2008-01-01,D,Jyothy Labs Ord Shs,42.900001,43.720001,42.900001,43.142501,1494559.977729,0
2008-01-02,D,Jyothy Labs Ord Shs,43.100001,48.002501,42.630001,44.810001,5928799.911654,0
2008-01-03,D,Jyothy Labs Ord Shs,44.495001,45.970001,43.000001,43.057501,1657319.975304,0
2008-01-04,D,Jyothy Labs Ord Shs,43.450001,44.500001,43.175001,43.837501,2066719.969203,0
2008-01-07,D,Jyothy Labs Ord Shs,43.550001,43.950001,43.000001,43.680001,896819.986636,0
2008-01-08,D,Jyothy Labs Ord Shs,43.750001,44.500001,42.500001,42.825001,978599.985418,0
2008-01-09,D,Jyothy Labs Ord Shs,42.500001,43.400001,42.450001,43.067501,853639.98728,0
2008-01-10,D,Jyothy Labs Ord Shs,43.250001,43.345001,42.750001,42.997501,1415399.978909,0
2008-01-11,D,Jyothy Labs Ord Shs,43.250001,43.300001,42.600001,43.017501,902859.986546,0
2008-01-14,D,Jyothy Labs Ord Shs,43.000001,43.750001,43.000001,43.005001,223459.99667,0
2008-01-15,D,Jyothy Labs Ord Shs,43.050001,43.250001,43.000001,43.050001,217379.996761,1
2008-01-16,D,Jyothy Labs Ord Shs,43.000001,44.250001,42.752501,43.700001,404599.993971,0
2008-01-17,D,Jyothy Labs Ord Shs,44.250001,45.487501,43.700001,45.027501,479359.992857,0
2008-01-18,D,Jyothy Labs Ord Shs,44.700001,46.500001,44.000001,45.152501,1239219.981534,0
2008-01-21,D,Jyothy Labs Ord Shs,43.050001,44.050001,39.500001,40.390001,282819.995786,0
2008-01-22,D,Jyothy Labs Ord Shs,35.100001,37.500001,32.45,35.742501,138739.997933,0
2008-01-23,D,Jyothy Labs Ord Shs,38.050001,42.450001,37.500001,40.652501,172419.997431,0
2008-01-24,D,Jyothy Labs Ord Shs,35.100001,40.000001,35.100001,39.080001,148039.997794,0
2008-01-25,D,Jyothy Labs Ord Shs,37.500001,39.750001,36.500001,38.170001,109459.998369,0
2008-01-28,D,Jyothy Labs Ord Shs,35.650001,40.050001,35.650001,39.987501,73819.9989,0
2008-01-29,D,Jyothy Labs Ord Shs,40.050001,40.750001,37.050001,38.312501,22139.99967,0
2008-01-30,D,Jyothy Labs Ord Shs,38.150001,39.250001,38.100001,38.835001,43879.999346,0
2008-01-31,D,Jyothy Labs Ord Shs,37.405001,40.250001,37.405001,39.845001,286279.995734,0
2008-02-01,D,Jyothy Labs Ord Shs,35.250001,40.100001,35.250001,39.710001,44639.999335,0
2008-02-04,D,Jyothy Labs Ord Shs,39.005001,40.500001,39.005001,39.737501,216499.996774,0
2008-02-05,D,Jyothy Labs Ord Shs,39.500001,40.250001,38.800001,40.005001,54279.999191,0
2008-02-06,D,Jyothy Labs Ord Shs,38.000001,40.295001,38.000001,40.002501,1579659.976461,0
2008-02-07,D,Jyothy Labs Ord Shs,41.000001,41.000001,38.000001,38.637501,48239.999281,0
2008-02-08,D,Jyothy Labs Ord Shs,38.162501,39.500001,31.9,36.485001,102399.998474,0
2008-02-11,D,Jyothy Labs Ord Shs,36.750001,37.400001,32.6,33.5225,300599.995521,0
2008-02-12,D,Jyothy Labs Ord Shs,34.250001,35.750001,33.5,35.085001,72539.998919,0
2008-02-13,D,Jyothy Labs Ord Shs,34.825001,35.500001,34.000001,34.460001,33919.999495,0
2008-02-14,D,Jyothy Labs Ord Shs,37.400001,37.400001,33.0,35.360001,382279.994304,0
2008-02-15,D,Jyothy Labs Ord Shs,32.625,35.400001,32.6,34.947501,23899.999644,0
