Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1995-01-18,D,Kajaria Ceramics Ord Shs,13.0,13.0,13.0,13.0,999.999985,1
1995-02-09,D,Kajaria Ceramics Ord Shs,13.5,13.5,13.5,13.5,3999.99994,1
1995-02-10,D,Kajaria Ceramics Ord Shs,13.4,13.4,13.4,13.4,2999.999955,1
1995-02-16,D,Kajaria Ceramics Ord Shs,12.5,12.5,12.5,12.5,3999.99994,1
1995-02-17,D,Kajaria Ceramics Ord Shs,12.5,12.5,12.5,12.5,1999.99997,1
1995-03-02,D,Kajaria Ceramics Ord Shs,12.75,12.75,12.75,12.75,3999.99994,1
1995-03-08,D,Kajaria Ceramics Ord Shs,13.7,13.7,13.7,13.7,999.999985,1
1995-03-16,D,Kajaria Ceramics Ord Shs,13.0,13.0,13.0,13.0,999.999985,1
1995-03-20,D,Kajaria Ceramics Ord Shs,13.3,13.3,13.3,13.3,999.999985,1
1995-03-21,D,Kajaria Ceramics Ord Shs,13.0,13.0,13.0,13.0,4999.999925,1
1995-03-22,D,Kajaria Ceramics Ord Shs,12.5,12.5,12.5,12.5,1999.99997,1
1995-03-23,D,Kajaria Ceramics Ord Shs,12.7,13.0,12.7,13.0,1999.99997,0
1995-03-27,D,Kajaria Ceramics Ord Shs,13.5,14.0,13.5,14.0,2999.999955,0
1995-03-28,D,Kajaria Ceramics Ord Shs,13.5,14.5,13.5,14.2,8999.999866,0
1995-03-29,D,Kajaria Ceramics Ord Shs,13.9,14.0,13.9,14.0,20999.999687,0
1995-03-30,D,Kajaria Ceramics Ord Shs,14.0,14.0,13.85,14.0,13999.999791,1
1995-03-31,D,Kajaria Ceramics Ord Shs,13.5,15.5,13.5,14.53,34999.999478,0
1995-04-03,D,Kajaria Ceramics Ord Shs,14.5,15.1,14.35,14.89,20999.999687,0
1995-04-04,D,Kajaria Ceramics Ord Shs,14.5,14.8,14.5,14.735,27999.999583,0
1995-04-05,D,Kajaria Ceramics Ord Shs,14.5,15.1,14.5,15.1,11999.999821,0
1995-04-06,D,Kajaria Ceramics Ord Shs,14.5,15.1,14.5,14.86,12999.999806,0
1995-04-07,D,Kajaria Ceramics Ord Shs,14.7,15.0,14.1,14.82,24999.999627,0
1995-04-10,D,Kajaria Ceramics Ord Shs,14.8,14.8,14.775,14.79,4999.999925,0
1995-04-11,D,Kajaria Ceramics Ord Shs,14.4,14.8,14.4,14.5,6999.999896,0
