Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-03-02,D,Kellton Tech Solutions Ord Shs,93.275,93.275,93.275,93.275,2320,1
2016-03-03,D,Kellton Tech Solutions Ord Shs,97.925,97.925,97.0,97.925,99912,1
2016-03-04,D,Kellton Tech Solutions Ord Shs,106.5,107.7,101.55,107.7,149314,0
2016-03-08,D,Kellton Tech Solutions Ord Shs,114.5,118.45,111.625,113.875,511716,0
2016-03-09,D,Kellton Tech Solutions Ord Shs,114.625,123.25,110.0,114.175,220306,0
2016-03-10,D,Kellton Tech Solutions Ord Shs,112.5,115.45,112.05,113.425,117928,0
2016-03-11,D,Kellton Tech Solutions Ord Shs,113.3,118.0,113.0,114.6,215460,0
2016-03-14,D,Kellton Tech Solutions Ord Shs,117.5,118.0,111.8,112.975,187154,0
2016-03-15,D,Kellton Tech Solutions Ord Shs,112.575,116.0,112.0,112.8,140798,0
2016-03-16,D,Kellton Tech Solutions Ord Shs,113.5,114.85,103.0,112.225,135808,0
2016-03-17,D,Kellton Tech Solutions Ord Shs,113.925,114.95,107.975,108.9,153234,0
2016-03-18,D,Kellton Tech Solutions Ord Shs,110.0,112.975,105.3,107.1,72816,0
2016-03-21,D,Kellton Tech Solutions Ord Shs,107.975,111.95,105.0,108.45,113538,0
2016-03-22,D,Kellton Tech Solutions Ord Shs,106.525,112.775,106.525,109.6,115658,0
2016-03-23,D,Kellton Tech Solutions Ord Shs,110.5,111.95,107.575,109.5,135562,0
2016-03-28,D,Kellton Tech Solutions Ord Shs,107.85,111.15,107.55,108.375,66534,0
2016-03-29,D,Kellton Tech Solutions Ord Shs,109.125,110.475,106.625,108.2,84762,0
2016-03-30,D,Kellton Tech Solutions Ord Shs,110.225,110.225,108.075,108.825,48208,0
2016-03-31,D,Kellton Tech Solutions Ord Shs,109.975,110.0,106.5,107.15,41804,0
2016-04-01,D,Kellton Tech Solutions Ord Shs,115.0,116.0,106.025,113.8,188736,0
2016-04-04,D,Kellton Tech Solutions Ord Shs,113.95,117.0,110.0,112.275,81790,0
2016-04-05,D,Kellton Tech Solutions Ord Shs,111.925,114.025,108.55,110.075,78712,0
2016-04-06,D,Kellton Tech Solutions Ord Shs,111.375,113.25,107.55,108.6,100124,0
2016-04-07,D,Kellton Tech Solutions Ord Shs,108.975,109.5,106.6,107.525,49786,0
2016-04-08,D,Kellton Tech Solutions Ord Shs,108.225,109.45,105.825,107.45,90994,0
2016-04-11,D,Kellton Tech Solutions Ord Shs,107.5,107.5,95.0,100.9,169492,0
