Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2006-04-07,D,Kirloskar Brothers Ord Shs,573.318998,599.984998,506.653998,528.520118,94202.35545,0
2006-04-10,D,Kirloskar Brothers Ord Shs,559.985998,559.985998,519.986998,535.586608,10086.252198,0
2006-04-12,D,Kirloskar Brothers Ord Shs,559.985998,559.985998,513.320498,517.653723,11508.287755,0
2006-04-13,D,Kirloskar Brothers Ord Shs,515.987098,530.653398,506.787328,519.120353,6316.657943,0
2006-04-17,D,Kirloskar Brothers Ord Shs,519.986998,541.986448,519.986998,539.253183,5056.626437,0
2006-04-18,D,Kirloskar Brothers Ord Shs,566.652498,572.652348,546.652998,563.985898,20133.503421,0
2006-04-19,D,Kirloskar Brothers Ord Shs,577.185568,577.318898,541.319798,574.385638,8795.469923,0
2006-04-20,D,Kirloskar Brothers Ord Shs,589.318598,657.316897,582.652098,633.250832,35742.143702,0
2006-04-21,D,Kirloskar Brothers Ord Shs,665.850017,665.850017,601.451628,624.584382,15533.638405,0
2006-04-24,D,Kirloskar Brothers Ord Shs,630.650897,673.183167,600.051663,654.983622,43447.086357,0
2006-04-25,D,Kirloskar Brothers Ord Shs,686.649497,686.649497,635.984097,646.850492,24515.11298,0
2006-04-26,D,Kirloskar Brothers Ord Shs,649.317097,662.583432,643.983897,646.917157,46688.66741,0
2006-04-27,D,Kirloskar Brothers Ord Shs,653.316997,655.850267,641.383962,646.783827,15150.378822,0
2006-04-28,D,Kirloskar Brothers Ord Shs,633.317497,659.983497,633.317497,653.583657,7149.928778,0
2006-04-29,D,Kirloskar Brothers Ord Shs,646.650497,665.316697,640.317322,659.850167,4768.619235,0
2006-05-02,D,Kirloskar Brothers Ord Shs,659.983497,689.316097,659.983497,686.916157,5343.133601,0
2006-05-03,D,Kirloskar Brothers Ord Shs,689.316097,701.582457,673.316497,698.582532,4292.357327,0
2006-05-04,D,Kirloskar Brothers Ord Shs,706.648997,718.648697,686.649497,704.715712,4707.867716,0
2006-05-05,D,Kirloskar Brothers Ord Shs,721.315297,726.648497,702.649097,706.115677,17995.949973,0
2006-05-08,D,Kirloskar Brothers Ord Shs,633.317497,725.315197,633.317497,710.582232,3933.848363,0
2006-05-09,D,Kirloskar Brothers Ord Shs,673.316497,726.648497,673.316497,715.515442,6262.656592,0
2006-05-10,D,Kirloskar Brothers Ord Shs,703.982397,718.648697,688.316122,707.115652,3231.830809,0
2006-05-11,D,Kirloskar Brothers Ord Shs,694.982622,707.982297,694.982622,707.782302,396.759921,0
2006-05-12,D,Kirloskar Brothers Ord Shs,685.316197,712.648847,685.316197,689.116102,731.268285,0
2006-05-15,D,Kirloskar Brothers Ord Shs,685.316197,686.649497,619.984497,638.384037,4553.363853,0
2006-05-16,D,Kirloskar Brothers Ord Shs,662.516767,662.516767,553.319498,629.650922,4791.869817,0
2006-05-17,D,Kirloskar Brothers Ord Shs,639.983997,665.316697,639.983997,654.383637,1150.528768,0
2006-05-18,D,Kirloskar Brothers Ord Shs,653.316997,659.983497,599.984998,645.050537,4668.866741,0
2006-05-19,D,Kirloskar Brothers Ord Shs,614.651297,618.651197,579.985498,612.851342,5086.627187,0
2006-05-22,D,Kirloskar Brothers Ord Shs,586.651998,626.650997,490.321073,571.919033,2905.572651,0
2006-05-23,D,Kirloskar Brothers Ord Shs,599.984998,613.317997,527.986798,599.984998,2709.067738,1
2006-05-24,D,Kirloskar Brothers Ord Shs,599.984998,617.317897,566.852493,610.651397,1503.037582,0
2006-05-25,D,Kirloskar Brothers Ord Shs,534.653298,610.651397,533.319998,599.451678,626.265659,0
2006-05-26,D,Kirloskar Brothers Ord Shs,639.983997,639.983997,607.984797,608.451452,375.759396,0
2006-05-29,D,Kirloskar Brothers Ord Shs,630.517567,630.517567,570.652398,586.385338,7398.935004,0
2006-05-30,D,Kirloskar Brothers Ord Shs,594.651798,595.851768,573.318998,577.318898,1287.032181,0
2006-05-31,D,Kirloskar Brothers Ord Shs,573.318998,573.318998,499.987498,556.319423,6646.666194,0
2006-06-01,D,Kirloskar Brothers Ord Shs,606.651497,606.651497,486.654498,534.853293,1728.043208,0
2006-06-02,D,Kirloskar Brothers Ord Shs,530.653398,553.319498,520.120328,536.653248,10281.257074,0
2006-06-05,D,Kirloskar Brothers Ord Shs,539.986498,546.652998,533.319998,534.786628,2902.572576,0
2006-06-06,D,Kirloskar Brothers Ord Shs,531.986698,533.319998,479.987998,506.653998,7212.930353,0
2006-06-07,D,Kirloskar Brothers Ord Shs,503.987398,503.987398,439.988998,473.588158,19918.998058,0
2006-06-08,D,Kirloskar Brothers Ord Shs,499.987498,499.987498,378.923858,400.056663,6486.9122,0
2006-06-09,D,Kirloskar Brothers Ord Shs,402.789928,465.055038,399.989998,454.855293,2143.553598,0
2006-06-12,D,Kirloskar Brothers Ord Shs,453.321998,466.654998,440.122328,458.921858,4907.372705,0
2006-06-13,D,Kirloskar Brothers Ord Shs,439.988998,439.988998,399.989998,405.723188,10153.003867,0
2006-06-14,D,Kirloskar Brothers Ord Shs,399.989998,413.322998,359.857669,369.990748,5958.898997,0
2006-06-15,D,Kirloskar Brothers Ord Shs,431.989198,443.988898,387.990298,443.455578,20649.516324,0
2006-06-16,D,Kirloskar Brothers Ord Shs,457.321898,479.987998,439.988998,447.655473,15398.63503,0
2006-06-19,D,Kirloskar Brothers Ord Shs,403.989898,462.521768,403.989898,459.521843,7921.698075,0
2006-06-20,D,Kirloskar Brothers Ord Shs,453.321998,486.587833,442.655598,477.721388,1496.287413,0
2006-06-21,D,Kirloskar Brothers Ord Shs,433.322498,497.254233,426.655998,492.387688,28262.206672,0
2006-06-22,D,Kirloskar Brothers Ord Shs,513.320498,519.587008,494.854293,502.720763,4194.854889,0
2006-06-23,D,Kirloskar Brothers Ord Shs,506.653998,506.653998,480.654648,493.187668,3534.088367,0
2006-06-26,D,Kirloskar Brothers Ord Shs,493.320998,493.320998,466.721663,477.988048,2122.553073,0
2006-06-27,D,Kirloskar Brothers Ord Shs,531.986698,531.986698,428.055963,461.655123,694.517366,0
2006-06-28,D,Kirloskar Brothers Ord Shs,466.654998,466.654998,429.322598,438.655698,7831.695825,0
2006-06-29,D,Kirloskar Brothers Ord Shs,479.987998,506.520668,448.788778,464.388388,3407.335198,0
2006-06-30,D,Kirloskar Brothers Ord Shs,493.320998,499.854168,479.987998,489.587758,2663.316594,0
2006-07-03,D,Kirloskar Brothers Ord Shs,468.054963,502.587433,468.054963,479.987998,4115.352901,0
2006-07-04,D,Kirloskar Brothers Ord Shs,494.520968,494.520968,466.654998,474.188143,1299.7825,0
2006-07-05,D,Kirloskar Brothers Ord Shs,465.321698,476.588083,465.321698,466.654998,381.009527,0
2006-07-06,D,Kirloskar Brothers Ord Shs,461.321798,471.921533,453.321998,463.121753,292.507314,0
