Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2010-03-03,D,Kovai Medical Center & Hospital Ltd.,191.0,206.0,191.0,202.6,815,0
2010-03-04,D,Kovai Medical Center & Hospital Ltd.,216.8,222.0,210.0,212.7,18543,0
2010-03-05,D,Kovai Medical Center & Hospital Ltd.,208.0,215.0,202.3,205.9,3364,0
2010-03-08,D,Kovai Medical Center & Hospital Ltd.,213.9,215.6,210.0,210.2,2470,0
2010-03-09,D,Kovai Medical Center & Hospital Ltd.,213.0,216.0,208.4,215.2,3000,0
2010-03-10,D,Kovai Medical Center & Hospital Ltd.,219.9,219.9,209.6,211.4,3240,0
2010-03-11,D,Kovai Medical Center & Hospital Ltd.,211.3,253.7,211.1,250.1,115560,0
2010-03-12,D,Kovai Medical Center & Hospital Ltd.,254.0,254.0,228.3,234.8,78154,0
2010-03-15,D,Kovai Medical Center & Hospital Ltd.,236.0,248.0,232.5,235.3,11890,0
2010-03-16,D,Kovai Medical Center & Hospital Ltd.,236.8,242.0,232.2,235.9,3086,0
2010-03-17,D,Kovai Medical Center & Hospital Ltd.,236.2,244.0,231.0,238.9,9858,0
2010-03-18,D,Kovai Medical Center & Hospital Ltd.,252.0,281.0,248.0,262.3,426366,0
2010-03-19,D,Kovai Medical Center & Hospital Ltd.,259.8,268.0,248.0,257.2,66858,0
2010-03-22,D,Kovai Medical Center & Hospital Ltd.,258.0,259.9,248.0,253.4,9678,0
2010-03-23,D,Kovai Medical Center & Hospital Ltd.,251.2,270.0,251.2,260.7,27684,0
2010-03-25,D,Kovai Medical Center & Hospital Ltd.,262.0,266.0,250.1,257.2,10790,0
2010-03-26,D,Kovai Medical Center & Hospital Ltd.,261.7,261.7,252.5,255.4,7645,0
2010-03-29,D,Kovai Medical Center & Hospital Ltd.,263.8,263.8,248.2,252.2,4830,0
2010-03-30,D,Kovai Medical Center & Hospital Ltd.,246.0,255.6,246.0,253.4,6900,0
2010-03-31,D,Kovai Medical Center & Hospital Ltd.,250.0,256.0,247.2,251.3,2636,0
2010-04-01,D,Kovai Medical Center & Hospital Ltd.,256.0,267.3,256.0,262.3,35444,0
2010-04-05,D,Kovai Medical Center & Hospital Ltd.,267.8,269.9,262.1,265.6,6602,0
2010-04-06,D,Kovai Medical Center & Hospital Ltd.,264.0,267.5,260.3,265.1,1904,0
2010-04-07,D,Kovai Medical Center & Hospital Ltd.,279.4,279.4,260.9,262.0,3103,0
2010-04-08,D,Kovai Medical Center & Hospital Ltd.,261.6,262.6,259.2,260.2,3419,0
2010-04-09,D,Kovai Medical Center & Hospital Ltd.,266.0,270.0,260.0,262.9,4954,0
2010-04-12,D,Kovai Medical Center & Hospital Ltd.,262.6,270.7,258.2,264.2,3950,0
2010-04-13,D,Kovai Medical Center & Hospital Ltd.,262.0,307.3,262.0,299.5,123481,0
2010-04-15,D,Kovai Medical Center & Hospital Ltd.,290.0,304.0,284.0,291.2,23270,0
2010-04-16,D,Kovai Medical Center & Hospital Ltd.,290.0,295.0,280.0,288.1,10747,0
2010-04-19,D,Kovai Medical Center & Hospital Ltd.,278.3,294.0,278.2,283.9,5063,0
2010-04-20,D,Kovai Medical Center & Hospital Ltd.,284.5,308.8,282.6,296.9,16248,0
2010-04-21,D,Kovai Medical Center & Hospital Ltd.,302.0,351.2,298.0,338.4,222486,0
2010-04-22,D,Kovai Medical Center & Hospital Ltd.,331.8,352.0,324.4,327.8,83842,0
2010-04-23,D,Kovai Medical Center & Hospital Ltd.,328.9,341.2,316.8,320.4,35014,0
2010-04-26,D,Kovai Medical Center & Hospital Ltd.,323.4,327.5,306.4,311.6,11484,0
2010-04-27,D,Kovai Medical Center & Hospital Ltd.,307.3,319.8,298.0,302.5,16496,0
2010-04-28,D,Kovai Medical Center & Hospital Ltd.,291.4,331.0,291.2,306.2,132874,0
2010-04-29,D,Kovai Medical Center & Hospital Ltd.,311.8,324.8,309.9,313.7,24267,0
2010-04-30,D,Kovai Medical Center & Hospital Ltd.,319.4,342.0,316.6,327.1,111508,0
2010-05-03,D,Kovai Medical Center & Hospital Ltd.,327.8,336.0,320.2,321.3,26322,0
2010-05-04,D,Kovai Medical Center & Hospital Ltd.,324.0,328.4,294.4,299.4,25003,0
2010-05-05,D,Kovai Medical Center & Hospital Ltd.,294.0,316.0,286.2,307.1,40992,0
2010-05-06,D,Kovai Medical Center & Hospital Ltd.,306.0,312.4,294.0,299.9,12028,0
2010-05-07,D,Kovai Medical Center & Hospital Ltd.,294.0,304.8,284.2,287.5,15228,0
2010-05-10,D,Kovai Medical Center & Hospital Ltd.,297.9,299.6,290.0,293.1,9896,0
2010-05-11,D,Kovai Medical Center & Hospital Ltd.,296.0,304.0,290.3,294.8,12616,0
2010-05-12,D,Kovai Medical Center & Hospital Ltd.,293.0,297.8,286.2,287.8,7936,0
2010-05-13,D,Kovai Medical Center & Hospital Ltd.,290.0,292.6,282.2,284.5,4988,0
2010-05-14,D,Kovai Medical Center & Hospital Ltd.,287.6,287.6,269.2,274.3,7784,0
2010-05-17,D,Kovai Medical Center & Hospital Ltd.,270.1,289.8,260.1,281.2,7243,0
2010-05-18,D,Kovai Medical Center & Hospital Ltd.,275.1,286.0,274.0,279.4,5959,0
2010-05-19,D,Kovai Medical Center & Hospital Ltd.,268.0,288.0,260.1,269.1,10235,0
2010-05-20,D,Kovai Medical Center & Hospital Ltd.,274.3,279.0,270.0,272.0,3392,0
2010-05-21,D,Kovai Medical Center & Hospital Ltd.,266.0,276.0,262.2,268.6,2976,0
2010-05-24,D,Kovai Medical Center & Hospital Ltd.,279.9,279.9,266.2,268.8,2038,0
2010-05-25,D,Kovai Medical Center & Hospital Ltd.,260.6,268.0,260.0,260.8,3800,0
2010-05-26,D,Kovai Medical Center & Hospital Ltd.,262.0,270.0,252.3,261.4,4122,0
2010-05-27,D,Kovai Medical Center & Hospital Ltd.,265.3,267.8,260.2,264.7,1378,0
2010-05-28,D,Kovai Medical Center & Hospital Ltd.,266.1,280.0,266.1,272.7,4755,0
2010-05-31,D,Kovai Medical Center & Hospital Ltd.,285.8,285.8,269.1,281.1,3093,0
2010-06-01,D,Kovai Medical Center & Hospital Ltd.,277.7,284.8,270.1,275.5,3950,0
2010-06-02,D,Kovai Medical Center & Hospital Ltd.,273.8,282.0,273.8,280.0,1249,0
2010-06-03,D,Kovai Medical Center & Hospital Ltd.,285.0,285.0,280.4,280.5,1836,0
2010-06-04,D,Kovai Medical Center & Hospital Ltd.,277.3,279.9,277.2,277.6,243,0
2010-06-07,D,Kovai Medical Center & Hospital Ltd.,272.0,279.2,267.8,274.1,340,0
2010-06-08,D,Kovai Medical Center & Hospital Ltd.,282.0,282.0,270.2,270.5,657,0
2010-06-09,D,Kovai Medical Center & Hospital Ltd.,277.9,282.0,271.0,273.4,1508,0
2010-06-10,D,Kovai Medical Center & Hospital Ltd.,274.0,279.8,270.2,276.8,720,0
2010-06-11,D,Kovai Medical Center & Hospital Ltd.,278.8,278.8,272.0,273.0,670,0
2010-06-14,D,Kovai Medical Center & Hospital Ltd.,270.5,274.0,268.1,269.8,1966,0
2010-06-15,D,Kovai Medical Center & Hospital Ltd.,272.0,278.0,270.0,276.5,734,0
2010-06-16,D,Kovai Medical Center & Hospital Ltd.,278.0,282.6,276.2,279.1,1660,0
2010-06-17,D,Kovai Medical Center & Hospital Ltd.,279.3,280.2,270.0,272.5,2596,0
2010-06-18,D,Kovai Medical Center & Hospital Ltd.,274.0,278.6,270.2,272.3,1334,0
2010-06-21,D,Kovai Medical Center & Hospital Ltd.,278.8,278.8,270.2,272.9,661,0
2010-06-22,D,Kovai Medical Center & Hospital Ltd.,277.0,278.0,270.2,276.7,699,0
2010-06-23,D,Kovai Medical Center & Hospital Ltd.,274.0,297.6,274.0,283.0,9444,0
2010-06-24,D,Kovai Medical Center & Hospital Ltd.,291.9,310.0,287.6,290.4,15476,0
2010-06-25,D,Kovai Medical Center & Hospital Ltd.,289.8,302.9,288.4,291.2,3333,0
2010-06-28,D,Kovai Medical Center & Hospital Ltd.,290.2,299.9,282.1,286.9,2548,0
2010-06-29,D,Kovai Medical Center & Hospital Ltd.,287.0,292.0,280.5,282.9,2425,0
2010-06-30,D,Kovai Medical Center & Hospital Ltd.,281.0,290.0,280.5,288.5,2471,0
2010-07-01,D,Kovai Medical Center & Hospital Ltd.,289.9,290.0,282.0,283.1,1884,0
2010-07-02,D,Kovai Medical Center & Hospital Ltd.,284.5,295.8,282.2,289.2,2183,0
2010-07-05,D,Kovai Medical Center & Hospital Ltd.,288.2,288.2,278.1,280.4,2420,0
2010-07-06,D,Kovai Medical Center & Hospital Ltd.,278.4,287.0,278.2,285.0,748,0
2010-07-07,D,Kovai Medical Center & Hospital Ltd.,284.1,284.3,279.0,280.1,1649,0
2010-07-08,D,Kovai Medical Center & Hospital Ltd.,282.5,286.0,281.0,283.6,920,0
2010-07-09,D,Kovai Medical Center & Hospital Ltd.,284.0,284.0,275.0,275.9,3086,0
2010-07-12,D,Kovai Medical Center & Hospital Ltd.,280.0,285.0,280.0,282.7,2020,0
2010-07-13,D,Kovai Medical Center & Hospital Ltd.,282.8,285.0,278.1,280.8,1063,0
2010-07-14,D,Kovai Medical Center & Hospital Ltd.,283.8,287.0,277.2,280.7,2496,0
2010-07-15,D,Kovai Medical Center & Hospital Ltd.,280.5,284.0,276.7,282.4,1236,0
2010-07-16,D,Kovai Medical Center & Hospital Ltd.,281.4,297.4,280.0,293.3,5762,0
2010-07-19,D,Kovai Medical Center & Hospital Ltd.,292.0,313.0,290.0,307.1,12058,0
2010-07-20,D,Kovai Medical Center & Hospital Ltd.,319.8,327.8,301.0,307.8,28356,0
2010-07-21,D,Kovai Medical Center & Hospital Ltd.,303.2,306.8,290.0,292.1,4229,0
2010-07-22,D,Kovai Medical Center & Hospital Ltd.,288.1,298.0,286.3,290.3,9690,0
