Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2018-10-08,D,Kshitij Polyline Ord Shs,5.629068,5.629068,5.470502,5.549785,2446941.649755,0
2018-10-09,D,Kshitij Polyline Ord Shs,5.470502,5.700422,5.399148,5.494287,3153275.321849,0
2018-10-10,D,Kshitij Polyline Ord Shs,5.613211,5.613211,5.533928,5.549785,1311762.533889,0
2018-10-11,D,Kshitij Polyline Ord Shs,5.526,5.533928,5.470502,5.526,706333.672094,1
2018-10-12,D,Kshitij Polyline Ord Shs,5.470502,5.470502,5.39122,5.446718,1059500.508141,0
2018-10-15,D,Kshitij Polyline Ord Shs,5.541857,5.589426,5.502215,5.502215,302714.430898,0
2018-10-16,D,Kshitij Polyline Ord Shs,5.39122,5.549785,5.311937,5.518072,529750.254071,0
2018-10-17,D,Kshitij Polyline Ord Shs,5.311937,5.502215,5.311937,5.502215,50452.40515,0
2018-10-19,D,Kshitij Polyline Ord Shs,5.319865,5.319865,5.319865,5.319865,25226.202575,1
2018-10-22,D,Kshitij Polyline Ord Shs,5.478431,5.478431,5.470502,5.470502,151357.215449,0
2018-10-23,D,Kshitij Polyline Ord Shs,5.311937,5.311937,5.272296,5.272296,50452.40515,0
2018-10-24,D,Kshitij Polyline Ord Shs,5.311937,5.311937,5.311937,5.311937,25226.202575,1
2018-10-25,D,Kshitij Polyline Ord Shs,5.502215,5.541857,5.502215,5.541857,50452.40515,0
2018-10-26,D,Kshitij Polyline Ord Shs,5.319865,5.319865,5.311937,5.311937,50452.40515,0
2018-10-29,D,Kshitij Polyline Ord Shs,5.375363,5.375363,5.367435,5.367435,50452.40515,0
2018-10-30,D,Kshitij Polyline Ord Shs,5.613211,5.613211,5.613211,5.613211,25226.202575,1
2018-10-31,D,Kshitij Polyline Ord Shs,5.311937,5.311937,5.311937,5.311937,25226.202575,1
2018-11-01,D,Kshitij Polyline Ord Shs,5.597355,5.597355,5.597355,5.597355,25226.202575,1
2018-11-02,D,Kshitij Polyline Ord Shs,5.526,5.526,5.526,5.526,25226.202575,1
2018-11-05,D,Kshitij Polyline Ord Shs,5.494287,5.494287,5.494287,5.494287,25226.202575,1
2018-11-06,D,Kshitij Polyline Ord Shs,5.272296,5.272296,5.272296,5.272296,25226.202575,1
2018-11-12,D,Kshitij Polyline Ord Shs,5.446718,5.446718,5.446718,5.446718,25226.202575,1
2018-11-15,D,Kshitij Polyline Ord Shs,5.438789,5.438789,5.438789,5.438789,25226.202575,1
2018-11-16,D,Kshitij Polyline Ord Shs,5.232654,5.351578,5.153372,5.351578,75678.607724,0
2018-11-19,D,Kshitij Polyline Ord Shs,5.311937,5.311937,5.311937,5.311937,25226.202575,1
2018-11-20,D,Kshitij Polyline Ord Shs,5.367435,5.367435,5.367435,5.367435,25226.202575,1
2018-11-26,D,Kshitij Polyline Ord Shs,5.39122,5.866916,5.39122,5.533928,75678.607724,0
2018-11-27,D,Kshitij Polyline Ord Shs,5.074089,5.367435,5.074089,5.367435,50452.40515,0
2018-11-29,D,Kshitij Polyline Ord Shs,5.359507,5.359507,5.074089,5.351578,75678.607724,0
2018-11-30,D,Kshitij Polyline Ord Shs,5.383291,5.383291,5.383291,5.383291,25226.202575,1
2018-12-03,D,Kshitij Polyline Ord Shs,5.39122,5.39122,5.39122,5.39122,25226.202575,1
2018-12-04,D,Kshitij Polyline Ord Shs,4.994806,5.34365,4.994806,5.34365,50452.40515,0
2018-12-05,D,Kshitij Polyline Ord Shs,5.375363,5.375363,5.375363,5.375363,25226.202575,1
2018-12-10,D,Kshitij Polyline Ord Shs,5.39122,5.39122,5.39122,5.39122,25226.202575,1
2018-12-21,D,Kshitij Polyline Ord Shs,5.375363,5.375363,5.375363,5.375363,25226.202575,1
2018-12-24,D,Kshitij Polyline Ord Shs,5.34365,5.34365,5.34365,5.34365,25226.202575,1
2018-12-31,D,Kshitij Polyline Ord Shs,4.756959,4.756959,4.756959,4.756959,25226.202575,1
2019-01-07,D,Kshitij Polyline Ord Shs,4.756959,4.756959,4.756959,4.756959,25226.202575,1
2019-01-08,D,Kshitij Polyline Ord Shs,4.756959,4.756959,4.756959,4.756959,25226.202575,1
2019-01-09,D,Kshitij Polyline Ord Shs,4.439828,4.503254,4.439828,4.495326,201809.620598,0
2019-01-10,D,Kshitij Polyline Ord Shs,4.582537,4.582537,4.56668,4.56668,100904.810299,0
2019-01-14,D,Kshitij Polyline Ord Shs,4.764887,4.764887,4.764887,4.764887,126131.012874,1
2019-01-15,D,Kshitij Polyline Ord Shs,4.717317,4.717317,4.717317,4.717317,201809.620598,1
2019-01-17,D,Kshitij Polyline Ord Shs,5.034448,5.034448,5.034448,5.034448,25226.202575,1
2019-01-18,D,Kshitij Polyline Ord Shs,5.042376,5.042376,5.042376,5.042376,25226.202575,1
2019-01-22,D,Kshitij Polyline Ord Shs,4.725245,4.725245,4.725245,4.725245,100904.810299,1
2019-01-23,D,Kshitij Polyline Ord Shs,4.519111,4.899667,4.519111,4.899667,50452.40515,0
2019-01-24,D,Kshitij Polyline Ord Shs,4.74903,4.899667,4.74903,4.899667,176583.418024,0
2019-02-01,D,Kshitij Polyline Ord Shs,5.502215,5.502215,4.519111,4.725245,75678.607724,0
2019-02-06,D,Kshitij Polyline Ord Shs,4.891739,4.891739,4.519111,4.519111,50452.40515,0
2019-02-08,D,Kshitij Polyline Ord Shs,5.042376,5.042376,5.042376,5.042376,25226.202575,1
2019-02-20,D,Kshitij Polyline Ord Shs,4.439828,4.439828,4.439828,4.439828,25226.202575,1
2019-02-21,D,Kshitij Polyline Ord Shs,5.042376,5.042376,5.042376,5.042376,25226.202575,1
2019-02-22,D,Kshitij Polyline Ord Shs,5.010663,5.010663,5.010663,5.010663,25226.202575,1
2019-03-06,D,Kshitij Polyline Ord Shs,4.756959,4.756959,4.756959,4.756959,25226.202575,1
2019-03-11,D,Kshitij Polyline Ord Shs,4.122697,4.875883,4.122697,4.844169,126131.012874,0
2019-03-12,D,Kshitij Polyline Ord Shs,4.97895,4.97895,4.97895,4.97895,252262.025748,1
2019-03-14,D,Kshitij Polyline Ord Shs,4.947237,4.947237,4.947237,4.947237,25226.202575,1
2019-03-15,D,Kshitij Polyline Ord Shs,4.971022,4.971022,4.971022,4.971022,50452.40515,1
2019-03-19,D,Kshitij Polyline Ord Shs,4.756959,5.470502,4.756959,5.470502,100904.810299,0
2019-03-22,D,Kshitij Polyline Ord Shs,5.518072,5.518072,5.518072,5.518072,25226.202575,1
2019-03-29,D,Kshitij Polyline Ord Shs,5.613211,5.613211,5.613211,5.613211,25226.202575,1
2019-04-01,D,Kshitij Polyline Ord Shs,5.676637,5.676637,4.519111,4.519111,50452.40515,0
2019-04-02,D,Kshitij Polyline Ord Shs,4.519111,4.677676,4.519111,4.677676,50452.40515,0
2019-04-03,D,Kshitij Polyline Ord Shs,5.470502,5.470502,5.470502,5.470502,25226.202575,1
2019-04-11,D,Kshitij Polyline Ord Shs,4.519111,4.519111,4.439828,4.439828,50452.40515,0
2019-05-02,D,Kshitij Polyline Ord Shs,4.439828,4.439828,3.805567,4.20198,75678.607724,0
2019-05-03,D,Kshitij Polyline Ord Shs,4.479469,4.558752,4.122697,4.400187,151357.215449,0
2019-05-06,D,Kshitij Polyline Ord Shs,3.964132,4.550824,3.964132,4.257478,50452.40515,0
