Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2000-12-21,D,Karnataka Bank Ord Shs,5.405652,5.52708,5.405652,5.481021,0.0,0
2000-12-22,D,Karnataka Bank Ord Shs,5.447524,5.52708,5.275849,5.472647,75826.651704,0
2000-12-26,D,Karnataka Bank Ord Shs,5.367967,5.401465,5.045554,5.183731,112247.326931,0
2000-12-27,D,Karnataka Bank Ord Shs,4.823634,5.594075,4.823634,5.531268,64482.506961,0
2000-12-28,D,Karnataka Bank Ord Shs,5.619198,5.69038,5.342844,5.443337,60900.145463,0
2000-12-29,D,Karnataka Bank Ord Shs,5.367967,5.485209,5.20048,5.384716,59108.964714,0
2001-01-01,D,Karnataka Bank Ord Shs,5.296785,5.393091,5.275849,5.300973,35823.614978,0
2001-01-02,D,Karnataka Bank Ord Shs,5.309347,5.443337,5.275849,5.367967,72841.350455,0
2001-01-03,D,Karnataka Bank Ord Shs,5.359593,5.610824,5.347032,5.560578,143891.520162,0
2001-01-04,D,Karnataka Bank Ord Shs,5.73644,5.778311,5.485209,5.485209,86573.736197,0
2001-01-05,D,Karnataka Bank Ord Shs,5.401465,5.485209,5.359593,5.422401,41197.157225,0
2001-01-08,D,Karnataka Bank Ord Shs,5.326096,5.426588,5.326096,5.347032,20897.108737,0
2001-01-09,D,Karnataka Bank Ord Shs,5.359593,5.485209,5.359593,5.401465,60900.145463,0
2001-01-10,D,Karnataka Bank Ord Shs,5.434962,5.485209,5.359593,5.367967,51347.181469,0
2001-01-11,D,Karnataka Bank Ord Shs,5.359593,5.397278,5.326096,5.397278,37017.735477,0
2001-01-12,D,Karnataka Bank Ord Shs,5.338657,5.430775,5.338657,5.367967,30450.072731,0
2001-01-15,D,Karnataka Bank Ord Shs,5.401465,5.443337,5.321908,5.355406,32838.31373,0
2001-01-16,D,Karnataka Bank Ord Shs,5.36378,5.52708,5.351219,5.372155,99112.001439,0
2001-01-17,D,Karnataka Bank Ord Shs,5.52708,5.778311,5.443337,5.535455,99709.061689,0
