Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2007-03-16,D,La Opala RG Ord Shs,4.194261,4.608753,3.94754,4.100507,2860269.957379,0
2007-03-19,D,La Opala RG Ord Shs,4.20413,4.243606,3.651475,3.819245,188829.997186,0
2007-03-20,D,La Opala RG Ord Shs,3.94754,4.569278,3.473835,3.730425,201249.997001,0
2007-03-21,D,La Opala RG Ord Shs,3.799507,3.888327,3.380081,3.567589,170019.997467,0
2007-03-22,D,La Opala RG Ord Shs,3.355409,3.750163,3.355409,3.557721,195399.997088,0
2007-03-23,D,La Opala RG Ord Shs,3.394884,3.641606,3.394884,3.577458,72759.998916,0
2007-03-26,D,La Opala RG Ord Shs,3.552786,3.562655,3.227114,3.315934,52249.999221,0
2007-03-28,D,La Opala RG Ord Shs,3.232048,3.256721,3.197507,3.202442,190999.997154,0
2007-03-29,D,La Opala RG Ord Shs,3.355409,3.355409,3.212311,3.261655,18699.999721,0
2007-03-30,D,La Opala RG Ord Shs,3.207376,3.355409,3.158032,3.306065,30469.999546,0
2007-04-02,D,La Opala RG Ord Shs,3.162967,3.256721,2.66459,3.202442,81219.99879,0
2007-04-03,D,La Opala RG Ord Shs,3.207376,3.286327,3.143229,3.232048,22029.999672,0
2007-04-04,D,La Opala RG Ord Shs,3.355409,3.355409,3.212311,3.232048,7029.999895,0
2007-04-05,D,La Opala RG Ord Shs,3.251786,3.251786,3.009999,3.103753,31819.999526,0
2007-04-09,D,La Opala RG Ord Shs,3.207376,3.335671,3.148163,3.286327,11099.999835,0
2007-04-10,D,La Opala RG Ord Shs,3.409688,3.419557,2.861967,3.212311,65979.999017,0
2007-04-11,D,La Opala RG Ord Shs,3.256721,3.340606,3.256721,3.266589,38139.999432,0
2007-04-12,D,La Opala RG Ord Shs,3.256721,3.34554,3.256721,3.34554,11789.999824,0
2007-04-13,D,La Opala RG Ord Shs,3.424491,3.454098,3.325803,3.43436,1199.999982,0
2007-04-16,D,La Opala RG Ord Shs,3.513311,3.513311,3.360344,3.385016,11919.999822,0
2007-04-17,D,La Opala RG Ord Shs,3.276458,3.404753,3.276458,3.330737,8179.999878,0
2007-04-18,D,La Opala RG Ord Shs,3.330737,3.355409,3.330737,3.355409,1229.999982,0
2007-04-19,D,La Opala RG Ord Shs,3.330737,3.330737,3.330737,3.330737,11369.999831,1
2007-04-20,D,La Opala RG Ord Shs,3.330737,3.498507,3.330737,3.330737,7959.999881,1
2007-04-23,D,La Opala RG Ord Shs,3.310999,3.310999,3.310999,3.310999,399.999994,1
2007-04-24,D,La Opala RG Ord Shs,3.310999,3.454098,3.167901,3.310999,8129.999879,1
2007-04-25,D,La Opala RG Ord Shs,3.306065,3.60213,3.306065,3.537983,36919.99945,0
2007-04-26,D,La Opala RG Ord Shs,3.552786,3.552786,3.355409,3.404753,7409.99989,0
2007-04-27,D,La Opala RG Ord Shs,3.429425,3.429425,3.315934,3.315934,6499.999903,0
2007-04-30,D,La Opala RG Ord Shs,3.256721,3.256721,3.256721,3.256721,999.999985,1
2007-05-03,D,La Opala RG Ord Shs,3.47877,3.52318,3.306065,3.306065,15399.999771,0
2007-05-04,D,La Opala RG Ord Shs,3.276458,3.355409,3.276458,3.34554,13999.999791,0
2007-05-07,D,La Opala RG Ord Shs,3.306065,3.355409,3.212311,3.266589,20029.999702,0
2007-05-08,D,La Opala RG Ord Shs,3.325803,3.325803,3.325803,3.325803,999.999985,1
2007-05-09,D,La Opala RG Ord Shs,3.207376,3.60213,3.108688,3.266589,11999.999821,0
2007-05-10,D,La Opala RG Ord Shs,3.232048,3.414622,3.232048,3.246852,3339.99995,0
2007-05-11,D,La Opala RG Ord Shs,3.444229,3.449163,3.276458,3.355409,5599.999917,0
2007-05-14,D,La Opala RG Ord Shs,3.355409,3.355409,3.236983,3.251786,16359.999756,0
2007-05-15,D,La Opala RG Ord Shs,3.296196,3.34554,3.22218,3.34554,3949.999941,0
2007-05-16,D,La Opala RG Ord Shs,3.528114,3.528114,3.34554,3.385016,39839.999406,0
2007-05-17,D,La Opala RG Ord Shs,3.404753,3.503442,3.315934,3.47877,28499.999575,0
2007-05-18,D,La Opala RG Ord Shs,3.335671,3.488639,3.335671,3.43436,14969.999777,0
2007-05-21,D,La Opala RG Ord Shs,3.503442,3.503442,3.404753,3.503442,11299.999832,1
2007-05-22,D,La Opala RG Ord Shs,3.360344,3.360344,3.335671,3.350475,9279.999862,0
2007-05-23,D,La Opala RG Ord Shs,2.990262,3.380081,2.990262,3.335671,5719.999915,0
2007-05-24,D,La Opala RG Ord Shs,3.212311,3.385016,3.202442,3.286327,5099.999924,0
2007-05-25,D,La Opala RG Ord Shs,3.306065,3.380081,3.261655,3.330737,8999.999866,0
2007-05-28,D,La Opala RG Ord Shs,3.261655,3.271524,3.261655,3.271524,3439.999949,0
2007-05-29,D,La Opala RG Ord Shs,3.256721,3.296196,3.217245,3.296196,29579.999559,0
2007-05-30,D,La Opala RG Ord Shs,3.306065,3.306065,3.232048,3.306065,5389.99992,1
2007-05-31,D,La Opala RG Ord Shs,3.281393,3.30113,3.167901,3.246852,68489.998979,0
2007-06-04,D,La Opala RG Ord Shs,3.320868,3.320868,3.167901,3.182704,44049.999344,0
2007-06-05,D,La Opala RG Ord Shs,3.158032,3.232048,3.128426,3.182704,70759.998946,0
