Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2018-04-09,D,Lemon Tree Hotels Ord Shs,61.6,73.9,57.25,71.65,67619635,0
2018-04-10,D,Lemon Tree Hotels Ord Shs,69.85,71.5,65.4,66.85,15217104,0
2018-04-11,D,Lemon Tree Hotels Ord Shs,67.25,69.7,66.05,66.95,9094509,0
2018-04-12,D,Lemon Tree Hotels Ord Shs,67.1,67.7,65.1,66.4,2408408,0
2018-04-13,D,Lemon Tree Hotels Ord Shs,66.7,68.2,66.5,67.7,2406014,0
2018-04-16,D,Lemon Tree Hotels Ord Shs,66.9,68.1,66.0,67.25,2128485,0
2018-04-17,D,Lemon Tree Hotels Ord Shs,67.6,70.2,66.85,68.5,4825528,0
2018-04-18,D,Lemon Tree Hotels Ord Shs,69.0,71.7,65.9,68.05,6054807,0
2018-04-19,D,Lemon Tree Hotels Ord Shs,69.2,72.7,68.5,71.85,3326199,0
2018-04-20,D,Lemon Tree Hotels Ord Shs,72.5,85.5,72.1,83.7,18742753,0
2018-04-23,D,Lemon Tree Hotels Ord Shs,83.0,90.9,80.4,83.95,17221425,0
2018-04-24,D,Lemon Tree Hotels Ord Shs,84.5,86.7,80.55,81.65,4452462,0
2018-04-25,D,Lemon Tree Hotels Ord Shs,81.7,82.0,74.4,75.65,4514470,0
2018-04-26,D,Lemon Tree Hotels Ord Shs,75.5,75.65,70.25,73.1,5474867,0
2018-04-27,D,Lemon Tree Hotels Ord Shs,73.0,76.9,72.2,75.35,3916156,0
2018-04-30,D,Lemon Tree Hotels Ord Shs,75.5,76.9,73.8,75.55,1401796,0
2018-05-02,D,Lemon Tree Hotels Ord Shs,75.8,80.8,75.2,78.4,3896698,0
2018-05-03,D,Lemon Tree Hotels Ord Shs,80.0,80.4,76.5,79.0,2774372,0
2018-05-04,D,Lemon Tree Hotels Ord Shs,78.65,79.55,76.6,77.2,1027937,0
2018-05-07,D,Lemon Tree Hotels Ord Shs,77.2,77.45,70.3,73.2,2951116,0
2018-05-08,D,Lemon Tree Hotels Ord Shs,73.6,74.95,72.35,72.9,2464144,0
2018-05-09,D,Lemon Tree Hotels Ord Shs,73.05,74.6,72.0,72.4,2289495,0
2018-05-10,D,Lemon Tree Hotels Ord Shs,72.85,73.4,71.1,71.55,1916462,0
2018-05-11,D,Lemon Tree Hotels Ord Shs,71.95,71.95,68.2,69.3,1544306,0
2018-05-14,D,Lemon Tree Hotels Ord Shs,69.45,71.7,66.2,68.1,2301609,0
2018-05-15,D,Lemon Tree Hotels Ord Shs,68.45,68.8,66.0,66.75,1411571,0
2018-05-16,D,Lemon Tree Hotels Ord Shs,66.5,66.8,63.0,65.0,4602647,0
2018-05-17,D,Lemon Tree Hotels Ord Shs,65.15,68.65,64.5,65.1,4371369,0
2018-05-18,D,Lemon Tree Hotels Ord Shs,65.5,65.75,63.0,63.95,1314524,0
2018-05-21,D,Lemon Tree Hotels Ord Shs,63.85,63.85,61.8,63.05,775558,0
2018-05-22,D,Lemon Tree Hotels Ord Shs,62.95,68.0,62.55,66.35,1436399,0
2018-05-23,D,Lemon Tree Hotels Ord Shs,66.4,68.5,64.1,65.15,782434,0
2018-05-24,D,Lemon Tree Hotels Ord Shs,65.2,67.45,64.1,65.4,899280,0
2018-05-25,D,Lemon Tree Hotels Ord Shs,66.0,67.4,64.25,65.7,1135981,0
2018-05-28,D,Lemon Tree Hotels Ord Shs,68.45,70.0,67.1,69.05,1783592,0
2018-05-29,D,Lemon Tree Hotels Ord Shs,69.9,70.9,69.65,70.1,1536212,0
2018-05-30,D,Lemon Tree Hotels Ord Shs,70.8,75.75,70.0,72.45,3715096,0
2018-05-31,D,Lemon Tree Hotels Ord Shs,73.45,74.7,71.0,72.6,1438929,0
2018-06-01,D,Lemon Tree Hotels Ord Shs,72.5,75.0,71.6,72.7,1163627,0
2018-06-04,D,Lemon Tree Hotels Ord Shs,75.25,77.4,73.45,75.95,3209752,0
2018-06-05,D,Lemon Tree Hotels Ord Shs,75.35,75.35,69.35,70.2,2973410,0
2018-06-06,D,Lemon Tree Hotels Ord Shs,70.0,71.5,69.5,70.2,2222313,0
2018-06-07,D,Lemon Tree Hotels Ord Shs,70.8,73.5,70.55,71.35,1917055,0
2018-06-08,D,Lemon Tree Hotels Ord Shs,71.0,71.35,69.9,70.1,1723456,0
2018-06-11,D,Lemon Tree Hotels Ord Shs,70.7,72.0,70.5,71.2,749228,0
2018-06-12,D,Lemon Tree Hotels Ord Shs,71.45,78.25,70.8,76.5,4730394,0
2018-06-13,D,Lemon Tree Hotels Ord Shs,76.0,76.5,74.5,75.15,1108764,0
2018-06-14,D,Lemon Tree Hotels Ord Shs,74.8,75.8,73.5,75.3,784144,0
2018-06-15,D,Lemon Tree Hotels Ord Shs,74.25,75.9,73.85,75.5,722753,0
2018-06-18,D,Lemon Tree Hotels Ord Shs,75.0,77.0,74.7,76.3,1033699,0
2018-06-19,D,Lemon Tree Hotels Ord Shs,75.35,77.4,74.95,76.45,712324,0
2018-06-20,D,Lemon Tree Hotels Ord Shs,76.8,77.8,73.7,74.15,1624077,0
2018-06-21,D,Lemon Tree Hotels Ord Shs,74.35,75.5,73.1,74.95,501222,0
2018-06-22,D,Lemon Tree Hotels Ord Shs,74.6,76.0,73.8,75.25,402803,0
2018-06-25,D,Lemon Tree Hotels Ord Shs,74.3,75.6,72.3,73.45,341342,0
2018-06-26,D,Lemon Tree Hotels Ord Shs,73.0,73.95,71.8,73.05,347334,0
2018-06-27,D,Lemon Tree Hotels Ord Shs,72.65,73.95,70.0,72.75,615039,0
2018-06-28,D,Lemon Tree Hotels Ord Shs,73.5,74.8,73.0,74.1,765093,0
2018-06-29,D,Lemon Tree Hotels Ord Shs,74.35,77.2,74.35,76.85,1434309,0
2018-07-02,D,Lemon Tree Hotels Ord Shs,76.9,77.2,73.75,74.15,397673,0
2018-07-03,D,Lemon Tree Hotels Ord Shs,73.85,74.35,72.65,72.95,358312,0
2018-07-04,D,Lemon Tree Hotels Ord Shs,72.95,74.4,71.8,72.65,730881,0
2018-07-05,D,Lemon Tree Hotels Ord Shs,72.45,73.55,71.6,72.05,249308,0
2018-07-06,D,Lemon Tree Hotels Ord Shs,71.8,73.75,71.3,72.75,316737,0
2018-07-09,D,Lemon Tree Hotels Ord Shs,73.0,73.75,72.4,72.85,153710,0
2018-07-10,D,Lemon Tree Hotels Ord Shs,73.35,75.8,73.0,74.8,654263,0
2018-07-11,D,Lemon Tree Hotels Ord Shs,74.6,79.9,74.6,77.65,3235521,0
2018-07-12,D,Lemon Tree Hotels Ord Shs,78.15,80.5,77.8,78.8,1942177,0
2018-07-13,D,Lemon Tree Hotels Ord Shs,79.5,79.8,74.5,75.55,833505,0
2018-07-16,D,Lemon Tree Hotels Ord Shs,75.05,76.0,72.45,73.75,620634,0
2018-07-17,D,Lemon Tree Hotels Ord Shs,74.35,75.25,73.5,74.2,418992,0
2018-07-18,D,Lemon Tree Hotels Ord Shs,74.8,75.2,72.75,74.0,1479785,0
2018-07-19,D,Lemon Tree Hotels Ord Shs,74.1,74.5,73.05,73.9,201717,0
2018-07-20,D,Lemon Tree Hotels Ord Shs,74.6,75.45,73.2,74.9,301490,0
2018-07-23,D,Lemon Tree Hotels Ord Shs,76.0,78.5,75.3,77.65,898533,0
2018-07-24,D,Lemon Tree Hotels Ord Shs,77.65,78.45,76.3,76.7,341120,0
2018-07-25,D,Lemon Tree Hotels Ord Shs,76.7,78.55,76.0,77.6,431358,0
2018-07-26,D,Lemon Tree Hotels Ord Shs,77.6,83.85,77.15,81.75,1660530,0
2018-07-27,D,Lemon Tree Hotels Ord Shs,82.95,84.6,80.9,81.9,969417,0
2018-07-30,D,Lemon Tree Hotels Ord Shs,81.95,82.35,78.5,79.6,785646,0
2018-07-31,D,Lemon Tree Hotels Ord Shs,79.65,79.65,77.6,78.0,768527,0
2018-08-01,D,Lemon Tree Hotels Ord Shs,77.8,79.0,76.0,76.3,422485,0
2018-08-02,D,Lemon Tree Hotels Ord Shs,76.1,83.0,75.45,81.5,3095392,0
2018-08-03,D,Lemon Tree Hotels Ord Shs,82.25,84.45,80.35,83.4,1972241,0
2018-08-06,D,Lemon Tree Hotels Ord Shs,84.1,86.25,83.0,84.7,1421396,0
2018-08-07,D,Lemon Tree Hotels Ord Shs,84.9,84.9,81.6,82.75,682068,0
2018-08-08,D,Lemon Tree Hotels Ord Shs,83.5,84.5,82.2,82.85,547155,0
2018-08-09,D,Lemon Tree Hotels Ord Shs,82.9,82.95,81.2,81.6,391368,0
2018-08-10,D,Lemon Tree Hotels Ord Shs,81.6,82.0,80.1,80.65,332250,0
2018-08-13,D,Lemon Tree Hotels Ord Shs,80.2,82.0,77.65,78.55,452057,0
2018-08-14,D,Lemon Tree Hotels Ord Shs,81.5,81.5,78.05,79.75,1466615,0
2018-08-16,D,Lemon Tree Hotels Ord Shs,80.4,80.4,77.95,78.2,229815,0
2018-08-17,D,Lemon Tree Hotels Ord Shs,78.9,80.0,78.5,79.0,307998,0
2018-08-20,D,Lemon Tree Hotels Ord Shs,79.6,79.6,77.2,78.0,271930,0
2018-08-21,D,Lemon Tree Hotels Ord Shs,78.0,79.3,78.0,79.0,294216,0
2018-08-23,D,Lemon Tree Hotels Ord Shs,78.8,79.15,76.6,77.25,435487,0
2018-08-24,D,Lemon Tree Hotels Ord Shs,77.25,79.35,77.0,78.7,305720,0
2018-08-27,D,Lemon Tree Hotels Ord Shs,77.1,79.3,77.1,78.7,379706,0
2018-08-28,D,Lemon Tree Hotels Ord Shs,78.1,81.7,77.15,77.55,1321268,0
2018-08-29,D,Lemon Tree Hotels Ord Shs,77.55,79.0,77.55,77.95,211875,0
2018-08-30,D,Lemon Tree Hotels Ord Shs,78.0,79.5,77.65,78.15,272692,0
2018-08-31,D,Lemon Tree Hotels Ord Shs,78.3,78.95,77.35,78.55,218619,0
2018-09-03,D,Lemon Tree Hotels Ord Shs,78.75,78.8,77.0,77.25,199300,0
2018-09-04,D,Lemon Tree Hotels Ord Shs,77.95,77.95,74.75,75.3,260088,0
2018-09-05,D,Lemon Tree Hotels Ord Shs,75.7,75.8,73.5,75.1,361462,0
2018-09-06,D,Lemon Tree Hotels Ord Shs,76.75,76.75,73.65,74.75,690622,0
2018-09-07,D,Lemon Tree Hotels Ord Shs,74.95,75.6,73.95,74.25,160831,0
2018-09-10,D,Lemon Tree Hotels Ord Shs,73.5,74.8,73.25,73.4,91188,0
2018-09-11,D,Lemon Tree Hotels Ord Shs,74.35,75.5,72.5,73.4,264606,0
2018-09-12,D,Lemon Tree Hotels Ord Shs,73.4,74.7,73.15,74.3,129195,0
2018-09-14,D,Lemon Tree Hotels Ord Shs,74.35,74.6,73.1,73.25,146668,0
2018-09-17,D,Lemon Tree Hotels Ord Shs,73.25,78.15,72.8,76.65,1686972,0
2018-09-18,D,Lemon Tree Hotels Ord Shs,75.75,77.3,74.4,74.8,141419,0
2018-09-19,D,Lemon Tree Hotels Ord Shs,74.8,75.75,73.0,74.05,160800,0
2018-09-21,D,Lemon Tree Hotels Ord Shs,74.35,77.85,71.0,73.85,1927513,0
2018-09-24,D,Lemon Tree Hotels Ord Shs,73.75,74.15,70.55,71.15,159664,0
2018-09-25,D,Lemon Tree Hotels Ord Shs,70.95,72.25,68.7,71.8,228892,0
2018-09-26,D,Lemon Tree Hotels Ord Shs,71.95,73.0,71.0,72.55,159136,0
2018-09-27,D,Lemon Tree Hotels Ord Shs,72.0,73.7,71.0,72.95,192994,0
2018-09-28,D,Lemon Tree Hotels Ord Shs,73.7,75.4,70.0,72.6,585703,0
2018-10-01,D,Lemon Tree Hotels Ord Shs,72.4,72.45,68.5,70.6,378126,0
2018-10-03,D,Lemon Tree Hotels Ord Shs,70.0,71.4,68.0,69.9,151001,0
2018-10-04,D,Lemon Tree Hotels Ord Shs,68.0,70.9,68.0,69.7,235102,0
2018-10-05,D,Lemon Tree Hotels Ord Shs,69.0,69.0,65.4,66.9,375621,0
2018-10-08,D,Lemon Tree Hotels Ord Shs,66.0,69.0,66.0,68.2,300450,0
2018-10-09,D,Lemon Tree Hotels Ord Shs,68.2,70.2,68.2,70.0,242149,0
2018-10-10,D,Lemon Tree Hotels Ord Shs,70.0,72.4,69.1,71.4,774434,0
2018-10-11,D,Lemon Tree Hotels Ord Shs,69.65,70.0,68.6,69.5,199933,0
2018-10-12,D,Lemon Tree Hotels Ord Shs,70.0,72.8,69.25,69.75,651319,0
2018-10-15,D,Lemon Tree Hotels Ord Shs,69.9,70.6,68.7,69.35,150496,0
2018-10-16,D,Lemon Tree Hotels Ord Shs,69.0,70.5,69.0,69.45,126452,0
2018-10-17,D,Lemon Tree Hotels Ord Shs,70.5,71.5,66.65,67.7,228628,0
2018-10-19,D,Lemon Tree Hotels Ord Shs,66.4,69.15,66.25,68.95,248425,0
2018-10-22,D,Lemon Tree Hotels Ord Shs,68.9,69.9,66.15,67.4,467024,0
2018-10-23,D,Lemon Tree Hotels Ord Shs,68.0,68.0,66.0,67.0,258613,0
2018-10-24,D,Lemon Tree Hotels Ord Shs,67.85,68.15,66.1,66.55,125273,0
2018-10-25,D,Lemon Tree Hotels Ord Shs,66.05,67.6,65.5,66.95,102269,0
2018-10-26,D,Lemon Tree Hotels Ord Shs,67.8,69.1,66.4,68.65,169673,0
2018-10-29,D,Lemon Tree Hotels Ord Shs,67.3,69.55,67.3,68.75,149909,0
2018-10-30,D,Lemon Tree Hotels Ord Shs,67.3,70.6,67.3,68.95,358809,0
2018-10-31,D,Lemon Tree Hotels Ord Shs,69.45,70.35,68.1,69.25,378726,0
2018-11-01,D,Lemon Tree Hotels Ord Shs,71.4,72.0,68.4,68.7,412663,0
2018-11-02,D,Lemon Tree Hotels Ord Shs,69.2,69.9,68.5,68.95,284727,0
2018-11-05,D,Lemon Tree Hotels Ord Shs,68.8,69.6,68.0,68.3,94500,0
2018-11-06,D,Lemon Tree Hotels Ord Shs,69.4,69.4,67.5,67.75,81838,0
2018-11-07,D,Lemon Tree Hotels Ord Shs,68.05,69.4,68.05,69.05,30125,0
2018-11-09,D,Lemon Tree Hotels Ord Shs,69.0,70.3,68.45,69.75,137952,0
2018-11-12,D,Lemon Tree Hotels Ord Shs,68.7,70.8,68.7,69.6,122387,0
2018-11-13,D,Lemon Tree Hotels Ord Shs,69.6,70.8,68.95,69.4,132784,0
2018-11-14,D,Lemon Tree Hotels Ord Shs,71.3,74.5,70.5,71.95,1379963,0
2018-11-15,D,Lemon Tree Hotels Ord Shs,72.0,72.35,71.05,71.95,278950,0
2018-11-16,D,Lemon Tree Hotels Ord Shs,72.5,72.5,70.0,71.85,401007,0
2018-11-19,D,Lemon Tree Hotels Ord Shs,72.0,73.05,71.15,71.45,236216,0
2018-11-20,D,Lemon Tree Hotels Ord Shs,72.0,72.0,70.5,71.9,295758,0
2018-11-21,D,Lemon Tree Hotels Ord Shs,71.95,72.0,70.95,71.95,280442,1
2018-11-22,D,Lemon Tree Hotels Ord Shs,72.0,74.8,71.5,73.3,988530,0
2018-11-26,D,Lemon Tree Hotels Ord Shs,73.3,74.15,72.35,73.65,333220,0
2018-11-27,D,Lemon Tree Hotels Ord Shs,73.6,76.5,73.05,76.15,702396,0
2018-11-28,D,Lemon Tree Hotels Ord Shs,77.0,77.5,70.75,71.2,462408,0
2018-11-29,D,Lemon Tree Hotels Ord Shs,71.2,72.3,70.1,70.4,276196,0
2018-11-30,D,Lemon Tree Hotels Ord Shs,71.0,71.5,67.0,68.05,2154487,0
2018-12-03,D,Lemon Tree Hotels Ord Shs,68.45,69.35,67.7,68.9,306421,0
2018-12-04,D,Lemon Tree Hotels Ord Shs,69.0,69.3,68.0,68.9,133599,0
2018-12-05,D,Lemon Tree Hotels Ord Shs,67.7,69.45,67.1,67.95,1226814,0
2018-12-06,D,Lemon Tree Hotels Ord Shs,68.0,69.6,66.0,66.3,489131,0
2018-12-07,D,Lemon Tree Hotels Ord Shs,66.75,68.6,66.05,66.75,245706,1
2018-12-10,D,Lemon Tree Hotels Ord Shs,66.05,66.2,64.1,65.1,154612,0
2018-12-11,D,Lemon Tree Hotels Ord Shs,63.7,66.5,63.7,66.15,104143,0
2018-12-12,D,Lemon Tree Hotels Ord Shs,66.0,68.7,65.65,67.95,281880,0
2018-12-13,D,Lemon Tree Hotels Ord Shs,69.4,69.6,68.25,68.85,181176,0
2018-12-14,D,Lemon Tree Hotels Ord Shs,68.95,71.1,68.5,69.85,338111,0
2018-12-17,D,Lemon Tree Hotels Ord Shs,69.85,71.4,69.05,70.1,378359,0
2018-12-18,D,Lemon Tree Hotels Ord Shs,69.5,70.95,69.3,70.45,1491592,0
2018-12-19,D,Lemon Tree Hotels Ord Shs,72.0,72.5,70.7,71.5,490257,0
2018-12-20,D,Lemon Tree Hotels Ord Shs,71.1,71.65,70.7,70.95,87032,0
2018-12-21,D,Lemon Tree Hotels Ord Shs,71.4,72.0,69.85,71.25,148912,0
2018-12-24,D,Lemon Tree Hotels Ord Shs,71.6,71.6,68.8,69.2,314964,0
2018-12-26,D,Lemon Tree Hotels Ord Shs,68.2,69.8,67.75,68.1,190287,0
2018-12-27,D,Lemon Tree Hotels Ord Shs,68.9,69.65,68.0,68.45,141427,0
2018-12-28,D,Lemon Tree Hotels Ord Shs,77.8,77.8,73.4,74.8,3759548,0
2018-12-31,D,Lemon Tree Hotels Ord Shs,75.45,75.6,72.0,73.6,598266,0
2019-01-01,D,Lemon Tree Hotels Ord Shs,73.45,75.55,72.4,74.3,1252687,0
2019-01-02,D,Lemon Tree Hotels Ord Shs,73.75,73.8,70.55,71.15,328582,0
2019-01-03,D,Lemon Tree Hotels Ord Shs,71.25,71.7,69.3,69.55,208543,0
2019-01-04,D,Lemon Tree Hotels Ord Shs,69.05,70.3,68.6,69.0,185463,0
2019-01-07,D,Lemon Tree Hotels Ord Shs,69.95,70.3,69.0,69.9,147380,0
2019-01-08,D,Lemon Tree Hotels Ord Shs,69.75,69.8,68.05,68.65,164222,0
2019-01-09,D,Lemon Tree Hotels Ord Shs,69.0,69.7,68.3,68.6,131241,0
2019-01-10,D,Lemon Tree Hotels Ord Shs,68.9,70.8,66.2,70.3,324307,0
2019-01-11,D,Lemon Tree Hotels Ord Shs,72.0,73.0,71.05,71.95,515022,0
2019-01-14,D,Lemon Tree Hotels Ord Shs,72.15,72.15,70.2,70.6,179988,0
2019-01-15,D,Lemon Tree Hotels Ord Shs,70.95,70.95,69.1,69.75,161922,0
2019-01-16,D,Lemon Tree Hotels Ord Shs,69.85,70.45,68.7,68.95,314484,0
2019-01-17,D,Lemon Tree Hotels Ord Shs,68.95,70.95,68.65,69.3,425624,0
2019-01-18,D,Lemon Tree Hotels Ord Shs,69.3,69.6,68.25,68.55,133127,0
2019-01-21,D,Lemon Tree Hotels Ord Shs,68.7,69.15,68.0,68.2,88106,0
2019-01-22,D,Lemon Tree Hotels Ord Shs,68.05,69.1,68.0,68.6,127844,0
2019-01-23,D,Lemon Tree Hotels Ord Shs,68.6,69.7,68.0,68.85,114950,0
2019-01-24,D,Lemon Tree Hotels Ord Shs,68.75,69.05,66.7,67.7,768847,0
2019-01-25,D,Lemon Tree Hotels Ord Shs,67.7,68.3,67.05,67.35,199816,0
2019-01-28,D,Lemon Tree Hotels Ord Shs,67.05,69.3,65.5,66.9,621305,0
2019-01-29,D,Lemon Tree Hotels Ord Shs,66.25,78.9,64.75,69.35,1091626,0
2019-01-30,D,Lemon Tree Hotels Ord Shs,69.95,69.95,68.05,68.3,202790,0
2019-01-31,D,Lemon Tree Hotels Ord Shs,68.35,70.6,68.35,69.9,609608,0
2019-02-01,D,Lemon Tree Hotels Ord Shs,69.95,70.7,68.0,69.95,462640,1
2019-02-04,D,Lemon Tree Hotels Ord Shs,69.9,71.2,69.2,70.7,389857,0
2019-02-05,D,Lemon Tree Hotels Ord Shs,70.75,71.45,70.1,71.0,228973,0
2019-02-06,D,Lemon Tree Hotels Ord Shs,71.4,71.4,69.8,70.85,697305,0
2019-02-07,D,Lemon Tree Hotels Ord Shs,70.75,71.75,69.1,70.35,729905,0
