Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2017-01-09,D,Libas Consumer Products Ord Shs,33.756823,35.158864,26.315223,30.801753,2076972.688033,0
2017-01-10,D,Libas Consumer Products Ord Shs,31.060591,31.491988,30.456635,30.737044,310618.683255,0
2017-01-11,D,Libas Consumer Products Ord Shs,30.629194,31.060591,30.284077,30.931172,333799.182005,0
2017-01-12,D,Libas Consumer Products Ord Shs,30.629194,31.039022,30.003668,30.284077,120538.593502,0
2017-01-13,D,Libas Consumer Products Ord Shs,30.629194,30.650764,30.197797,30.478205,97358.094752,0
2017-01-16,D,Libas Consumer Products Ord Shs,30.197797,30.801753,30.197797,30.305646,241077.187004,0
2017-01-17,D,Libas Consumer Products Ord Shs,29.550702,30.413496,29.550702,29.85268,78813.695751,0
2017-01-18,D,Libas Consumer Products Ord Shs,30.391926,30.413496,29.033025,29.270293,69541.496251,0
2017-01-19,D,Libas Consumer Products Ord Shs,29.335003,30.197797,29.335003,30.176227,92721.995001,0
2017-01-20,D,Libas Consumer Products Ord Shs,30.197797,30.240937,29.636981,29.636981,64905.396501,0
2017-01-23,D,Libas Consumer Products Ord Shs,29.335003,30.068378,29.335003,29.356573,92721.995001,0
2017-01-24,D,Libas Consumer Products Ord Shs,29.097735,29.680121,29.097735,29.680121,9272.1995,0
2017-01-25,D,Libas Consumer Products Ord Shs,29.7664,29.7664,29.335003,29.550702,27816.5985,0
2017-01-27,D,Libas Consumer Products Ord Shs,29.335003,30.068378,28.709477,29.7664,23180.49875,0
2017-01-31,D,Libas Consumer Products Ord Shs,29.680121,29.680121,28.472209,29.680121,50997.097251,1
2017-02-01,D,Libas Consumer Products Ord Shs,29.701691,29.701691,29.119304,29.335003,18544.399,0
2017-02-02,D,Libas Consumer Products Ord Shs,29.313433,29.335003,28.903606,28.903606,13908.29925,0
2017-02-03,D,Libas Consumer Products Ord Shs,29.033025,29.033025,28.170231,28.407499,46360.997501,0
2017-02-06,D,Libas Consumer Products Ord Shs,28.860466,30.284077,28.860466,29.227154,97358.094752,0
2017-02-07,D,Libas Consumer Products Ord Shs,29.550702,29.7664,28.968315,28.968315,37088.798001,0
2017-02-08,D,Libas Consumer Products Ord Shs,29.529132,30.176227,29.507562,29.7664,88085.895251,0
2017-02-09,D,Libas Consumer Products Ord Shs,30.133088,30.133088,29.054595,29.076165,64905.396501,0
2017-02-10,D,Libas Consumer Products Ord Shs,29.335003,29.550702,29.011455,29.507562,46360.997501,0
2017-02-13,D,Libas Consumer Products Ord Shs,29.119304,29.335003,28.925176,28.925176,18544.399,0
2017-02-14,D,Libas Consumer Products Ord Shs,28.472209,29.140874,28.472209,28.860466,13908.29925,0
2017-02-15,D,Libas Consumer Products Ord Shs,29.313433,29.313433,28.472209,28.472209,9272.1995,0
2017-02-16,D,Libas Consumer Products Ord Shs,28.687907,28.687907,28.558488,28.558488,9272.1995,0
2017-02-17,D,Libas Consumer Products Ord Shs,29.097735,29.227154,29.097735,29.227154,13908.29925,0
2017-02-20,D,Libas Consumer Products Ord Shs,29.227154,29.227154,29.227154,29.227154,4636.09975,1
2017-02-22,D,Libas Consumer Products Ord Shs,28.989885,28.989885,27.415286,27.415286,23180.49875,0
2017-02-23,D,Libas Consumer Products Ord Shs,26.74662,26.85447,26.74662,26.78976,23180.49875,0
2017-02-27,D,Libas Consumer Products Ord Shs,27.803543,27.803543,27.587845,27.587845,9272.1995,0
2017-03-02,D,Libas Consumer Products Ord Shs,27.178017,27.178017,26.74662,26.74662,32452.698251,0
2017-03-03,D,Libas Consumer Products Ord Shs,25.926966,26.530922,25.926966,26.530922,13908.29925,0
2017-03-06,D,Libas Consumer Products Ord Shs,26.74662,27.566275,26.74662,27.566275,18544.399,0
2017-03-07,D,Libas Consumer Products Ord Shs,27.178017,27.178017,27.178017,27.178017,13908.29925,1
2017-03-09,D,Libas Consumer Products Ord Shs,26.121095,26.315223,26.121095,26.315223,13908.29925,0
2017-03-10,D,Libas Consumer Products Ord Shs,26.077955,26.315223,25.624988,25.624988,32452.698251,0
2017-03-14,D,Libas Consumer Products Ord Shs,25.883826,26.099525,25.883826,25.883826,13908.29925,1
2017-03-15,D,Libas Consumer Products Ord Shs,25.495569,25.668128,25.064172,25.668128,27816.5985,0
2017-03-16,D,Libas Consumer Products Ord Shs,25.668128,26.315223,25.34458,26.293653,32452.698251,0
2017-03-17,D,Libas Consumer Products Ord Shs,26.703481,27.609415,26.703481,27.609415,13908.29925,0
2017-03-20,D,Libas Consumer Products Ord Shs,29.335003,29.7664,28.040812,28.903606,41724.897751,0
2017-03-21,D,Libas Consumer Products Ord Shs,28.472209,29.550702,28.472209,28.882036,27816.5985,0
2017-03-22,D,Libas Consumer Products Ord Shs,29.378143,29.378143,28.774187,28.774187,9272.1995,0
2017-03-23,D,Libas Consumer Products Ord Shs,28.040812,28.882036,28.040812,28.040812,18544.399,1
2017-03-27,D,Libas Consumer Products Ord Shs,27.178017,29.119304,27.178017,28.946746,46360.997501,0
2017-03-28,D,Libas Consumer Products Ord Shs,28.817326,28.817326,26.552492,28.601628,23180.49875,0
2017-03-29,D,Libas Consumer Products Ord Shs,28.083951,28.083951,26.530922,26.530922,18544.399,0
2017-03-30,D,Libas Consumer Products Ord Shs,28.019242,29.335003,28.019242,29.335003,78813.695751,0
2017-04-05,D,Libas Consumer Products Ord Shs,26.74662,28.580058,26.74662,28.25651,13908.29925,0
2017-04-07,D,Libas Consumer Products Ord Shs,28.040812,28.040812,28.040812,28.040812,4636.09975,1
2017-04-10,D,Libas Consumer Products Ord Shs,33.390136,33.390136,26.336793,28.25651,64905.396501,0
2017-04-13,D,Libas Consumer Products Ord Shs,26.703481,26.703481,26.703481,26.703481,4636.09975,1
2017-04-17,D,Libas Consumer Products Ord Shs,27.178017,28.601628,26.962319,28.32122,64905.396501,0
2017-04-18,D,Libas Consumer Products Ord Shs,26.983889,26.983889,26.983889,26.983889,4636.09975,1
2017-04-19,D,Libas Consumer Products Ord Shs,28.968315,28.968315,28.040812,28.472209,13908.29925,0
2017-04-20,D,Libas Consumer Products Ord Shs,28.083951,29.895819,28.040812,29.895819,64905.396501,0
2017-04-24,D,Libas Consumer Products Ord Shs,29.291863,29.335003,29.291863,29.335003,23180.49875,0
2017-04-26,D,Libas Consumer Products Ord Shs,28.903606,28.903606,28.903606,28.903606,4636.09975,1
2017-05-02,D,Libas Consumer Products Ord Shs,28.687907,28.687907,28.687907,28.687907,4636.09975,1
2017-05-03,D,Libas Consumer Products Ord Shs,28.040812,28.062382,28.040812,28.040812,27816.5985,1
2017-05-05,D,Libas Consumer Products Ord Shs,26.74662,27.178017,26.315223,26.725051,46360.997501,0
2017-05-09,D,Libas Consumer Products Ord Shs,27.479995,29.72326,27.393716,29.076165,64905.396501,0
2017-05-10,D,Libas Consumer Products Ord Shs,28.25651,29.054595,28.25651,29.054595,9272.1995,0
2017-05-11,D,Libas Consumer Products Ord Shs,27.630984,28.450639,27.630984,28.040812,13908.29925,0
2017-05-16,D,Libas Consumer Products Ord Shs,27.199587,29.076165,27.199587,29.076165,13908.29925,0
2017-05-19,D,Libas Consumer Products Ord Shs,23.424863,28.795757,23.424863,28.558488,32452.698251,0
2017-05-22,D,Libas Consumer Products Ord Shs,27.609415,27.609415,27.479995,27.479995,9272.1995,0
2017-05-23,D,Libas Consumer Products Ord Shs,27.479995,27.479995,27.178017,27.372146,13908.29925,0
2017-05-25,D,Libas Consumer Products Ord Shs,26.530922,26.530922,26.530922,26.530922,4636.09975,1
2017-06-01,D,Libas Consumer Products Ord Shs,26.315223,26.315223,26.013245,26.013245,18544.399,0
2017-06-02,D,Libas Consumer Products Ord Shs,26.142664,26.142664,26.142664,26.142664,4636.09975,1
2017-06-05,D,Libas Consumer Products Ord Shs,26.315223,26.315223,26.315223,26.315223,4636.09975,1
2017-06-07,D,Libas Consumer Products Ord Shs,27.587845,27.609415,27.178017,27.178017,60269.296751,0
2017-06-12,D,Libas Consumer Products Ord Shs,26.315223,26.962319,26.099525,26.962319,18544.399,0
2017-06-15,D,Libas Consumer Products Ord Shs,25.32301,25.883826,25.32301,25.883826,9272.1995,0
