Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-09-23,D,L&T Technology Services Ord Shs,917.965903,929.390588,858.198341,867.078663,8014800,0
2016-09-26,D,L&T Technology Services Ord Shs,858.098562,875.809317,853.259285,868.725015,881599,0
2016-09-27,D,L&T Technology Services Ord Shs,870.371367,872.915729,858.098562,859.744914,166160,0
2016-09-28,D,L&T Technology Services Ord Shs,861.091929,866.779326,857.100773,861.590823,190573,0
2016-09-29,D,L&T Technology Services Ord Shs,861.840271,865.581979,831.707042,844.029737,367348,0
2016-09-30,D,L&T Technology Services Ord Shs,843.081837,853.059727,835.648309,845.276973,95427,0
2016-10-03,D,L&T Technology Services Ord Shs,845.626199,850.166139,838.24256,844.778078,66731,0
2016-10-04,D,L&T Technology Services Ord Shs,843.081837,845.626199,828.314559,831.657153,82996,0
2016-10-05,D,L&T Technology Services Ord Shs,831.158258,834.850077,821.92871,825.021856,56541,0
2016-10-06,D,L&T Technology Services Ord Shs,825.670418,842.133937,825.670418,838.741455,88139,0
2016-10-07,D,L&T Technology Services Ord Shs,840.637254,844.728189,828.26467,830.759142,38794,0
2016-10-10,D,L&T Technology Services Ord Shs,832.355605,853.009838,828.364449,847.422219,77295,0
2016-10-13,D,L&T Technology Services Ord Shs,847.072993,847.422219,839.839023,844.428852,44221,0
2016-10-14,D,L&T Technology Services Ord Shs,844.877857,852.910059,838.192671,849.767023,39648,0
2016-10-17,D,L&T Technology Services Ord Shs,848.070782,853.408953,840.687143,851.114039,27319,0
2016-10-18,D,L&T Technology Services Ord Shs,852.012049,853.109617,848.170561,851.563044,21776,0
2016-10-19,D,L&T Technology Services Ord Shs,853.808069,863.037617,851.163928,853.309174,77476,0
2016-10-20,D,L&T Technology Services Ord Shs,855.604089,860.09414,850.615144,858.348009,52574,0
2016-10-21,D,L&T Technology Services Ord Shs,860.04425,860.04425,848.120672,850.764812,113473,0
2016-10-24,D,L&T Technology Services Ord Shs,852.959948,852.959948,845.027526,848.769234,49610,0
2016-10-25,D,L&T Technology Services Ord Shs,848.170561,850.11625,843.131726,844.478742,111286,0
2016-10-26,D,L&T Technology Services Ord Shs,845.626199,845.626199,838.192671,841.734822,36760,0
2016-10-27,D,L&T Technology Services Ord Shs,838.192671,848.120672,830.210359,836.945434,31682,0
2016-10-28,D,L&T Technology Services Ord Shs,833.103947,833.253615,821.180368,826.269092,51421,0
2016-10-30,D,L&T Technology Services Ord Shs,825.670418,834.151625,825.670418,832.455384,3902,0
2016-11-01,D,L&T Technology Services Ord Shs,828.21478,832.80461,814.195845,819.384348,69602,0
2016-11-02,D,L&T Technology Services Ord Shs,817.688106,818.137111,799.229009,806.363201,125959,0
2016-11-03,D,L&T Technology Services Ord Shs,806.41309,810.254578,780.769912,787.455099,219258,0
2016-11-04,D,L&T Technology Services Ord Shs,787.255541,793.092607,759.866232,764.705509,71958,0
2016-11-07,D,L&T Technology Services Ord Shs,763.308604,778.924003,761.362916,770.841912,56201,0
2016-11-08,D,L&T Technology Services Ord Shs,768.297549,783.264385,768.297549,782.316485,34352,0
2016-11-09,D,L&T Technology Services Ord Shs,758.319659,783.264385,749.339558,782.615822,88918,0
2016-11-10,D,L&T Technology Services Ord Shs,785.758857,806.113754,784.262174,788.053772,33017,0
2016-11-11,D,L&T Technology Services Ord Shs,790.248908,793.192386,769.295339,782.76549,102981,0
2016-11-15,D,L&T Technology Services Ord Shs,782.266596,782.266596,749.339558,751.335136,41828,0
2016-11-16,D,L&T Technology Services Ord Shs,758.319659,765.254293,748.341769,753.530272,89026,0
2016-11-17,D,L&T Technology Services Ord Shs,763.208825,766.551419,752.83182,753.580161,34335,0
2016-11-18,D,L&T Technology Services Ord Shs,753.530272,822.627162,753.530272,813.996287,98898,0
2016-11-21,D,L&T Technology Services Ord Shs,808.20911,811.202478,768.297549,790.04935,24715,0
2016-11-22,D,L&T Technology Services Ord Shs,804.217954,814.694739,778.325329,811.202478,20675,0
2016-11-23,D,L&T Technology Services Ord Shs,817.38877,819.1349,803.220165,809.905352,63635,0
2016-11-24,D,L&T Technology Services Ord Shs,807.610437,831.158258,798.031662,828.26467,34354,0
2016-11-25,D,L&T Technology Services Ord Shs,818.187001,853.109617,818.187001,848.519787,55400,0
2016-11-28,D,L&T Technology Services Ord Shs,851.114039,853.009838,840.587364,845.975425,22496,0
2016-11-29,D,L&T Technology Services Ord Shs,853.059727,855.604089,846.274762,852.111828,98194,0
2016-11-30,D,L&T Technology Services Ord Shs,851.413375,865.083085,843.181616,858.697235,27306,0
2016-12-01,D,L&T Technology Services Ord Shs,858.098562,860.04425,842.133937,857.250441,125086,0
2016-12-02,D,L&T Technology Services Ord Shs,857.599667,857.599667,839.14057,843.281395,37092,0
2016-12-05,D,L&T Technology Services Ord Shs,854.107406,854.107406,842.084048,847.671666,17350,0
2016-12-06,D,L&T Technology Services Ord Shs,845.626199,850.615144,838.192671,843.929958,113804,0
2016-12-07,D,L&T Technology Services Ord Shs,837.244771,849.567466,837.244771,846.075204,12658,0
2016-12-08,D,L&T Technology Services Ord Shs,848.120672,850.265918,838.192671,842.732611,21888,0
2016-12-09,D,L&T Technology Services Ord Shs,840.138359,849.318018,838.192671,847.821335,47462,0
2016-12-12,D,L&T Technology Services Ord Shs,848.120672,848.120672,833.153836,834.500851,15969,0
2016-12-13,D,L&T Technology Services Ord Shs,837.194882,837.993113,779.273229,796.285532,280525,0
2016-12-14,D,L&T Technology Services Ord Shs,796.235642,800.226798,779.822013,788.452888,22506,0
2016-12-15,D,L&T Technology Services Ord Shs,796.135863,802.222376,786.307641,794.63918,12368,0
2016-12-16,D,L&T Technology Services Ord Shs,794.339843,803.170276,792.194597,798.630336,17562,0
2016-12-19,D,L&T Technology Services Ord Shs,798.23122,813.148166,783.613611,792.992828,15898,0
2016-12-20,D,L&T Technology Services Ord Shs,803.768949,803.768949,783.613611,788.402998,11880,0
2016-12-21,D,L&T Technology Services Ord Shs,790.498355,798.23122,782.266596,784.810958,10013,0
2016-12-22,D,L&T Technology Services Ord Shs,797.931884,798.181331,780.271018,787.006094,13786,0
2016-12-23,D,L&T Technology Services Ord Shs,790.448466,794.240064,780.570354,792.394154,16413,0
2016-12-26,D,L&T Technology Services Ord Shs,788.25333,793.791059,772.488263,778.025992,37566,0
