Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2015-11-30,D,Lux Industries Ord Shs,52.240001,52.240001,52.240001,52.240001,0.0,1
2015-12-01,D,Lux Industries Ord Shs,668.41001,701.83001,668.41001,701.83001,106834.998408,0
2015-12-02,D,Lux Industries Ord Shs,730.000011,736.920011,720.000011,736.920011,56369.99916,0
2015-12-03,D,Lux Industries Ord Shs,773.760012,773.760012,773.760012,773.760012,26584.999604,1
2015-12-04,D,Lux Industries Ord Shs,812.000012,812.000012,735.080011,735.840011,100709.998499,0
2015-12-07,D,Lux Industries Ord Shs,736.000011,736.000011,699.05001,699.05001,35024.999478,0
2015-12-08,D,Lux Industries Ord Shs,664.10001,664.10001,664.10001,664.10001,4274.999936,1
2015-12-09,D,Lux Industries Ord Shs,630.900009,630.900009,630.900009,630.900009,1054.999984,1
2015-12-10,D,Lux Industries Ord Shs,599.360009,630.000009,599.360009,599.360009,68524.998979,1
2015-12-11,D,Lux Industries Ord Shs,590.000009,590.000009,570.000008,572.700009,19059.999716,0
2015-12-14,D,Lux Industries Ord Shs,570.000008,601.330009,560.000008,601.330009,31359.999533,0
2015-12-16,D,Lux Industries Ord Shs,744.800011,815.000012,739.800011,800.570012,295064.995603,0
2015-12-17,D,Lux Industries Ord Shs,816.000012,829.600012,772.000012,779.940012,81189.99879,0
2015-12-18,D,Lux Industries Ord Shs,770.000011,810.000012,751.000011,794.840012,118859.998229,0
2015-12-21,D,Lux Industries Ord Shs,799.000012,804.890012,746.230011,752.620011,41244.999385,0
2015-12-22,D,Lux Industries Ord Shs,770.000011,770.000011,717.000011,724.270011,26074.999611,0
2015-12-23,D,Lux Industries Ord Shs,720.400011,742.000011,697.00001,720.270011,35369.999473,0
2015-12-24,D,Lux Industries Ord Shs,734.800011,739.000011,716.410011,733.010011,21879.999674,0
2015-12-28,D,Lux Industries Ord Shs,736.000011,736.000011,702.20001,710.030011,22474.999665,0
2015-12-29,D,Lux Industries Ord Shs,715.000011,715.000011,693.03001,695.41001,16349.999756,0
2015-12-30,D,Lux Industries Ord Shs,694.00001,703.80001,680.60001,683.70001,14214.999788,0
2015-12-31,D,Lux Industries Ord Shs,682.00001,767.000011,682.00001,712.480011,53769.999199,0
2016-01-01,D,Lux Industries Ord Shs,705.000011,735.970011,705.000011,721.130011,18399.999726,0
2016-01-04,D,Lux Industries Ord Shs,710.000011,736.080011,710.000011,719.980011,19809.999705,0
2016-01-05,D,Lux Industries Ord Shs,730.000011,780.000012,730.000011,755.470011,98969.998525,0
2016-01-06,D,Lux Industries Ord Shs,759.800011,774.000012,748.400011,750.900011,18709.999721,0
2016-01-07,D,Lux Industries Ord Shs,748.400011,748.410011,720.000011,721.260011,13259.999802,0
2016-01-08,D,Lux Industries Ord Shs,732.000011,732.000011,714.200011,717.420011,7694.999885,0
2016-01-11,D,Lux Industries Ord Shs,716.000011,747.080011,684.20001,720.790011,18189.999729,0
2016-01-12,D,Lux Industries Ord Shs,729.800011,731.520011,711.360011,714.080011,5679.999915,0
2016-01-13,D,Lux Industries Ord Shs,728.000011,728.000011,685.20001,703.02001,11659.999826,0
2016-01-14,D,Lux Industries Ord Shs,686.66001,714.000011,681.32001,690.71001,9304.999861,0
2016-01-15,D,Lux Industries Ord Shs,690.20001,705.800011,663.00001,673.24001,5104.999924,0
