Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2006-03-17,D,Mahindra And Mahindra Financial Services Ord Shs,27.257919,29.535469,24.853164,28.172573,164517056.980298,0
2006-03-20,D,Mahindra And Mahindra Financial Services Ord Shs,28.439095,29.281062,27.86365,28.481496,28297990.948681,0
2006-03-21,D,Mahindra And Mahindra Financial Services Ord Shs,28.560241,30.734818,28.529955,29.535469,42723746.849649,0
2006-03-22,D,Mahindra And Mahindra Financial Services Ord Shs,29.523355,29.632386,27.633472,28.154401,15674974.788832,0
2006-03-23,D,Mahindra And Mahindra Financial Services Ord Shs,28.336121,30.092742,28.336121,29.487011,17797561.933036,0
2006-03-24,D,Mahindra And Mahindra Financial Services Ord Shs,30.129086,30.129086,29.117514,29.638443,8958777.98208,0
2006-03-27,D,Mahindra And Mahindra Financial Services Ord Shs,29.680845,30.092742,29.32952,29.820163,4574657.625511,0
2006-03-28,D,Mahindra And Mahindra Financial Services Ord Shs,30.044284,31.255747,29.499125,30.347149,15592802.823833,0
2006-03-29,D,Mahindra And Mahindra Financial Services Ord Shs,30.528869,30.789333,29.680845,29.795934,2746864.455942,0
2006-03-30,D,Mahindra And Mahindra Financial Services Ord Shs,30.16543,30.486468,29.281062,29.444609,2117560.056924,0
2006-03-31,D,Mahindra And Mahindra Financial Services Ord Shs,29.317406,29.911023,29.002425,29.335578,1280759.145089,0
2006-04-03,D,Mahindra And Mahindra Financial Services Ord Shs,29.438552,29.923137,28.893394,29.159916,2949366.684658,0
2006-04-04,D,Mahindra And Mahindra Financial Services Ord Shs,29.341635,30.16543,28.832821,29.765647,2033575.716249,0
2006-04-05,D,Mahindra And Mahindra Financial Services Ord Shs,29.874679,30.286576,29.680845,30.123029,1274616.749701,0
2006-04-07,D,Mahindra And Mahindra Financial Services Ord Shs,30.147258,30.401665,28.602643,28.917623,1514383.390489,0
2006-04-10,D,Mahindra And Mahindra Financial Services Ord Shs,28.953967,29.644501,28.475439,28.529955,759647.83332,0
2006-04-12,D,Mahindra And Mahindra Financial Services Ord Shs,29.075113,29.129629,27.500211,27.633472,690088.690892,0
2006-04-13,D,Mahindra And Mahindra Financial Services Ord Shs,27.730389,28.408809,27.058027,28.142287,851611.547442,0
2006-04-17,D,Mahindra And Mahindra Financial Services Ord Shs,28.584471,29.062999,27.257919,27.718275,970695.290332,0
2006-04-18,D,Mahindra And Mahindra Financial Services Ord Shs,27.86365,28.20286,27.385122,27.469925,431320.808298,0
2006-04-19,D,Mahindra And Mahindra Financial Services Ord Shs,27.86365,27.86365,27.263976,27.373008,242390.895159,0
2006-04-20,D,Mahindra And Mahindra Financial Services Ord Shs,27.294262,27.86365,26.652187,27.179174,1296455.466547,0
2006-04-21,D,Mahindra And Mahindra Financial Services Ord Shs,27.500211,28.26949,27.257919,27.354836,578918.715091,0
2006-04-24,D,Mahindra And Mahindra Financial Services Ord Shs,27.354836,27.984796,27.197345,27.597128,494614.543415,0
2006-04-25,D,Mahindra And Mahindra Financial Services Ord Shs,27.79702,28.336121,27.560784,27.912109,1572059.581092,0
2006-04-26,D,Mahindra And Mahindra Financial Services Ord Shs,27.857593,28.493611,27.506269,28.118057,496976.372349,0
2006-04-27,D,Mahindra And Mahindra Financial Services Ord Shs,28.227089,28.669273,27.990854,28.20286,567248.983934,0
2006-04-28,D,Mahindra And Mahindra Financial Services Ord Shs,27.385122,28.953967,26.773333,28.433038,944829.983186,0
2006-04-29,D,Mahindra And Mahindra Financial Services Ord Shs,28.832821,28.887336,27.742504,28.081713,355963.703869,0
