Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2001-01-16,D,Madras Fertilizers Ord Shs,10.15,10.45,10.05,10.2,8340,0
2001-01-17,D,Madras Fertilizers Ord Shs,10.75,10.75,10.2,10.2,4900,0
2001-01-18,D,Madras Fertilizers Ord Shs,10.1,10.4,10.0,10.1,4640,1
2001-01-19,D,Madras Fertilizers Ord Shs,9.6,11.25,9.6,10.85,6050,0
2001-01-22,D,Madras Fertilizers Ord Shs,10.0,10.0,9.65,9.7,1000,0
2001-01-23,D,Madras Fertilizers Ord Shs,9.95,10.05,9.9,10.05,1250,0
2001-01-24,D,Madras Fertilizers Ord Shs,9.6,9.9,9.15,9.75,2805,0
2001-01-25,D,Madras Fertilizers Ord Shs,9.25,9.65,9.0,9.55,1300,0
2001-01-29,D,Madras Fertilizers Ord Shs,8.9,9.4,8.75,9.4,1000,0
2001-01-30,D,Madras Fertilizers Ord Shs,9.0,10.0,9.0,9.25,2875,0
2001-01-31,D,Madras Fertilizers Ord Shs,9.15,9.5,9.05,9.5,1575,0
2001-02-02,D,Madras Fertilizers Ord Shs,10.2,10.2,10.0,10.0,101,0
2001-02-05,D,Madras Fertilizers Ord Shs,9.5,9.5,8.9,9.25,450,0
2001-02-06,D,Madras Fertilizers Ord Shs,9.5,9.75,9.0,9.1,2100,0
2001-02-07,D,Madras Fertilizers Ord Shs,9.3,9.5,9.1,9.5,1150,0
2001-02-08,D,Madras Fertilizers Ord Shs,9.7,9.7,9.2,9.5,350,0
2001-02-09,D,Madras Fertilizers Ord Shs,9.5,10.0,9.5,9.5,3500,1
2001-02-12,D,Madras Fertilizers Ord Shs,9.6,10.4,8.5,8.5,3950,0
2001-02-13,D,Madras Fertilizers Ord Shs,9.25,10.1,9.0,9.05,5865,0
2001-02-14,D,Madras Fertilizers Ord Shs,9.3,9.6,9.0,9.15,2300,0
2001-02-15,D,Madras Fertilizers Ord Shs,9.1,9.6,8.5,8.8,4100,0
2001-02-16,D,Madras Fertilizers Ord Shs,9.0,9.0,8.55,8.55,2000,0
2001-02-19,D,Madras Fertilizers Ord Shs,8.75,8.8,8.75,8.8,908,0
2001-02-20,D,Madras Fertilizers Ord Shs,8.95,9.0,8.65,8.75,2312,0
2001-02-21,D,Madras Fertilizers Ord Shs,8.8,8.8,8.8,8.8,2000,1
2001-02-22,D,Madras Fertilizers Ord Shs,9.0,9.0,8.0,8.0,5000,0
2001-02-23,D,Madras Fertilizers Ord Shs,8.8,8.8,8.8,8.8,200,1
2001-02-26,D,Madras Fertilizers Ord Shs,8.7,8.95,8.7,8.95,2100,0
2001-02-27,D,Madras Fertilizers Ord Shs,8.8,8.8,8.25,8.55,800,0
2001-02-28,D,Madras Fertilizers Ord Shs,8.25,8.25,8.2,8.2,600,0
2001-03-01,D,Madras Fertilizers Ord Shs,8.6,8.8,7.9,7.9,850,0
2001-03-05,D,Madras Fertilizers Ord Shs,8.0,8.0,6.65,6.65,700,0
2001-03-08,D,Madras Fertilizers Ord Shs,7.95,8.0,7.2,7.2,909,0
2001-03-09,D,Madras Fertilizers Ord Shs,6.75,7.1,6.75,7.05,1100,0
2001-03-12,D,Madras Fertilizers Ord Shs,7.0,7.0,6.5,6.5,3250,0
2001-03-13,D,Madras Fertilizers Ord Shs,6.5,6.5,6.1,6.35,1000,0
2001-03-15,D,Madras Fertilizers Ord Shs,5.4,5.4,5.4,5.4,100,1
2001-03-16,D,Madras Fertilizers Ord Shs,6.5,6.5,6.5,6.5,1000,1
2001-03-19,D,Madras Fertilizers Ord Shs,8.0,8.0,8.0,8.0,100,1
2001-03-20,D,Madras Fertilizers Ord Shs,6.2,7.9,6.2,7.9,200,0
2001-03-22,D,Madras Fertilizers Ord Shs,8.8,8.8,7.5,7.75,425,0
2001-03-23,D,Madras Fertilizers Ord Shs,8.25,8.5,8.0,8.0,375,0
2001-03-26,D,Madras Fertilizers Ord Shs,8.4,8.4,5.6,7.85,1601,0
2001-03-27,D,Madras Fertilizers Ord Shs,8.1,8.1,8.1,8.1,100,1
2001-03-28,D,Madras Fertilizers Ord Shs,8.25,9.5,8.2,9.35,3800,0
2001-03-29,D,Madras Fertilizers Ord Shs,10.5,10.5,7.45,7.5,4612,0
2001-03-30,D,Madras Fertilizers Ord Shs,8.0,10.0,7.95,8.95,5200,0
2001-04-02,D,Madras Fertilizers Ord Shs,8.2,8.5,7.55,7.85,3183,0
2001-04-03,D,Madras Fertilizers Ord Shs,7.75,7.75,7.25,7.7,1412,0
2001-04-04,D,Madras Fertilizers Ord Shs,7.0,7.0,7.0,7.0,200,1
2001-04-06,D,Madras Fertilizers Ord Shs,7.1,7.1,7.1,7.1,12,1
2001-04-09,D,Madras Fertilizers Ord Shs,7.95,7.95,7.1,7.1,10,0
2001-04-12,D,Madras Fertilizers Ord Shs,7.0,7.0,6.25,6.25,405,0
2001-04-16,D,Madras Fertilizers Ord Shs,7.5,7.5,7.5,7.5,50,1
2001-04-17,D,Madras Fertilizers Ord Shs,7.25,7.25,6.55,6.6,300,0
2001-04-19,D,Madras Fertilizers Ord Shs,7.5,7.5,7.5,7.5,10,1
2001-04-20,D,Madras Fertilizers Ord Shs,7.0,7.0,7.0,7.0,100,1
2001-04-23,D,Madras Fertilizers Ord Shs,7.0,7.5,7.0,7.5,350,0
2001-04-24,D,Madras Fertilizers Ord Shs,7.0,7.4,6.65,7.4,302,0
2001-04-25,D,Madras Fertilizers Ord Shs,6.55,7.0,6.55,7.0,2200,0
2001-04-27,D,Madras Fertilizers Ord Shs,6.15,9.0,4.6,6.2,2152,0
2001-04-30,D,Madras Fertilizers Ord Shs,6.1,6.95,6.05,6.95,1730,0
2001-05-03,D,Madras Fertilizers Ord Shs,5.8,5.8,5.75,5.75,400,0
2001-05-04,D,Madras Fertilizers Ord Shs,6.4,6.4,6.4,6.4,50,1
2001-05-07,D,Madras Fertilizers Ord Shs,6.5,6.5,6.5,6.5,50,1
2001-05-08,D,Madras Fertilizers Ord Shs,6.05,6.5,6.05,6.5,400,0
2001-05-09,D,Madras Fertilizers Ord Shs,6.5,6.5,6.5,6.5,200,1
2001-05-11,D,Madras Fertilizers Ord Shs,6.9,6.9,6.9,6.9,100,1
2001-05-14,D,Madras Fertilizers Ord Shs,7.5,7.5,7.5,7.5,10,1
2001-05-15,D,Madras Fertilizers Ord Shs,6.0,6.85,5.2,5.95,3102,0
2001-05-16,D,Madras Fertilizers Ord Shs,6.2,6.8,6.2,6.8,2000,0
2001-05-17,D,Madras Fertilizers Ord Shs,6.25,6.5,6.0,6.25,7502,1
2001-05-18,D,Madras Fertilizers Ord Shs,6.5,6.5,6.0,6.0,6002,0
2001-05-21,D,Madras Fertilizers Ord Shs,6.5,6.5,5.0,5.15,14937,0
2001-05-22,D,Madras Fertilizers Ord Shs,7.7,7.7,5.15,5.55,11585,0
2001-05-23,D,Madras Fertilizers Ord Shs,6.85,6.85,5.6,6.0,4081,0
2001-05-24,D,Madras Fertilizers Ord Shs,5.55,6.1,5.55,6.1,5101,0
2001-05-25,D,Madras Fertilizers Ord Shs,5.6,6.0,5.6,5.8,1401,0
2001-05-28,D,Madras Fertilizers Ord Shs,6.5,6.5,5.75,5.85,6106,0
2001-05-29,D,Madras Fertilizers Ord Shs,5.75,6.4,5.75,6.4,2826,0
2001-05-30,D,Madras Fertilizers Ord Shs,6.1,6.4,6.0,6.4,3179,0
2001-05-31,D,Madras Fertilizers Ord Shs,6.3,6.35,5.8,5.9,1901,0
2001-06-01,D,Madras Fertilizers Ord Shs,5.9,6.1,5.85,5.9,5700,1
2001-06-04,D,Madras Fertilizers Ord Shs,7.0,7.0,5.5,5.5,12787,0
2001-06-05,D,Madras Fertilizers Ord Shs,6.7,6.7,5.25,5.65,4402,0
2001-06-06,D,Madras Fertilizers Ord Shs,6.7,6.7,5.6,5.8,2863,0
2001-06-07,D,Madras Fertilizers Ord Shs,6.65,6.65,5.6,5.95,112,0
2001-06-08,D,Madras Fertilizers Ord Shs,6.5,6.5,5.0,5.85,2005,0
2001-06-11,D,Madras Fertilizers Ord Shs,6.55,6.55,4.9,5.6,18304,0
2001-06-12,D,Madras Fertilizers Ord Shs,5.3,5.7,5.0,5.65,22300,0
2001-06-13,D,Madras Fertilizers Ord Shs,6.0,6.0,5.0,5.25,51003,0
2001-06-14,D,Madras Fertilizers Ord Shs,5.4,5.4,5.1,5.3,14210,0
2001-06-15,D,Madras Fertilizers Ord Shs,5.3,5.4,5.25,5.25,1200,0
2001-06-18,D,Madras Fertilizers Ord Shs,5.15,5.45,5.15,5.4,4594,0
2001-06-19,D,Madras Fertilizers Ord Shs,5.2,5.6,5.2,5.5,10910,0
2001-06-20,D,Madras Fertilizers Ord Shs,5.55,5.55,5.55,5.55,1000,1
2001-06-21,D,Madras Fertilizers Ord Shs,5.5,5.55,5.5,5.5,10620,1
2001-06-22,D,Madras Fertilizers Ord Shs,5.6,5.7,5.45,5.5,4679,0
2001-06-25,D,Madras Fertilizers Ord Shs,5.35,5.35,5.3,5.3,1900,0
2001-06-26,D,Madras Fertilizers Ord Shs,5.5,5.65,5.35,5.5,2401,1
2001-06-27,D,Madras Fertilizers Ord Shs,5.55,5.55,5.45,5.5,1200,0
2001-06-28,D,Madras Fertilizers Ord Shs,5.5,5.5,5.5,5.5,1700,1
2001-06-29,D,Madras Fertilizers Ord Shs,5.65,5.65,5.5,5.65,1716,1
2001-07-03,D,Madras Fertilizers Ord Shs,5.5,5.5,5.5,5.5,500,1
2001-07-04,D,Madras Fertilizers Ord Shs,5.5,6.45,5.05,5.95,3902,0
2001-07-05,D,Madras Fertilizers Ord Shs,6.5,6.5,5.0,5.35,3988,0
2001-07-06,D,Madras Fertilizers Ord Shs,5.5,5.5,5.3,5.3,22,0
2001-07-09,D,Madras Fertilizers Ord Shs,5.7,5.7,5.7,5.7,910,1
2001-07-10,D,Madras Fertilizers Ord Shs,5.25,5.4,5.0,5.4,2000,0
2001-07-11,D,Madras Fertilizers Ord Shs,8.1,8.1,8.1,8.1,1,1
2001-07-13,D,Madras Fertilizers Ord Shs,5.25,5.75,5.25,5.65,202,0
2001-07-16,D,Madras Fertilizers Ord Shs,5.5,5.5,5.5,5.5,500,1
2001-07-18,D,Madras Fertilizers Ord Shs,5.5,5.9,5.4,5.9,1001,0
2001-07-19,D,Madras Fertilizers Ord Shs,6.45,6.45,5.5,5.65,1102,0
2001-07-20,D,Madras Fertilizers Ord Shs,5.95,5.95,5.25,5.5,1042,0
2001-07-24,D,Madras Fertilizers Ord Shs,6.85,6.85,5.5,6.15,12,0
2001-07-25,D,Madras Fertilizers Ord Shs,6.45,6.45,5.05,5.1,1023,0
2001-07-26,D,Madras Fertilizers Ord Shs,6.95,6.95,5.25,5.3,361,0
2001-07-27,D,Madras Fertilizers Ord Shs,5.2,5.2,5.2,5.2,1000,1
2001-07-31,D,Madras Fertilizers Ord Shs,5.65,5.65,5.65,5.65,10,1
2001-08-01,D,Madras Fertilizers Ord Shs,5.05,5.05,5.0,5.0,1300,0
2001-08-02,D,Madras Fertilizers Ord Shs,5.0,5.0,5.0,5.0,500,1
2001-08-03,D,Madras Fertilizers Ord Shs,5.1,5.1,5.0,5.0,800,0
2001-08-10,D,Madras Fertilizers Ord Shs,5.4,5.4,5.05,5.05,3600,0
2001-08-13,D,Madras Fertilizers Ord Shs,4.4,4.6,4.4,4.6,300,0
2001-08-14,D,Madras Fertilizers Ord Shs,4.9,5.0,4.9,5.0,1300,0
2001-08-16,D,Madras Fertilizers Ord Shs,4.75,4.75,4.75,4.75,500,1
2001-08-17,D,Madras Fertilizers Ord Shs,4.5,4.5,4.5,4.5,100,1
2001-08-20,D,Madras Fertilizers Ord Shs,5.3,5.3,5.3,5.3,20,1
2001-08-23,D,Madras Fertilizers Ord Shs,5.2,5.2,4.6,4.6,1010,0
2001-08-24,D,Madras Fertilizers Ord Shs,5.0,5.0,4.7,4.7,130,0
2001-08-27,D,Madras Fertilizers Ord Shs,5.0,5.0,5.0,5.0,10,1
2001-08-29,D,Madras Fertilizers Ord Shs,4.9,4.9,4.75,4.75,1700,0
2001-09-03,D,Madras Fertilizers Ord Shs,4.3,4.3,4.3,4.3,200,1
2001-09-04,D,Madras Fertilizers Ord Shs,4.7,4.7,4.7,4.7,590,1
2001-09-07,D,Madras Fertilizers Ord Shs,5.7,5.7,5.7,5.7,200,1
2001-09-11,D,Madras Fertilizers Ord Shs,5.0,5.0,4.9,4.95,201,0
2001-09-12,D,Madras Fertilizers Ord Shs,4.7,4.7,4.7,4.7,50,1
2001-09-14,D,Madras Fertilizers Ord Shs,4.6,4.6,4.5,4.5,1550,0
2001-09-18,D,Madras Fertilizers Ord Shs,4.95,4.95,4.95,4.95,5,1
2001-09-19,D,Madras Fertilizers Ord Shs,4.05,4.05,4.0,4.05,1300,1
2001-09-20,D,Madras Fertilizers Ord Shs,5.35,5.35,4.5,4.95,511,0
2001-09-24,D,Madras Fertilizers Ord Shs,4.95,4.95,4.95,4.95,10,1
2001-09-25,D,Madras Fertilizers Ord Shs,4.15,4.8,4.15,4.5,1300,0
2001-10-01,D,Madras Fertilizers Ord Shs,4.9,4.9,4.9,4.9,10,1
2001-10-05,D,Madras Fertilizers Ord Shs,5.0,5.0,5.0,5.0,500,1
2001-10-10,D,Madras Fertilizers Ord Shs,4.25,4.25,4.25,4.25,500,1
2001-10-16,D,Madras Fertilizers Ord Shs,4.75,4.75,4.75,4.75,50,1
2001-10-17,D,Madras Fertilizers Ord Shs,4.75,4.75,4.75,4.75,500,1
2001-10-23,D,Madras Fertilizers Ord Shs,4.75,4.95,4.75,4.95,400,0
2001-10-25,D,Madras Fertilizers Ord Shs,5.0,5.0,4.45,5.0,465,1
2001-10-29,D,Madras Fertilizers Ord Shs,4.4,4.4,4.35,4.35,1000,0
2001-10-30,D,Madras Fertilizers Ord Shs,4.6,4.6,4.6,4.6,50,1
2001-10-31,D,Madras Fertilizers Ord Shs,4.25,4.85,4.25,4.6,601,0
2001-11-02,D,Madras Fertilizers Ord Shs,4.85,4.95,4.85,4.9,2500,0
2001-11-06,D,Madras Fertilizers Ord Shs,4.5,4.85,4.5,4.8,1500,0
2001-11-07,D,Madras Fertilizers Ord Shs,4.85,4.85,4.7,4.7,500,0
2001-11-19,D,Madras Fertilizers Ord Shs,5.0,5.0,5.0,5.0,200,1
2001-11-26,D,Madras Fertilizers Ord Shs,5.45,5.45,5.0,5.3,1700,0
2001-11-27,D,Madras Fertilizers Ord Shs,5.5,5.5,5.5,5.5,500,1
2001-11-28,D,Madras Fertilizers Ord Shs,5.2,5.2,5.0,5.0,600,0
2001-11-29,D,Madras Fertilizers Ord Shs,5.0,5.0,5.0,5.0,754,1
2001-12-03,D,Madras Fertilizers Ord Shs,4.75,4.75,4.75,4.75,100,1
2001-12-05,D,Madras Fertilizers Ord Shs,5.0,5.0,4.75,4.75,3590,0
2001-12-06,D,Madras Fertilizers Ord Shs,5.0,5.0,4.65,4.65,200,0
2001-12-07,D,Madras Fertilizers Ord Shs,4.5,5.0,4.5,4.75,1600,0
2001-12-10,D,Madras Fertilizers Ord Shs,5.0,5.0,5.0,5.0,500,1
2001-12-11,D,Madras Fertilizers Ord Shs,5.15,5.15,5.15,5.15,100,1
2001-12-12,D,Madras Fertilizers Ord Shs,4.8,4.8,4.8,4.8,1000,1
2001-12-13,D,Madras Fertilizers Ord Shs,5.1,5.1,5.1,5.1,100,1
2001-12-14,D,Madras Fertilizers Ord Shs,4.1,4.15,4.1,4.1,6300,1
2001-12-19,D,Madras Fertilizers Ord Shs,4.5,4.95,4.5,4.95,800,0
2001-12-21,D,Madras Fertilizers Ord Shs,4.5,4.5,4.3,4.3,1500,0
2001-12-26,D,Madras Fertilizers Ord Shs,4.8,4.8,4.8,4.8,100,1
2001-12-27,D,Madras Fertilizers Ord Shs,4.75,4.75,4.75,4.75,250,1
