Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1994-12-19,D,Maharashtra Scooters Ord Shs,91.25,91.25,91.25,91.25,400,1
1994-12-20,D,Maharashtra Scooters Ord Shs,92.5,92.5,92.5,92.5,400,1
1995-01-09,D,Maharashtra Scooters Ord Shs,96.25,96.25,96.25,96.25,200,1
1995-01-30,D,Maharashtra Scooters Ord Shs,85.0,85.0,85.0,85.0,200,1
1995-02-07,D,Maharashtra Scooters Ord Shs,83.75,83.75,83.75,83.75,200,1
1995-02-08,D,Maharashtra Scooters Ord Shs,83.75,83.75,83.75,83.75,400,1
1995-02-09,D,Maharashtra Scooters Ord Shs,81.25,81.25,81.25,81.25,200,1
1995-02-10,D,Maharashtra Scooters Ord Shs,83.5,83.5,83.5,83.5,200,1
1995-02-13,D,Maharashtra Scooters Ord Shs,83.0,83.125,80.25,81.25,800,0
1995-02-14,D,Maharashtra Scooters Ord Shs,81.875,81.875,81.25,81.25,600,0
1995-02-15,D,Maharashtra Scooters Ord Shs,82.5,82.5,82.5,82.5,200,1
1995-02-16,D,Maharashtra Scooters Ord Shs,81.5,82.5,81.5,82.5,800,0
1995-02-17,D,Maharashtra Scooters Ord Shs,82.7625,82.7625,82.7625,82.7625,200,1
1995-02-21,D,Maharashtra Scooters Ord Shs,78.75,78.75,78.75,78.75,200,1
1995-02-22,D,Maharashtra Scooters Ord Shs,81.25,81.25,80.0,81.25,800,1
1995-02-24,D,Maharashtra Scooters Ord Shs,81.75,81.75,81.75,81.75,400,1
1995-02-28,D,Maharashtra Scooters Ord Shs,82.75,82.75,82.5,82.5,600,0
1995-03-01,D,Maharashtra Scooters Ord Shs,84.375,84.375,84.375,84.375,200,1
1995-03-03,D,Maharashtra Scooters Ord Shs,85.5,85.5,85.5,85.5,400,1
1995-03-06,D,Maharashtra Scooters Ord Shs,87.5,87.5,86.25,86.25,400,0
1995-03-07,D,Maharashtra Scooters Ord Shs,83.75,87.5,83.75,85.0,1400,0
1995-03-08,D,Maharashtra Scooters Ord Shs,87.25,87.25,86.5,86.5,1000,0
1995-03-09,D,Maharashtra Scooters Ord Shs,86.25,86.875,86.25,86.875,800,0
1995-03-10,D,Maharashtra Scooters Ord Shs,87.5,88.125,87.5,88.125,600,0
1995-03-14,D,Maharashtra Scooters Ord Shs,85.0,85.0,85.0,85.0,800,1
1995-03-21,D,Maharashtra Scooters Ord Shs,87.5,87.5,85.0,85.0,800,0
1995-03-22,D,Maharashtra Scooters Ord Shs,85.0,85.0,82.4375,82.4625,1800,0
1995-03-23,D,Maharashtra Scooters Ord Shs,83.75,84.375,82.25,82.5,2200,0
1995-03-24,D,Maharashtra Scooters Ord Shs,87.5,89.0,87.4375,87.4375,1400,0
1995-03-27,D,Maharashtra Scooters Ord Shs,88.5,88.5,87.5,87.5,400,0
1995-03-28,D,Maharashtra Scooters Ord Shs,88.75,88.75,88.125,88.5,2600,0
1995-03-30,D,Maharashtra Scooters Ord Shs,88.775,88.775,88.7625,88.7625,400,0
1995-03-31,D,Maharashtra Scooters Ord Shs,89.75,89.75,87.5,87.5,2400,0
1995-04-03,D,Maharashtra Scooters Ord Shs,87.5,90.7375,87.5,90.375,600,0
1995-04-04,D,Maharashtra Scooters Ord Shs,87.5,87.5,87.5,87.5,400,1
1995-04-05,D,Maharashtra Scooters Ord Shs,89.875,89.875,89.875,89.875,1200,1
1995-04-06,D,Maharashtra Scooters Ord Shs,89.9375,90.5,89.9375,90.5,2200,0
1995-04-07,D,Maharashtra Scooters Ord Shs,92.5,92.5,91.25,91.25,9400,0
1995-04-10,D,Maharashtra Scooters Ord Shs,92.5,92.5,91.25,91.5,1800,0
1995-04-11,D,Maharashtra Scooters Ord Shs,88.25,88.25,88.25,88.25,200,1
1995-04-12,D,Maharashtra Scooters Ord Shs,87.75,87.75,87.75,87.75,400,1
1995-04-18,D,Maharashtra Scooters Ord Shs,88.75,88.7625,88.75,88.7625,800,0
1995-04-19,D,Maharashtra Scooters Ord Shs,90.0,90.0,87.5,87.5,600,0
1995-04-20,D,Maharashtra Scooters Ord Shs,87.5,87.5,85.0,85.0,1000,0
1995-04-21,D,Maharashtra Scooters Ord Shs,85.0125,85.0125,85.0,85.0,600,0
1995-04-24,D,Maharashtra Scooters Ord Shs,85.0,85.0,85.0,85.0,400,1
1995-04-25,D,Maharashtra Scooters Ord Shs,83.25,83.25,80.0,80.5,1200,0
1995-04-26,D,Maharashtra Scooters Ord Shs,81.275,81.275,81.275,81.275,400,1
1995-04-28,D,Maharashtra Scooters Ord Shs,80.0,80.0,76.75,76.75,800,0
1995-05-02,D,Maharashtra Scooters Ord Shs,76.375,78.75,76.375,78.75,600,0
1995-05-04,D,Maharashtra Scooters Ord Shs,76.25,77.5,76.25,77.5,800,0
1995-05-05,D,Maharashtra Scooters Ord Shs,75.625,76.25,75.0,76.125,1200,0
1995-05-09,D,Maharashtra Scooters Ord Shs,73.0,73.0,73.0,73.0,400,1
1995-05-10,D,Maharashtra Scooters Ord Shs,76.25,76.25,75.0,76.25,1400,1
1995-05-12,D,Maharashtra Scooters Ord Shs,78.75,78.75,75.0,75.0,1200,0
1995-05-15,D,Maharashtra Scooters Ord Shs,76.25,76.25,76.25,76.25,200,1
1995-05-16,D,Maharashtra Scooters Ord Shs,76.25,76.25,76.25,76.25,1000,1
1995-05-18,D,Maharashtra Scooters Ord Shs,75.0,77.5,75.0,77.5,800,0
1995-05-19,D,Maharashtra Scooters Ord Shs,76.5,76.5,76.5,76.5,200,1
1995-05-22,D,Maharashtra Scooters Ord Shs,77.5,78.0,77.5,77.75,1000,0
1995-05-23,D,Maharashtra Scooters Ord Shs,81.0,81.0,76.25,76.25,3000,0
1995-05-24,D,Maharashtra Scooters Ord Shs,77.3125,77.3125,77.3125,77.3125,800,1
1995-05-25,D,Maharashtra Scooters Ord Shs,72.5,76.25,70.0,75.0,1000,0
1995-05-26,D,Maharashtra Scooters Ord Shs,71.25,71.25,71.25,71.25,200,1
1995-05-29,D,Maharashtra Scooters Ord Shs,71.2625,72.5,71.2625,72.5,800,0
1995-05-30,D,Maharashtra Scooters Ord Shs,72.25,72.25,71.75,71.75,1200,0
1995-05-31,D,Maharashtra Scooters Ord Shs,71.25,74.75,71.25,74.75,1000,0
1995-06-01,D,Maharashtra Scooters Ord Shs,75.0,75.0,68.75,68.75,1400,0
1995-06-02,D,Maharashtra Scooters Ord Shs,71.25,71.25,68.75,68.75,2400,0
1995-06-05,D,Maharashtra Scooters Ord Shs,71.25,72.5,71.25,72.5,400,0
1995-06-06,D,Maharashtra Scooters Ord Shs,71.25,72.5,71.25,72.5,600,0
1995-06-12,D,Maharashtra Scooters Ord Shs,70.0,70.0,68.75,68.75,400,0
1995-06-13,D,Maharashtra Scooters Ord Shs,68.75,68.75,68.75,68.75,200,1
1995-06-15,D,Maharashtra Scooters Ord Shs,69.5,69.5,68.75,68.7625,1200,0
1995-06-19,D,Maharashtra Scooters Ord Shs,69.5,70.0,69.25,70.0,800,0
1995-06-20,D,Maharashtra Scooters Ord Shs,71.0,71.0,70.0,70.5,4400,0
1995-06-21,D,Maharashtra Scooters Ord Shs,71.25,71.25,71.25,71.25,200,1
1995-06-26,D,Maharashtra Scooters Ord Shs,71.5,71.5,71.5,71.5,400,1
1995-06-27,D,Maharashtra Scooters Ord Shs,71.5,71.5,71.5,71.5,200,1
1995-06-29,D,Maharashtra Scooters Ord Shs,71.25,71.25,69.5,69.5,1600,0
1995-06-30,D,Maharashtra Scooters Ord Shs,69.0,69.275,69.0,69.25,6800,0
1995-07-10,D,Maharashtra Scooters Ord Shs,68.725,68.75,68.725,68.75,800,0
1995-07-11,D,Maharashtra Scooters Ord Shs,68.25,68.25,67.5,67.5,800,0
1995-07-13,D,Maharashtra Scooters Ord Shs,67.5125,67.5125,67.5,67.5,400,0
1995-07-14,D,Maharashtra Scooters Ord Shs,67.25,68.0,67.25,67.25,800,1
1995-07-18,D,Maharashtra Scooters Ord Shs,70.0,71.25,70.0,71.1875,2200,0
1995-07-20,D,Maharashtra Scooters Ord Shs,71.5,72.5,70.0,72.5,1200,0
1995-07-21,D,Maharashtra Scooters Ord Shs,70.25,72.5,70.25,72.5,800,0
1995-07-25,D,Maharashtra Scooters Ord Shs,72.5,72.5,72.5,72.5,600,1
1995-07-26,D,Maharashtra Scooters Ord Shs,72.5,72.5,72.5,72.5,200,1
1995-07-27,D,Maharashtra Scooters Ord Shs,72.5,72.5,72.5,72.5,600,1
1995-07-28,D,Maharashtra Scooters Ord Shs,70.0,70.0,70.0,70.0,200,1
1995-07-31,D,Maharashtra Scooters Ord Shs,68.75,68.75,68.75,68.75,200,1
1995-08-01,D,Maharashtra Scooters Ord Shs,69.5,69.5,68.75,68.75,400,0
1995-08-03,D,Maharashtra Scooters Ord Shs,72.5,72.5,72.5,72.5,400,1
1995-08-04,D,Maharashtra Scooters Ord Shs,72.5,72.5,72.0,72.5,1000,1
1995-08-07,D,Maharashtra Scooters Ord Shs,70.75,70.75,70.75,70.75,400,1
1995-08-14,D,Maharashtra Scooters Ord Shs,66.0,66.0,65.0,65.0,600,0
1995-08-16,D,Maharashtra Scooters Ord Shs,65.0125,66.25,65.0,66.25,1400,0
1995-08-17,D,Maharashtra Scooters Ord Shs,67.5,67.75,67.5,67.75,20200,0
1995-08-18,D,Maharashtra Scooters Ord Shs,66.25,66.25,66.25,66.25,200,1
1995-08-21,D,Maharashtra Scooters Ord Shs,67.5,67.5,66.25,66.25,600,0
1995-08-22,D,Maharashtra Scooters Ord Shs,63.75,66.25,63.75,65.25,800,0
1995-08-31,D,Maharashtra Scooters Ord Shs,63.75,64.25,63.75,64.25,1000,0
1995-09-01,D,Maharashtra Scooters Ord Shs,63.0,63.75,62.975,63.75,1000,0
1995-09-04,D,Maharashtra Scooters Ord Shs,62.5125,65.0,62.5125,65.0,1800,0
1995-09-05,D,Maharashtra Scooters Ord Shs,63.75,65.0125,63.75,65.0125,1200,0
1995-09-06,D,Maharashtra Scooters Ord Shs,65.0,65.0,65.0,65.0,600,1
1995-09-07,D,Maharashtra Scooters Ord Shs,65.025,65.025,65.0,65.0,2000,0
1995-09-08,D,Maharashtra Scooters Ord Shs,65.0,65.0,63.0,63.0,4000,0
1995-09-11,D,Maharashtra Scooters Ord Shs,66.25,66.25,66.25,66.25,400,1
1995-09-12,D,Maharashtra Scooters Ord Shs,67.25,67.25,65.0,66.75,1200,0
1995-09-13,D,Maharashtra Scooters Ord Shs,66.25,66.25,66.25,66.25,200,1
1995-09-14,D,Maharashtra Scooters Ord Shs,69.75,69.75,66.0,66.0,400,0
1995-09-18,D,Maharashtra Scooters Ord Shs,66.25,66.25,66.25,66.25,800,1
1995-09-19,D,Maharashtra Scooters Ord Shs,66.25,66.25,65.0,65.0,800,0
1995-09-22,D,Maharashtra Scooters Ord Shs,65.5125,65.5125,65.5125,65.5125,400,1
1995-09-26,D,Maharashtra Scooters Ord Shs,67.5,67.5,66.25,66.25,3400,0
1995-09-27,D,Maharashtra Scooters Ord Shs,67.125,67.5,66.75,66.75,600,0
1995-09-28,D,Maharashtra Scooters Ord Shs,65.75,65.75,64.5,64.5,600,0
1995-09-29,D,Maharashtra Scooters Ord Shs,65.0,65.0,64.5,64.5,1400,0
1995-10-04,D,Maharashtra Scooters Ord Shs,64.2625,65.5,64.25,65.5,1400,0
1995-10-05,D,Maharashtra Scooters Ord Shs,64.25,65.0,63.75,64.5,2000,0
1995-10-06,D,Maharashtra Scooters Ord Shs,64.625,64.75,64.625,64.75,600,0
1995-10-09,D,Maharashtra Scooters Ord Shs,65.25,65.25,64.5,64.5,600,0
1995-10-10,D,Maharashtra Scooters Ord Shs,64.5,64.75,63.8125,64.25,1400,0
1995-10-11,D,Maharashtra Scooters Ord Shs,64.25,64.5,63.75,63.75,800,0
1995-10-12,D,Maharashtra Scooters Ord Shs,64.0,64.0,63.75,63.75,2600,0
1995-10-13,D,Maharashtra Scooters Ord Shs,63.75,64.25,63.75,63.75,2800,1
1995-10-16,D,Maharashtra Scooters Ord Shs,63.0,63.0,60.25,60.25,1200,0
1995-10-17,D,Maharashtra Scooters Ord Shs,60.5,62.0,60.5,62.0,1000,0
1995-10-18,D,Maharashtra Scooters Ord Shs,60.5,60.5,60.5,60.5,400,1
1995-10-23,D,Maharashtra Scooters Ord Shs,60.5,60.5,60.5,60.5,400,1
1995-10-26,D,Maharashtra Scooters Ord Shs,61.1875,61.1875,61.1875,61.1875,200,1
1995-10-27,D,Maharashtra Scooters Ord Shs,60.0,60.0,57.5,57.5,800,0
1995-10-30,D,Maharashtra Scooters Ord Shs,58.25,60.0,58.25,60.0,2600,0
1995-10-31,D,Maharashtra Scooters Ord Shs,60.0,60.0,59.75,60.0,600,1
1995-11-01,D,Maharashtra Scooters Ord Shs,59.75,59.75,59.75,59.75,200,1
1995-11-02,D,Maharashtra Scooters Ord Shs,60.0,60.0,59.25,59.25,1200,0
1995-11-03,D,Maharashtra Scooters Ord Shs,58.75,58.75,57.5125,57.5125,400,0
1995-11-06,D,Maharashtra Scooters Ord Shs,58.0,58.0,57.5,57.75,800,0
1995-11-08,D,Maharashtra Scooters Ord Shs,59.5,60.75,59.275,59.275,2800,0
1995-11-09,D,Maharashtra Scooters Ord Shs,59.0125,59.875,59.0125,59.875,1000,0
1995-11-10,D,Maharashtra Scooters Ord Shs,59.5,59.5,59.25,59.25,1400,0
1995-11-13,D,Maharashtra Scooters Ord Shs,59.25,59.25,59.25,59.25,200,1
1995-11-14,D,Maharashtra Scooters Ord Shs,56.25,56.25,56.25,56.25,200,1
1995-11-15,D,Maharashtra Scooters Ord Shs,56.25,56.25,56.25,56.25,800,1
1995-11-16,D,Maharashtra Scooters Ord Shs,56.25,60.0,54.0,54.0,600,0
1995-11-17,D,Maharashtra Scooters Ord Shs,54.75,54.75,54.7375,54.75,1000,1
1995-11-20,D,Maharashtra Scooters Ord Shs,53.0,53.0,52.5,52.5,2400,0
1995-11-21,D,Maharashtra Scooters Ord Shs,51.25,51.25,50.25,50.25,800,0
1995-11-22,D,Maharashtra Scooters Ord Shs,50.125,50.5,50.0,50.25,1400,0
1995-11-23,D,Maharashtra Scooters Ord Shs,51.25,51.25,50.5,50.5,1600,0
1995-11-24,D,Maharashtra Scooters Ord Shs,50.0,50.0,48.125,48.125,1400,0
1995-11-27,D,Maharashtra Scooters Ord Shs,50.5,52.5,50.5,52.5,1400,0
1995-11-28,D,Maharashtra Scooters Ord Shs,52.375,52.375,50.0,50.25,3200,0
1995-11-30,D,Maharashtra Scooters Ord Shs,51.0,51.0,51.0,51.0,200,1
1995-12-01,D,Maharashtra Scooters Ord Shs,53.625,55.0,53.5,55.0,1400,0
1995-12-04,D,Maharashtra Scooters Ord Shs,57.5,57.5,56.25,57.125,1000,0
1995-12-05,D,Maharashtra Scooters Ord Shs,55.25,57.5,55.0,57.5,1400,0
1995-12-06,D,Maharashtra Scooters Ord Shs,57.5,57.5,57.5,57.5,400,1
1995-12-07,D,Maharashtra Scooters Ord Shs,58.75,60.5,58.75,60.5,600,0
1995-12-08,D,Maharashtra Scooters Ord Shs,59.25,59.25,58.75,58.75,800,0
1995-12-11,D,Maharashtra Scooters Ord Shs,62.5,62.5,58.5,58.5,3200,0
1995-12-12,D,Maharashtra Scooters Ord Shs,58.5,59.0,57.025,59.0,3600,0
1995-12-13,D,Maharashtra Scooters Ord Shs,59.0,59.0,58.0625,58.0625,1200,0
1995-12-15,D,Maharashtra Scooters Ord Shs,57.5,57.975,57.5,57.5,800,1
1995-12-18,D,Maharashtra Scooters Ord Shs,57.75,58.0,57.5,57.5,1800,0
1995-12-19,D,Maharashtra Scooters Ord Shs,57.0,57.0,55.5,55.5,600,0
1995-12-20,D,Maharashtra Scooters Ord Shs,56.25,56.25,55.5,55.5,800,0
1995-12-21,D,Maharashtra Scooters Ord Shs,55.5,55.5,54.75,54.925,800,0
1995-12-22,D,Maharashtra Scooters Ord Shs,55.0,55.0,55.0,55.0,800,1
1995-12-26,D,Maharashtra Scooters Ord Shs,55.5,57.0,55.5,56.9875,1800,0
1995-12-27,D,Maharashtra Scooters Ord Shs,56.9875,58.75,56.25,58.75,2000,0
1995-12-28,D,Maharashtra Scooters Ord Shs,56.75,56.75,55.0,56.4875,4400,0
1995-12-29,D,Maharashtra Scooters Ord Shs,56.5,56.5,55.2875,55.2875,4800,0
1996-01-01,D,Maharashtra Scooters Ord Shs,55.875,55.875,55.0,55.0,400,0
1996-01-02,D,Maharashtra Scooters Ord Shs,55.0,55.0,54.2875,54.6125,3200,0
1996-01-04,D,Maharashtra Scooters Ord Shs,55.0,55.5,53.7625,55.475,3200,0
1996-01-05,D,Maharashtra Scooters Ord Shs,55.475,55.75,54.25,55.75,1600,0
1996-01-08,D,Maharashtra Scooters Ord Shs,55.0,55.0,54.5,54.5,800,0
1996-01-09,D,Maharashtra Scooters Ord Shs,53.25,53.25,52.5625,52.5625,600,0
1996-01-10,D,Maharashtra Scooters Ord Shs,52.5,53.75,52.5,53.0,600,0
1996-01-11,D,Maharashtra Scooters Ord Shs,53.0,53.8125,52.5625,53.8125,1000,0
1996-01-12,D,Maharashtra Scooters Ord Shs,54.75,54.75,54.75,54.75,200,1
1996-01-15,D,Maharashtra Scooters Ord Shs,53.75,53.75,53.75,53.75,400,1
1996-01-16,D,Maharashtra Scooters Ord Shs,53.0,53.0,51.5,51.5,2200,0
1996-01-17,D,Maharashtra Scooters Ord Shs,51.75,51.75,51.75,51.75,200,1
1996-01-18,D,Maharashtra Scooters Ord Shs,51.25,51.25,51.25,51.25,800,1
1996-01-19,D,Maharashtra Scooters Ord Shs,50.5,50.5,50.0,50.0,1200,0
1996-01-22,D,Maharashtra Scooters Ord Shs,47.5125,47.5125,47.5,47.5,600,0
1996-01-23,D,Maharashtra Scooters Ord Shs,48.75,48.75,48.75,48.75,400,1
1996-01-24,D,Maharashtra Scooters Ord Shs,48.7375,48.7375,48.7375,48.7375,200,1
1996-01-25,D,Maharashtra Scooters Ord Shs,47.7625,48.0,47.5,47.5,800,0
1996-01-29,D,Maharashtra Scooters Ord Shs,47.5,47.5,47.5,47.5,400,1
