Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2008-01-08,D,Manaksia Ord Shs,62.98196,76.167573,58.095738,60.251424,22042252,0
2008-01-09,D,Manaksia Ord Shs,59.928071,62.083757,55.419095,55.778376,5104081,0
2008-01-10,D,Manaksia Ord Shs,57.035859,61.616692,54.664605,55.670591,7501937,0
2008-01-11,D,Manaksia Ord Shs,55.760412,56.209513,50.676586,51.44904,1760990,0
2008-01-14,D,Manaksia Ord Shs,51.53886,55.149634,49.940059,50.78437,1515189,0
2008-01-15,D,Manaksia Ord Shs,51.377183,53.101732,49.419102,49.778383,721823,0
2008-01-16,D,Manaksia Ord Shs,49.580778,49.580778,45.538867,46.922099,803686,0
2008-01-17,D,Manaksia Ord Shs,48.143654,55.329275,46.347249,53.173589,5203805,0
2008-01-18,D,Manaksia Ord Shs,52.095746,53.317301,47.047847,47.964014,1672825,0
2008-01-21,D,Manaksia Ord Shs,47.784373,47.784373,38.371211,39.071809,804568,0
2008-01-22,D,Manaksia Ord Shs,35.568819,35.568819,31.257447,33.197565,294572,0
2008-01-23,D,Manaksia Ord Shs,35.9281,37.724505,33.413133,35.065826,362831,0
2008-01-24,D,Manaksia Ord Shs,36.287381,37.329296,32.389182,32.874212,275839,0
2008-01-25,D,Manaksia Ord Shs,34.131695,35.568819,31.796369,34.580797,367339,0
2008-01-28,D,Manaksia Ord Shs,33.592774,37.724505,30.520921,36.449058,476091,0
2008-01-29,D,Manaksia Ord Shs,37.005943,37.868218,35.604747,36.233489,230106,0
2008-01-30,D,Manaksia Ord Shs,37.239476,37.239476,34.490976,34.904149,148156,0
2008-01-31,D,Manaksia Ord Shs,34.167623,35.209538,33.413133,33.700558,156878,0
2008-02-01,D,Manaksia Ord Shs,34.490976,34.814329,33.053852,33.898163,124031,0
2008-02-04,D,Manaksia Ord Shs,35.209538,37.005943,34.221516,36.431094,275156,0
2008-02-05,D,Manaksia Ord Shs,35.964028,36.251453,35.245466,35.874208,181126,0
2008-02-06,D,Manaksia Ord Shs,34.490976,35.209538,32.82032,34.850257,154652,0
2008-02-07,D,Manaksia Ord Shs,34.580797,37.293368,33.772414,34.113731,232361,0
2008-02-08,D,Manaksia Ord Shs,34.131695,34.904149,32.694571,33.736486,139494,0
2008-02-11,D,Manaksia Ord Shs,33.233493,33.592774,32.33529,32.514931,139523,0
2008-02-12,D,Manaksia Ord Shs,33.952055,33.952055,29.101761,29.40715,177166,0
2008-02-13,D,Manaksia Ord Shs,30.898166,30.898166,28.56284,29.137689,157255,0
2008-02-14,D,Manaksia Ord Shs,29.820323,30.844274,29.658647,30.287389,115884,0
2008-02-15,D,Manaksia Ord Shs,30.143676,32.33529,29.137689,31.544872,157822,0
2008-02-18,D,Manaksia Ord Shs,32.33529,33.053852,31.976009,32.802356,138736,0
2008-02-19,D,Manaksia Ord Shs,33.772414,34.041875,32.694571,33.017924,157691,0
2008-02-20,D,Manaksia Ord Shs,32.407147,33.377205,31.976009,32.425111,89818,0
2008-02-21,D,Manaksia Ord Shs,32.694571,33.197565,31.275411,31.688585,82599,0
2008-02-22,D,Manaksia Ord Shs,31.095771,31.976009,29.820323,31.652656,83292,0
2008-02-25,D,Manaksia Ord Shs,31.49098,32.658643,31.077807,31.742477,64803,0
2008-02-26,D,Manaksia Ord Shs,32.15565,32.407147,31.347268,32.24547,75671,0
2008-02-27,D,Manaksia Ord Shs,32.514931,33.053852,31.293375,31.598764,54569,0
2008-02-28,D,Manaksia Ord Shs,30.538885,32.353254,30.287389,31.257447,54118,0
2008-02-29,D,Manaksia Ord Shs,30.934094,31.49098,30.538885,30.844274,46570,0
2008-03-03,D,Manaksia Ord Shs,29.640683,31.149663,28.383199,29.083797,62937,0
2008-03-04,D,Manaksia Ord Shs,28.886193,28.886193,26.586794,27.736493,107080,0
2008-03-05,D,Manaksia Ord Shs,26.407154,28.383199,26.38919,27.05386,120555,0
2008-03-07,D,Manaksia Ord Shs,26.65865,26.928111,25.257455,26.676615,153734,0
2008-03-10,D,Manaksia Ord Shs,26.586794,26.586794,24.431108,26.173621,89442,0
2008-03-11,D,Manaksia Ord Shs,25.508951,28.041882,25.508951,27.107752,93055,0
2008-03-12,D,Manaksia Ord Shs,27.664637,27.844278,26.227513,26.946075,77178,0
2008-03-13,D,Manaksia Ord Shs,25.14967,25.868232,23.353265,24.125719,123207,0
2008-03-14,D,Manaksia Ord Shs,24.790389,24.97003,23.371229,24.449072,99902,0
2008-03-17,D,Manaksia Ord Shs,24.934102,24.934102,22.095782,22.437099,78918,0
2008-03-18,D,Manaksia Ord Shs,20.838298,22.634703,20.838298,21.664645,71710,0
2008-03-19,D,Manaksia Ord Shs,23.227517,23.227517,21.55686,21.862249,88898,0
2008-03-24,D,Manaksia Ord Shs,21.916141,22.275422,20.281413,20.640694,98080,0
2008-03-25,D,Manaksia Ord Shs,20.964047,21.772429,20.479017,21.035903,143526,0
2008-03-26,D,Manaksia Ord Shs,20.856262,21.826321,20.856262,21.323328,69504,0
2008-03-27,D,Manaksia Ord Shs,21.520932,22.437099,20.874226,21.305364,122721,0
2008-03-28,D,Manaksia Ord Shs,21.628716,22.814344,21.395184,22.22153,263867,0
2008-03-31,D,Manaksia Ord Shs,21.916141,22.419135,20.514945,20.784406,256761,0
2008-04-01,D,Manaksia Ord Shs,21.538896,24.952066,21.071831,24.485,255808,0
2008-04-02,D,Manaksia Ord Shs,27.305356,29.389186,26.101765,29.353258,1553972,0
2008-04-03,D,Manaksia Ord Shs,31.544872,31.544872,26.999967,27.718529,1053262,0
