Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2023-05-09,D,Mankind Pharma Ord Shs,1300.0,1430.0,1300.0,1422.3,33193796,0
2023-05-10,D,Mankind Pharma Ord Shs,1417.0,1424.35,1340.0,1382.85,5651542,0
2023-05-11,D,Mankind Pharma Ord Shs,1370.0,1386.0,1306.65,1380.4,5111576,0
2023-05-12,D,Mankind Pharma Ord Shs,1364.0,1438.8,1357.05,1394.45,1946969,0
2023-05-15,D,Mankind Pharma Ord Shs,1397.9,1409.8,1378.0,1384.9,565868,0
2023-05-16,D,Mankind Pharma Ord Shs,1389.0,1393.45,1351.95,1359.0,728775,0
2023-05-17,D,Mankind Pharma Ord Shs,1359.0,1369.7,1343.4,1354.4,525476,0
2023-05-18,D,Mankind Pharma Ord Shs,1360.55,1369.95,1354.0,1355.8,255442,0
2023-05-19,D,Mankind Pharma Ord Shs,1360.0,1361.0,1325.75,1330.8,373144,0
2023-05-22,D,Mankind Pharma Ord Shs,1330.0,1349.0,1242.0,1330.45,914898,0
2023-05-23,D,Mankind Pharma Ord Shs,1339.95,1348.95,1322.65,1331.25,221060,0
2023-05-24,D,Mankind Pharma Ord Shs,1325.0,1339.35,1314.0,1322.65,177959,0
2023-05-25,D,Mankind Pharma Ord Shs,1329.0,1343.85,1319.8,1327.7,132683,0
2023-05-26,D,Mankind Pharma Ord Shs,1327.65,1334.95,1320.5,1323.6,83415,0
2023-05-29,D,Mankind Pharma Ord Shs,1328.0,1375.0,1320.0,1367.6,495981,0
2023-05-30,D,Mankind Pharma Ord Shs,1381.3,1385.0,1345.0,1355.95,258524,0
2023-05-31,D,Mankind Pharma Ord Shs,1379.95,1398.6,1326.0,1360.0,879563,0
2023-06-01,D,Mankind Pharma Ord Shs,1368.0,1401.0,1365.3,1395.4,574856,0
2023-06-02,D,Mankind Pharma Ord Shs,1406.0,1509.05,1399.05,1466.25,1540408,0
2023-06-05,D,Mankind Pharma Ord Shs,1443.95,1469.9,1413.05,1423.9,612827,0
2023-06-06,D,Mankind Pharma Ord Shs,1430.8,1496.0,1430.0,1488.5,687238,0
2023-06-07,D,Mankind Pharma Ord Shs,1489.95,1518.9,1473.0,1486.15,542372,0
2023-06-08,D,Mankind Pharma Ord Shs,1490.95,1491.35,1450.7,1457.05,174292,0
2023-06-09,D,Mankind Pharma Ord Shs,1471.95,1496.0,1456.05,1485.3,182349,0
2023-06-12,D,Mankind Pharma Ord Shs,1478.25,1488.7,1469.0,1474.7,99106,0
2023-06-13,D,Mankind Pharma Ord Shs,1535.0,1544.5,1502.15,1521.2,580211,0
2023-06-14,D,Mankind Pharma Ord Shs,1527.05,1662.0,1524.1,1620.75,1505759,0
