Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2022-07-01,D,Manorama Industries Ord Shs,200.010003,208.010003,200.000003,205.170003,4334.999935,0
2022-07-04,D,Manorama Industries Ord Shs,210.000003,210.000003,164.140002,202.110003,4864.999928,0
2022-07-05,D,Manorama Industries Ord Shs,239.380004,239.380004,190.800003,196.290003,12394.999815,0
2022-07-06,D,Manorama Industries Ord Shs,198.230003,216.980003,193.950003,205.740003,12774.99981,0
2022-07-07,D,Manorama Industries Ord Shs,202.490003,206.560003,199.000003,202.060003,6104.999909,0
2022-07-08,D,Manorama Industries Ord Shs,209.790003,213.800003,198.810003,200.940003,13554.999798,0
2022-07-11,D,Manorama Industries Ord Shs,202.990003,205.170003,198.000003,201.690003,11914.999822,0
2022-07-12,D,Manorama Industries Ord Shs,201.160003,203.660003,197.000003,198.700003,23024.999657,0
2022-07-13,D,Manorama Industries Ord Shs,198.700003,205.000003,198.400003,201.260003,5464.999919,0
2022-07-14,D,Manorama Industries Ord Shs,205.000003,209.800003,199.380003,204.180003,8884.999868,0
2022-07-15,D,Manorama Industries Ord Shs,205.640003,206.600003,200.010003,204.460003,10684.999841,0
2022-07-18,D,Manorama Industries Ord Shs,209.800003,228.000003,204.030003,223.730003,77529.998845,0
2022-07-19,D,Manorama Industries Ord Shs,229.980003,265.540004,225.090003,257.760004,282274.995794,0
2022-07-20,D,Manorama Industries Ord Shs,269.580004,271.800004,237.130004,243.270004,174939.997393,0
2022-07-21,D,Manorama Industries Ord Shs,236.000004,246.010004,236.000004,243.430004,23249.999654,0
2022-07-22,D,Manorama Industries Ord Shs,239.980004,242.200004,233.730003,237.220004,22179.999669,0
2022-07-25,D,Manorama Industries Ord Shs,240.650004,248.870004,233.800003,236.140004,44204.999341,0
2022-07-26,D,Manorama Industries Ord Shs,234.330003,235.960004,226.130003,229.080003,12979.999807,0
2022-07-27,D,Manorama Industries Ord Shs,230.120003,233.510003,219.000003,221.010003,54374.99919,0
2022-07-28,D,Manorama Industries Ord Shs,221.380003,228.940003,220.230003,224.850003,8554.999873,0
2022-07-29,D,Manorama Industries Ord Shs,225.620003,227.090003,221.100003,223.860003,10449.999844,0
2022-08-01,D,Manorama Industries Ord Shs,228.320003,228.320003,212.440003,219.250003,19204.999714,0
2022-08-02,D,Manorama Industries Ord Shs,224.000003,234.800003,213.200003,217.380003,29054.999567,0
2022-08-03,D,Manorama Industries Ord Shs,217.890003,224.210003,213.020003,222.080003,20929.999688,0
2022-08-04,D,Manorama Industries Ord Shs,220.120003,229.600003,219.760003,228.130003,26124.999611,0
2022-08-05,D,Manorama Industries Ord Shs,230.140003,234.900004,225.560003,232.020003,18689.999721,0
2022-08-08,D,Manorama Industries Ord Shs,236.600004,246.730004,232.810003,242.980004,30689.999543,0
2022-08-10,D,Manorama Industries Ord Shs,238.000004,246.600004,236.200004,239.430004,21784.999675,0
2022-08-11,D,Manorama Industries Ord Shs,240.210004,241.490004,234.010003,239.950004,31464.999531,0
2022-08-12,D,Manorama Industries Ord Shs,249.980004,250.000004,237.820004,241.740004,9689.999856,0
2022-08-16,D,Manorama Industries Ord Shs,247.230004,247.230004,240.000004,244.220004,6939.999897,0
2022-08-17,D,Manorama Industries Ord Shs,242.270004,244.800004,240.000004,241.350004,6609.999902,0
2022-08-18,D,Manorama Industries Ord Shs,242.630004,242.780004,237.340004,240.790004,5199.999923,0
2022-08-19,D,Manorama Industries Ord Shs,246.350004,249.990004,222.360003,231.450003,22304.999668,0
2022-08-22,D,Manorama Industries Ord Shs,239.310004,239.310004,228.640003,236.900004,5749.999914,0
2022-08-23,D,Manorama Industries Ord Shs,228.400003,239.790004,228.400003,237.180004,4079.999939,0
2022-08-24,D,Manorama Industries Ord Shs,243.920004,254.800004,237.180004,249.840004,56674.999155,0
2022-08-25,D,Manorama Industries Ord Shs,249.840004,259.800004,243.670004,254.070004,37534.999441,0
2022-08-26,D,Manorama Industries Ord Shs,258.800004,260.450004,249.200004,251.390004,20044.999701,0
2022-08-29,D,Manorama Industries Ord Shs,245.640004,258.990004,241.220004,254.950004,16884.999748,0
2022-08-30,D,Manorama Industries Ord Shs,246.000004,264.000004,246.000004,256.470004,28034.999582,0
2022-09-01,D,Manorama Industries Ord Shs,256.100004,265.000004,240.710004,244.640004,211104.996854,0
2022-09-02,D,Manorama Industries Ord Shs,244.640004,251.100004,239.000004,241.300004,27629.999588,0
2022-09-05,D,Manorama Industries Ord Shs,247.400004,249.000004,240.680004,247.520004,17184.999744,0
2022-09-06,D,Manorama Industries Ord Shs,249.980004,255.000004,245.700004,252.320004,31314.999533,0
2022-09-07,D,Manorama Industries Ord Shs,254.000004,254.020004,249.910004,253.450004,12744.99981,0
2022-09-08,D,Manorama Industries Ord Shs,254.800004,254.800004,248.400004,251.150004,12694.999811,0
2022-09-09,D,Manorama Industries Ord Shs,253.000004,256.800004,250.020004,254.690004,20829.99969,0
2022-09-12,D,Manorama Industries Ord Shs,255.180004,263.000004,252.000004,254.590004,28504.999575,0
2022-09-13,D,Manorama Industries Ord Shs,255.970004,256.000004,249.420004,251.340004,16919.999748,0
2022-09-14,D,Manorama Industries Ord Shs,250.000004,257.600004,242.200004,252.230004,42399.999368,0
2022-09-15,D,Manorama Industries Ord Shs,245.600004,254.790004,241.510004,248.480004,24624.999633,0
2022-09-16,D,Manorama Industries Ord Shs,248.500004,252.390004,241.400004,246.530004,31229.999535,0
2022-09-19,D,Manorama Industries Ord Shs,246.000004,250.000004,244.000004,245.790004,13394.9998,0
2022-09-20,D,Manorama Industries Ord Shs,244.490004,253.810004,244.490004,247.450004,10244.999847,0
2022-09-21,D,Manorama Industries Ord Shs,247.450004,251.780004,241.050004,242.920004,22239.999669,0
2022-09-22,D,Manorama Industries Ord Shs,249.600004,249.600004,242.190004,245.920004,14889.999778,0
2022-09-23,D,Manorama Industries Ord Shs,249.200004,249.200004,239.000004,243.010004,20929.999688,0
2022-09-26,D,Manorama Industries Ord Shs,259.990004,259.990004,235.400004,236.400004,21934.999673,0
2022-09-27,D,Manorama Industries Ord Shs,236.400004,248.800004,234.600003,246.610004,15634.999767,0
2022-09-28,D,Manorama Industries Ord Shs,250.000004,252.000004,242.680004,249.210004,26414.999606,0
2022-09-29,D,Manorama Industries Ord Shs,249.800004,252.910004,244.000004,245.760004,24199.999639,0
2022-09-30,D,Manorama Industries Ord Shs,255.210004,255.210004,245.220004,249.700004,17879.999734,0
2022-10-03,D,Manorama Industries Ord Shs,253.800004,254.140004,243.110004,251.200004,36349.999458,0
2022-10-04,D,Manorama Industries Ord Shs,253.790004,265.000004,248.810004,262.960004,72069.998926,0
2022-10-06,D,Manorama Industries Ord Shs,271.280004,271.280004,260.200004,262.460004,43494.999352,0
2022-10-07,D,Manorama Industries Ord Shs,260.010004,269.950004,260.010004,267.750004,9274.999862,0
2022-10-10,D,Manorama Industries Ord Shs,271.800004,271.800004,262.810004,268.580004,17719.999736,0
2022-10-11,D,Manorama Industries Ord Shs,269.800004,269.800004,255.230004,259.790004,36824.999451,0
2022-10-12,D,Manorama Industries Ord Shs,268.800004,268.800004,255.980004,258.790004,11504.999829,0
2022-10-13,D,Manorama Industries Ord Shs,264.800004,264.800004,254.130004,257.390004,6719.9999,0
2022-10-14,D,Manorama Industries Ord Shs,259.400004,262.990004,254.820004,255.920004,4134.999938,0
2022-10-17,D,Manorama Industries Ord Shs,258.480004,259.800004,252.220004,257.160004,8974.999866,0
2022-10-18,D,Manorama Industries Ord Shs,263.350004,263.350004,253.410004,254.570004,4354.999935,0
2022-10-19,D,Manorama Industries Ord Shs,255.000004,262.000004,242.490004,250.750004,10739.99984,0
2022-10-20,D,Manorama Industries Ord Shs,249.990004,256.400004,249.990004,253.100004,3519.999948,0
2022-10-21,D,Manorama Industries Ord Shs,255.550004,257.590004,243.320004,246.250004,11964.999822,0
2022-10-24,D,Manorama Industries Ord Shs,247.000004,257.000004,247.000004,252.950004,10639.999841,0
2022-10-25,D,Manorama Industries Ord Shs,255.800004,255.800004,242.910004,247.420004,7069.999895,0
2022-10-27,D,Manorama Industries Ord Shs,247.420004,249.790004,245.810004,248.910004,1894.999972,0
2022-10-28,D,Manorama Industries Ord Shs,246.720004,253.000004,245.030004,247.850004,17844.999734,0
2022-10-31,D,Manorama Industries Ord Shs,252.240004,252.340004,244.000004,245.240004,12679.999811,0
2022-11-01,D,Manorama Industries Ord Shs,246.020004,246.020004,229.930003,237.960004,28024.999582,0
2022-11-02,D,Manorama Industries Ord Shs,240.210004,244.010004,236.820004,239.330004,18129.99973,0
2022-11-03,D,Manorama Industries Ord Shs,245.600004,245.600004,234.540003,236.490004,14829.999779,0
2022-11-04,D,Manorama Industries Ord Shs,236.680004,239.800004,217.790003,232.100003,23944.999643,0
2022-11-07,D,Manorama Industries Ord Shs,239.600004,239.600004,221.920003,229.390003,16449.999755,0
2022-11-09,D,Manorama Industries Ord Shs,238.140004,238.140004,221.410003,225.030003,24649.999633,0
2022-11-10,D,Manorama Industries Ord Shs,224.100003,235.800004,220.200003,222.080003,16514.999754,0
2022-11-11,D,Manorama Industries Ord Shs,228.800003,229.800003,220.410003,223.040003,8744.99987,0
2022-11-14,D,Manorama Industries Ord Shs,228.600003,228.600003,219.000003,222.570003,12914.999808,0
2022-11-15,D,Manorama Industries Ord Shs,227.030003,228.800003,221.520003,224.930003,6554.999902,0
2022-11-16,D,Manorama Industries Ord Shs,222.210003,229.800003,210.430003,227.990003,43299.999355,0
2022-11-17,D,Manorama Industries Ord Shs,230.780003,230.780003,217.610003,218.570003,42544.999366,0
2022-11-18,D,Manorama Industries Ord Shs,219.000003,223.650003,213.400003,218.710003,24699.999632,0
2022-11-21,D,Manorama Industries Ord Shs,220.170003,220.990003,215.600003,216.440003,7139.999894,0
2022-11-22,D,Manorama Industries Ord Shs,219.990003,220.000003,211.100003,212.560003,10364.999846,0
2022-11-23,D,Manorama Industries Ord Shs,211.200003,215.980003,210.000003,210.980003,14284.999787,0
2022-11-24,D,Manorama Industries Ord Shs,209.780003,219.800003,208.930003,215.670003,18219.999729,0
2022-11-25,D,Manorama Industries Ord Shs,221.400003,221.400003,210.000003,211.770003,17819.999734,0
2022-11-28,D,Manorama Industries Ord Shs,218.600003,218.600003,200.000003,201.890003,79499.998815,0
2022-11-29,D,Manorama Industries Ord Shs,207.800003,218.200003,200.000003,213.290003,26044.999612,0
2022-11-30,D,Manorama Industries Ord Shs,212.990003,221.730003,209.930003,215.790003,17069.999746,0
2022-12-01,D,Manorama Industries Ord Shs,216.980003,220.310003,206.000003,209.130003,50179.999252,0
2022-12-02,D,Manorama Industries Ord Shs,217.000003,217.000003,209.100003,215.430003,10999.999836,0
2022-12-05,D,Manorama Industries Ord Shs,219.800003,220.000003,210.540003,216.530003,14384.999786,0
2022-12-06,D,Manorama Industries Ord Shs,219.600003,219.600003,213.990003,215.500003,5154.999923,0
2022-12-07,D,Manorama Industries Ord Shs,213.020003,216.340003,211.000003,212.520003,5304.999921,0
2022-12-08,D,Manorama Industries Ord Shs,212.370003,215.580003,211.000003,211.860003,6964.999896,0
2022-12-09,D,Manorama Industries Ord Shs,210.910003,213.100003,207.350003,209.830003,7304.999891,0
2022-12-12,D,Manorama Industries Ord Shs,210.480003,214.390003,208.000003,209.570003,5979.999911,0
2022-12-13,D,Manorama Industries Ord Shs,209.620003,211.190003,208.020003,210.130003,5744.999914,0
2022-12-14,D,Manorama Industries Ord Shs,208.590003,208.590003,194.880003,203.860003,28979.999568,0
2022-12-15,D,Manorama Industries Ord Shs,207.260003,210.500003,200.520003,204.240003,11279.999832,0
2022-12-16,D,Manorama Industries Ord Shs,200.810003,206.690003,200.810003,204.560003,8894.999867,0
2022-12-19,D,Manorama Industries Ord Shs,207.000003,207.180003,204.000003,204.250003,2589.999961,0
2022-12-20,D,Manorama Industries Ord Shs,206.580003,211.000003,202.000003,205.770003,9614.999857,0
2022-12-21,D,Manorama Industries Ord Shs,209.600003,209.600003,198.450003,201.910003,23914.999644,0
2022-12-22,D,Manorama Industries Ord Shs,204.000003,207.800003,198.000003,204.830003,10674.999841,0
2022-12-23,D,Manorama Industries Ord Shs,196.800003,208.060003,192.020003,196.750003,19169.999714,0
2022-12-26,D,Manorama Industries Ord Shs,195.020003,205.490003,191.180003,195.440003,29574.999559,0
2022-12-27,D,Manorama Industries Ord Shs,198.170003,199.000003,193.260003,194.030003,28389.999577,0
2022-12-28,D,Manorama Industries Ord Shs,195.540003,197.400003,192.750003,196.060003,22299.999668,0
2022-12-29,D,Manorama Industries Ord Shs,196.060003,196.060003,191.630003,192.640003,35314.999474,0
2022-12-30,D,Manorama Industries Ord Shs,195.500003,205.930003,194.570003,204.400003,43474.999352,0
2023-01-02,D,Manorama Industries Ord Shs,207.880003,207.880003,200.200003,203.750003,18814.99972,0
2023-01-03,D,Manorama Industries Ord Shs,205.800003,205.800003,201.020003,203.870003,16014.999761,0
2023-01-04,D,Manorama Industries Ord Shs,199.710003,205.110003,199.710003,203.710003,14869.999778,0
2023-01-05,D,Manorama Industries Ord Shs,204.420003,217.190003,204.370003,212.890003,31754.999527,0
2023-01-06,D,Manorama Industries Ord Shs,214.780003,214.780003,205.000003,205.380003,9914.999852,0
2023-01-09,D,Manorama Industries Ord Shs,212.800003,212.800003,204.560003,205.820003,7474.999889,0
2023-01-10,D,Manorama Industries Ord Shs,207.060003,210.990003,202.910003,205.560003,25764.999616,0
2023-01-11,D,Manorama Industries Ord Shs,205.030003,207.860003,202.210003,205.030003,9814.999854,1
2023-01-12,D,Manorama Industries Ord Shs,201.600003,209.000003,201.600003,207.450003,4939.999926,0
2023-01-13,D,Manorama Industries Ord Shs,209.980003,214.800003,202.120003,210.100003,8769.999869,0
2023-01-16,D,Manorama Industries Ord Shs,212.100003,212.100003,203.050003,209.440003,10009.999851,0
2023-01-17,D,Manorama Industries Ord Shs,215.400003,215.400003,204.910003,213.410003,9184.999863,0
2023-01-18,D,Manorama Industries Ord Shs,210.990003,215.800003,210.020003,212.370003,7024.999895,0
2023-01-19,D,Manorama Industries Ord Shs,210.410003,211.780003,205.720003,208.850003,7889.999882,0
2023-01-20,D,Manorama Industries Ord Shs,208.050003,208.050003,197.000003,200.300003,25784.999616,0
2023-01-23,D,Manorama Industries Ord Shs,204.800003,204.800003,192.000003,194.620003,32079.999522,0
2023-01-24,D,Manorama Industries Ord Shs,195.410003,197.090003,190.000003,191.890003,17384.999741,0
2023-01-25,D,Manorama Industries Ord Shs,191.890003,196.940003,186.440003,188.430003,26914.999599,0
2023-01-27,D,Manorama Industries Ord Shs,191.010003,195.800003,178.970003,181.390003,50649.999245,0
2023-01-30,D,Manorama Industries Ord Shs,184.800003,189.600003,179.090003,181.080003,52679.999215,0
2023-01-31,D,Manorama Industries Ord Shs,183.800003,204.800003,183.790003,201.820003,55444.999174,0
2023-02-01,D,Manorama Industries Ord Shs,204.800003,209.800003,191.460003,193.210003,24914.999629,0
2023-02-02,D,Manorama Industries Ord Shs,196.110003,204.800003,194.250003,195.720003,14219.999788,0
2023-02-03,D,Manorama Industries Ord Shs,194.000003,199.190003,180.540003,196.110003,30864.99954,0
2023-02-06,D,Manorama Industries Ord Shs,199.050003,203.800003,192.960003,201.100003,32019.999523,0
2023-02-07,D,Manorama Industries Ord Shs,195.250003,203.800003,195.250003,202.120003,15624.999767,0
2023-02-08,D,Manorama Industries Ord Shs,200.620003,205.980003,200.620003,203.940003,16589.999753,0
