Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-09-29,D,Marathon Nextgen Realty Ord Shs,136.95,139.0,108.025,116.475,30568,0
2016-09-30,D,Marathon Nextgen Realty Ord Shs,123.775,127.5,115.0,124.5,5336,0
2016-10-03,D,Marathon Nextgen Realty Ord Shs,119.0,132.2,119.0,128.95,3024,0
2016-10-04,D,Marathon Nextgen Realty Ord Shs,125.0,130.5,125.0,130.0,58,0
2016-10-05,D,Marathon Nextgen Realty Ord Shs,127.0,127.0,125.5,126.5,1536,0
2016-10-06,D,Marathon Nextgen Realty Ord Shs,126.5,129.5,124.0,124.4,2610,0
2016-10-07,D,Marathon Nextgen Realty Ord Shs,134.0,134.0,120.5,123.375,22694,0
2016-10-10,D,Marathon Nextgen Realty Ord Shs,123.0,125.0,121.125,121.15,1526,0
2016-10-13,D,Marathon Nextgen Realty Ord Shs,121.15,129.45,117.0,120.125,1142,0
2016-10-14,D,Marathon Nextgen Realty Ord Shs,120.0,129.75,120.0,124.45,1112,0
2016-10-17,D,Marathon Nextgen Realty Ord Shs,124.375,127.0,118.5,120.95,3282,0
2016-10-18,D,Marathon Nextgen Realty Ord Shs,120.0,124.5,120.0,120.65,2356,0
2016-10-19,D,Marathon Nextgen Realty Ord Shs,121.8,125.0,121.775,122.6,3504,0
2016-10-20,D,Marathon Nextgen Realty Ord Shs,122.5,124.25,119.65,119.65,864,0
2016-10-21,D,Marathon Nextgen Realty Ord Shs,119.625,129.5,119.625,124.8,2968,0
2016-10-24,D,Marathon Nextgen Realty Ord Shs,124.75,142.25,124.75,137.5,44296,0
2016-10-25,D,Marathon Nextgen Realty Ord Shs,149.725,149.75,135.0,137.375,44966,0
2016-10-26,D,Marathon Nextgen Realty Ord Shs,137.25,137.25,127.75,131.55,23524,0
2016-10-27,D,Marathon Nextgen Realty Ord Shs,126.525,135.0,123.75,128.275,24196,0
2016-10-28,D,Marathon Nextgen Realty Ord Shs,128.25,131.95,124.975,125.525,32366,0
2016-10-30,D,Marathon Nextgen Realty Ord Shs,137.5,137.5,127.75,131.8,1394,0
2016-11-01,D,Marathon Nextgen Realty Ord Shs,134.75,136.2,127.05,129.575,2576,0
2016-11-02,D,Marathon Nextgen Realty Ord Shs,126.325,137.5,126.0,134.425,29064,0
2016-11-03,D,Marathon Nextgen Realty Ord Shs,133.0,135.0,128.15,128.825,24008,0
2016-11-04,D,Marathon Nextgen Realty Ord Shs,129.5,129.5,120.75,123.625,3382,0
2016-11-07,D,Marathon Nextgen Realty Ord Shs,125.575,131.975,125.4,127.65,1404,0
2016-11-08,D,Marathon Nextgen Realty Ord Shs,127.5,129.0,125.6,127.425,7426,0
2016-11-09,D,Marathon Nextgen Realty Ord Shs,119.95,123.95,104.0,120.225,8262,0
2016-11-10,D,Marathon Nextgen Realty Ord Shs,129.475,129.475,122.225,124.85,180,0
