Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1996-05-01,D,Marico Ord Shs,2.36366,2.470599,2.248777,2.470599,57991999.135852,0
1996-05-02,D,Marico Ord Shs,2.730308,2.730308,2.730308,2.730308,31999.999523,1
1996-05-06,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,39999.999404,1
1996-05-07,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,103999.99845,1
1996-05-08,D,Marico Ord Shs,3.017516,3.017516,2.933187,3.017516,159999.997616,1
1996-05-09,D,Marico Ord Shs,3.017516,3.017516,3.012627,3.016905,1079999.983907,0
1996-05-10,D,Marico Ord Shs,3.016905,3.017516,2.945408,3.017516,431999.993563,0
1996-05-13,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,135999.997973,1
1996-05-14,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,7999.999881,1
1996-05-15,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,7999.999881,1
1996-05-16,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,1119999.983311,1
1996-05-21,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,23999.999642,1
1996-05-22,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,15999.999762,1
1996-05-23,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,15999.999762,1
1996-05-24,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,39999.999404,1
1996-05-27,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,63999.999046,1
1996-05-28,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,55999.999166,1
1996-05-29,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,7999.999881,1
1996-05-30,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,39999.999404,1
1996-06-03,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,7999.999881,1
1996-06-04,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,15999.999762,1
1996-06-11,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,7999.999881,1
1996-06-14,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,1463999.978185,1
1996-06-18,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,799999.988079,1
1996-06-19,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,7999.999881,1
1996-06-28,D,Marico Ord Shs,3.017516,3.017516,3.017516,3.017516,7999.999881,1
1996-09-27,D,Marico Ord Shs,2.86719,2.86719,2.865968,2.866579,15999.999762,0
1996-09-30,D,Marico Ord Shs,2.994295,2.994295,2.994295,2.994295,23999.999642,1
1996-10-04,D,Marico Ord Shs,3.006516,3.006516,3.006516,3.006516,31999.999523,1
1996-10-07,D,Marico Ord Shs,2.8843,2.8843,2.8843,2.8843,15999.999762,1
1996-10-08,D,Marico Ord Shs,2.835414,2.933187,2.835414,2.933187,95999.998569,0
1996-10-09,D,Marico Ord Shs,2.835414,2.835414,2.810971,2.810971,47999.999285,0
1996-10-11,D,Marico Ord Shs,2.951519,2.951519,2.951519,2.951519,7999.999881,1
1996-10-15,D,Marico Ord Shs,2.994295,2.994295,2.994295,2.994295,7999.999881,1
1996-11-06,D,Marico Ord Shs,3.006516,3.006516,3.006516,3.006516,7999.999881,1
1996-11-10,D,Marico Ord Shs,3.006516,3.006516,3.006516,3.006516,7999.999881,1
1996-11-11,D,Marico Ord Shs,3.006516,3.006516,3.006516,3.006516,7999.999881,1
1996-11-22,D,Marico Ord Shs,2.835414,2.835414,2.835414,2.835414,39999.999404,1
1996-11-25,D,Marico Ord Shs,3.006516,3.006516,3.006516,3.006516,39999.999404,1
1996-12-05,D,Marico Ord Shs,2.810971,2.810971,2.749863,2.749863,87999.998689,0
1996-12-06,D,Marico Ord Shs,2.749251,2.749251,2.749251,2.749251,7999.999881,1
1996-12-09,D,Marico Ord Shs,2.737641,2.737641,2.737641,2.737641,7999.999881,1
1996-12-11,D,Marico Ord Shs,2.773695,2.774306,2.773695,2.774306,15999.999762,0
1996-12-12,D,Marico Ord Shs,2.859857,2.869023,2.859857,2.869023,79999.998808,0
1996-12-17,D,Marico Ord Shs,2.811582,2.811582,2.753529,2.753529,31999.999523,0
