Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-11-01,D,Mazda Ord Shs,374.7,400.0,305.0,369.0,20314,0
2016-11-02,D,Mazda Ord Shs,365.35,365.35,352.25,359.15,3522,0
2016-11-03,D,Mazda Ord Shs,364.0,369.7,350.55,351.95,509,0
2016-11-04,D,Mazda Ord Shs,343.25,346.0,336.1,337.9,1460,0
2016-11-07,D,Mazda Ord Shs,325.1,358.0,325.1,349.05,2257,0
2016-11-08,D,Mazda Ord Shs,358.95,360.0,350.0,350.5,719,0
2016-11-09,D,Mazda Ord Shs,325.0,344.9,325.0,340.0,747,0
2016-11-10,D,Mazda Ord Shs,340.0,360.0,335.0,351.75,383,0
2016-11-11,D,Mazda Ord Shs,340.0,349.9,335.0,347.95,477,0
2016-11-15,D,Mazda Ord Shs,340.0,340.0,320.0,328.1,2489,0
2016-11-16,D,Mazda Ord Shs,329.9,329.9,312.5,327.9,2905,0
2016-11-17,D,Mazda Ord Shs,324.0,324.0,320.0,323.05,362,0
2016-11-18,D,Mazda Ord Shs,320.0,325.0,320.0,320.05,323,0
2016-11-21,D,Mazda Ord Shs,320.1,328.0,306.0,318.9,500,0
2016-11-22,D,Mazda Ord Shs,320.0,320.0,320.0,320.0,20,1
2016-11-23,D,Mazda Ord Shs,303.0,340.0,303.0,323.25,216,0
2016-11-24,D,Mazda Ord Shs,318.0,318.0,318.0,318.0,20,1
2016-11-25,D,Mazda Ord Shs,328.95,344.9,318.05,340.4,135,0
2016-11-28,D,Mazda Ord Shs,320.45,339.95,305.6,335.7,109,0
2016-11-30,D,Mazda Ord Shs,315.05,339.0,315.05,320.05,1993,0
2016-12-01,D,Mazda Ord Shs,330.0,338.0,310.25,318.9,1533,0
2016-12-02,D,Mazda Ord Shs,318.0,329.9,310.25,320.0,695,0
2016-12-05,D,Mazda Ord Shs,320.05,323.05,315.25,321.25,407,0
2016-12-06,D,Mazda Ord Shs,331.95,343.5,330.0,330.0,71,0
2016-12-07,D,Mazda Ord Shs,329.95,330.0,329.9,329.9,66,0
2016-12-08,D,Mazda Ord Shs,339.6,340.0,337.95,338.0,145,0
2016-12-09,D,Mazda Ord Shs,320.0,330.05,317.95,321.05,1105,0
2016-12-12,D,Mazda Ord Shs,349.9,355.0,341.05,344.75,7777,0
2016-12-13,D,Mazda Ord Shs,354.0,354.0,333.55,338.85,3108,0
2016-12-14,D,Mazda Ord Shs,340.0,345.05,340.0,343.35,383,0
2016-12-15,D,Mazda Ord Shs,346.6,346.75,340.1,340.15,128,0
2016-12-16,D,Mazda Ord Shs,332.55,333.5,332.55,333.0,352,0
2016-12-19,D,Mazda Ord Shs,341.95,343.0,330.0,330.0,343,0
2016-12-20,D,Mazda Ord Shs,330.05,333.0,318.1,321.7,435,0
2016-12-21,D,Mazda Ord Shs,329.9,329.95,313.0,314.9,450,0
2016-12-22,D,Mazda Ord Shs,313.75,318.0,311.5,313.55,259,0
2016-12-23,D,Mazda Ord Shs,312.0,315.8,312.0,315.15,309,0
2016-12-26,D,Mazda Ord Shs,315.05,319.95,307.05,308.1,103,0
2016-12-27,D,Mazda Ord Shs,306.65,315.0,306.6,315.0,327,0
2016-12-28,D,Mazda Ord Shs,315.0,315.0,312.55,313.3,1340,0
2016-12-29,D,Mazda Ord Shs,325.65,326.4,314.95,320.3,968,0
2016-12-30,D,Mazda Ord Shs,323.0,330.0,323.0,329.45,563,0
2017-01-02,D,Mazda Ord Shs,339.4,340.0,334.95,339.6,587,0
2017-01-03,D,Mazda Ord Shs,326.0,340.0,311.95,337.35,277,0
2017-01-04,D,Mazda Ord Shs,335.0,335.75,332.95,334.35,104,0
2017-01-05,D,Mazda Ord Shs,339.05,339.05,337.9,337.95,534,0
2017-01-06,D,Mazda Ord Shs,327.45,335.0,323.0,330.1,3349,0
2017-01-09,D,Mazda Ord Shs,330.4,339.0,330.4,335.35,206,0
2017-01-11,D,Mazda Ord Shs,332.0,349.85,331.0,348.65,2724,0
2017-01-12,D,Mazda Ord Shs,347.8,347.95,330.0,335.9,6472,0
2017-01-13,D,Mazda Ord Shs,339.55,339.55,326.2,329.3,854,0
2017-01-17,D,Mazda Ord Shs,330.35,349.0,330.35,334.8,451,0
2017-01-18,D,Mazda Ord Shs,345.0,345.0,333.55,340.05,135,0
2017-01-19,D,Mazda Ord Shs,342.0,342.0,342.0,342.0,100,1
2017-01-20,D,Mazda Ord Shs,330.15,340.0,330.0,339.65,100,0
2017-01-23,D,Mazda Ord Shs,331.65,337.35,331.6,333.0,112,0
2017-01-24,D,Mazda Ord Shs,345.0,345.0,334.55,341.05,15156,0
2017-01-25,D,Mazda Ord Shs,344.0,345.0,329.8,336.35,2452,0
2017-01-27,D,Mazda Ord Shs,348.95,348.95,329.45,335.0,6199,0
2017-01-30,D,Mazda Ord Shs,336.75,365.2,335.0,339.9,24690,0
2017-01-31,D,Mazda Ord Shs,342.0,342.05,337.5,340.8,1004,0
2017-02-01,D,Mazda Ord Shs,342.05,345.0,338.0,340.2,2192,0
