Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2005-06-20,D,Mercator Ord Shs,36.380001,36.380001,31.8,32.12,179094.997331,0
2005-06-21,D,Mercator Ord Shs,32.36,33.760001,31.88,32.18,408362.493915,0
2005-06-22,D,Mercator Ord Shs,32.76,34.920001,32.4,33.760001,377477.494375,0
2005-06-23,D,Mercator Ord Shs,33.26,36.840001,33.26,35.300001,1263619.981171,0
2005-06-24,D,Mercator Ord Shs,35.420001,36.400001,34.800001,35.120001,416002.493801,0
2005-06-27,D,Mercator Ord Shs,36.000001,36.000001,34.620001,35.280001,98807.498528,0
2005-06-28,D,Mercator Ord Shs,35.960001,35.960001,33.42,33.660001,67037.499001,0
2005-06-29,D,Mercator Ord Shs,34.300001,35.600001,33.12,33.48,849909.987335,0
2005-06-30,D,Mercator Ord Shs,33.960001,34.260001,33.620001,34.020001,95157.498582,0
2005-07-01,D,Mercator Ord Shs,33.880001,35.640001,33.880001,35.140001,202954.996976,0
2005-07-04,D,Mercator Ord Shs,36.740001,36.740001,34.420001,34.680001,141437.497892,0
2005-07-05,D,Mercator Ord Shs,35.460001,35.460001,33.640001,33.860001,110117.498359,0
2005-07-06,D,Mercator Ord Shs,34.100001,34.560001,33.760001,33.860001,61347.499086,0
2005-07-07,D,Mercator Ord Shs,34.000001,34.380001,33.4,33.54,115679.998276,0
2005-07-08,D,Mercator Ord Shs,34.000001,34.560001,33.600001,33.960001,95494.998577,0
2005-07-11,D,Mercator Ord Shs,35.200001,35.200001,33.860001,34.340001,220449.996715,0
2005-07-12,D,Mercator Ord Shs,34.600001,34.600001,33.52,33.640001,80599.998799,0
2005-07-13,D,Mercator Ord Shs,34.140001,34.140001,33.08,33.22,97117.498553,0
2005-07-14,D,Mercator Ord Shs,32.9,34.200001,32.9,33.660001,109232.498372,0
2005-07-15,D,Mercator Ord Shs,34.000001,34.560001,33.600001,34.380001,235342.496493,0
2005-07-18,D,Mercator Ord Shs,34.460001,34.700001,33.620001,33.780001,74627.498888,0
2005-07-19,D,Mercator Ord Shs,33.2,34.200001,33.2,33.48,88754.998677,0
2005-07-20,D,Mercator Ord Shs,33.840001,34.200001,33.3,33.54,69449.998965,0
2005-07-21,D,Mercator Ord Shs,33.600001,33.980001,33.0,33.16,133477.498011,0
2005-07-22,D,Mercator Ord Shs,33.680001,33.700001,33.04,33.2,38714.999423,0
2005-07-25,D,Mercator Ord Shs,33.54,33.54,32.8,33.02,103764.998454,0
2005-07-26,D,Mercator Ord Shs,33.2,33.2,32.6,32.66,67804.99899,0
2005-07-27,D,Mercator Ord Shs,32.66,33.2,32.54,32.84,37127.499447,0
2005-07-29,D,Mercator Ord Shs,32.42,33.18,32.04,32.3,72274.998923,0
2005-08-01,D,Mercator Ord Shs,32.6,33.4,32.6,33.36,118684.998231,0
2005-08-02,D,Mercator Ord Shs,35.600001,36.600001,34.080001,34.360001,227942.496603,0
2005-08-03,D,Mercator Ord Shs,34.400001,34.700001,33.3,33.44,166539.997518,0
2005-08-04,D,Mercator Ord Shs,33.2,34.200001,33.2,33.940001,217044.996766,0
2005-08-05,D,Mercator Ord Shs,34.200001,34.200001,33.2,33.44,166267.497522,0
2005-08-08,D,Mercator Ord Shs,33.600001,34.000001,33.1,33.22,107749.998394,0
2005-08-09,D,Mercator Ord Shs,33.2,34.560001,33.02,34.080001,338287.494959,0
2005-08-10,D,Mercator Ord Shs,35.200001,35.600001,34.320001,34.920001,277954.995858,0
2005-08-11,D,Mercator Ord Shs,35.200001,36.200001,34.620001,35.860001,626964.990657,0
2005-08-12,D,Mercator Ord Shs,36.000001,36.000001,34.600001,35.340001,176242.497374,0
2005-08-16,D,Mercator Ord Shs,35.640001,37.540001,35.640001,37.180001,901874.986561,0
2005-08-17,D,Mercator Ord Shs,37.780001,38.840001,37.200001,38.260001,668077.490045,0
2005-08-18,D,Mercator Ord Shs,38.400001,39.200001,37.400001,37.760001,361407.494615,0
2005-08-19,D,Mercator Ord Shs,38.160001,39.000001,37.400001,37.700001,228252.496599,0
2005-08-22,D,Mercator Ord Shs,37.740001,38.280001,36.000001,36.440001,190604.99716,0
2005-08-23,D,Mercator Ord Shs,36.780001,36.960001,35.820001,36.000001,141582.49789,0
2005-08-24,D,Mercator Ord Shs,35.600001,35.600001,34.840001,35.120001,103217.498462,0
2005-08-25,D,Mercator Ord Shs,35.600001,35.960001,33.28,35.680001,61697.499081,0
2005-08-26,D,Mercator Ord Shs,36.160001,36.280001,35.380001,35.660001,101587.498486,0
2005-08-29,D,Mercator Ord Shs,35.980001,39.000001,34.420001,37.920001,460657.493136,0
2005-08-30,D,Mercator Ord Shs,38.720001,40.600001,38.360001,39.940001,746617.488875,0
2005-08-31,D,Mercator Ord Shs,40.560001,47.580001,40.200001,46.020001,2060582.469295,0
2005-09-01,D,Mercator Ord Shs,46.640001,55.240001,46.640001,55.240001,6598222.401679,0
2005-09-02,D,Mercator Ord Shs,57.360001,59.560001,55.700001,57.080001,7362649.890288,0
2005-09-05,D,Mercator Ord Shs,58.000001,58.680001,53.600001,54.600001,3636902.445806,0
2005-09-06,D,Mercator Ord Shs,54.980001,55.100001,49.720001,51.700001,1262757.481183,0
2005-09-08,D,Mercator Ord Shs,52.280001,56.880001,51.960001,56.760001,2387764.96442,0
2005-09-09,D,Mercator Ord Shs,57.640001,59.240001,54.820001,55.880001,3478517.448166,0
2005-09-12,D,Mercator Ord Shs,56.740001,57.700001,54.500001,55.280001,1184297.482353,0
2005-09-13,D,Mercator Ord Shs,55.560001,57.980001,54.000001,55.780001,1681302.474947,0
2005-09-14,D,Mercator Ord Shs,56.660001,57.800001,50.400001,54.860001,1206552.482021,0
2005-09-15,D,Mercator Ord Shs,55.780001,57.200001,54.600001,56.540001,823562.487728,0
2005-09-16,D,Mercator Ord Shs,56.900001,58.280001,56.160001,56.660001,1035217.484574,0
2005-09-19,D,Mercator Ord Shs,56.920001,57.340001,56.040001,56.340001,610052.49091,0
2005-09-20,D,Mercator Ord Shs,55.840001,56.320001,54.740001,55.020001,517162.492294,0
2005-09-21,D,Mercator Ord Shs,55.560001,55.560001,49.520001,52.920001,915154.986363,0
2005-09-22,D,Mercator Ord Shs,52.100001,52.600001,47.640001,47.660001,1115202.483382,0
2005-09-23,D,Mercator Ord Shs,48.000001,51.200001,45.200001,50.060001,1456234.9783,0
2005-09-26,D,Mercator Ord Shs,50.920001,53.880001,50.700001,53.480001,801839.988052,0
2005-09-27,D,Mercator Ord Shs,53.620001,53.800001,50.200001,50.840001,648454.990337,0
2005-09-28,D,Mercator Ord Shs,46.260001,55.940001,46.260001,55.480001,1811167.473012,0
2005-09-29,D,Mercator Ord Shs,57.360001,58.280001,54.000001,54.220001,1856872.47233,0
2005-09-30,D,Mercator Ord Shs,53.600001,54.400001,51.040001,53.200001,698987.489584,0
2005-10-03,D,Mercator Ord Shs,53.600001,56.400001,52.880001,55.780001,885922.486799,0
2005-10-04,D,Mercator Ord Shs,56.000001,56.200001,54.060001,54.340001,576282.491413,0
2005-10-05,D,Mercator Ord Shs,54.960001,56.000001,53.860001,54.240001,435549.99351,0
2005-10-06,D,Mercator Ord Shs,54.400001,54.800001,51.200001,53.120001,352347.49475,0
2005-10-07,D,Mercator Ord Shs,53.040001,54.120001,51.480001,52.960001,422002.493712,0
2005-10-10,D,Mercator Ord Shs,52.400001,54.100001,52.400001,53.280001,229774.996576,0
2005-10-11,D,Mercator Ord Shs,52.000001,53.120001,50.580001,50.960001,301287.49551,0
2005-10-13,D,Mercator Ord Shs,51.200001,51.960001,49.960001,50.180001,325927.495143,0
2005-10-14,D,Mercator Ord Shs,50.600001,51.180001,48.900001,49.400001,236084.996482,0
2005-10-17,D,Mercator Ord Shs,49.900001,50.980001,47.200001,49.000001,369762.49449,0
2005-10-18,D,Mercator Ord Shs,50.280001,51.400001,48.020001,48.980001,306877.495427,0
2005-10-19,D,Mercator Ord Shs,48.220001,49.800001,47.200001,49.040001,397302.49408,0
2005-10-20,D,Mercator Ord Shs,50.000001,50.320001,46.400001,47.360001,312449.995344,0
2005-10-21,D,Mercator Ord Shs,47.580001,49.200001,46.940001,48.700001,210537.496863,0
2005-10-24,D,Mercator Ord Shs,49.280001,50.600001,48.400001,48.920001,136274.997969,0
2005-10-25,D,Mercator Ord Shs,48.900001,49.520001,48.600001,49.060001,85999.998719,0
2005-10-26,D,Mercator Ord Shs,49.200001,50.000001,41.820001,43.500001,783059.988331,0
2005-10-27,D,Mercator Ord Shs,44.800001,44.800001,40.120001,40.520001,878944.986903,0
2005-10-28,D,Mercator Ord Shs,40.800001,44.360001,40.040001,41.180001,590882.491195,0
2005-10-31,D,Mercator Ord Shs,42.000001,42.800001,40.800001,41.060001,172809.997425,0
2005-11-01,D,Mercator Ord Shs,42.100001,42.760001,41.640001,41.920001,138527.497936,0
2005-11-02,D,Mercator Ord Shs,42.000001,42.000001,40.400001,41.500001,114922.498288,0
2005-11-07,D,Mercator Ord Shs,42.160001,43.760001,41.500001,43.120001,404124.993978,0
2005-11-08,D,Mercator Ord Shs,43.800001,45.960001,41.880001,45.020001,677569.989903,0
2005-11-09,D,Mercator Ord Shs,45.360001,45.800001,44.040001,44.640001,210164.996868,0
