Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2018-04-04,D,Mishra Dhatu Nigam Ord Shs,87.0,91.0,86.05,90.05,16767810,0
2018-04-05,D,Mishra Dhatu Nigam Ord Shs,91.1,93.4,88.5,89.25,2086034,0
2018-04-06,D,Mishra Dhatu Nigam Ord Shs,89.15,90.75,88.25,90.05,2438641,0
2018-04-09,D,Mishra Dhatu Nigam Ord Shs,90.5,90.7,89.4,90.0,497759,0
2018-04-10,D,Mishra Dhatu Nigam Ord Shs,90.3,90.65,89.35,90.1,462114,0
2018-04-11,D,Mishra Dhatu Nigam Ord Shs,90.4,96.7,89.1,91.8,2069628,0
2018-04-12,D,Mishra Dhatu Nigam Ord Shs,91.8,93.7,91.6,93.0,944549,0
2018-04-13,D,Mishra Dhatu Nigam Ord Shs,93.1,111.6,92.6,111.1,10794116,0
2018-04-16,D,Mishra Dhatu Nigam Ord Shs,112.25,133.3,112.05,133.3,12678229,0
2018-04-17,D,Mishra Dhatu Nigam Ord Shs,139.7,146.6,136.3,139.8,12088283,0
2018-04-18,D,Mishra Dhatu Nigam Ord Shs,139.2,153.75,132.2,153.75,11734814,0
2018-04-19,D,Mishra Dhatu Nigam Ord Shs,161.6,169.1,161.6,169.1,5274214,0
2018-04-20,D,Mishra Dhatu Nigam Ord Shs,176.6,177.55,162.1,170.5,7842531,0
2018-04-23,D,Mishra Dhatu Nigam Ord Shs,170.75,175.8,162.0,162.25,2313431,0
2018-04-24,D,Mishra Dhatu Nigam Ord Shs,155.5,163.3,154.15,154.3,2185838,0
2018-04-25,D,Mishra Dhatu Nigam Ord Shs,151.0,162.0,146.65,159.55,4222337,0
2018-04-26,D,Mishra Dhatu Nigam Ord Shs,161.4,162.0,153.05,154.15,806955,0
2018-04-27,D,Mishra Dhatu Nigam Ord Shs,154.3,156.4,146.45,146.45,390946,0
2018-04-30,D,Mishra Dhatu Nigam Ord Shs,142.15,153.75,141.55,153.75,1222958,0
2018-05-02,D,Mishra Dhatu Nigam Ord Shs,156.5,158.8,153.0,155.45,984783,0
2018-05-03,D,Mishra Dhatu Nigam Ord Shs,155.0,158.4,149.5,151.1,392930,0
2018-05-04,D,Mishra Dhatu Nigam Ord Shs,148.2,152.95,143.55,144.15,424240,0
2018-05-07,D,Mishra Dhatu Nigam Ord Shs,144.15,148.65,141.0,142.25,457100,0
2018-05-08,D,Mishra Dhatu Nigam Ord Shs,142.25,144.0,135.25,135.95,346381,0
2018-05-09,D,Mishra Dhatu Nigam Ord Shs,136.1,140.4,134.7,138.1,381762,0
2018-05-10,D,Mishra Dhatu Nigam Ord Shs,139.8,139.95,133.2,137.6,374556,0
2018-05-11,D,Mishra Dhatu Nigam Ord Shs,139.0,141.6,135.1,138.35,298693,0
2018-05-14,D,Mishra Dhatu Nigam Ord Shs,138.0,138.8,131.45,131.45,184521,0
2018-05-15,D,Mishra Dhatu Nigam Ord Shs,129.1,137.7,125.6,135.35,964043,0
2018-05-16,D,Mishra Dhatu Nigam Ord Shs,134.2,142.1,133.0,140.05,559735,0
2018-05-17,D,Mishra Dhatu Nigam Ord Shs,142.5,147.05,142.15,146.4,628222,0
2018-05-18,D,Mishra Dhatu Nigam Ord Shs,146.5,147.5,139.25,140.1,251622,0
2018-05-21,D,Mishra Dhatu Nigam Ord Shs,139.8,143.0,134.25,140.35,252637,0
2018-05-22,D,Mishra Dhatu Nigam Ord Shs,140.0,143.4,138.5,140.8,168898,0
2018-05-23,D,Mishra Dhatu Nigam Ord Shs,138.05,143.0,136.05,136.8,135012,0
2018-05-24,D,Mishra Dhatu Nigam Ord Shs,139.0,140.0,136.0,136.75,117376,0
2018-05-25,D,Mishra Dhatu Nigam Ord Shs,137.0,142.3,135.05,141.2,249246,0
2018-05-28,D,Mishra Dhatu Nigam Ord Shs,140.0,143.0,140.0,140.95,159707,0
2018-05-29,D,Mishra Dhatu Nigam Ord Shs,138.5,142.6,137.3,138.6,93060,0
2018-05-30,D,Mishra Dhatu Nigam Ord Shs,137.1,139.8,136.0,136.4,93235,0
2018-05-31,D,Mishra Dhatu Nigam Ord Shs,143.2,143.2,140.0,143.2,1495972,1
2018-06-01,D,Mishra Dhatu Nigam Ord Shs,147.0,149.0,140.85,143.15,663202,0
2018-06-04,D,Mishra Dhatu Nigam Ord Shs,143.95,144.95,139.0,140.75,313988,0
2018-06-05,D,Mishra Dhatu Nigam Ord Shs,139.95,139.95,133.75,133.75,176075,0
2018-06-06,D,Mishra Dhatu Nigam Ord Shs,128.1,140.4,128.1,140.4,551249,0
2018-06-07,D,Mishra Dhatu Nigam Ord Shs,146.0,154.95,144.75,147.4,2165570,0
2018-06-08,D,Mishra Dhatu Nigam Ord Shs,146.0,147.8,142.0,142.85,295251,0
2018-06-11,D,Mishra Dhatu Nigam Ord Shs,143.8,146.0,139.75,140.4,202804,0
2018-06-12,D,Mishra Dhatu Nigam Ord Shs,140.5,141.5,135.5,137.1,342724,0
2018-06-13,D,Mishra Dhatu Nigam Ord Shs,136.7,140.8,136.7,137.3,174221,0
2018-06-14,D,Mishra Dhatu Nigam Ord Shs,137.15,138.95,134.05,134.85,225398,0
2018-06-15,D,Mishra Dhatu Nigam Ord Shs,135.4,149.9,135.15,141.85,1886245,0
2018-06-18,D,Mishra Dhatu Nigam Ord Shs,140.0,144.85,137.6,138.35,368165,0
2018-06-19,D,Mishra Dhatu Nigam Ord Shs,138.95,145.65,136.6,137.3,721901,0
2018-06-20,D,Mishra Dhatu Nigam Ord Shs,139.0,143.8,137.0,137.7,497318,0
2018-06-21,D,Mishra Dhatu Nigam Ord Shs,138.9,140.7,135.0,135.2,300882,0
2018-06-22,D,Mishra Dhatu Nigam Ord Shs,135.5,136.65,132.0,132.65,315694,0
2018-06-25,D,Mishra Dhatu Nigam Ord Shs,133.25,135.9,133.2,134.25,387456,0
2018-06-26,D,Mishra Dhatu Nigam Ord Shs,135.3,135.3,132.95,134.0,150644,0
2018-06-27,D,Mishra Dhatu Nigam Ord Shs,134.0,134.95,125.0,129.9,378692,0
2018-06-28,D,Mishra Dhatu Nigam Ord Shs,127.1,131.5,126.55,127.55,571119,0
2018-06-29,D,Mishra Dhatu Nigam Ord Shs,127.9,132.6,127.9,129.5,241164,0
2018-07-02,D,Mishra Dhatu Nigam Ord Shs,130.0,130.4,125.5,126.4,148812,0
2018-07-03,D,Mishra Dhatu Nigam Ord Shs,126.85,127.95,123.0,125.1,238473,0
2018-07-04,D,Mishra Dhatu Nigam Ord Shs,124.6,125.1,121.8,122.25,227536,0
2018-07-05,D,Mishra Dhatu Nigam Ord Shs,122.0,123.0,118.0,122.0,327667,1
2018-07-06,D,Mishra Dhatu Nigam Ord Shs,123.0,127.2,120.45,126.05,380431,0
2018-07-09,D,Mishra Dhatu Nigam Ord Shs,128.0,129.45,126.55,128.25,387976,0
2018-07-10,D,Mishra Dhatu Nigam Ord Shs,128.05,152.4,128.05,149.7,3251107,0
2018-07-11,D,Mishra Dhatu Nigam Ord Shs,147.6,151.5,142.6,145.6,1589304,0
2018-07-12,D,Mishra Dhatu Nigam Ord Shs,146.25,160.9,146.0,148.35,3766557,0
2018-07-13,D,Mishra Dhatu Nigam Ord Shs,148.25,152.4,141.35,146.25,804465,0
2018-07-16,D,Mishra Dhatu Nigam Ord Shs,146.0,146.6,138.0,139.05,308015,0
2018-07-17,D,Mishra Dhatu Nigam Ord Shs,140.0,143.85,137.05,138.7,336739,0
2018-07-18,D,Mishra Dhatu Nigam Ord Shs,140.95,142.65,135.0,136.4,287364,0
2018-07-19,D,Mishra Dhatu Nigam Ord Shs,136.2,141.0,130.6,134.6,405774,0
2018-07-20,D,Mishra Dhatu Nigam Ord Shs,135.0,138.5,133.55,135.3,239830,0
2018-07-23,D,Mishra Dhatu Nigam Ord Shs,136.25,139.7,132.0,136.4,282462,0
2018-07-24,D,Mishra Dhatu Nigam Ord Shs,136.9,144.65,135.25,141.5,688195,0
2018-07-25,D,Mishra Dhatu Nigam Ord Shs,142.8,146.65,141.9,142.7,324641,0
2018-07-26,D,Mishra Dhatu Nigam Ord Shs,143.0,148.5,141.4,145.35,466713,0
2018-07-27,D,Mishra Dhatu Nigam Ord Shs,145.55,149.9,140.5,141.05,480510,0
