Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
2016-08-02,D,Mindteck India Ord Shs,82.360001,82.360001,74.440001,75.720001,32674.999513,0
2016-08-03,D,Mindteck India Ord Shs,74.360001,76.000001,72.120001,72.840001,7647.499886,0
2016-08-04,D,Mindteck India Ord Shs,77.440001,77.440001,66.000001,71.880001,6759.999899,0
2016-08-05,D,Mindteck India Ord Shs,71.800001,75.200001,71.800001,74.000001,5636.249916,0
2016-08-08,D,Mindteck India Ord Shs,76.720001,76.720001,73.600001,73.800001,4989.999926,0
2016-08-09,D,Mindteck India Ord Shs,76.800001,76.800001,72.800001,72.920001,4242.499937,0
2016-08-10,D,Mindteck India Ord Shs,74.440001,75.320001,70.400001,72.080001,27379.999592,0
2016-08-11,D,Mindteck India Ord Shs,67.440001,72.800001,65.600001,66.960001,36609.999454,0
2016-08-12,D,Mindteck India Ord Shs,68.000001,68.560001,65.800001,66.360001,19839.999704,0
2016-08-16,D,Mindteck India Ord Shs,66.240001,66.320001,64.840001,65.120001,1894.999972,0
2016-08-17,D,Mindteck India Ord Shs,66.000001,67.160001,63.200001,63.840001,15607.499767,0
2016-08-18,D,Mindteck India Ord Shs,62.480001,66.360001,62.400001,64.200001,6491.249903,0
2016-08-19,D,Mindteck India Ord Shs,62.880001,65.560001,62.880001,64.200001,5644.999916,0
2016-08-22,D,Mindteck India Ord Shs,64.040001,66.360001,63.600001,63.840001,8251.249877,0
2016-08-23,D,Mindteck India Ord Shs,65.360001,65.360001,63.760001,63.840001,1192.499982,0
2016-08-24,D,Mindteck India Ord Shs,64.000001,64.000001,61.600001,62.720001,8872.499868,0
2016-08-25,D,Mindteck India Ord Shs,63.600001,63.600001,60.440001,62.000001,20501.249695,0
2016-08-26,D,Mindteck India Ord Shs,61.600001,63.200001,61.400001,61.840001,7026.249895,0
2016-08-29,D,Mindteck India Ord Shs,61.600001,62.760001,60.800001,62.560001,2658.74996,0
2016-08-30,D,Mindteck India Ord Shs,63.840001,68.000001,61.600001,65.360001,16133.74976,0
2016-08-31,D,Mindteck India Ord Shs,67.200001,67.960001,65.120001,65.280001,8341.249876,0
2016-09-01,D,Mindteck India Ord Shs,64.880001,68.000001,62.840001,65.960001,11472.499829,0
2016-09-02,D,Mindteck India Ord Shs,66.000001,67.920001,65.280001,65.560001,7108.749894,0
2016-09-06,D,Mindteck India Ord Shs,64.800001,67.480001,64.800001,65.320001,6762.499899,0
2016-09-07,D,Mindteck India Ord Shs,64.080001,66.760001,64.080001,65.280001,8793.749869,0
2016-09-08,D,Mindteck India Ord Shs,63.520001,65.200001,62.720001,63.280001,14509.999784,0
2016-09-09,D,Mindteck India Ord Shs,63.360001,64.000001,62.400001,63.160001,5854.999913,0
2016-09-12,D,Mindteck India Ord Shs,60.480001,63.160001,60.000001,62.000001,12053.74982,0
2016-09-14,D,Mindteck India Ord Shs,63.880001,63.880001,59.200001,62.320001,6143.749908,0
