Date,Interval,Name,Open,High,Low,Close,Volume,Circuit
1996-09-23,D,MM Forgings Ord Shs,3.109375,3.125,3.109375,3.125,4800,0
1996-09-25,D,MM Forgings Ord Shs,2.8125,2.8125,2.8125,2.8125,9600,1
1996-09-26,D,MM Forgings Ord Shs,2.6875,2.6875,2.628125,2.628125,4800,0
1996-09-30,D,MM Forgings Ord Shs,2.375,2.375,2.375,2.375,1600,1
1996-10-03,D,MM Forgings Ord Shs,2.3125,2.3125,2.3125,2.3125,3200,1
1996-10-04,D,MM Forgings Ord Shs,2.1875,2.1875,2.13125,2.13125,3200,0
1996-10-07,D,MM Forgings Ord Shs,2.25,2.25,2.00625,2.0625,6400,0
1996-10-08,D,MM Forgings Ord Shs,2.125,2.125,2.121875,2.121875,3200,0
1996-10-09,D,MM Forgings Ord Shs,2.234375,2.234375,2.1875,2.234375,17600,1
1996-10-10,D,MM Forgings Ord Shs,2.296875,2.296875,2.1875,2.215625,19200,0
1996-10-11,D,MM Forgings Ord Shs,2.21875,2.234375,2.121875,2.140625,81600,0
1996-10-14,D,MM Forgings Ord Shs,2.21875,2.21875,2.140625,2.159375,52800,0
1996-10-15,D,MM Forgings Ord Shs,2.1875,2.21875,2.15625,2.15625,6400,0
1996-10-16,D,MM Forgings Ord Shs,2.190625,2.21875,2.190625,2.21875,27200,0
1996-10-17,D,MM Forgings Ord Shs,2.265625,2.265625,2.25,2.25,9600,0
1996-10-18,D,MM Forgings Ord Shs,2.25,2.25,2.25,2.25,3200,1
1996-10-22,D,MM Forgings Ord Shs,2.4375,2.4375,2.25,2.3125,4800,0
1996-10-23,D,MM Forgings Ord Shs,2.3125,2.3125,2.203125,2.203125,32000,0
1996-10-24,D,MM Forgings Ord Shs,2.375,2.375,2.3125,2.3125,14400,0
1996-10-25,D,MM Forgings Ord Shs,2.3125,2.3125,2.3125,2.3125,11200,1
1996-10-28,D,MM Forgings Ord Shs,2.34375,2.34375,2.28125,2.28125,9600,0
1996-10-29,D,MM Forgings Ord Shs,2.3125,2.3125,2.125,2.1875,14400,0
1996-10-31,D,MM Forgings Ord Shs,2.125,2.15625,2.125,2.140625,3200,0
1996-11-01,D,MM Forgings Ord Shs,2.246875,2.246875,2.171875,2.1875,8000,0
1996-11-04,D,MM Forgings Ord Shs,2.171875,2.171875,2.171875,2.171875,3200,1
1996-11-05,D,MM Forgings Ord Shs,2.15625,2.15625,2.15625,2.15625,1600,1
1996-11-06,D,MM Forgings Ord Shs,2.26875,2.26875,2.25625,2.25625,11200,0
1996-11-07,D,MM Forgings Ord Shs,2.25,2.25,2.25,2.25,11200,1
1996-11-08,D,MM Forgings Ord Shs,2.1875,2.1875,2.1875,2.1875,1600,1
1996-11-10,D,MM Forgings Ord Shs,2.3125,2.40625,2.3125,2.39375,28800,0
1996-11-11,D,MM Forgings Ord Shs,2.25625,2.359375,2.25625,2.340625,9600,0
1996-11-13,D,MM Forgings Ord Shs,2.40625,2.571875,2.40625,2.5,96000,0
1996-11-14,D,MM Forgings Ord Shs,2.496875,2.5,2.45,2.471875,19200,0
1996-11-15,D,MM Forgings Ord Shs,2.484375,2.5,2.4375,2.46875,28800,0
1996-11-18,D,MM Forgings Ord Shs,2.490625,2.5,2.490625,2.49375,8000,0
1996-11-19,D,MM Forgings Ord Shs,2.45,2.46875,2.4375,2.45625,32000,0
1996-11-20,D,MM Forgings Ord Shs,2.40625,2.4375,2.40625,2.4375,3200,0
1996-11-21,D,MM Forgings Ord Shs,2.49375,2.578125,2.49375,2.503125,14400,0
1996-11-22,D,MM Forgings Ord Shs,2.50625,2.59375,2.50625,2.5375,25600,0
1996-11-25,D,MM Forgings Ord Shs,2.575,2.575,2.571875,2.571875,3200,0
1996-11-26,D,MM Forgings Ord Shs,2.546875,2.546875,2.5,2.53125,11200,0
1996-11-27,D,MM Forgings Ord Shs,2.471875,2.471875,2.46875,2.46875,3200,0
1996-11-28,D,MM Forgings Ord Shs,2.5,2.5,2.46875,2.46875,4800,0
1996-12-03,D,MM Forgings Ord Shs,2.4375,2.46875,2.4375,2.46875,19200,0
1996-12-04,D,MM Forgings Ord Shs,2.3125,2.3125,2.3125,2.3125,3200,1
1996-12-05,D,MM Forgings Ord Shs,2.25,2.46875,2.25,2.46875,16000,0
1996-12-06,D,MM Forgings Ord Shs,2.46875,2.46875,2.46875,2.46875,11200,1
